,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.024647806394574746,,,,,,,,,,,,0.06666132345492833,,,0.05097014358533408,,
BMP1,0.030071238693659852,0.07297599205519413,0.13036666788014628,0.01754204287537407,0.17850723493586415,0.004242874720771327,0.08279183581882658,0.14836246657693128,0.05909572168441747,-0.010640949189268613,0.04149110784746598,0.046959658950913044,0.09838428529191676,0.05071338560149996,0.10633869263626358,0.04964019891468251,0.013652868925868391,0.04085842028542637,-0.10975304907645768,-0.06307746635849414,-0.016268475276042332,-0.14626814065819405,0.033800450285848015,0.11429441067978195,0.07502738036887913,-0.003907975252785487
NDP,0.09051511255536,0.1033715473935957,0.1179029057611095,0.04162462836228692,0.06420572064521868,0.025947158675865663,0.048502510779371365,-0.004954563394811245,-0.047178010905840576,0.059003772554628575,0.05384744171706752,0.10862080186417392,0.04920311188736551,0.09706034966795,0.10997076622258314,0.033146435076018284,-0.02478686967522516,0.08241780786377945,0.0007675943335874993,0.12008580087002924,0.0028083854885254723,0.05273715738406222,0.1372774060985475,0.20345365606344123,0.06690674941967213,0.10870313576878404
TNFSF18,0.05577316359419696,0.04306436479989712,0.021846762613092596,0.011662588203197268,,,,0.0677308193669656,0.04956222362594861,0.024031132890089048,,,,,0.09120820279959178,,0.017453962353724428,,,,-0.03564276570503677,,0.042209376714171395,0.05195467181606726,-0.028306359625189327,
IL36G,,,,,,,,,,,,,,0.02674198227913113,,,,,,,,,,,,
RTN4,0.020172629762151093,0.00031951845918745783,-0.0024200199192678765,0.023751022380947933,-0.001945407752007631,0.040835024252772474,0.02702989058057212,-0.1389918192476262,-0.08499859859284266,-0.013620658715373702,0.0433701390133399,0.024101876739675603,-0.08834341791426154,0.04958226069253427,-0.029055020534869004,-0.05235327753414455,0.04840381367790029,-0.06390473333576127,0.05496078838243797,-0.040155097554483835,-0.017073250138924183,0.0917216181022595,-0.06459309111085063,-0.04631594527023629,-0.01002666920427485,-0.08666039511717948
HEBP1,-0.037418213213979014,0.06285946524757198,0.04580005393841874,-0.0035433375141593936,0.09583503356268691,-0.016463851162701822,0.04139326439587482,0.06627449297162842,0.05787034969011994,0.09477235799981466,-0.0283831120095276,0.058798235733432166,-0.03195622064304691,0.04709756129489278,0.051684671470221016,0.06978724279348407,0.08472763944091095,0.07122364906976769,0.0693668201830753,0.11520646296075311,0.028080804935222217,0.029132742322176657,0.06419956265587123,0.18403557940790596,-0.0005324146109652768,0.0010303898546197327
WNT7B,0.04222392233990552,0.050454625501023906,0.01152595953846023,0.009492743119154917,-0.002814215968808219,-0.011721276300261676,0.05078024024972777,0.025382090605053188,-0.00799816932474475,-0.10233427842660671,-0.013495554335417347,,0.048774676670547024,0.02777089700631561,-0.021906118459586493,0.07919470371013802,,-0.016605049305920005,-0.0029138088710219745,0.021048890254138784,0.00634631759545098,0.05331220593908108,-0.023753599243727348,0.03217938670559084,0.05712389035080288,-0.0554149711000258
PTMA,0.087664069921605,-0.22793690487842644,0.11164667361762304,0.01027663035083647,0.1674723077760908,-0.024103248462922718,-0.043291227340979864,0.23508317295326148,0.07437684941221502,0.009281233744049256,-0.01729268127450435,-0.0086395588632411,0.1564472646584935,0.04839538863580556,-0.02027521729397044,-0.07262897436621901,0.003116676122192759,-0.14248125124519068,0.036465568198785415,-0.07412870174556077,0.017710368078901976,-0.10138690087512124,0.007527252700943098,-0.085383200962753,-0.016447651977486214,0.10726026051480445
FASLG,0.05827526202519219,,,,,,,,,,,,,,,,,,,,,,,0.017900477489951556,,
