,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.035524268112178944,,,,,,,,,,,,0.0736446610060216,,,0.034761679687063625,,
BMP1,-0.0032084174074394857,0.013046799667291638,0.0007011538268519216,-0.006268356636762877,0.026375691010774877,-0.020405566758546597,-0.03909409343155513,0.0011982417713970622,-0.0651669600854056,0.039017680726007586,0.014009933745877893,0.00972934389467095,0.10618307445048154,-0.06826148006787913,-0.0463157028211082,0.20910544946143586,0.13316924488296478,0.14045055851357688,0.056139186764066956,-0.020104005026467187,-0.10473306928650519,-0.06180095800942018,0.006785373625915174,0.056728841999357585,-0.04928444861540367,0.1375760204095408
NDP,0.010474520667683278,-0.021107981978899234,0.04073506346088922,-0.023371686238298058,-0.0237300005749328,-0.05058107487657565,0.10557040716639504,0.03146886964957695,0.007262762865212555,0.04074277672060418,-0.018516028645853135,-0.0010356126880091499,0.02003923303823633,-0.020779310394532343,-0.043082810537087006,0.11782823275625946,-0.040112067978224766,0.006907024862995948,0.027267425089972132,0.003906610646344511,-0.06129999159830486,0.06977668621380102,0.030925992994738343,0.07356043811767891,0.06819467347551016,0.08951757222076921
TNFSF18,0.068764487715597,0.0058253619988214,-0.020039452581411533,0.0019336563530234362,,,,-0.022866003656890118,0.012013394221875796,0.10142354343218246,,,,,0.058290326829227426,,0.06148712410566914,,,,-0.1103591596112306,,0.03766265486616687,0.0532121635077717,-0.0988597032442107,
IL36G,,,,,,,,,,,,,,-0.048356472534620075,,,,,,,,,,,,
RTN4,0.0795918716341526,0.14830313080020455,0.09150413401596114,0.039307785733591505,0.05738556080619167,0.03858877179314205,0.13003431496157508,0.037111396982392277,0.02799824956416555,-0.0400120816283012,0.11017349269877363,0.09743415457392861,-0.001990153405470518,0.20043073705582723,-0.10393178462818005,-0.004295459142088422,-0.06272071653300461,-0.0113113815232197,-0.0261903365335693,-0.07528740101774983,0.18483784755960303,0.02338528642193145,0.07079022895198424,-0.026884370310072483,0.23071632877432496,0.11899512308866295
HEBP1,-0.008879500329346236,-0.06880758333595018,0.009505936077663316,0.022541196994140342,0.027130056109178985,-0.00910079324551736,-0.025520792320808124,0.05821500639965279,0.006532032919013104,-0.003537108353214269,-0.03818869908535421,0.002308794290998217,0.07062931822771365,0.07580221707377213,-0.07925917787885557,0.14725673937475936,0.027805921118716048,0.060467451678110594,0.05913768742573069,-0.00735548915132206,0.07560879977597311,-0.014482271437413482,0.07787992220641625,0.15730056835201292,-0.01880204704820669,0.1438348727783396
WNT7B,-0.0010930238042325092,0.2297966780245129,0.06432947826825888,-0.000435684750023764,0.033151468813863126,0.005253949761211771,0.06633501999288616,0.01199818737654596,-0.019915592672961745,-0.005178801373948864,-0.0022561082926714484,,0.0555441915815441,0.036136955990810626,-0.0395454685669569,0.12144515501802387,,0.0037337935959578473,0.06772616375408153,-0.015507240713484697,0.03881803000259837,0.027581438639374997,0.031754594264806896,0.031746140666624297,0.028704837898034578,0.08684887311211228
PTMA,0.013056111594967805,-0.03380196449289493,0.03968085284604801,-0.061737987868273725,0.01591791059541073,0.009799256393401465,-0.047587092680396764,-0.007561889137764149,0.06724041058754511,-0.044882203137679065,-0.006467585823146976,-0.12356167262127954,0.09119391341593744,-0.1028823916702793,0.02823771884315,-0.16258207623153717,0.16387063448299075,-0.024306065359386585,-0.11853876470703395,-0.02411186065660006,0.18672614748897787,-0.05127494802191913,0.12238720523897706,-0.14301986584921111,-0.17972063611609754,0.12283866875331781
FASLG,-0.04322040665871125,,,,,,,,,,,,,,,,,,,,,,,0.0012527456322775823,,
