,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.03479568760857262,,,,,,,,,,,-0.025776437257042213,,,0.11543682039311765,,
BMP1,0.07915836354743659,0.17213283895415124,-0.07178052122209932,0.05489356286905044,0.10845473665276946,0.08155569667478553,0.07483812869930428,0.1586718101396883,0.4677562758207312,0.09755218247640059,0.038542071055110705,-0.015616100726037837,0.24535961673148038,-0.09344987999736251,0.074635243841977,0.00017608754565078599,0.13013943316872661,0.0273915302428853,-0.021254395502452905,0.14073090393513232,-0.05019199846419697,0.10373334905012022,-0.05959002774742947,0.03696766695582443,-0.06725164065676474
NDP,0.07198172534675805,0.4213577172409226,0.07689457142853075,0.033254571642702006,0.10557963722009314,0.12829918887559438,0.05172941168115161,-0.048087399099497816,0.11318481079670045,0.025178561644315145,0.05090042953077265,0.10864295505154989,0.08588707901912747,0.010164389803800996,0.1683425607615639,-0.005310251233816926,0.09796238267420537,0.11221123230445684,0.11603236883144026,0.1707183437346596,0.0320711424435959,0.011943606102074136,0.3834566222880128,0.2595117885207154,0.01932450375731749
TNFSF18,-0.0675356685028925,0.07855740957871633,0.031361852070924914,0.04358879356374525,,,,0.08616320809830058,0.0780588619323286,0.07462790740279193,,,,-0.0047777590625495865,,0.05644021998141597,,,,0.007468168686057931,,-0.0300451211233341,0.0676817978982977,0.007733437391969162,
IL36G,,,,,,,,,,,,,0.06865061222953843,,,,,,,,,,,,
RTN4,-0.11337615611785908,-0.1828073489289686,-0.0256491467713474,-0.010345831065148114,0.064581821943665,-0.03513152405484701,-0.05487743125064442,-0.35541375735429304,-0.5792527741682267,-0.02273224202606517,-0.10870101747790559,-0.03790138657552456,-0.21062764957720767,-0.05650323430178698,-0.039314268248774334,0.008519772607483737,-0.03847740453826312,-0.09644595273356396,-0.11310794912320228,-0.2659756758980994,-0.0036447903957985573,-0.12251933952662172,-0.10415040059717895,0.04202327805236244,-0.018977602963807957
HEBP1,-0.04944185842544908,0.008399126429207267,-0.009652943586170932,-0.00361867633595987,-0.0194347630022369,-0.014050152819007363,0.06120691442062808,0.14123580632316968,0.23460689400128132,-0.03540383546190764,0.030167123784084524,0.026660608651720753,0.0008616080146484406,-0.06417390411183738,-0.023791660849039793,0.0024328772811572593,0.04434410101097089,0.07687387123263947,0.0831352523781696,0.05800205131435136,-0.04335152807258936,0.052266325415016156,0.23687922088871774,0.05608876094857757,0.05453653924426778
WNT7B,-0.015398071327720569,0.09513296809271445,-0.043945519723107326,-0.0052840355816437005,-0.006731343216910122,-0.018790840862314053,0.13646473919382435,-0.056560800027213046,-0.241975883387119,-0.0336618126586086,-0.08800872545136189,,-0.0637387963479471,-0.016639493868720167,-0.21402166774994125,,-0.004054146452831271,0.02109389139898112,0.054287997688637735,-0.023593541726078134,-0.00332189174344279,0.027146979505664342,-0.014685405677278078,0.068551536105373,0.0032716692309383254
PTMA,-0.0507470006966037,-0.3623505950806112,0.2757153909913949,0.08555314443184911,0.29672424513723467,-0.0831551768455209,-0.043812358146498594,0.42980034834823916,-0.23006193130522817,-0.15934287208108716,-0.01173222886202369,0.17789864705727074,0.30112035692455413,-0.21886794106595658,-0.0668339736861493,0.006689721200158451,-0.19578326875143454,-0.030736395423737947,-0.06763637734723944,-0.23752844836551815,-0.019238103868066757,-0.06249693137356717,-0.29737681816546757,-0.21957434628498537,0.1320108183198668
FASLG,-0.03140089936775343,,,,,,,,,,,,,,,,,,,,,,-0.03568212983723383,,
