,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.06654217910233952,,,,,,,,,,,,-0.007707914547685486,,,0.031085100233739397,,
BMP1,0.03221566261792747,0.18102384041626757,0.0547223951096302,-0.0338578556109041,0.12647040744617374,0.03795659796727509,-0.0522212628370071,0.09170849282631884,0.2684341693038694,-0.04353549253691011,0.044659597403812666,0.11095524548192744,0.007107775447976725,0.1933017995415166,-0.03361628996169533,0.20277861899754487,0.047437649795373106,0.11253152522733403,-0.0684500836728492,-0.010424740896857226,0.12105032068915776,-0.10106255498102563,0.019329719728800855,0.11869634850431886,0.04434612895092899,-0.023467611925535245
NDP,0.07299697130680988,0.29390102577001614,0.11195528098285057,0.01955796293760182,0.09677517035048322,0.06642022309052414,0.14223631122412161,-0.0033604208379649165,0.09149436683662357,0.039627673993348454,-0.0022167911746550145,0.06739705840416747,-0.009395060971218953,0.10440206545369739,0.08330669738551977,0.1525066851149495,0.05417226500370094,0.12064712783098377,0.08716282331336818,0.13281771314740157,0.12970808910101211,0.1393259169409816,0.1481999424716984,0.2500547042827826,0.23552646576390718,0.06193969599208982
TNFSF18,-0.03369062607075021,0.1257162677865831,-0.03198193848946678,-0.021207701236664486,,,,0.014435383665872334,0.037258116308227174,-0.0026970149191794493,,,,,0.04163330344306339,,-0.033894661827036196,,,,0.06212621212870825,,-0.049740704900753725,0.08999764215255517,0.040557143590477046,
IL36G,,,,,,,,,,,,,,-0.009296509379473131,,,,,,,,,,,,
RTN4,-0.07862234980912734,-0.07220096605745342,-0.04903256900007093,0.023306314049596134,0.076330108814674,0.02242295067293568,0.14342649589654702,-0.2268073966582114,-0.3488640585113064,0.06837962818731852,-0.02923454345191788,-0.16146481964595372,0.057986508092320546,-0.1978371399906441,-0.05229578611456433,-0.006996802895558017,0.06793466672808884,0.006572422516288587,-0.05109804024811436,-3.591867026155013e-05,-0.1684706771462274,0.095307530862143,-0.06514706235211234,-0.04849196829730133,0.10964622914794202,0.04675606560858262
HEBP1,0.02011071491003674,0.0574876152104625,-0.021993309278456677,0.04702299754781889,-0.025165967861520915,0.01732521486194172,-0.004809205713389765,0.12976274918782726,0.10237852033600735,0.0033636864852558796,-0.018525831163902374,0.16064838861453562,-0.0182158141704663,0.09311018906069057,0.017014445844089118,0.022677949677605266,0.0227292864847122,-0.001246247761916429,0.12217277942214513,0.10679106055533594,0.03009995647787944,0.021185656437696963,0.12114890299767331,0.23979323808441333,0.1251742078192743,0.1319029045617744
WNT7B,0.007195168603930422,0.09187163289139416,-0.0008075754143353934,-0.04454393342306309,0.04744408525578381,-0.017399669109598174,0.07703019493861285,-0.04999436814908042,-0.15219175714931613,-0.05555440710450708,-0.03653913800005796,,0.02213653813919538,-0.050638503225920284,-0.060134509992184615,-0.057783319552566485,,0.023617199371524702,0.023911429253050856,0.04609120107762824,0.005113526013203271,0.027695307139615558,-0.02215906610737509,0.08360110879515233,0.06724628817578412,0.15555093532982897
PTMA,-0.021279623584157442,-0.32631540784172486,0.15946885619358234,0.00803996025967339,0.16023543243914065,-0.08054685566373505,-0.13516752895568426,0.3048868625882085,-0.06604037829077797,-0.023176345970665653,0.11145478536084101,0.30622218990234007,-0.05525723898803265,0.284808615696235,-0.02131460341999157,-0.26454954692861904,-0.1258678525367812,-0.14487995709415658,-0.11509593017848498,-0.0742872865019023,-0.15451286834129116,-0.08368486738832431,0.1077573222552923,-0.14042866812466903,-0.17995615338431636,0.05806660454724034
FASLG,-0.05492932515914335,,,,,,,,,,,,,,,,,,,,,,,0.009722431653082996,,
CEACAM1,0.008287505329982712,,0.007800903387413196,0.02136522053909332,,0.010076527461781287,-0.0460015902729108,,0.10842040272139154,-0.000867516347904253,,,,,,0.0780254346087766,-0.04003935680974146,0.04611791182623565,0.057679793276430566,0.009328402617836434,0.03440087626098724,0.04457912143493108,,0.06662239408782028,,
PDAP1,0.053252972117389843,0.040913050207928466,0.08258923705995938,-0.018397482733347858,0.04682404522240038,0.0075828313849112825,-0.09328711930665556,0.11640209491826507,0.29777676396206093,0.020481878268198733,0.0016468685854590663,-0.035124568293297714,0.018715016849232772,0.14015999360200723,0.020282747537602334,-0.10106482880869291,0.06354126530165188,0.03566884963818535,-0.13604672281101188,-0.04553955250024178,0.02661884191625764,-0.07253850487441338,0.025995018570271065,-0.019646713167754962,-0.022001462688767244,0.0068321688691781995
QDPR,-0.04916792862481994,0.17983219460393296,0.08939315249846636,0.08961605553883117,0.1623668271222996,0.011703508267642503,0.24846602193982573,-0.08134714568290698,-0.21364832393201302,0.056975330473418344,0.08046004920491293,0.3928705007410244,0.007061274934895179,0.07501953621329031,0.025727121526298333,-0.02250713448883391,-0.02272201984294215,-0.029409339552875714,0.12079375108274462,0.1787672526294368,-0.09479287351393055,0.037767087567475294,0.0663670920163414,0.16485714479893218,0.12271403076862068,0.09357727207618718
POMC,0.07582527601680548,0.09371488974837201,0.00837836305062147,0.012329415855226346,,-0.003952052223080031,0.03056575248209223,-0.013560287799273157,0.0028978032090398145,-0.005399200235400304,-0.019286324091788574,0.04848422271317301,-0.007456566635898585,-0.0024288747441496518,-0.06142904299341711,-0.028499214959075883,0.12417912615207624,-0.03816324221773969,0.07216185299083336,0.051003395321944006,-0.014556967908186001,-0.02396854309345309,,0.10421138029983333,0.057615749984616126,0.007051746095043561
CCL18,,-0.03996046654113395,-0.07631319163820505,,,,,,,,,0.10578338575505689,-0.06193928660819223,,,-0.03188079133982839,,-0.10581727631377096,-0.00813186533106785,0.006895222741790122,,-0.115133080525976,,,,
CCL17,,,,,,0.04991454991284308,,,,0.04676350618115755,-0.019835377706658684,,,-0.025507602447960704,,,,,-0.03375718416940718,-0.004647185349633264,0.06738643299045262,,,0.04665326290370576,,
VEGFD,,0.06956882890096494,0.005237156339272738,0.004987377587120768,,0.0013380335243259249,0.03372979217904176,,0.11279108500098423,0.01622837947677865,-0.02446140943501521,-0.021035438390260255,-0.021397925900243538,0.0582387891943683,,-0.02592694799491987,-0.049131286180043136,,,0.028573402612036138,0.017654286537009935,,,,,
TNFSF13,,,-0.014107759067026038,,,0.03235972488203063,,-0.000166467621904838,,,,,,,,,,,0.010728408931872714,0.05409158900670786,0.036289617959462304,-0.031156356182976047,,0.05169397665326309,0.10094747791559726,
WNT5A,0.053714482804848404,0.06123104477453127,-0.014360958706576816,0.02367199325433664,0.13742635023304942,0.04494231023450936,0.03362113896837821,0.1532805799582673,0.19320622147591174,0.008110397868973704,0.01685171006805927,-0.04615291481334456,0.043366196750246125,0.1117100371662853,0.09350137521875247,-0.025308941315028567,0.011329854027906526,0.12272336929487034,0.0076276659931734415,0.03586728754327759,0.0376735182725491,-0.014278856116730484,0.10331298732223702,0.03484150925469751,-0.12912782216064186,0.14964832438098008
CXCL8,,-0.24656240489918374,-0.21994270192440984,0.062215296457494594,-0.21720877998623855,-0.14507889275926072,-0.21231043006516948,0.09108304480360654,0.14541715103994465,-0.041911488875287534,0.15083391430856483,0.030142177459187385,-0.04522000556801068,-0.07870684214625653,,-0.2661249022075241,-0.018034163706683596,-0.1618831418697285,-0.2624126765533248,-0.304967915885625,-0.03681921429494452,-0.07582770150922616,-0.0649912547872655,-0.13533405168144344,-0.20309949758951631,0.07693793425628184
GRN,-0.0957369965459686,0.09894340675156348,0.01925158515111775,-0.0450843764051744,0.1269012009256466,0.057898848488441124,-0.029080078280819047,0.1181763118535057,0.23698972919381456,0.07306930576489432,-0.016868243939015565,0.1594769801223715,-0.015252716201994263,-0.08931584051786469,0.04740779699412524,0.06750292708990287,0.012181629590423189,0.002474615998684424,-0.03723773828513576,0.0029084857522753286,0.17023718051218617,-0.10081776826408101,-0.005843356982662784,-0.09642207954221342,0.03820014319219905,0.04302583286169029
MIA,-0.046703530278588555,0.011519193643311162,-0.0310797701515697,-0.05313734487209447,0.03462498720261461,-0.038899550734569605,-0.1358770502828438,0.10290274631600499,0.13571150051276554,-0.02809197314425394,-0.03874704868334891,,0.05106536155973175,0.0033517558241241844,0.017029771500395544,-0.07664503333345456,-0.049516837095580364,0.0746914821770819,0.3053874622078456,0.26546122131836786,0.07955490578953904,-0.24367052090620417,,0.22653432048915964,0.03977762858327406,
COL4A4,-0.026872624561816126,0.08266101489189012,0.06890613094610538,-0.033608799448375075,0.04007868037296689,0.029390010799172177,-0.020502397961685577,0.052709754750434754,0.004429856216100875,0.06602767500722677,-0.02511800660548047,,,0.06992804681778833,,,0.016839684775835417,-0.08599873538999425,0.16970904413717613,-0.004330979852094338,0.014627633856737914,-0.033509640778896815,,0.004172465349234356,-0.005104227337465186,
TAC1,-0.02199130003236846,0.04132237846041721,0.05767357109616977,0.03086790053805709,0.15587036281087463,0.021243053117552015,0.23358472581515297,-0.12780334516688766,-0.2551681323009169,0.12852748068481087,-0.049898705853597035,-0.09498780445028349,,-0.215086580140996,,,,,,,,0.09643622119419935,-0.01619834329317265,-0.01213765042282081,0.09042546456398948,0.02331039634212007
RARRES2,0.12196988746455831,0.02248215404212515,-0.007990990486740882,-0.021042474320271773,-0.09327493892528686,0.04489885843314851,-0.2821864406536345,0.11042705414380391,0.33556411380547607,0.04353995420216114,0.05238330044328668,-0.0151682965851288,-0.00655726448901651,0.1364423859584164,0.04331682928251313,0.05625225663957137,-0.13600928863678904,-0.02985968669724335,-0.08920616828969452,-0.08684087357500452,-0.03177973634511586,-0.08365580478370538,0.030942303555762593,-0.009338483097090492,-0.1317229935993933,0.030281035335733193
FGF7,0.041971536142472225,0.09900092013814428,,-0.02585955788671453,-0.05820910219851465,-0.022004466760206332,0.06745337642915916,0.05059107158191291,0.08851262189266981,0.027862710510583324,-0.004622172231918376,-0.002146203172583248,0.06814910007663291,0.07266513015544768,0.02812404160659126,0.052370028824070686,-0.0350396607579648,0.10502208563107768,0.07423996000584995,0.03663788737252368,0.036445294263559094,-0.09527589169608015,-0.049288139901465806,0.19673855913827062,0.08644253575548555,0.034232707859305725
EFNA2,,,,,,,,,,,,,,,,,,,,-0.06987850133759041,,,,,,
HBEGF,-0.018511344765283527,0.1418369249834661,-0.06448317452394005,0.0843190599846201,0.0065492494463502025,-0.032561803107159996,-0.156367683096724,0.08927718688004456,0.10656730262438906,-0.14833288614385978,-0.02802398128937789,0.08689551301912457,0.03125006865103556,0.08180280913289413,0.04071750588489289,-0.12780178764981912,-0.03371642430833542,-0.020384960374059617,0.08438082646619327,0.04774103124916241,-0.05777759884583836,-0.06629954053767387,-0.07467310111869216,-0.09077690974922295,-0.09510221177617653,0.042065610220051446
CSF3,,-0.1181992861635384,,,-0.05255024819112171,-0.10264922473420714,-0.11121995358457011,,-0.04274730811005404,,,,0.004319365972672242,,,,,,-0.106437567078787,-0.19664947934940535,,0.0010214491066190057,-0.004350496491572358,-0.030905481058239637,-0.09617359098702803,
PI3,,-0.09071887919225877,-0.10218690860357127,,-0.11035073560592092,-0.1086719989805617,-0.10879969197876867,,-0.04578763515829609,,,,,,,-0.055314911214943904,,,-0.2650046240445009,-0.3346131679824163,0.07061852323295777,-0.18170680548688356,,-0.16832792864785934,-0.1508859754572887,
PCSK1N,0.08880969516183654,0.24028188875068482,0.17267318243699717,0.023648592162527623,0.1725803761022731,0.0709040164710074,0.0749595861973818,-0.13491134764864068,-0.16592141707404057,0.04298866482812164,-0.04057039030498715,-0.29900367809979805,0.029588115275338417,-0.1478375623559677,0.003180050132177062,-0.02307237340426262,0.022578031478985693,0.17093618848130057,0.0927484150218688,0.08106824612795753,0.12163500480603139,-0.01489021019465654,-0.13086941861424542,0.21175171971805548,0.12827886233967103,-0.04587732415029233
NTS,,,,,,,-0.04671791080527508,-0.018991785987032026,0.05842988008709245,-0.0009828682134456071,0.008635259677262148,0.02877974013601528,,,,,,,0.0012204192043300422,0.04713271230667506,,0.051190983764328596,,0.11792785719394892,,
SFRP1,0.016148256845572622,0.06963050431141495,-0.03945242104472205,0.007149832529606238,,0.04377443245982375,0.10614418567971363,0.12632405811128977,0.0589485737365419,-0.0009532532492621021,0.019744070544461364,0.09639122791162019,0.04205954773146048,0.005243036306004897,0.07095182971078208,0.01507714532073745,0.030736710068271673,0.08062079948730617,0.16194307689852286,0.10733441375110568,0.01809542938825742,0.037076106481945904,0.04771919082344525,-0.04290587209059389,0.021915161923345926,0.012128490534143492
CXCL13,,,,-0.008366212788601102,-0.018885321442114234,,0.09618184127852368,,,,,,0.026810263780983442,,,,,,-0.031207114010576093,-0.047431149448041346,,-0.06265390909403963,,,-0.02020331960312091,
MICA,0.09960558699731363,0.062000249694157766,-0.07439473184325154,-0.006532197634778958,0.12875862851794254,-0.060753825641623516,-0.0010119096334737505,0.054554897379792196,0.09071183510356343,-0.01309152240946972,0.013216353400167257,-0.004999248701781505,-0.0404654696090845,0.08842725977820537,-0.03139002303687031,0.09119505932898594,0.022865512553720296,0.010574453077257063,0.031985532581294523,0.13000701955069713,0.03199045394951214,0.014449653079070921,0.027239182831550784,0.15443551715202683,0.023652511516631967,-0.00807795776187308
TG,0.04361001365647103,0.004824704357852825,0.06472145161048275,0.03942302111696013,,-0.03804342354797807,0.05464327367734232,-0.0461512176589628,0.0972805388318794,0.049276057587851384,-0.039265712373018645,,-0.03670649894759809,0.025670285172406722,-0.023192886813704017,0.0887982872602935,-0.02903531886726996,0.09429094329269676,0.03473389911017187,0.08981342251183333,,-0.03624995530755822,,0.06787259401942788,-0.044067234825489646,
ADA,0.03872401638113581,0.049497766987101385,0.014552535909992325,0.03226370281726003,0.07389742921660805,-0.026686399140473417,0.05135512914067223,0.03708713291613181,0.22309938513544567,0.03846011772250955,-0.021420945569214447,0.1143763744578232,-0.005710055165661502,0.11127457125259854,0.13791507111552542,0.24073529533774024,-0.021688258414879414,-0.03779585846200131,0.05999153620064806,0.14577653276182131,0.1311726929922135,-0.05113511783482897,0.08896262880967061,0.15337813158702435,0.04205529817697982,-0.008447330116034543
LAMC3,0.037121515057504065,0.08588938235502465,0.02351831447010348,0.02233866394641167,0.08755390864803726,0.041437274706336034,0.037250350043146294,0.17397319944297016,0.16124131221679092,0.006508067677235033,-0.009446998644977195,0.010253513640356938,0.017418212764944145,-0.026191124879187917,-0.03904646797391587,0.1536578031468602,-0.04932869899454345,0.009602258532047431,0.06894508158794077,0.16866609686001535,0.023409235214077492,-0.11506970799065179,-0.0032977439390882704,0.11620464424902165,0.08696352301900949,-0.07584079765471814
CCL7,,,-0.11594745446037652,,,-0.04206090758431276,-0.06047951618194261,,,,,,,,,,,,-0.0021806223784295244,,,,,-0.035265578966887735,-0.15233149101666954,
NGF,,-0.05186939496854953,-0.020109729075399218,,,-0.12030477686863691,0.03020988111910336,-0.013934601910500265,,,,-0.013685781435770131,0.013635184974932591,,,,0.10729473444742957,-0.05785917949601178,0.010153887563533434,0.08547567378169013,,-0.052939734425841864,,0.028306958845076308,-0.06543832753752454,
TNFSF15,,0.058857073175742985,,,,-0.04314836357397367,-0.0206114188362856,0.035770888023708744,,,,,0.055395628800488414,,-0.02141370764860042,,0.05793160731162283,0.03755849976464333,-0.0008450965157498279,,,-0.02525569707732969,,0.04905568895017442,-0.039956669411537166,
HMGB1,-0.030929106574310708,0.16423737456147477,0.18532012034373632,0.04208959359608306,0.17682960302927797,0.11411012084241687,0.042332324100992844,0.17289541126173907,0.29640424963334094,0.12467940563640792,0.09713293812499724,0.10277020966540461,0.005826066097631547,0.09010118618021078,-0.06139139365175707,-0.05381732076024046,-0.0774921088525317,-0.034862813605410305,-0.07272962141240304,-0.064407911750578,0.044829752726396756,-0.021862891716046155,-0.02265084929675013,0.01121129341341896,0.1614636073044943,0.11594670227509445
ITGB3BP,0.04085709740232274,-0.03527574326267297,-0.01340597677357987,0.05028280874354237,0.07637032205919027,-0.026018287907402713,0.017187966549637508,0.22676664768082774,0.2581069773315013,-0.03950559023451713,-0.015942700823722046,-0.007201322389676433,-0.03845959863421417,0.20453518970735862,0.10774242326796941,0.05407859596765194,0.004375695913503708,0.09820803728730754,0.006096610029824843,-0.019866908645816753,0.053510042457503605,-0.10394393275483416,-0.035179980731450705,0.12481822949695577,-0.0056685689736054165,-0.020180625084290416
AANAT,,0.07304995919498217,-0.0035122659177030642,,,0.017579116883227986,0.011556394666600123,,0.02703764184870855,-0.01992475116751459,-0.012687260028166994,0.012609282994535507,,-0.0081928640007094,,-0.04461942797743156,,-0.01313216249722086,0.023435720776930152,0.07336161244706366,0.05056241122504161,,,0.07730591039476283,0.12008701533919494,
