,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.04429820085317237,,,,,,,,,,,,-0.03723035427032583,,,-0.009472485350150677,,
BMP1,-0.07087015480818325,-0.011282836156290466,-0.007701606329162545,-0.052880241479010354,-0.05182197213383552,-0.0660177424983476,-0.05084083352505819,-0.011145697379991909,0.2509783258354032,0.016040474214081564,0.010517117899407409,-0.005735485971828119,0.1552986303310486,0.06097146969182838,0.04430783668065339,0.10498865637088699,0.019278784591444373,0.0971638427635195,0.011305638012616467,0.014554567236840522,0.01762979170560333,0.03593899820967825,-0.018261121338657375,0.040441216294391,0.05709594457154849,-0.01372790720556086
NDP,-0.016936750542331513,0.03776895029344484,-0.06562526526791145,0.026404003873272606,-0.012517957087101982,-0.05918265259602782,0.04588988336041344,0.07610514517479375,0.053754555735691656,0.00039169760787779995,-0.03761765329754895,-0.05492855581554087,0.07536784340650743,0.011161299435487588,-0.007634435457147322,0.020967214492665167,-0.0034763246477512648,0.09501128781820808,0.056120483934187886,0.10393502150302886,0.023115139430999947,0.04675072160918014,0.0614472498603485,0.14503649605205562,0.01109704316154001,-0.06086756129548312
TNFSF18,-0.024504297189044972,-0.044438150134462985,-0.017930094774133418,0.0035635497134035876,,,,-0.017509960758011547,0.08514858666225418,-0.01331662859349677,,,,,0.05064285946726103,,0.01641980735203481,,,,-0.03839500720464274,,-0.03007854339363373,0.08830577295899769,-0.0011923059208712695,
IL36G,,,,,,,,,,,,,,-0.03232167123814235,,,,,,,,,,,,
RTN4,-0.020554750446931523,-0.052754580971616234,-0.07639262527209634,-0.02292555019338097,0.030934602247702964,0.029471923430000973,0.04187279398963447,0.03360317343811539,-0.22832222976451863,-0.03930053693020851,-0.0560774549084356,0.12538771495660614,0.009886862386161665,-0.04451923603070798,0.020818701795471507,-0.015395528833022858,0.15091419783507312,-0.1782138234022183,-0.043693370636101375,-0.1314291881659887,-0.06814365320728301,-0.03165041208733924,-0.017192455142945023,-0.03691959800891621,-0.08315524153161837,-0.05667785235545623
HEBP1,0.027738050117156958,-0.003463433628399908,0.010306084736311458,-0.06804734312492328,0.11334297400613971,-0.0024015386525502534,-0.0038546406331613115,0.09449157059682806,0.05278647538454021,0.027149639353482854,0.05971270572695632,-0.025117832483384603,0.005680749653350713,0.048579048437738144,-0.018894442935069238,0.16659351942280123,0.018271353986461923,0.030111092486992688,0.036087613952062635,0.05053248102875931,0.009166885356708714,-0.009354626387945432,-0.01520805179088297,0.1600589863644797,0.035802503976882685,-0.10003695706990849
WNT7B,-0.021587518327618186,0.001465191453815586,-0.040913132396995,-0.022339483831907495,0.052752448880615956,-0.017556397184768945,-0.08509903733957343,-0.0007026206099864322,-0.09630693479699971,-0.059716436823260194,-0.04889789054475432,,0.025377309298408816,-0.025509556281666047,-0.05617432125622101,0.053156784953499736,,0.018228825020500022,0.0391989128348027,0.07474980987702166,0.01172520800830921,0.03645196909378282,0.10269275625114871,0.07078922019535619,0.07729218413442936,-0.03929232292593295
PTMA,0.08947925742579191,0.006779872532399911,0.0026468429615825718,0.001889625964943546,-0.025873707230511217,0.00231217565585377,0.005178911481413953,-0.035902632959434896,-0.09008312522261781,-0.05588804921627649,0.10257526073988493,-0.10456130816767246,0.12163624567454345,0.016006804095742132,0.0212471260312933,-0.18027236561939358,0.005127879486585793,-0.14033473662276053,-0.11016610572735785,0.024703049282828758,-0.061886727524244886,-0.039318833317513936,-0.06744306961547701,-0.13442661994576127,-0.04302953885154212,-0.17575897393504508
FASLG,-0.021587524430354315,,,,,,,,,,,,,,,,,,,,,,,-0.031143809270274363,,
CEACAM1,0.03317887493058924,,-0.003028913750214516,-0.017144210211512124,,-0.005966095211305183,-0.030910220170472184,,0.10668194706648883,-0.006053541372197714,,,,,,0.03273585466023863,0.0764879247895662,0.03526936713180102,-0.027350773221110486,0.029650012935277872,0.039541516858364,-0.03321476131273532,,0.08005721923434352,,
PDAP1,0.04644776521325686,0.021378638986069624,0.006661220921181336,0.010669778856708377,0.050223955434059754,0.0033965842098479266,0.0051820468684322584,0.05881776534345008,0.17527286449959378,0.0008852495217894199,0.018680453225954217,0.028394559779343506,0.09971139651855025,0.0811788474349765,-0.030036945400276054,-0.007112963916080446,-0.013645116117589581,0.0455056152708633,-0.004728652099062649,-0.021745579014041665,0.03305129135040328,-0.00395792412434511,0.07311473476068459,0.00891107458199717,0.051823118722536476,0.08997757677138721
QDPR,0.017852241220188636,-0.003187991213374907,-0.014840722608869811,-0.00885518791200466,0.014486464874055771,0.01536250385026879,-0.06232950612849092,-0.013588991085313204,-0.21153662137129414,-0.010093458761847729,0.029456068672820013,-0.12165997581591902,0.05002156592788659,-0.03890501766096212,-0.036109682146991354,-0.009422287843606396,-0.037336945431544005,-0.1701002109493654,0.006154288621784903,-0.005136663630615065,-0.044486082322542135,0.054333327489951844,0.012583664279945636,0.07545477885821757,-0.014270719358129503,0.016449357699600767
POMC,0.020530196817622033,-0.018259869276587258,-0.009586068126906837,-0.03046252631402653,,0.04166236681334253,0.0022850662682707117,-0.046194808070835876,-0.04358450075965143,-0.020182267932684933,0.0014568414814718985,0.02577291067837822,0.022182130551589976,-0.010414134185072275,0.10109297028314657,0.03362346861238449,0.021911573619931173,-0.04582674413173062,0.047140187105082595,0.015894659490922343,-0.057825699254467115,-0.004757519908016044,,0.06176084062192066,0.0609682932702433,0.07226440855698038
CCL18,,0.009066664128514776,0.04628107923195356,,,,,,,,,-0.03298647681796281,0.11184892295585765,,,-0.027250941112175808,,0.009939051444829466,0.048778844133578046,0.11478271008246516,,-0.0206236296642299,,,,
