,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.0094274492179489,,,,,,,,,,,,-0.012317210629926969,,0.024663053239851063,
BMP1,0.07020901330067991,0.09450419535573029,0.24598536936979717,-0.05001615443643669,0.04189297626990464,0.012253878273771827,0.05617299418855864,0.03240592633574998,0.2222255211971047,0.04225157544866146,0.03766431517352529,-0.03812630269999414,0.1782952389847643,0.004048651995625559,0.09539381598897786,0.07146478992857472,0.13704134322189893,0.17777396276669025,0.10488782815528944,0.058280355613726,0.17300207387096173,0.11971984461009628,0.3702131905814078,0.23314722786720019
NDP,0.015549235962089158,-0.0029917177857316343,0.01134636209504569,-0.045377903622817115,-0.04804823039445107,-0.005123779317924758,0.03617559393821052,0.013165211021707734,0.052932737665247705,0.023157306305702993,-0.012255350301233982,-0.07107829571103064,0.1048114522619278,0.05189231697227051,0.10686459436711898,0.0929751857023753,0.01714922514037073,0.012705937834513832,0.021955524804784857,0.019603801735405654,0.117296982307771,-0.04077540678365685,-0.046959721640102065,0.0886828503059395
TNFSF18,0.057345634045813235,-0.031984730520532016,0.06480274379806016,0.04646142754568999,,,,0.028359745790127337,0.10407014672156768,0.009227111923827856,,,,,0.06662634642596404,,0.0946229181289128,,,,0.08842391913152178,,0.13425245168956026,-0.024891675274189312
IL36G,,,,,,,,,,,,,,0.020641852779909053,,,,,,,,,,
RTN4,-0.026131032774966503,0.1266597043756607,-0.02654194543717385,-0.034123431840050115,-0.047425845707337023,-0.011671199800702962,-0.004349228602186243,-0.043761238436528134,-0.20569342050917605,0.01139357941165623,-0.024999897693562343,-0.02454462787768972,-0.10862765020730147,0.06441679459408997,-0.04438617996938666,-0.08474607111641659,0.15878981179506302,-0.055046664051922295,-0.0963575619859353,-0.061918975172305844,-0.15657277136735231,-0.022115512719208204,-0.10508263217470373,-0.05926205807934926
HEBP1,0.011933680802000707,0.024110265513893128,0.0960692176348164,0.02019626104928027,-0.011820032437014913,-0.014523278547598,0.007265827930709192,-0.03333011129871799,0.07737868703458542,-0.007264218429955134,-0.03389359901869694,0.07349062849721504,0.02854862468415491,-0.05839780955482239,0.09220871856228531,0.06726462914421544,0.038308190758630456,-0.016832182664229277,0.07360990057792673,0.053010912317828486,-0.014592379582119478,0.033273036584461686,0.09346263286084901,0.04308463197471488
WNT7B,0.004730461347584826,0.07484879489299344,0.03258023041707924,-0.001650187200604908,-0.030606268979716106,-0.030828135936221836,0.02034597771539895,0.039770198124635094,-0.01890146275237596,0.03309722292440561,-0.023742524934806036,,0.08210691753748332,0.012740032342334402,0.03578073717350613,0.06689911290519415,,0.007063868680465327,0.02908937847689001,0.10996813876789756,0.06679356091433589,-0.045566538020569175,0.10782640005776327,-0.014915474341230474
PTMA,-0.015637581256137362,-0.020486723135521495,0.10685806938581077,-0.03234110080725324,-0.0034237895523569154,0.018473406771843816,-0.014518989418559638,0.026501227804229446,-0.10565851375998865,0.013109546801855413,0.015865807787225038,0.07369195484909073,0.2944824322076366,-0.0973225446468033,0.1884735324858029,0.006907058955933312,-0.05020489165403217,-0.12874980498956767,-0.047919891357024146,-0.08912438427452325,-0.12359564384040826,-0.01402660423817629,0.2672523786583826,0.11098397220281364
FASLG,0.018317420628700357,,,,,,,,,,,,,,,,,,,,,,0.014183304506247406,
CEACAM1,0.0066462810060339056,,0.042124172330703084,-0.03217759677428688,,-0.020324942512415442,0.016140653107823213,,0.07505931375547704,-0.04105188707517446,,,,,,-0.08216905706945575,0.06547908980589158,-0.004268484632503668,0.038433928034412354,-0.03453236993073739,0.0441516983888227,-0.009863708265576436,-0.026649597725328926,
