,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.05510443056124866,,,,,,,,,,,,-0.025475624854399376,,,0.06093858285968631,
BMP1,0.08405998160028123,0.03573713713254292,0.31967705543258645,-0.02009331391851867,0.05470155453288455,0.05912751482214894,0.11464927310187607,0.21727962711679935,0.419949903127536,0.09996781037788068,0.007161980827348965,0.02485068193859372,0.15752611327528757,-0.006781646367642314,0.18401260750921244,0.21392328881525105,0.12389171940239904,0.2613465546723984,0.08748254414405017,0.09024252316119745,0.25177730716494784,0.16990345684379382,0.009412457774134715,0.40252197929755373,0.18789271239361116
NDP,0.030445960127952445,0.07817213661293147,0.09259670741299164,0.023694732743642845,0.018203621165525805,0.010618871604497395,0.10401486443458871,0.04491034442595463,0.07364572796193647,-0.006532310818906131,0.0008541134401815979,0.021714210374524142,0.07978049006655483,0.06756633662997762,0.12834178290567097,0.1057835326066588,-0.015905751241515276,0.08138912917114512,0.035228065470019436,0.12800990973103746,0.17730870637501064,-0.09208928690132828,0.04765211528746822,0.02973613928734856,0.1585753232178887
TNFSF18,0.041896310964926534,-0.04724832104749716,0.08843483820413497,-0.026334821945275873,,,,0.0440053256636056,0.16571800583047816,0.06258295032190873,,,,,0.14482981424727515,,0.05152101707479607,,,,0.03822583985428518,,-0.03314018299682983,0.04785519715777401,0.013328194224968875
IL36G,,,,,,,,,,,,,,0.04168365751865292,,,,,,,,,,,
RTN4,-0.08860419146092814,0.07583457613381156,0.037757072667846406,-0.07277721759104448,0.05328907617830602,-0.021058698734176578,0.055053675885486736,-0.19972973970456862,-0.4723739612880782,-0.03822614484285435,-0.003927995826825454,-0.0001449159819154211,0.04986448684765134,0.04554693603198121,-0.02531875529208109,-0.05400157731798523,-0.0057726460130602016,-0.1104251487153212,-0.04584457230844628,-0.09488669943254771,-0.31002549394028517,-0.025273758978427784,-0.11620183313210712,-0.045835770867164324,0.04722342418713998
HEBP1,0.005004886188032362,-0.02702393125839266,0.09230502127566191,0.030012586225266483,-0.0040980990337859055,-0.04961227092636698,0.00502022237981845,0.06136064841323194,0.17561029602649322,-0.027111400866691455,0.0017407378181274241,0.05971047804329779,0.0681139239659747,-0.05217902825411883,0.12115946569852998,0.08065344179887315,-0.0009117344605448713,0.010709547997588347,0.08018244264944195,0.08434819526205485,0.012829977095791135,-0.015805227880640055,0.04507025728525752,0.12449731151467995,-0.057834441614751306
WNT7B,0.00926383537730929,0.1575706059594221,-0.037475847883598215,0.034179890594748914,0.001463616744467765,-0.030158667619932487,0.025617273017647903,0.007573527105508238,-0.18406059132113475,0.024848157305291302,-0.035880903492645784,,-0.01933320855552173,0.061566421765591996,0.06513632635486778,-0.0033917518576072553,,0.008268984750400053,0.009351294954129466,0.04388815435480739,0.020209856246696675,-0.0666611279131009,-0.03314014863294955,0.10149972696775277,0.05707553211861906
PTMA,-0.01755774963957198,-0.024000124461863774,0.1755330528844995,-0.012826591663345367,-0.011948248275146364,0.036954052412681036,-0.02852045531132483,0.17752182260902338,-0.2513066342766517,-0.0991526066573846,-0.03587957505042265,-0.002227696352420738,0.11210030112586719,-0.10292405997777132,0.1775850723591595,0.035422845787755966,0.008284794660327824,-0.2725240922316786,-0.04571953261342124,-0.038987021755575356,-0.2354118039428525,0.05914689990997546,0.00802478986759707,0.24633319604798026,0.04451487597090957
FASLG,-0.053877722475360795,,,,,,,,,,,,,,,,,,,,,,,0.06263666039588904,
