,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.002599997617247446,,,,,,,,,,,,0.04313012892080847,,,0.04175963134268107,,
BMP1,0.0612733206952909,-0.04886873979265626,0.13113289581988147,0.00016232489276193527,0.01549341790401364,-0.021702834122209188,0.0181458067547879,0.167123826374782,0.19932490605159642,0.023355681649934904,0.039730640993883556,0.0026873667467682966,0.12727280822870843,0.10425314327458181,0.08542394253098289,0.09599855520323268,-0.06389573394077402,0.04285170317361522,0.03538743928726151,0.02704690323790445,-0.044609860056561874,0.014685673949357854,-0.06049867079322547,0.17967216182427048,0.032881105396858894,0.0788679379514963
NDP,0.0400604576515148,0.029091920838651333,0.010862211664609756,0.0046561295133270625,0.0507218730536608,-0.047542116743221674,-0.007615613850361139,0.06367317662716411,0.08150903750187757,0.008731557689774924,0.003614308786298858,0.03418562491674869,0.06441947392872352,0.04199642215476745,0.13586425752390482,0.033582454029255644,0.0703268081247281,0.003279262771441079,0.05276326320712135,0.058187692384000046,-0.027779326346378926,0.01519199018453022,-0.019482472012973616,0.067089386819707,-0.05145285642469596,0.22977220055389158
TNFSF18,0.0518153181831603,0.021198950760833918,0.027474903752275674,0.035954097265347706,,,,0.0785171301909386,-0.0032093894015337455,-0.013222966525187905,,,,,0.11165669546664084,,-0.03660793741219063,,,,-0.030593235293350073,,-0.0017932264871180054,0.07319539987143008,-0.027792181068802983,
IL36G,,,,,,,,,,,,,,0.0153479237147294,,,,,,,,,,,,
RTN4,-0.010841284249107241,-0.01245725427962164,0.05008039342396994,-0.022537673486912577,-0.02984791685978661,0.016325402557516144,-0.043357341225953965,-0.08206324711657317,-0.2565635350407286,-0.0031799939968168408,-0.038466808019818596,-0.05551717497525984,0.018264808167630604,-0.12868546728075558,0.042979039840299986,0.021186177803594827,-0.029645362943919618,-0.07202385107589386,0.025049411932868772,-0.060483324969547544,0.06700190574458327,-0.012388555838487851,0.000994435802632484,-0.034184527466520086,0.021939931783829275,0.21288838498188453
HEBP1,0.029127525660295774,0.02005286797882694,0.039222885546544455,0.04077978960701843,0.06591283474805054,-0.002423928676955427,-0.024718485814555453,0.020012769729219695,0.10961223874238679,-0.021149423206299898,-0.003298815765386706,-0.03042691536920208,0.022112881128058138,0.008960291309624294,0.0682564313824708,0.06854509172070307,-0.03945107351657651,-0.06114075836209474,0.03256494563253037,0.06570014394614034,0.04513416442325869,0.029732894451290053,-0.02617578023115001,0.026253532549512792,-0.03419396438377956,-0.04161288511644809
WNT7B,0.03137403213324269,-0.07540001660031105,0.0031737480622893305,-0.009492919324245633,-0.02417685479716105,0.023480046530358244,-0.032286823707393525,0.04346110484294769,-0.12374125216205399,0.0191388111593976,0.004298958946733372,,0.021470176882836797,-0.027293917634221454,0.10501239292912143,0.07480646512705363,,0.17760682584503515,0.06867072427036738,-0.03002734551527555,0.06907085173299367,-0.022542932121186545,-0.019411543207987547,0.08742112042238373,0.08059507143349681,-0.012909036792778782
PTMA,0.04219550110291244,-0.005612101024906247,0.04184123285080858,0.05739799854245605,0.02382227169338094,0.05451770881798175,-0.015545077302260388,0.16282996808574993,-0.07259446784098399,-0.03368438679397705,0.06916644229068068,0.04046714901731773,0.142529028367189,0.1027203867895487,0.055569616527557236,-0.10185622390769387,0.10847472850716254,-0.18052274910063398,-0.07291615294284862,-0.029749586716578843,0.06323157058674951,-0.05433565420689876,-0.11878454751929264,0.03814204856525225,0.06600622139574543,0.11059027297880027
FASLG,-0.0045769664181896,,,,,,,,,,,,,,,,,,,,,,,-0.007036901596934534,,
