,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.07845084465477867,,,,,,,,,,,,0.044863440869254825,,,0.027015528363233312,,
BMP1,0.15346230580544423,0.020318594773171814,0.0989439304959723,-0.004195999942484932,-0.10550731896305716,0.010373616747468273,0.006452218551242781,0.03619476942391824,-0.40888572870856943,0.053151432497562594,0.022039016339303406,0.21091146162983226,-0.2082121975685315,0.16282652775909634,0.02088627184698152,-0.03407217222644385,0.08642697711307971,0.15234225282139596,-0.095830354603166,0.02420091156671866,0.09355988889038919,0.1331841668748197,0.12737402399255596,-0.1800832585468941,0.2156282565469519,0.12282048313132389
NDP,0.0811218026645231,-0.0343460087046237,-0.09787032684288631,0.03935309788124742,-0.007273364158474297,-0.001482280255606393,-0.10972685770144337,0.03751872931303245,-0.142729282401301,-0.07408576834672888,0.025972745097008858,0.03258394647244892,0.032758725985364945,0.05661878529991745,0.0762764955678676,-0.20406378141212347,-0.011604260051310189,0.10743500263167678,-0.056966709051989195,-0.03286759552330351,0.14186456966238586,-0.1250826817321501,-0.0874656764827398,-0.029453309934220462,-0.06188210909267321,-0.003684599799520433
TNFSF18,0.0070724065131514725,-0.05392548758965985,0.020514318141573385,0.05678565279025142,,,,-0.047150792215092184,-0.1081695379189948,0.033924916171112374,,,,,0.027841318830026964,,-0.028907051970594243,,,,0.03129836062232037,,-0.012030821038101167,-0.07155051421760429,0.1307414442121115,
IL36G,,,,,,,,,,,,,,0.018283361806105927,,,,,,,,,,,,
RTN4,-0.07909903264641736,0.06220271753117198,0.03777320312824851,-0.010887678270391374,0.03442027935683719,-0.04046014625134622,-0.09445543215510685,0.08308820864116959,0.6019666533740294,-0.23520726660731647,-0.09755153844151745,-0.24545994158825296,-0.06317852846785084,-0.30219782330050077,-0.05793164861978078,0.0638812035851646,-0.01308117727161051,-0.19438303765086815,0.14521713332677957,-0.01526698392617102,-0.09832092575135883,0.111412511866064,-0.019718043017415112,0.14141613730271455,-0.5497782443174165,0.00858776572944795
HEBP1,-0.021376526792293005,0.1293943001350863,0.11352823728468382,0.013389054416257248,0.08851927999722259,-0.030375979163655635,-0.02750680035388167,-0.004568279668843053,-0.17049485654385194,0.05271600095777993,0.009561694466552932,0.13128093150722828,-0.12292648496063946,0.08156683507489514,-0.021198978173242927,0.09845661390823958,-0.10734464493270797,0.00463971464930681,0.05280931680305162,0.011470774056313653,-0.02426672008608407,0.044142832736039486,0.07648189829746203,0.01668180348373223,0.09466294401935206,-0.0890979470341312
WNT7B,0.019057495578580715,-0.21878539329652175,-0.01582152716919577,0.009272215265004376,0.0803900041781393,-0.01013511365859103,-0.17311501112792393,0.014428131133092308,0.4027626165171791,0.03623641145628622,0.006838441380136172,,-0.15660894813373055,-0.07584867641572683,0.06634105381946459,0.15967616083655647,,-0.0171259562050413,0.01841394574897353,0.04013247504208722,0.010116554899823162,-0.0790815573707561,0.082206377122577,0.027343028400949987,-0.04121643799858049,0.006024570573611887
PTMA,-0.06330581262933432,0.0431424522413047,-0.2132821549786302,-0.003891745194289306,-0.31147758409307097,0.03154224903619133,0.1943505963695347,-0.03023526038450534,-0.033543914848402835,-0.09795587109508913,0.049335391567478404,0.3143940578807563,-0.046625942024173306,0.26595496732414653,-0.024985674749921343,-0.13269148366682956,-0.03048764434408582,-0.22676962172774878,-0.1395317943816437,-0.01819734172310154,-0.07285009965554552,0.01675850337044357,0.13796900339809948,-0.20166701666843043,0.22868332958185544,-0.018966447291197078
FASLG,-0.015966116737670778,,,,,,,,,,,,,,,,,,,,,,,0.03250941158474023,,
CEACAM1,-0.03137409717994292,,0.013195898600896577,-0.019585834758690298,,0.03238710582911018,0.030435729513406826,,-0.1086205703449608,0.01912783185125032,,,,,,0.021696704481707123,0.005926518421252891,0.010353480630653318,0.08470030828060895,-0.01167047309927503,0.010158501176657269,-0.05715202954036153,,0.00959919865538472,,
PDAP1,0.08628421562624458,0.07863866046111198,-0.074855501257219,-0.007173087937954344,-0.007236785424001696,-0.039738123865634335,0.08647376504563782,0.03605423860383962,-0.32402971929639285,-0.007622637506782156,0.005214766351038071,0.043872786821473796,0.11162357572250839,0.08982373820782731,0.12229090485153037,-0.05499294348088927,-0.08748447015994407,-0.007701737088919499,-0.04905212666016798,-0.056775846394365094,-0.05441242276929288,-0.0059992893403656355,0.0029391075619458677,0.05119913543187364,0.02436038550807215,0.017267379001002125
QDPR,-0.1365941083084134,-0.1377153761781504,-0.17084497273142016,-0.03830387318754119,-0.08645225731731031,0.0003282441159644609,-0.23955428778847154,-0.03842589593314429,0.08953018349135973,-0.1355794228523471,0.039952090970806306,0.03318412275281075,-0.04346464907275503,-0.08625029148444376,0.10747369262310623,0.18452302741341906,0.017956685543503312,-0.2833490563978823,-0.00014573595811980948,0.022324987890666375,-0.11456991964826475,-0.06955379068904165,-0.0018138163783783087,0.11597767587879597,-0.43819971946547936,-0.01472405177086157
POMC,0.026696468684671237,-0.08300240641961519,0.034585597757908,0.02406273147865198,,0.004517885774287554,-0.08494042487876499,-0.01134434017207382,0.047874777468436346,0.020004130982271686,-0.038438686655368585,0.05782650891445546,0.03737163484125542,-0.022937121168276738,0.07090559673783921,0.08603321825593592,0.060672540282901186,0.006531405993518218,-0.018990767875074175,0.018049044177861812,0.028479032983000346,-0.0005040320469098155,,-0.0018020650771545636,-0.02778885742286615,0.030699822354568453
CCL18,,0.03270754924578413,0.0666305469073934,,,,,,,,,0.18109497170860728,0.05468760298895677,,,-0.09691426944448994,,0.09902105804525015,-0.001044411819918278,0.06310718882722798,,-0.04587106531754435,,,,
CCL17,,,,,,-0.004069906280166471,,,,0.00707513962657194,0.027156116097700522,,,-0.029320041732476414,,,,,-0.03803512646262924,-0.048324754105308426,0.04051740591481196,,,0.07373927409618186,,
VEGFD,,0.0030964088352654867,0.08908742117338271,0.05681868745492829,,0.058148422521426615,0.007496117647718891,,-0.11570241113289914,-0.00039106339891331046,-0.03498355565106294,-0.029703100454147535,0.08338778874939048,-0.001460622902032758,,0.1270605553616774,0.064951997990834,,,-0.014050964378937134,-0.042823385256836155,,,,,
TNFSF13,,,-0.00038157525882415237,,,0.027778444004895746,,0.05378516384861697,,,,,,,,,,,-0.027676013667735793,0.009436408694071039,0.041721808585064434,-0.01428291270487019,,0.03596619195337469,-0.021327211730804502,
WNT5A,0.016768176462070423,0.012109182194518356,0.10720383197852824,-0.003380168302034812,-0.12725437773090534,0.07666715306143859,-0.20674009871609308,-0.0012451363051698197,-0.38669309181842093,-0.017595629035956586,0.03012128285836412,0.0236541197603803,0.058011065647888854,0.05876418344390922,0.08454998958132173,0.023626132021281655,-0.1724118577274916,0.1257268788634857,0.08294208417357907,-0.013271704174001605,0.02162799517659349,0.1207914187549792,0.12551821941027994,0.003222117726160073,0.2569957189465655,-0.044025150070208435
CXCL8,,0.3931074597004288,0.3282633104051491,-0.04923310322245712,0.23831648023705138,0.09850603199579987,0.414311968305755,0.040522413471500346,-0.10893575763002741,0.33246675094319006,0.0024419317938157853,0.3105772273137794,0.10792952864561255,0.27588980235859406,,0.27982771863110517,0.14697474252078133,0.2705195677683077,0.08775841577003382,0.021730954428257777,0.024357751376569665,0.08714892508727907,0.0558063418340381,0.07121192374442899,0.28622122314574594,0.1712881430760564
GRN,-0.16742565661712275,0.14925634433477872,0.15372076095037498,0.03708821070165672,-0.14732596054784292,-0.0206661735414686,0.03461706763941271,-0.05430017834774404,-0.5125670152665115,-0.060712468064522525,0.06043024533037818,0.26256377951255017,0.07542900263713997,-0.03845438654297483,0.04894324831343083,0.058971028692412435,0.008285398887181512,0.05015367623357342,-0.028233978719194752,0.0635445244352849,0.07610083454020303,0.004261990477156076,-0.02546651728129928,-0.14213075500611896,-0.1842356902735521,-0.047389294768365266
MIA,-0.01761787549358482,-0.09155682238257995,0.026220378076444752,-0.020278545256695972,0.08877491865590305,0.01942343481956626,0.1276945801743863,0.015544738857948567,-0.14672483894531557,0.07490145428767489,0.006745163444040824,,0.09553342341112746,0.08124403994764284,0.09977472997697727,0.09722152362758446,0.0013915226666581363,0.07646020114552145,-0.04017757248146636,0.020343893900760898,0.17415500196236933,0.115255119816467,,-0.028035742578524946,0.17905165032003711,
COL4A4,0.05491413744177404,-0.05500041179361921,-0.04653141828941231,0.012654476526118437,0.0339946082668107,0.011469369928861842,-0.13873576611964328,0.019718931269069866,-0.04167599721112152,-0.03128845550830806,-0.059583487187728726,,,0.08828083816328947,,,0.038563663473059485,0.12973797296617182,0.004223439593884487,-0.007485875035698348,-0.0643223401102546,-0.04961492262853284,,0.013213538202629648,0.13584632313531073,
TAC1,0.06604245097566404,-0.19697692069058384,-0.02085576640502716,0.0013027876053619764,-0.1180825740770681,0.06895796216113138,-0.195929036034981,0.1035365618890681,0.5958303889314618,-0.303189547444143,-0.01872931463062689,-0.11802592632696554,,-0.20453768111491216,,,,,,,,-0.08304328561402043,-0.10370781303105227,0.03896531535465779,-0.3600539990468159,0.08500917621347479
RARRES2,0.13419850096275318,-0.16851915170130322,-0.05763334030829002,0.0059571190710933555,0.11052802402468706,0.09477980908441135,0.32414846538141806,-0.0176300152586144,-0.48963533611574006,-0.14197863219567433,0.006460794323256059,0.20007377094114767,0.30578761284715467,0.18951412198795226,0.033290365984786484,0.1687933782522313,0.11440226673442372,0.08760539129195508,0.05563054237279373,0.011678633652502747,0.007688025787685697,0.020181152157848974,-0.06483635193810515,0.18168571527636312,0.21613239983459678,0.019892978042772083
