,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.02199684325444033,,,,,,,,,,,,0.04697193501875437,,,0.050971367935864056,,
BMP1,0.05472038545366674,0.09502275091776463,-0.030536585239495012,-0.027447553269430842,0.11777753358287289,0.004272504337041049,0.04169841389458436,-0.04081298425435724,0.05200959998621565,0.020628711589552637,-0.03368672319669978,-0.0800988924202252,0.0894094951757226,-0.020101485504502074,0.003457280360573172,0.0921257670478914,0.06648378751256441,0.09420187280261004,0.043848923446555964,-0.03213851339445343,0.05270593531877877,-0.042304025252653754,0.0641376039811055,0.13125480686219845,0.15729759910501054,-0.025017423688260668
NDP,0.06865963310010648,0.12744771585724923,-0.0004369593092057574,0.04729636651788233,0.04824414522333542,0.024496865254291844,-0.05228936565613321,0.03704129835561309,0.049415322831392265,0.04977477732263081,0.030404276707907678,-0.05540736493900519,0.05184646884806182,0.06716967887207935,0.06138959363843618,-0.017909678394848808,-0.07140738663068993,-0.05269681486569681,0.06831720858522053,0.18590668252125103,-0.04618481353569568,0.04198754550821574,0.03773868593758797,0.15086772815332672,0.0906946854702115,-0.04516478657158407
TNFSF18,0.02420865795912815,0.031986335507351187,-0.005375973224202463,0.022989737559354396,,,,-0.014026379447356414,-0.013717516877588931,-0.0038651269353127764,,,,,0.08884028495948981,,0.00812147426011514,,,,-0.011697388776781713,,0.006973662174937217,0.06529989031149373,0.04780916671960347,
IL36G,,,,,,,,,,,,,,-0.011289106965912449,,,,,,,,,,,,
RTN4,-0.11038299156979083,-0.0968057462087651,0.013092724843066594,0.012924671687197157,-0.05400350689124138,-0.03196921339474445,-0.04115859983856159,0.05579443397531826,-0.07604515069954024,0.038198045622140436,0.04548045772216276,0.22947843043479405,-0.07065592343974461,0.15659593771890165,-0.07463612421629984,0.10880279783929676,0.05955432455093211,-0.09316688238894613,0.002456506793460359,-0.1026923269105394,-0.0462476484672814,-0.019754369206237295,-0.03132736207242407,-0.010480415127070783,-0.13523026803956223,0.024640088291505942
HEBP1,-0.08353996314061636,0.03579657465948532,-0.02548711948541232,0.04232924824542057,0.0709382761570963,0.001195520081388809,0.016470056923592814,0.013252491862028929,-0.015567965580430904,0.009776436686358126,-0.06114128337460198,-0.04687953819883177,-0.007078133026723773,0.016073122964404354,0.08019261397190364,0.03795124997008687,0.03206735929810368,0.07136686099742838,0.10727456107203381,0.09745669172515603,0.0861729122665867,-0.007965285429999244,0.07019883770021546,0.12193251944059993,0.1492365858100885,0.012128819730075192
WNT7B,0.0213956164634638,0.07067383493296363,-0.017637435312678796,0.020162115336136127,0.02888145827515591,0.020471383922438028,0.04723338438746242,0.009666840083603752,-0.021119309388714886,-0.04339657051360979,0.018908768235239654,,0.06012755973224904,0.05520332488233556,0.036364909028910965,0.09696471230884096,,-0.016560835570109768,0.07918884287674104,0.017820674258687882,0.04188071212732958,0.015311865006356186,0.04472478637151806,0.015842070174521244,0.11768316480940727,0.05480804211701451
PTMA,-0.047059319242571084,-0.05911226598452393,0.004811003519456748,0.05487065614038308,0.10452955473191038,0.04860965990692602,-0.019483619203159514,0.008938029197661103,0.04347704152714027,-0.03890655437560219,-0.004718130448896782,-0.22236973029730595,0.12594165060735993,-0.014791545568649925,-0.08076567931559392,-0.1447888869167074,-0.020920114424995206,-0.07704221703382312,-0.05034939441649155,-0.07184844504321726,0.009560276413184403,-0.01227550406162345,0.04254836701012138,-0.024480386598649578,-0.07876485796726847,-0.07409585971200319
FASLG,-0.013894933378418529,,,,,,,,,,,,,,,,,,,,,,,0.07571340050858377,,
CEACAM1,0.001028331555929602,,0.05973903794310887,0.007586597477086714,,-0.014426064859634461,0.04280706820480356,,-0.019184548134312373,-0.006806277265278842,,,,,,0.05540192937822892,0.002807073483999931,0.10047756748871166,0.03036904224875092,0.07337991050922726,-0.010932479854783145,0.009589032953292562,,0.06452657810653233,,
PDAP1,0.0429925562968205,-0.007615461235131135,0.0747229988090699,0.04477833684814582,0.031122827493398765,-0.002317192740323602,0.015528718595045687,0.014455174273890198,0.05637559004448706,-0.022672513652681883,-0.013826420402895546,0.07077083197852005,0.08128730922101576,-0.09021845998603703,0.01860672333601469,-0.02848357357338613,0.07949198504580281,0.0023886699978485967,-0.07999266854643042,-0.08583817143088568,0.04551655878754688,-0.036548442406399276,0.0873367090643423,0.07611641379321504,0.02794771892417572,0.0323292143779524
QDPR,-0.13640707307106692,0.06901452683534436,0.03047922182465912,-0.020382223778653615,0.05314585652168517,0.09529652016610742,0.0018571322592759209,0.0358467728885423,-0.03492734013262364,0.0008977423154456125,0.014852811686414929,-0.14753312906155583,0.07038760868334999,0.06903872461747723,-0.01394148068043076,0.038562924782493534,0.04267878926056176,-0.2153582854242319,0.11010843343082412,0.06411144166002486,0.02517418641209912,0.052724805957697025,0.07638675840114321,0.12183779418649344,-0.029844668764406068,0.01702228622998045
POMC,0.09602125271108766,0.05500906703410541,-0.037263326294438875,0.015732500941259046,,0.033524775593213846,-0.029805122926683743,-0.052597818464263056,0.07348745208978866,0.03485150541273267,0.004307444531933439,-0.0037669386501558762,-0.04600368900139562,0.04746535112710447,0.10248803869113014,0.0514441975094995,0.053938916328118286,0.028931710145706693,0.046023051751595094,0.11501605267347177,0.05721216610936061,-0.0028569751782080016,,0.09561077074295307,0.0035922276490610427,-0.03920684090375344
CCL18,,-0.02127322133624499,-0.04332821647554038,,,,,,,,,-0.0763283314214442,0.1183810619428413,,,0.03311033481196744,,0.16641816136111942,-0.005584874802049753,0.012459002597336654,,-0.027342245261561118,,,,
CCL17,,,,,,-0.008225869535567379,,,,0.028517119027519758,-0.06462362951886093,,,-0.04098718944250768,,,,,0.0799774072553459,-0.008650665363143201,-0.015918115080938836,,,0.04747894991868648,,
VEGFD,,-0.05063184093818623,-0.02986574421339781,0.007298511679264856,,0.022282225321812395,0.0166439837865313,,0.05131581007265622,-0.011140649039075246,0.004445978203164867,-0.013908417294898428,0.04319066163564676,0.040252586962597564,,-0.024072078065472444,-0.12959538815733573,,,0.034885778668144456,0.051579332500828946,,,,,
TNFSF13,,,0.016253084704720554,,,-0.006007880548553323,,0.05625063824108999,,,,,,,,,,,0.04238373976684906,0.14598857610394422,0.010069998789996704,-0.02492227183719103,,0.0611557357883731,0.030927846269482046,
WNT5A,0.0705673510241188,-0.008816036964144403,-0.06552358732272923,0.059387807095880624,0.08083494468659248,0.05581002599412586,0.11862427500377137,-0.0069356793204428495,0.018390838527053047,-0.041434594704268655,-0.03198803208516277,0.041625876298823625,0.019462766525060328,0.04857451795371599,0.015730233642201365,0.04684413338821228,0.016837429005264613,0.0774975546821719,0.0525795797609098,0.05319827882375051,-0.0035069225765091494,0.02946845229886763,0.09226701063107769,0.08399855946196609,0.043260220246931776,0.029004616605774247
CXCL8,,-0.132344261924289,-0.05891389799660963,0.029376126340350726,-0.07020519493291004,0.03862392631793473,-0.07535250368026646,0.02077653645653832,0.06637766557040552,0.024351058954552675,0.044306839574075836,-0.04700976395509325,-0.04931983864091875,0.01039647593065276,,-0.032764197027661326,0.06197302114171799,0.010482540877159366,-0.09296981847152283,-0.2030641279953159,-0.0026460791852003763,-0.12633159864578056,-0.07344079492262826,0.018727724407495757,-0.01800254736293082,0.05118139724014602
GRN,-0.140609546843425,0.015107873568189515,-0.079279797774674,0.0016106209276087642,0.06581648393654144,-0.03932489391609741,0.009559804662440632,-0.004940567037576096,0.056096383174835174,0.06511986393587789,0.005488580647078928,-0.1356190744366583,0.05034475303737082,0.05038644272948294,0.07061833839511908,0.008680403883761694,0.12398971813664679,0.13488450372684263,0.022454890738633226,0.04531115181148192,0.017850014691328575,0.02226309069817229,0.11552788228601432,-0.03265741890955091,-0.05244877698487284,-0.03749590191860158
MIA,0.024869094768775746,0.1147065220970488,-0.015395325658665696,0.007541974794749544,0.010689394849466283,-0.005574302783981861,0.04880137019611551,-0.019457760947351944,0.039297402481186294,0.035780796956930844,-0.03250651403813461,,-0.028812342072943357,-0.029220258326693376,0.07741023453982408,0.021770618261153188,0.018454044296324686,0.016300096858295855,0.22036796795424196,0.2327518762952591,-0.05869109543457193,0.06956136940822659,,0.16585941120085404,0.06769012020306321,
COL4A4,0.012341993228316219,0.04941051591607439,-0.02880394071880734,-0.050121746740368955,0.009350929559479462,-0.0036794564001126104,0.041794927294873344,0.04224220217122214,-0.02161728163668666,0.030839806989248923,0.048044597519041644,,,-0.001608510466825024,,,-0.06768915531780512,0.08149114861871684,0.044400146326311035,0.06930306028616168,-0.02625783020842116,0.031007695836988765,,-0.009021143915006248,0.011856765865476583,
TAC1,0.03774595746154369,0.09124856072198737,0.05257094931610287,0.03991263461632421,0.05485039369898686,0.07700957176887682,-0.05046573635400193,0.08950239025487766,-0.06794455459291203,0.03370509531723904,-0.01533279926848097,0.16245729252187488,,0.11294301968788924,,,,,,,,-0.05647489587230951,0.036453786469190216,-0.00519978546956994,-0.018997152119578885,0.0933601203405237
RARRES2,0.12336076242634132,0.04123127312514824,0.03475980811368655,0.0005252589678498654,0.051033323493059495,0.07296831053139766,-0.009037463397604431,-0.020782544456487154,0.05478647422035447,-0.018992942715498888,0.017597001708839235,0.017772624514285695,-0.07469960890399016,0.00810267725961942,0.04200615149110814,0.07394529110117848,-0.07216232853159994,0.012264619949460074,-0.02294048790772685,-0.025654544337612974,0.11772778320970544,0.0013701915417660253,0.08813716588737508,0.11630320102639836,-0.033935534954588176,0.07940122241689301
FGF7,0.05692254849079874,0.020267315107305155,,0.03093832118382551,-0.06447199653674184,-0.009874894720403923,-0.0034348266342645512,0.048681273598270486,0.03643052520982541,-0.027311760582664105,0.04914223889175612,0.040473596014257054,0.007569456950200008,0.05358952473693962,0.022916212212205283,0.05659366122700013,0.07034672202156443,0.05481911115112136,0.061552316904575285,0.06740981678730434,0.015214256244317987,0.018767322998046825,0.08409595220064675,0.1348593181915354,0.05272468050476535,-0.012569622296419338
EFNA2,,,,,,,,,,,,,,,,,,,,-0.009787854465430507,,,,,,
HBEGF,0.009096083361680348,0.05050907366441951,-0.0947961448266446,-0.011638309296676278,0.029514285329912543,0.0031106033565572017,-0.03170604483179103,0.023833175807844505,-0.07708455081253139,-0.010644640288465446,-0.02214632129470256,-0.09895647494406506,0.07727005468310977,0.030519565238238903,0.0805397495614216,0.1831344429341591,0.02492663327838232,0.04832940992141901,0.11778528694065883,0.04572519457190594,0.0818654766603211,0.04511730204418445,0.019015626171499073,-0.04335921088879934,0.14092729492583636,0.07925942836778666
CSF3,,-0.09551481471696019,,,-0.07554614757653808,0.021395669847447816,-0.06415557983567251,,-0.053923546560615467,,,,-0.044909196560945004,,,,,,-0.04151244055378341,-0.09603713104419197,,-0.07263749702467129,0.02572808295886445,0.05086109857619538,0.02532066231639121,
PI3,,-0.07405641445944876,-0.03068315663583784,,-0.09483897307906215,0.04977122845530559,-0.00048110329046845157,,-0.015517124009578873,,,,,,,0.07600948979507928,,,-0.14242948205657616,-0.2327381264981462,0.056542375221279556,0.018424812436044054,,-0.05204312724694407,-0.009318325715769096,
