,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.044868992212509895,,,,,,,,,,,,0.08602644120735606,,,0.025418148013762187,,
BMP1,-0.21689810842575374,0.23624323607823253,0.2665740889076717,-0.08344583064726376,0.18688424274374923,0.13630819689024895,0.22552408948750885,0.022947281016234406,0.24912649343866436,-0.16933829813407614,0.026689627906330365,0.1525014815917381,-0.0663150299834137,-0.07076802244156344,-0.19940435766126183,0.2869265777728024,0.04251928832350105,0.1455925613951803,0.20849863967532403,0.09098000522927555,-0.2786694014958905,0.03984466429336639,0.20149493872917287,-0.11170320862397705,-0.05076534582651649,0.12201905803878349
NDP,-0.0256102580517928,0.5032223305020374,0.18536568109005486,-0.019817336845407756,0.13666245284605497,0.18004800028353635,-0.14075433705823967,-0.061466201888168426,0.07169579541564289,0.11771482589346456,0.11315813311643023,0.19276313663662328,-0.05451855804599926,0.05154356273570607,-0.2847218999024889,0.3218790922730887,0.22173535265237976,0.07409524200849159,0.036611772079266754,0.07768069490986756,-0.1502716227800511,0.17112039435832757,0.18093365577840173,0.3371004636151219,0.2795450571542464,0.1792146543845042
TNFSF18,0.06249746622885023,0.06104618303810582,0.04920388045633565,0.005994947348666906,,,,0.0267672118448625,0.031557097878301923,-0.04552263205188657,,,,,-0.20998628127892927,,0.13212668143273268,,,,-0.09900598593608803,,-0.0015658539798694786,-0.01861008674367047,-0.06531310211864165,
IL36G,,,,,,,,,,,,,,-0.019591790628909336,,,,,,,,,,,,
RTN4,0.36024796805436243,-0.07252358772054396,0.0678561655729932,0.14337959082974283,0.27215623220982665,-0.049417166266865174,-0.1355259327940437,-0.31914894393696125,-0.32050979033053273,0.22681544134350354,-0.17733998501512255,-0.38561912896515865,0.003771143162409808,0.2584447197957336,0.23186204449154263,-0.12258975568194162,0.1283392578008666,-0.029603498489371025,0.05446905308805861,-0.015166160648846893,0.3309059488996986,-0.2902297477806296,-0.26234017385037484,-0.13254922995981314,0.3388158045406033,0.08602720080444243
HEBP1,0.039600158367711906,0.05879733015647277,0.15496825935982605,-0.0036155256315099664,-0.10433992066210618,-0.01880317743811865,0.02825622374774737,0.1016021639514535,0.16582818866571916,0.13514517486703467,0.034026025487661433,0.2539919761076076,0.030944186435183717,-0.05674159347537895,-0.08762349643713757,-0.088451041406096,0.014182926086680389,0.05896656543414986,-0.05518379300525603,0.03838341970682808,0.016287699553196554,-0.08838819815755393,0.10506077946017965,0.05025070502637535,-0.08103057727384544,0.19356223189725624
WNT7B,0.02912979958670764,-0.008160192707659606,-0.04176996878554172,-0.04336546766178909,0.06383486806235326,-0.12852358056186564,-0.11021166795391743,-0.1026842269443705,-0.3291144193078754,-0.11632008115637343,-0.09894297264553788,,-0.0041000780437237885,0.03036389981421215,-0.1314559313731495,-0.17728126962305885,,0.0832439635165393,-0.06980896804479733,-0.04237356364870732,-0.0800669950729705,0.00643465937230895,-0.0037542398866534646,-0.18526767450996737,-0.011154663863780789,-0.07995063571439105
PTMA,0.1592348115787613,-0.5456527304455328,0.1711256768103708,-0.2697606245877267,0.19330868920796476,-0.12009879102291429,0.11427903808502118,0.17639692534855786,0.15033486147676306,0.1363088544980684,-0.02969397785221606,0.5318938046354644,-0.03336599367044672,-0.25391410861942443,0.1293167671441232,-0.08145783679687872,-0.2914398299299648,-0.22198448321845185,-0.1842801533062739,-0.2165808162188767,0.3260622071505607,-0.14040266594024664,0.05284363826450236,-0.37367159195681937,-0.3700600961222163,0.4681119516057727
FASLG,0.03286060202036224,,,,,,,,,,,,,,,,,,,,,,,-0.025644029194006143,,
