,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.06097029352192929,,,,,,,,,,,,-0.028944132326770507,,,-0.024915130079082578,
BMP1,0.05760389293336688,0.07648107175457905,0.04180014448667994,-0.02783397876265488,0.05720919426189445,0.010849409620592365,0.08382693582255883,0.062106895268862136,0.38070537942372645,0.06816713857845896,0.015132307432114796,0.03889203963707886,0.16042927924084802,-0.008772981606392827,-0.01907849472690042,-0.019103965341644016,0.044459402569193215,0.13352811617092322,-0.0009316954996771539,-0.052254844979682996,0.04197049801694924,0.07536620921104925,-0.03361712364281471,0.09005781140312825,0.13196578382052182
NDP,0.05962587607133869,0.09857565532462827,0.019411285292534816,0.03157275805467821,0.022861031275914608,0.06269156949090973,-0.04866993860388922,0.04254901535992023,0.06940654321495472,-0.0014975497073350878,-0.032586756836557124,-0.038534139565726475,0.12365054548468725,-0.0103712397574959,0.07033601987159281,0.19884732761367124,-0.07970357704330329,0.11254405675642139,0.009147774146466574,0.12267629920623928,-0.014833325649431631,-0.028028750798954602,0.046115109869099814,0.0851026303641093,0.005983168830301889
TNFSF18,0.09107696424737374,0.004347986732737516,-0.01050404168048718,-0.01081154913346225,,,,0.06745020457218198,0.08155362953472302,0.07276102291298342,,,,,-0.06956940836179182,,-0.03884333111799068,,,,-0.042373646171894076,,-0.008268487407381989,0.09259615163083759,0.02782583959453541
IL36G,,,,,,,,,,,,,,-0.025260743578127832,,,,,,,,,,,
RTN4,-0.020728065099220587,-0.08635231934717497,-0.05220731462005545,-0.07230422573459941,0.03143591790021124,0.0452449513113463,-0.01691707878374056,-0.024067984088056285,-0.4066605361421353,0.014213890444408565,0.005132928823779245,-0.09253210202078656,-0.07023007656578235,0.001812412785985074,0.02101206510806744,-0.027405170441993504,-0.030454303783082455,0.025348073814362382,-0.06610405176301383,-0.08684355233597595,-0.011194176218541099,0.008053017753980152,-0.04482514739627214,-0.002807136786640913,-0.11981945727798492
HEBP1,-0.00790476459831187,-0.02358191172567716,-0.021312940830305906,-0.002888927389863615,0.006017074929648082,0.018862843071674122,0.036200721501404305,0.0787495362874963,0.188532338198386,0.016463658546897058,0.031231431021649297,0.07532869900150814,0.00038960007836168626,-0.026308310620011186,0.05850927447654768,0.053082447168829434,0.058381377129788886,0.01388502300133715,-0.017211165237852526,0.09999650894067894,0.008502522113745166,0.028186928280074963,-0.05244086219050317,0.07056520181668852,0.06458792451442572
WNT7B,0.04278811030844906,-0.08033266437081514,0.008651725627166294,0.04752997566632499,0.008617904660626109,-0.027274037620737015,0.04424902853787684,0.039001718899943444,-0.1618451786577204,-0.022020386938637573,0.0037163581233394644,,-0.003584513143093725,-0.027764468275804467,0.17441871562171268,-0.04419130958327795,,-0.0560489830801336,0.045654444492612654,0.073899331403182,0.0025809595786005883,0.028598728822915403,-0.03642670928585295,0.056088256098269576,0.05244052072364897
PTMA,0.013785326912315142,-0.07418264203623895,0.0014345319572891678,0.03387321856283589,-0.007436400461583277,0.028113850088858895,0.007925877551268947,0.12006263834251361,-0.17364056107579603,-0.01688472990003089,-0.0370074958919686,0.1020386226011397,0.17049731254205064,-0.03803001904637268,0.001902741777478563,-0.17092323766432918,0.04550843527175791,-0.11158933698197153,-0.038961291139629955,-0.055125140835203895,-0.005667637937909391,0.06287683802918904,-0.08126835867250336,0.005761878866173863,0.003873190948720265
FASLG,-0.0021613340804839806,,,,,,,,,,,,,,,,,,,,,,,0.06449939994334525,
CEACAM1,0.046594793639204365,,-0.03898284384183679,-0.030288106071936105,,0.011187215069325176,0.0474912561859259,,0.09261106124320252,-0.02548380323358665,,,,,,0.031452662876562426,0.033388627792654495,0.013245008109662223,0.012660716370136781,0.08068579814093181,-0.025326382918270864,0.019555419449314687,,0.07052059883281181,
PDAP1,0.022557279719293985,0.004788662599438639,-0.00032254500995009753,0.02437386408983891,-0.006267293874621822,0.02762784782156474,-0.049505395753031305,0.08198963696919954,0.3161282271604243,-0.0335166717180431,0.00018170970900712724,-0.02197580875384197,0.14761556370311477,0.009469963421611244,0.0631155735447889,-0.13660966910924877,0.05786213876248496,0.008754638099622312,-0.07108860692162842,-0.025839781282893326,-0.05246234420874735,0.03860586834771536,0.029575695136064353,0.009564590743290599,-0.016400866627780838
QDPR,-0.0771337042898399,0.023493841859364952,0.03174003215750879,0.03830100712374616,0.03793165379881446,0.053676243663321674,0.04236311703692487,-0.023273944552005463,-0.36714838683730244,-0.0768662462295472,0.00923088267188172,0.11853459538089631,0.09580472444455654,-0.012974971946026988,0.015288601961200018,0.010142960691748226,-0.05703275980845224,-0.14745652364376222,0.07379837238644918,0.10378169288141575,-0.067735822067177,-0.0032061285962555544,-0.010066658363940134,0.02451222897669777,-0.0397540639444406
POMC,-0.01282780760837552,0.08809439876293393,-0.02986409353264356,0.07796864591876956,,-0.007990935030843882,0.008408238478681686,0.05393190771960343,-0.014261762131642725,0.03604496168041295,-0.0026537640356904145,-0.013828087265334403,-0.013206556225461479,-0.028001094572057194,0.016344615389733107,-0.05171170487524681,0.0777629221918058,-0.05036751811663585,0.05311055400056498,0.12475070041960118,0.08265671680154776,-0.023539576615464314,,0.13426193996080527,-0.019774114970525766
CCL18,,-0.033167969149187564,-0.02494890375758227,,,,,,,,,0.07791365618888237,0.1091359034880161,,,5.9595949629792134e-05,,-0.048492840236585254,0.025341096312557213,-0.023962546023796567,,-0.014946108273648317,,,
CCL17,,,,,,0.023753767530288655,,,,-0.003809179009297157,-0.024444509105151554,,,-0.023076406410886804,,,,,-0.0387319409085666,-0.03595816530944789,-0.027669599574376313,,,0.0642372991362478,
VEGFD,,-0.05779765871877808,-0.0010611841787317292,0.035171601655880534,,0.04627165110661424,0.010642047261647017,,0.047674126345727354,0.024209676596923146,-0.018573569372316547,-0.0482672665789143,0.12877225216416888,-0.024731699503854367,,0.02880751791800909,-0.024280163135977167,,,0.012240709462412534,-0.010448792620998916,,,,
TNFSF13,,,-0.01894303362781895,,,0.0018622516145240867,,0.029476589502245038,,,,,,,,,,,-0.02898630463305168,0.11856347997572038,-0.049748797249112964,0.08666799525662687,,0.012048768818466013,0.09861927565253044
WNT5A,0.06964359706628868,-0.021427576262218844,-0.04598317530645294,-0.0004220890756787123,0.07177545093799795,0.025670821485042763,0.08740557309893045,0.08430199572745346,0.2800619368613652,0.005406802858066372,0.02724620549285293,-0.07047129064614532,0.04235506770923227,0.038219343976338235,0.048429736852946215,-0.03187942328264509,-0.07626776893372084,0.08300670447377621,0.029377663626916926,0.029259285755070658,0.06792017264281677,0.06470793365024356,-0.0673928034552353,0.06893045185449215,0.061847344769192694
CXCL8,,-0.024521956547249382,-0.01709914412601556,0.013451375094697536,-0.073585511280938,0.010251081477570537,-0.019300310098926476,-0.028035309026262268,0.12691758204106518,0.03547642124681543,-0.02696896969667472,0.01724602580009532,0.0019180211955307721,-0.008624097290172378,,0.043665288429296546,-0.02839030888897666,-0.06830276286907733,-0.034186936830253825,-0.26494355253968926,0.0017283213709759588,-0.05687192710313763,0.10734474156727897,0.03150728081859247,0.05979165889720017
GRN,-0.0819369889878794,0.04736188539562418,0.0215228641071011,-0.026400903127870738,0.05862404188379001,-0.04536794013416844,0.016289187525704824,0.016120619546852732,0.3349305380774759,-0.04447664597244577,0.016259794202638695,0.0629255757247427,0.0674509584344894,-0.02328786284888582,0.006531374339552373,-0.11099981425025335,0.03443047060971566,0.06989495345504171,0.005365008428968765,-0.017711911193468422,0.026425757594295458,0.05918511215005072,0.07144315894492102,0.035319157914569695,0.03651713341730048
MIA,0.07430723503649905,-0.031252552383452946,-0.024159157584831663,-0.03858059260402866,-0.01196413795866531,-0.05492691336884974,0.01587577542337513,0.020345604326116047,0.17330688335911804,-0.0075126770398792194,0.03673602630065105,,-0.02139986272938045,0.04266822371226899,0.07893936517673064,-0.0690749382742141,0.004444551901099989,0.015452760005475838,0.1620749450381032,0.24257274978169405,-0.052197382236527284,0.07475371386563415,,0.13220774270114596,0.09808473127424357
COL4A4,0.104669413464686,0.07608698769813257,-0.0116677831748115,-0.019921297459072104,-0.02676930262154641,0.0811552245784101,0.0406061602140402,0.0908277591200252,-0.046598341303130605,-0.036918116482588484,0.04021918158511652,,,-0.0228132508110887,,,0.06457411841577079,0.07288674185530801,0.06510129362085171,0.06753895698136765,-0.05757389017646588,0.0606781139222289,,0.024581649807317436,0.028870645879123982
TAC1,-0.004259500885050664,-0.057768607812757236,0.003461798266723913,-0.014794103553053089,0.049445875269683436,0.027099185863047,-0.04918576093227402,-0.05376979747824329,-0.27803349870036653,-0.05156730277841075,-0.04339467476196123,-0.032588551143658204,,0.0005526470823999954,,,,,,,,-0.046458595804923744,-0.005654218726079081,-0.011130561963001741,-0.04088173316904924
RARRES2,0.13771055478370575,0.025578430180086313,-0.032287901020084706,-0.013945428720189047,-0.03437702534063994,0.0258662126105174,-0.045499544621181984,0.005231799943787135,0.36779402419084495,0.03926175255226404,-0.0076469820947422384,0.02589602717233405,-0.09763511382701431,-0.024486799813326642,-0.023937379250716952,0.11173069255405309,-0.06695220977475036,0.026115094575092528,0.02374869025954697,-0.10017582332556366,0.01778486901945846,-0.01396379769851838,0.07972400600138137,0.04661561309122949,0.014980656290532225
