,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.021753897749974528,,,,,,,,,,0.009872420768044525,,0.01955288169273403,
BMP1,0.09529631240082123,0.030229020494069708,0.00435072541343474,0.011958335445701539,-0.04180580570955904,0.06922471216015937,0.13150412700233863,0.17345700380140675,0.07424740101530973,0.07052486040564977,0.03280101313156217,0.041134956953763756,0.07261982257756469,0.00403829499620163,0.06883974485334358,0.0006040869066107695,0.01225101716726323,0.05588967406712062,-0.04694770399560698,0.011030209658725296,0.05257514238802657
NDP,0.026774101204349247,0.06731722388747433,0.08069832500103102,0.01883809557822893,0.0016385509655249333,-0.00813550879190855,-0.06387153402251997,0.07678034204119596,0.023884055558652695,0.014999295693502172,0.020365445840740445,0.08751255885648054,0.0016115650642971255,0.010876648262729244,0.04903986585444204,0.07568687535692918,0.11405296402492705,0.08644427929723446,-0.025262934379278238,0.09171412656348346,0.017153790266490408
TNFSF18,-0.03237841472182229,0.039958895610749716,-0.008694811183330271,0.06187137530118595,,,0.02677333248816246,0.136982352358336,0.10914708627852904,,,,0.09167305610819053,0.02289463064365447,,,,-0.028312866306104956,,0.04931284585428742,-0.026246872191878236
IL36G,,,,,,,,,,,,-0.008329743142233871,,,,,,,,,
RTN4,-0.06509742954446902,-0.05874962809639483,0.0052491565477799295,-0.0070850078647161675,0.033285570630403695,0.06426479213423092,-0.09262727538444894,-0.19301068587359613,-0.08720961317146253,-0.05079946031791647,-0.029781769422966398,-0.06241514587708198,-0.07120037323949692,-0.05150138122491202,-0.13914847062590144,-0.023119119851694812,-0.06636737590032686,-0.10119757063304495,0.0845376041401914,0.0022263849554447148,-0.07552444332353395
HEBP1,-0.010300597966653566,0.0714483023238396,0.006106492881585488,-0.009000833162875704,0.049830803088000586,0.07481404642885274,0.03943776820888035,0.07177148083443498,0.029901320367654798,0.03681221141851184,-0.009072959773571362,0.04318082862599713,-0.028288179393258082,0.0075833230827695615,-0.011335223898976874,-0.003217334804927827,0.0782420442350721,-0.023121753367579927,0.04672401403815927,0.02011392132676154,-0.002450871807921409
WNT7B,-0.028524369249775767,0.015238671926355904,-0.022031869420530786,-0.01843458218775017,0.015618940869814484,-0.0022243399991978175,-0.0019422970960441131,-0.07159343602433595,-0.031698326335066696,-0.02089145495475518,0.0036110494244872325,-0.022709960188371892,-0.0006845141170972178,,0.06403966711097825,0.11527746505327435,0.1347195659098742,-0.0005620568580031277,0.019424351037095056,0.014825464223009338,0.00736963648367718
PTMA,-0.039708018001450934,-0.11486532275911054,-0.023115261768284916,-0.005827850170020976,-0.04199702265225289,-0.031612853205704436,0.15442658070646517,-0.06921293025251168,-0.03325225776767624,0.015725771641889406,0.016460386863682373,0.09121379731273829,-0.025472940301097174,-0.0533322103139198,-0.12939217311540144,-0.0550082579769156,-0.08749021628230655,-0.08792602746938143,0.025888708270099606,-0.09679792725841804,-0.0039049356527541337
FASLG,-0.02852437731354188,,,,,,,,,,,,,,,,,,,0.015996524742616897,
