,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.005100598495479776,,,,,,,,,,,0.028867351822165627,,0.04733477464591989,,
BMP1,0.0693446366897442,0.04137016386239973,0.034276985382893616,-0.017468961963896065,-0.07466024108018578,-0.011244124915269594,0.09388112531782879,0.23103053030418336,0.051903176048100276,-0.06047198337855196,0.03874610102217692,0.05121157289326635,0.09141087347937013,-0.023525859344433294,0.09161588047948908,0.010856321848430647,0.03818671507225574,0.024349468408444756,-0.02129692685279541,-0.02667186703138184,0.10342398870454064,0.03724035084049351,-0.01808362187809884
NDP,-0.010276920609274721,-0.0015867113290108429,-0.014522750480197178,0.021936444225078143,-0.04606952068972069,0.03640160744679868,-0.04355203097911053,0.06991101774257573,0.011806384133947948,-0.002744826450447213,0.05077500745275715,0.08086935988778529,0.031050361330407332,-0.0040905159570702905,-0.02065890818003367,0.11302080478036544,0.04253289172816687,0.035736652831779445,0.0459868449959556,0.0012209309248368315,0.11612817600969029,0.07675384956909041,0.06240077820195613
TNFSF18,0.05064579654796391,-0.02500927121130542,-0.03346923832952202,0.0407499832809198,,,-0.013800794640879611,0.09518232807488165,0.08845418282665493,,,,0.06628901365087429,,0.028413831082200337,,,,-0.00653492678956939,,0.09364333863101026,-0.03908506051127481,
IL36G,,,,,,,,,,,,-0.021081212828978704,,,,,,,,,,,
RTN4,-0.06294350416020457,-0.007217525802822286,-0.012326870949111711,-0.053007100389532796,-0.020035458031179915,0.027322667924551243,-0.052227723316061014,-0.29222612586050334,-0.0062235966010567075,0.015887984825933052,-0.016565725513258328,-0.03592568141095053,-0.09193456505550464,0.05428686463718732,-0.04007237493394856,-0.0006773760159854188,-0.050050540804160215,-0.030539007577831265,-0.0020674250933304904,0.02932382402259618,-0.012815153071663372,-0.07723244340095144,0.0558436797432449
HEBP1,0.016485842559904818,-0.020288946987798626,0.014695626275915717,0.03599313054125044,-0.005488411021848214,0.053796277130775776,0.029708835809881436,0.10755989052475692,-0.021742959143300943,0.026917371317112092,-0.024231373648196483,0.049467130551915824,0.08109253029659565,0.019805721558579473,0.03640126619754278,0.023783187050315478,0.05972911191725941,-0.03526506319379364,0.027659731432956566,0.021740224247384157,0.07322450081714495,0.02366055104317227,0.06556981513867416
WNT7B,-0.021784378945236424,0.07609012293189267,-0.03511399435410614,-0.020997618181399436,0.027871359017827363,0.07557767664496547,0.035165048216555125,-0.09637389675140841,0.018065708122860534,0.011609386101273794,0.057517298194601704,0.0056055606799396696,-0.03306740298964325,-0.044585712761067084,,-0.0011007996771536456,-0.01974093734515924,0.04016294891468447,-0.07405415176276427,0.01096973549085942,0.030942009488702883,0.07250573289537475,0.05376773503242487
PTMA,-0.01958932608945747,-0.05297639408230004,-0.04073201989644987,0.02214063518264025,0.10600388760667326,-0.009956708847630261,0.07521119363977155,-0.14662843561533728,-0.0330128867683581,-0.027983479363538556,0.04045516057197077,0.0917548779106995,0.046319051923404596,0.09797188938153852,0.04985920515880885,-0.06628555042030039,0.01777346908726352,-0.04832042505936658,0.015020011684210889,0.027915402124700766,0.05534594139466698,0.0392502463771646,0.031758647212792326
FASLG,-0.021784385103624546,,,,,,,,,,,,,,,,,,,,0.011723507861742722,,
