,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.04692572022573447,,,,,,,,,,
BMP1,-0.031639556795555794,-0.028846924863900423,0.015500300574148395,-0.08539755203153156,-0.0970740129703888,-0.27097886445009184,-0.04594282845220111,-0.034680155021949904,-0.10553368037071315,-0.1970214128140807,-0.04074646329040801,-0.05894534057779658,-0.16505920014755485,-4.6039384821125375e-05,-0.05761793850535079,0.00569615999139439
NDP,0.00561303111314256,0.06762830028577288,0.003210383178526052,0.1663587966613932,0.025213378320482628,-0.023040811830547122,-0.00527633085226799,-0.003603268203583736,-0.0943351055442608,-0.007986812875282454,0.026909193476383673,0.09424069153357348,-0.04920179403768035,0.02367226507290901,-0.014026996886180393,-0.12471849187628561
TNFSF18,-0.03403077154646402,-0.010155235984049845,,,-0.015542566381951759,-0.0368838250395593,0.061623398804313695,,,,,,,-0.05940370007529547,-0.06040299017595517,
IL36G,,,,,,,,,,-0.032877363920610025,,,,,,
RTN4,0.22769524542204947,0.05516889948195949,0.0015782666151438979,0.20986903819943586,0.3630363975140847,0.3941399218034359,0.12912111561876266,0.10708945396210083,0.37025861641617824,0.3205217780322519,-0.013948593873101905,-0.004588938506212896,0.1576483364300449,-0.020795415615607056,0.29178349076568105,0.04760479504229637
HEBP1,-0.014634916905004345,-0.03727970127574109,-0.022747670577112293,0.008128632797880439,-0.12903404491212256,-0.13834389612801454,0.008845862772876483,0.004696510853995847,-0.23779156057682552,0.014236801467414054,0.06296133874992713,0.05737278575113584,0.024987738699398573,0.057919610652923656,0.03703590927210392,-0.08889755715952471
WNT7B,0.2635079858706244,0.02986129862414131,-0.039015981188595936,0.06744035421971768,0.1557356817447769,0.2598574208026888,-0.02365884377550927,0.07600669874710213,,0.2045884875101835,0.03586295730775285,0.037092588459323096,0.03898354217343618,-0.059403638478120885,-0.032671703184531754,0.02851365962476634
PTMA,-0.04919938781213371,-0.0009964970830120476,0.05720989091428321,-0.17203442457596,-0.34279776766552084,0.0739019633356192,0.0892012012384285,-0.14846974406098346,-0.4755792132966427,-0.2879371007227995,-0.02142301053057014,0.0019432136191589056,0.03160051801218795,-0.08672076854751254,-0.15072611024743748,-0.240676871102014
CEACAM1,,0.05919716688205879,-0.045052272562836455,-0.004486106482507442,,-0.07891556176240491,0.0010137779222780528,,,,0.0932898725386196,0.013727853078161628,0.011474171846946365,,,
PDAP1,-0.09003003538123173,-0.014604049488934963,0.09966913219061337,-0.1293387318270196,-0.0940247732981447,-0.20872677126367706,0.03265343319691642,-0.025600829672637906,-0.014657496069116585,-0.1587164379280283,-0.022886191482443637,0.00960929218976964,0.010867365192214151,0.013593961350834205,-0.1168375138165049,-0.018089449221601495
QDPR,0.18669056723889443,0.05666413642488435,0.052729754967428315,0.22309052621807487,0.033817184985563915,0.10697916684427553,0.04192477176151123,0.046642948770899355,-0.39612779283998856,0.04794484741113567,0.08965434203638974,0.0933817269904839,0.026936243038953023,-0.11552281049132233,0.21828602128430546,0.07990771470180526
POMC,0.09791436206349466,-0.00013831850495378843,0.03572891992807299,0.10433361734881638,0.049725613177952904,0.0038757786536336297,0.010330350382380204,-0.0028043543561881872,-0.06114291328695947,0.06385493829649623,0.05448184786780414,0.05390898803492907,0.01785323576969433,,-0.01873991156937317,-0.07297636177299067
CCL18,-0.04563806279767814,-0.052653430113937624,,,,,,,-0.17075493941595438,,-0.04728847507073725,-0.05137654515601727,-0.07974858988157014,,,
CCL17,,,-0.02611285440291372,,,,0.003950454258089803,-0.021355827709076854,,-0.0300344053295225,-0.024719590033667426,-0.04790089297577524,,,,
VEGFD,-0.025422380916238944,-0.016263903010038248,-0.029092603440058314,0.03309182240617196,,-0.07861316890995784,-0.009307883675439091,0.007856472280087597,0.1256684847918455,0.0002426927006217262,,0.004179292232745488,,,,
TNFSF13,,0.018754110225185486,-0.018012062544191264,,0.03206398255717595,,,,,,0.06310846544331715,0.03159421183816577,-0.008964866195967954,,-0.06952174315594453,
WNT5A,-0.1410783802786793,0.03309920727409904,0.0717815189720954,-0.07969626628536959,-0.20381801409991337,-0.2267858802681122,0.011974309014216297,-0.0625189303757642,0.08129562347162349,-0.11320299574345029,0.04971516289594986,0.00013573186993200959,-0.019244093998650867,0.08891012166305358,-0.07200063038725667,-0.01054250192501581
