,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.05887098298510664,,,,,,,,,,,,-0.05333634296388393,,,0.10396047378941425,,
BMP1,0.028623532953765768,-0.08433133829048489,-0.03149426949192365,-0.006904061162598442,0.03729234911503815,-0.036306095692432455,-0.0696436098560659,-0.14785464902567916,-0.37275041650084395,-0.05112068436100003,-0.028756059629423156,-0.16310909822090422,0.06184638929979687,-0.2864953235598036,0.07556104515988125,-0.03801051777398629,-0.049853526255100096,0.10590311543948124,-0.025465993549190432,-0.13953440337223966,0.041495844647836504,-0.08845859602228856,-0.02517136143242216,0.061055543048496294,-0.00986140061981946,-0.13562699079401278
NDP,-0.0006926332143098749,0.04021953790764618,0.07226704540343161,0.05572117617680076,0.0793330251331417,0.015421823869014169,0.10068794760880227,0.03284498193586332,-0.09629144028346036,0.01479216758626719,0.038651356178416654,-0.1185081528037795,0.040593275195382646,-0.025363740916276262,0.05605357993522333,-0.00919406896772594,-0.009738750247406528,0.07122231378517037,0.11520549287125324,0.1018861766414099,0.019482806585157678,-0.03157610146901728,-0.01767741130355218,0.19425420027147555,0.09960326838354172,0.05131383274208911
TNFSF18,0.07467255771278528,-0.04707913713297946,-0.04908507806265386,0.018615156704186484,,,,-0.03970741606954397,-0.08855349629127827,-0.04041411232116004,,,,,0.11648667014098411,,0.03224587467779645,,,,0.0360435360593971,,-0.0001435759185614055,0.04169887781782383,-0.0838843322715953,
IL36G,,,,,,,,,,,,,,-0.0004703352627803923,,,,,,,,,,,,
RTN4,-0.06562371068979599,0.13347005063252182,0.08656611464026497,0.07000966410941277,-0.02890996365060721,0.04619084945102528,0.14911218840084578,0.4725141374765575,0.5097517218373053,0.1683056431486754,0.17957015371893525,0.5288804748872683,-0.026587034924790465,0.3475031408216163,-0.0387234136956618,0.09170785300252846,-0.017645293340359615,-0.10188466961933819,0.02254397002542556,0.023214426061407868,0.0014380429770686396,0.1642181851141743,0.08089342453946365,0.031001718190256652,0.3459886184869485,0.06683274932095633
HEBP1,0.049789864484028015,0.0019228672639926881,0.043122201024522654,-0.02501517879791924,0.031871859764168065,-0.021710287353546756,0.040932803746318205,-0.14174023653463985,-0.16347800650923755,0.038669792422907315,-0.04739521086484741,-0.23096349310427447,0.005753026199740134,-0.048437469408399283,-0.007887627525785286,0.019772089639027553,-0.05791413073519089,-0.055225124661612376,0.12093805185403056,0.06368127596440368,0.05108129353109465,0.06362836693088506,0.010968328886057732,0.13560468528042074,-0.016444869372342144,-0.13069072993651581
WNT7B,-0.008395015556965386,0.12088164221346259,0.04035422737983384,0.014027250823164536,-0.03681652934438581,-0.014594865187098625,0.027694690306838465,0.12257554254870395,0.3179288670963004,-0.020806676203497673,0.05329908273500055,,0.024286760953862584,0.10062981113665351,-0.0019416941921558378,0.04311732677808789,,0.07107580552167789,0.0005330257416136206,-0.01701610372730499,-0.0189952797456934,0.011036062337150834,0.037165013610058154,0.025010688657856592,0.07942672912782994,0.09424813941466562
PTMA,-0.05099122285204822,-0.008081872474889288,0.05081142742340392,0.08319574201267177,0.0009121312028030307,-0.07592409344226138,-0.10046171458156836,-0.4659749039808173,0.028345398389158432,0.03444397117546374,-0.1574714475790042,-0.6198205617981626,0.0953118167202995,-0.42446443473569234,-0.11061508401331753,-0.07727947465688283,0.019065064112457758,-0.16918793180922725,-0.09839511474537212,-0.05134583839039336,-0.07641997546020154,-0.15388269282956596,-0.1382019437651195,-0.17061056523295923,-0.16301661932957187,-0.18450657839279322
FASLG,-0.012987164286151195,,,,,,,,,,,,,,,,,,,,,,,0.017263769813571493,,
CEACAM1,0.05637318160512615,,-0.01611577844561109,-0.000585190577070556,,0.010935676017684502,-0.005703942985310558,,-0.12073473085980815,-0.0043820617664736055,,,,,,0.03421116409868416,0.07006755603465424,0.07391299323047781,0.037021853608569924,-0.019590198277255912,0.1476618091466494,-0.01733696017293499,,-0.012290260525084853,,
PDAP1,0.17871895771016622,-0.06432625789730076,0.0389660326993175,-0.0605846897236968,0.0825406598433965,0.057155620721738194,0.0007217886454598737,-0.11436299624409993,-0.2598437369367772,0.030434046028296084,-0.03145496997712097,-0.03816772299739711,0.07670601156646026,-0.21266659341627597,0.006716957659590079,-0.03356442512670564,0.06292166433381564,0.09784487370610306,-0.025913017555265268,-0.056371609956889945,-0.05437529546909632,-0.028481940090371582,-0.022840466325382502,0.06841076557590849,-0.017141739389502746,0.03473225153603851
QDPR,-0.0428056113966696,0.07144209898567332,0.10865261850871087,0.030192982316901606,0.06339058632063117,-0.027401059630743994,0.11179122429632564,0.17529095830601443,0.12277541678342473,0.11148274270258059,0.07701278907930709,-0.4194708209495489,0.03429962039883773,0.049580805617121804,0.08570621915734923,0.046068288229246634,0.010612555385250284,-0.19002081320068867,0.12017558572045214,0.10781852372006898,-0.050378774766121556,0.07077988388302976,-0.08100380807380322,0.16394055559079407,0.26343311673761477,0.00019250607702455753
