,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.03714311720065163,,,,,,,,,,,,-0.0015846999608691455,,,0.043754185607302924,,
BMP1,0.12638821503974923,0.050499566264006736,0.07576259314588107,-0.04824310071939008,0.053931616269575045,-0.00731654483663201,0.05718834459393354,0.17246664077724824,0.34939331462690426,0.07481634066904025,0.01466259755550805,-0.0017831285864192369,-0.058111125552738375,-0.13090680916118613,-0.0015852865844336011,0.07065170638975117,-0.046801102471908766,0.10386925279194945,-0.03704624744420145,-0.07664814523521225,0.1430069907001628,-0.020485507816083694,0.05431798490581683,0.021843922786804797,0.08517946542651043,0.01724381009865496
NDP,0.053670138794684866,0.11245714122040566,0.061313647390657325,-0.048780003625902874,0.06632664554138407,-0.008960573782354838,0.01775954086006816,0.023850398468920314,0.032478806349673775,-0.01699436515290525,0.014875061803918855,-0.04061119603275564,-0.016812958706736738,-0.020425038288890824,-0.02227657763429246,-0.07644431010461071,0.0044913942535767925,0.0835914169628599,0.03402507022118821,0.1424375194986403,0.07212827835460632,0.062245970989684804,-0.10533317759365367,0.15055516888130818,-0.046962921200797286,-0.010620723516752585
TNFSF18,0.08380919475123141,0.028921477917481835,0.06507713978472791,0.03266437983717368,,,,0.014425591055305201,0.09760954290125844,0.030137101750797708,,,,,0.013146256180138297,,-0.019566457859276003,,,,0.03265859263824459,,0.09633016613561753,0.03504523298539266,0.05558988004445422,
IL36G,,,,,,,,,,,,,,-0.0286094685407306,,,,,,,,,,,,
RTN4,-0.1197309560775611,-0.03571321861324056,0.02248039825093296,-0.02492428250179807,0.002610265404218573,0.00033864409378301557,-0.008485650280031946,-0.2481300688672985,-0.3861023275267497,-0.0020015490108352798,-0.02680194677048778,0.007449401769574528,-0.05942023227388345,0.13892781130459533,-0.08039359636370946,0.06193560062397295,0.0668330061976768,-0.07096974260054119,0.06072505459620444,0.002194074744027401,-0.16256104574874675,0.0758507490434655,-0.10047450637503806,-0.009171865045690378,-0.09884258707950115,0.015569106261367349
HEBP1,0.011108605290649512,0.05893843460347424,-0.028103848910311008,-0.004167752128688284,0.05060270603220259,0.012669942513666403,-0.005391009578145759,0.1421958621696976,0.1778941360763626,0.024335182717748722,0.020558110758920334,-0.030682007358131074,0.0019355642253903883,0.009537177908568237,-0.024530200845815777,0.0488485114948248,0.2054591221272778,0.036644928121856636,0.11210644957246783,0.11107803531034041,0.028716021453741324,0.008702518899093592,-0.0028913624068292606,0.08122109381189745,0.037777800014394736,-0.030022573085248767
WNT7B,0.05901294278122387,0.008091322416478808,-0.027874347033182964,0.050585190206242935,0.014162011124486536,0.07080935911918056,0.06924801127875001,0.06953719090817444,-0.11407087121336998,-0.004665904825949503,-0.021387216564500128,,-0.004551237570012462,0.08144558845660589,-0.015039405270770599,-0.00926102247880955,,-0.015573205008291553,0.005187512716933729,0.07707737710303063,0.03609893607415513,0.05911355984326261,-0.05687023274259598,0.010709186912040782,-0.014068843778828104,-0.033493949632533535
PTMA,-0.011831035735987214,-0.1731769990667059,0.18249273017661014,0.03700591979644695,0.12806540006359438,0.020981697338160663,-0.02174920069554253,0.3295126156822368,-0.19473336518421572,-0.045077304538601,0.015762515920307946,-0.002653593146353513,-0.010564807946789878,-0.1295522758912716,-0.001635825374320008,-0.10399268706866042,0.0388152998024725,-0.21543345029465066,-0.08967126820964366,-0.05105986739639805,-0.13228802194133135,-0.03531373725197869,-0.03904415279553644,-0.12505870540188194,-0.022586894757292027,-0.16741650899844773
FASLG,-0.05525265960359863,,,,,,,,,,,,,,,,,,,,,,,0.07103031050045676,,
CEACAM1,0.04881445367534597,,-0.012973754678594279,-0.019612604068900627,,0.017942824162709363,-0.049002222224370146,,0.14413836941647512,0.0077536098399151885,,,,,,-0.0687948465193542,-0.022262748131981876,-0.01886260286589686,0.07841756923576118,0.0001335799396028944,0.03695070944906068,0.026794403937282378,,0.01893313436973744,,
PDAP1,0.11603978734027229,0.07490340289678252,0.13610405038527199,0.04542485472123134,0.008119694881898882,-0.034777571726382156,-0.014354461636212108,0.14542792453246295,0.3037618917253633,-0.03508693093938429,-0.007955133500246457,0.07782092909739709,-0.002636468379150743,-0.10918671818792917,0.10158993069686142,0.059247632075945134,-0.07543508519421262,0.016943907718853166,-0.09041834003243418,-0.08014342281497269,0.06757733424529631,0.022703702518131613,0.036494909091449666,0.03246705126337091,0.06479556710743,-0.058645663993686155
QDPR,-0.10397189625388319,0.01913645443639645,0.061473856507195494,0.01395627922316126,0.06967586390856824,0.017806989044937004,0.06606725938399341,-0.12308123007335205,-0.3395515056391943,-0.03642774071653355,-0.013536015069186494,-0.011143742827344707,-0.03572931379867313,0.05714633644966122,-0.04518890869535173,0.05192327939722595,-0.03473263307394176,-0.1799329786631764,0.07347001076444361,0.16042353373081272,-0.14531127538099306,0.0938261321818654,-0.09499224934278676,0.0835104141432255,-0.09603006419023563,-0.06409750119204767
POMC,0.03802673922538199,-0.02474348581278775,0.03097952673791557,-0.01641714531308628,,0.020561330880465793,0.05031150010705022,0.0016265038168442622,0.0036137566666342934,-0.02552349400928347,0.029174450827327822,0.04290406203359161,0.10408397700051795,0.06106679382611519,0.06365637303202805,-0.029156462776316137,-0.053713014758789875,-0.00950868880408167,0.030489651532032067,0.09577809749910463,0.043428533170860754,0.034290011830168936,,-0.004726420149229462,0.008508029299701434,0.021853149233535093
CCL18,,0.005405239681636039,-0.11073354628134666,,,,,,,,,-0.02019891246750511,-0.02236986511515219,,,0.0574513792260892,,-0.06876357296653224,-0.006602010308419628,-0.024562256368713915,,-0.09512095792421878,,,,
CCL17,,,,,,-0.03155788707496324,,,,-0.00729306480114579,0.017030597671645466,,,-0.026135561734493884,,,,,-0.026861944504569198,-0.039855176448099744,0.0005977409178919116,,,-0.04781013538719135,,
VEGFD,,-0.044638914869306566,0.03655399771105903,0.06677195525535372,,-0.0031037898595977047,0.01626600407790218,,0.031594086451314944,-0.009725851366069873,-0.02987681892681015,0.13583219476470998,0.035931429981072044,0.02211339461114906,,0.0009130675841989507,0.06281987943425622,,,0.03818146009454976,0.030096806372946955,,,,,
TNFSF13,,,0.05744590712284921,,,0.000383746647740681,,0.08924642494307944,,,,,,,,,,,0.09219059706301459,0.06126532387293512,0.07435294262573165,-0.042435058012049394,,-0.023652696041850593,0.032045273405342106,
WNT5A,0.06588325332252888,0.013033256051519922,-0.03628464837932894,0.06956097460335951,0.13373406953573222,-0.060434357181491795,0.05041612595264124,0.2916786848034537,0.26796921199421714,0.01502775912263421,0.07723724596911274,0.015072761504766483,0.02293272254374499,-0.051310699936968365,0.07621510445272045,-0.006246212306106041,0.030391474233546163,0.05608078696709834,0.017771809162009152,0.05275978658507261,-0.009389509012051987,0.018866350341454376,-0.07813844915925273,0.0228511252793941,0.003992429599749758,0.07379347077483434
CXCL8,,-0.10109122135683893,-0.15506381921223505,-0.026302860189033248,-0.13166694684697008,0.09004386801203265,-0.06902448678600633,0.01572172275419686,0.137326829246489,0.04190573662427333,0.04033737424242571,-0.009497186175986442,0.12413301761866483,-0.07934232056049657,,-0.09011780491374757,-0.01429950547408544,0.07963855242305244,-0.19213393065298007,-0.3431880256214561,-0.031200185841107685,-0.03566527079963169,0.08889146655094446,-0.06120457593828178,0.006107991906834814,0.0715005657454338
GRN,-0.09856100647154913,0.042076127307857446,0.052781171817638306,-0.039086946653778785,0.07142063125686882,0.01569573598994121,0.0027436627017512994,0.10946023670081297,0.2817843764576494,-0.026005161566164225,0.013448560434075347,-0.03727248870081828,-0.041290765509021436,0.02669765140503554,0.008737504547036529,0.009758333380413143,0.10347271750647226,0.16512402002132717,-0.038394613567493324,-0.03874796779898629,0.1409921556330788,-0.029067205071041446,-0.029198534634384203,-0.0728982690796641,-0.059102979370092464,0.014515140171371194
