,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,0.030274525290722824,,,,,,,,,0.0715327999837522,
BMP1,0.018155666606647507,0.0582034677341097,-0.012747875071055967,0.02233590690672843,-0.03433572038030753,0.017498887095305816,0.17062298493869107,0.16228920023782611,0.040490631839386455,0.0563926221682376,-0.0686272847272522,0.07701058989992664,-0.07391381471209156,0.09881697003951141,-0.00395422312668779,-0.03352107222998652,-0.02240447595512127,-0.0590500371807728
NDP,-2.8931273434242907e-05,0.08294018025683543,-0.04297728985758669,0.03546776004185657,0.004348922485107993,0.06651222424993021,-0.010120169069145615,0.06679762557195727,0.023857744099165128,0.05242935902067171,-0.011462409432818907,0.1297003785599767,0.07757466105703785,-0.020453070987654778,0.07020074070493855,0.10269960177247672,-0.04297116166978878,0.008890741830245881
TNFSF18,0.03407559162423371,0.05135160843895526,0.04027777225810644,,,,0.027361570097820382,0.05477299340114459,-0.027724205718467385,,-0.044186501419448555,,-0.05558323291526427,,,,-0.026854009642922186,
IL36G,,,,,,,,,,0.02902008549229937,,,,,,,,
RTN4,-0.058057592653999256,-0.0064566874775190885,-0.022489187781682886,-0.03247804809479645,-0.004001498864083439,0.03383660263403098,-0.1411362802449653,-0.15512985580321112,-0.022306105946452034,0.026069666349817323,-0.13687060487036878,-0.05717679375810809,0.07053582495985863,-0.04696924193646807,-0.0015060981016428645,-0.05591490673246354,0.04333377137132806,0.0503691294319597
HEBP1,0.007546331535182824,0.034214685368260396,-0.0042596577649406135,0.014875154107820632,-0.03205061031788981,0.04335170039389402,0.02113837336743972,0.055681955065651496,0.05118020903779773,-0.014599152969482958,-0.018914513024871526,0.13680917298234402,-0.014649404863112963,0.021196248689351417,-0.0009196987824422816,0.06916143359293692,-0.009492283617249872,0.03720130721840841
WNT7B,0.043426782282697717,0.006988615407149328,-0.02184516127991159,0.035929815883147954,0.03406122405412124,0.1014904520440128,0.013494084898504505,-0.05021764382248522,-0.03226196603778849,0.003722859799806259,-0.04255385647837765,0.03198083263119894,,0.01662489066951777,-0.027288873371408257,0.0448115585981252,0.07979768957716483,0.006178004112397384
PTMA,-0.017263709325550627,0.08058158169891827,0.07978915039472065,0.025403546944821654,-0.043099652323200496,0.013396847334321024,0.18892949750224403,-0.12488546365057697,-0.06948207379163585,0.04445055988426957,-0.130573271641444,-0.20139662835462413,0.0005313582704983489,-0.05597486029049067,-0.019846673160851005,-0.03626140014938844,0.06856079586975888,-0.007038395663381197
FASLG,0.09742481476637323,,,,,,,,,,,,,,,,,
CEACAM1,-0.012487138607200843,-0.012178988770007804,-0.016764847384354745,,-0.01091336989399306,-0.028777772390383007,,0.02968503413089442,0.041800289738125565,,,-0.029724857133829143,-0.03908444601290835,-0.0034131906641122027,-0.03744516144170497,-0.003960843632014851,-0.038738574664771125,-0.043659087597099966
PDAP1,-0.013215200638845789,0.02700302697895968,-0.048735261650808354,0.021259057793433445,0.041922053125701485,-0.04878604094195161,0.07616499001696604,0.10187119602019483,0.06549565549955048,0.01039068731059257,0.03963885221888003,0.037284814171215076,-0.009104705981638617,0.05839360196514007,0.002776419633271413,0.008913638118639875,0.049517930170661736,0.07794493327078186
QDPR,-0.03325984744188308,-0.0005576069984195294,-0.004259533709909374,-0.05216942573919096,-0.027279749564774747,0.09357435910421004,-0.04663760869122383,-0.1361033196948458,0.013786407934305293,0.09066235348412797,0.046527284951905785,-0.03799457364575663,0.01574211930297596,0.015296385890161029,0.06925134999789795,0.08354307474102804,0.06394160458515542,0.03373794617428596
POMC,0.02906465219932208,0.01154449968117379,-0.018669700660655653,,0.047468739762308185,0.08905835632183168,-0.03576492895144203,-0.04639268405370065,-0.002839905855951719,-0.013927976965342521,0.012071004088471202,0.03082059813373262,-0.09208389335836291,0.025851147162562017,-0.024282518159112258,0.08078245704189406,0.061390170509693955,0.07791863362500305
CCL18,,-0.08238739674740174,,,,,,,,,,-0.06714883072703716,,-0.028999410064842565,0.02112877886667328,-0.0048782817487384115,,-0.071858606487279
CCL17,,,,,0.006587065489247414,,,,0.045396801579318975,0.02708020121803719,,,,,-0.014722654967657654,-0.013869852863536201,-0.028526700550407395,
VEGFD,,-0.03422766258471196,-0.010667574883853184,,0.026497698502686552,-0.0042331743422921,,0.028557706943415,-0.011633254174786048,0.020026543550280017,,0.07738941628077675,-0.03465017995587849,,,0.03792201432925592,0.06396277109096003,
TNFSF13,,0.030543349863940944,,,-0.01437615530545623,,0.006148405355743792,,,,,,,,0.05030294719800839,0.043373916134078074,0.08059267710063106,-0.03232260388396048
WNT5A,-0.031207090897765462,0.010842435741878764,0.07539723364152319,0.048129099067953575,0.07190155996733441,0.2459044177490425,0.16106395230583895,0.09132888928846664,0.0940408960573562,0.05089443016102041,0.05826282939144688,0.01984247409136029,-0.0359137076177991,0.05272223647098036,0.02557649203908008,-0.010664977559278643,0.11216057022075347,-0.031796251291127425
CXCL8,,-0.06471437389756583,-0.022483676073407854,-0.04712210828522216,-0.026157548071951475,-0.26121148018317125,0.008537999688120086,0.03858137464161507,-0.03012974579780571,-0.05892454915416174,,-0.07401212154568615,-0.006361997109477468,-0.05105802718003754,-0.10690011488609656,-0.1602243609863807,-0.07172860813661797,-0.12277896634380801
GRN,-0.042644607261684585,0.038975635586425916,-0.01604017531391077,0.014928099623713728,-0.02644203203210417,0.021228275659529172,0.08086761182483507,0.1460327909150249,0.014128157215954146,0.08168194987649832,0.03675304044451643,0.07656225969657358,-0.0451454761218064,-0.03089072308917353,0.04398569143955093,-0.018395617529303427,0.024377178268073136,-0.0370731381539014
MIA,-0.035891340547986636,-0.06477790280548011,0.009092250385926766,0.00225185270540187,0.010615555570673223,-0.03532283416881766,0.15214692500748286,0.05252020518018801,0.002108272421629358,-0.006980358454354021,0.0097525014729551,0.044518169909869724,-0.054171725637034165,0.0906552744712949,0.0801976302290834,0.1813653828038064,-0.049578532177113055,-0.08058661675976048
COL4A4,-0.03175652006062495,-0.04341453734491071,0.0014403181357563314,-0.0320388945691976,0.034455892797441046,0.2062897943429331,0.10371114487225587,-0.027292563116920944,-0.01330859288000969,0.02532846667050252,,,-0.019093228449156452,0.03838322425166861,0.05218201317396015,-0.04599450813635812,0.02401082673825283,0.0022411685568569355
TAC1,-0.027420692219049594,0.0017010075283484995,-0.025454376710959254,0.09215444676617772,0.02011626002960159,0.10334788770993415,-0.10476403789273687,-0.12378508368610204,-0.0651481560781652,-0.018503069577439385,,,,,,,,-0.01340735837504467
RARRES2,0.04582794949182896,0.03866166964219635,-0.01494650324119722,-0.04763933084071915,0.042783406154041005,-0.18988169244429717,0.08303560697283373,0.15285743937349397,0.09868923391499242,-0.0010730586923917884,0.05261088731362807,-0.007572296015585701,0.14155971753350544,0.05305155029248409,-0.07654405582456986,0.002737258180217094,0.016073593067520348,-0.06884110670848863
FGF7,0.04474886117096828,,-0.02710229844441499,0.016811725280740264,-0.004994350648174532,-0.011814304562131804,0.16972626244437833,0.10563226562839136,-0.012274667638219132,-0.027377417265283314,0.0603533822888694,0.022328370387604452,0.036071156237787144,0.06747835813081314,0.050020927110965285,0.03548337014469989,-0.010985106223564117,0.018887776742095342
EFNA2,,,,,,,,,,,,,,,,-0.003098401008023111,,
HBEGF,0.09301040271930198,0.00922764882747079,-0.017679820865874985,-0.007854263981042314,-0.0077845435802286955,-0.13909505939041436,0.08219847662204183,0.07856735840631127,0.08891142950060563,0.014770087666932387,0.019930111530787692,-0.09791707067183503,-0.06969754059057871,0.03870276209654071,0.002178784219889588,0.03487171387337564,-0.009434808355885591,-0.036894032947225514
CSF3,,,,0.04791077787650069,-0.024841518691015495,-0.19586300509541024,,0.10816309109330113,,,,,,,-0.06787668675079532,-0.0834330525329152,,0.02212648438987997
PI3,,-0.06800457072963499,,0.023210543458377118,-0.012282720133761547,-0.17210167912297897,,0.15600899288312736,,,,-0.057554169962832524,,,-0.06124006750736941,-0.18326252311055102,-0.04292571016074355,-0.05624635145080688
PCSK1N,0.001935522176612862,0.11459113741791355,-0.01718543924222612,0.04809233101021834,0.006371742916187197,0.10677330625822573,-0.07189659467435855,-0.062321203035382466,0.030047977075659437,0.027102001683438393,0.05997583234435455,-0.11304046889694147,0.014870638315196418,0.0070553152704558005,-0.028541928893782334,0.010358887257396915,0.028236107866285096,0.023045694956716767
NTS,,,,,,-0.061941681334919944,-0.01879929389382439,0.03411651365075763,0.05829952443173349,,,,,,-0.011238626623983674,-0.006275534157833944,,0.17532503037197436
SFRP1,-0.01582791659823231,-0.0020997340541312297,0.021992965083736424,,-0.018185210482834342,-0.03821279774975715,0.07219172933866935,0.034031532762197704,0.02887803811194818,0.033158430548488285,0.08060230521999426,-0.059435326170796686,0.027321900534281362,0.09479876089820095,-0.0372249182647107,0.022282121601533242,-0.037430360757905595,0.06861136468144016
CXCL13,,,0.0009032829989100532,-0.016283935546641492,,0.02549841269528594,,,,,,,,,-0.07967933548176723,-0.009227208537780389,,-0.007552411193088261
MICA,-0.03727311340526839,0.03827667720390089,0.052530405101946336,-0.012668608371435339,-0.008953551098927285,-0.0669349101463668,0.07272848281980969,0.07377587549786518,0.01796698725710407,-0.017536925873588714,0.012076955428224291,0.04253923321730482,-0.0023259354884149716,0.04515262109582071,-0.023053126585129927,0.06171884459092298,0.005737186321530274,0.04149421424644662
