,UKF269,UKF313,ZH916bulk
IGFL3,-0.01203081476293768,,
BMP1,0.04554841953714619,0.0830925358299119,0.015280211297199219
NDP,0.004225087083736139,0.0709552709483054,-0.01687931901881808
TNFSF18,0.0034137202185526723,,0.01691769372401932
RTN4,-0.021329387762980826,0.0029164811938924887,-0.01417767333552267
HEBP1,0.0030989994700554844,0.014564180080196608,0.050469812885838926
WNT7B,-0.01993694399395007,-0.00820533646236333,-0.014399536772589738
PTMA,-0.05864904556783861,0.12678704194410176,-0.05567138898992514
CEACAM1,0.008545043024824218,,
PDAP1,-0.011063360525045536,0.05133089264031666,-0.047297149946722246
QDPR,-0.04757980126387814,0.08148643828427272,-0.014237029468133306
POMC,-0.0056003874141626175,0.049019870934443134,0.08702236255677186
CCL18,,0.09775580402825099,
VEGFD,-0.0015512090320528313,-0.038512695116618804,
TNFSF13,,,0.10818595113012544
WNT5A,-0.011293266026588283,0.035675620045664554,0.049366913902873254
CXCL8,-0.020602801013490664,-0.0009356202891345495,0.024700129863983872
GRN,-0.0018905520856359376,0.022080671159786947,0.0513629208912674
MIA,-0.034367132734494585,-0.035469600143055356,0.07462433869657781
COL4A4,-0.011855474959638582,,0.022533732698055975
TAC1,0.0075066807291586865,,0.051830415692040666
RARRES2,0.011840326408934248,-0.12166181218940748,0.05696017468442976
FGF7,-0.03378629854036881,-0.03380807465138942,0.018250113346752177
HBEGF,0.0070629516375541905,0.09989770840770543,0.07949314058260168
CSF3,-0.012542864317740585,-0.05058818741835928,0.0334997570071607
PI3,-0.014123430769665893,,0.051249603847023116
PCSK1N,0.03279498440580064,-0.022207450553707965,-0.07135084001106745
NTS,0.009038761453567707,,
SFRP1,-0.04524288416276023,0.05811348696301979,-0.03878623584737763
CXCL13,,0.0814627711887501,-0.005445294539667046
MICA,0.0449072801079105,-0.0020769724752286133,0.006086925338775919
TG,0.06016585144186714,0.04127685294722103,0.007578437474484239
ADA,0.004744223829763383,0.13671618262342394,0.02654470070770876
LAMC3,0.08228592461128229,0.08160350364615584,0.04822590088571161
CCL7,,,0.011849678662512372
NGF,,0.0628850086997043,0.0646078075288813
TNFSF15,,-0.015162799834943856,-0.03440780469807098
HMGB1,-0.03994205409392453,0.09918577413874896,-0.07568418529786049
ITGB3BP,-0.008881056027404983,0.07578033607154194,0.028470766878651972
AANAT,-0.011314003048599832,,0.03507582234647055
RELN,0.0631351644547942,,0.02789967310784425
IL15,-0.004177451729220816,0.00614449944958353,0.009113615578313824
UTS2,-0.0043235944543301265,,
BSG,0.05268537302756008,-0.0796665133137633,0.0636098284283855
ADAMTS3,0.0006836017321732713,0.014455047265,0.06407964839501995
CD34,0.027939756434182346,0.04786702318871384,0.01549932998255629
CCL23,-0.012873539489532498,,
PLAT,0.021520329491942717,0.03135996112516481,0.015421667065153388
NTF3,,0.07952532712861718,
CKLF,0.0332694196742303,0.07372234864720147,0.06493647436369293
APELA,,0.0017260345320048518,
CD24,0.046898043599360666,0.15196708591170185,-0.019710396649161206
HSP90AA1,0.0025084712453122215,-0.01479815112697029,-0.09314541941961786
BMP4,-0.013081039002387222,-0.003265177543740307,0.0977869949527758
SCGB3A1,,0.018511612748855825,0.07160505681604751
IGFBP4,0.03752957653678313,0.04962639990468629,0.11698869856478183
RSPO4,,,-0.023936818048280965
LEFTY2,0.054552883923930776,-0.041660849504125956,0.004234551011279343
PF4,,,-0.01875106403462215
ANGPTL2,0.025947008288595405,-0.021608301604946464,-0.005619648927420108
LRIG2,0.009026414043397123,0.0847963244946048,0.03466812033640011
ICOSLG,-0.009907773739896101,0.05269000808221217,0.026765747211399238
WIF1,0.022701997756735294,,0.05469485458952534
NPPC,0.0236969594408183,,-0.04506313813055511
LYZ,-0.015822252492074165,0.06317012114059338,-0.006130106636940205
EREG,,-0.031138145435231107,0.092879027293991
SPTAN1,0.02013430483544366,0.006925234821500641,0.034604532877187205
LIPC,-0.016821004515894133,-0.020364909635010576,0.005555992778162689
COL8A1,-0.039679259664915076,-0.1317673289962664,0.035541442301501365
GSTM2,-0.023374074674449262,-0.057557258585208784,0.04832237130532412
SPX,-0.029333334834871137,,0.010349730614876753
MFGE8,0.028843341428452945,0.01041977436174982,0.11975295804219098
