,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.047357139452347354,,,,,,,,,,,,0.036102575411059094,,,0.044266056546260056,,
BMP1,0.019061959355367586,0.08683674635162614,0.025384891345022878,0.05074641615414418,0.04116895043526236,-0.02664249869638018,-0.017242033290341865,0.17303201509393593,0.18526112802542985,0.04199254178586812,-0.0012503332506994212,0.05545763042878042,0.08691089456072121,0.12877984367646678,0.12105901781308465,0.0820759841026323,0.042838142433944244,0.12290511122602721,0.0793578531743882,0.00644106301307102,0.13312313246784654,-0.0031281277609123866,-0.010292676135792444,0.08081654470444949,0.06365888476829433,0.052538129386330325
NDP,0.07505981755781897,0.07277631544814656,0.021320639029685017,-0.03939579650170595,0.049369399886197554,0.017855525112978655,-0.011135642074421654,0.030576396758888826,0.05289554707516035,0.053053182194000605,0.008105763137174751,0.01975432377894,0.08103619274636861,0.03413540351939549,0.0730985443200889,-0.030978964437481733,-0.029471754142277838,0.011769779977804725,0.020982711757268926,0.03388736201970936,-0.010401936931321574,-0.009314086419475533,0.08320339995279426,0.1152057839526646,0.10021263636202267,0.043053901071074915
TNFSF18,0.009166657557024163,0.04002772683989505,-0.04386227245463274,0.0026213825466802855,,,,-0.01823001962242644,0.07604720899822681,-0.04409392250723588,,,,,0.03604548172958947,,-0.08322947474305849,,,,-0.04543438926918921,,0.006549045103134797,0.014018557837339189,0.07621715487171839,
IL36G,,,,,,,,,,,,,,0.014537811092162992,,,,,,,,,,,,
RTN4,-0.05458116740698324,-0.16408927939623094,0.010867156838800582,-0.02700325949259918,0.008854302894103884,-0.00867161643745567,-0.0017712400144277937,-0.21128806270957262,-0.23786899040917261,0.04187805254835927,0.009326231101565451,0.06317302867980637,-0.049577375190971607,-0.0741087296902601,-0.005258616818794727,0.04410095558807962,0.06237693873834293,-0.10691320017431678,0.061009506935552085,0.09210572838846678,-0.05649658147220261,-0.014410184128617307,0.020349667009286535,0.114175475913727,-0.051244113883359366,0.0324230409595141
HEBP1,-0.036676516933992306,0.0005241335823808162,0.03167336927033042,0.05228708416159598,0.02901963756396679,0.043883031450207506,0.0310955511699337,0.10092018534881643,0.08002637458112069,0.0043625171405108475,-0.005767857343575053,0.03413077819643903,0.06806506679851672,0.026782735554805728,0.005316915508916184,0.044380748016837786,0.055570924151089676,0.018049588180149578,0.056329899367993576,0.07666098315667454,0.038478904850216405,0.026115412138330137,0.08556646030755415,0.12703965413276033,0.0718752110808269,0.019762954529717037
WNT7B,0.03712237363071706,0.002059067548188052,-0.02479008534673858,-0.0067951709400527315,-0.0407112331713045,0.06125491855616885,0.005211392459160598,-0.005645230569659635,-0.025656316565098564,0.08165004004165637,0.006374890682406274,,-0.007202421480356275,-0.023227084797218637,-0.04731916532635586,0.08604067933415947,,0.10077230220897106,-0.02377134345952338,-0.054709506820703656,0.014189768247518414,-0.018738169808464274,-0.06704663083385651,0.08831002836343121,-0.025495517861168965,-0.01901557378191743
PTMA,-0.021551451457703243,-0.08320810763701555,0.026038056434439905,-0.007852636306012763,0.10965707379658746,0.03144869969684378,-0.012370100419789585,0.3021312238469725,-0.13672547045795816,-0.03923235786887176,0.05787700418414131,-0.04748150986586735,0.17181211545448996,0.1356137526077981,-0.005848631697464998,-0.034888626940986,0.027454267578357477,-0.0951710357639369,0.014725155363360698,0.10509197412520813,-0.005264822011624555,0.11825889907019016,-0.11508377914024887,-0.04315112529125414,0.08743523845621518,0.06408251488050101
FASLG,0.015246485114853658,,,,,,,,,,,,,,,,,,,,,,,0.02527465273126203,,
CEACAM1,0.062062152369422946,,-0.02491430045819627,0.026034977375591718,,0.03680415205948447,0.03010527795433164,,0.0297620384758735,-0.019054631450034058,,,,,,0.01996249745422219,-0.06874145548761097,-0.02374884590043451,-0.0437280727513221,0.06574616667453301,-0.03511579140074692,0.011219962894227909,,0.05355171478856441,,
PDAP1,0.12603183661664108,0.1009599057830469,0.013801460745321162,0.05630556741940697,0.01971138578355041,0.06103134973992182,0.0095790059252204,0.13846762446346028,0.19402430198809847,-0.0015813765411544047,-0.023956035381146597,0.049925586486272225,0.09137454939276689,0.07711219529296753,0.03641984723712379,-0.09491829512973371,0.013146052313142866,0.05081613266116371,0.06480548197164492,0.03748418958110453,0.03424067651459887,0.02287596396701148,0.11547903829129792,0.005796308876986519,0.11579545943852422,-0.0020724110985943446
QDPR,-0.05483430467606666,0.09459896829049137,-0.057560145834145454,0.019476850931438895,0.1052077818025451,-0.02635220151860371,0.034870204068588505,-0.12231235991360698,-0.19135275211704594,-0.06275029350127452,0.07326042768544433,-0.06394533284985346,0.1619244552566411,-0.006590019930989897,0.11254527275799595,0.007489595722149903,-0.09765473441093513,-0.20079966607342092,-0.0021624291683999698,-0.02330257690031433,-0.03173417906394112,-0.009769526961516615,0.08535353029863003,0.0514286966291066,-0.01009575712615278,0.010670662325256876
POMC,0.012916545387299546,-0.02283853882097023,-0.003337398866941908,0.00937868867545904,,-0.0036790319878051577,-0.03020900953721366,-0.004444897111760787,0.06168071636649267,0.039385520781918364,-0.013622219217271461,0.004936177860328871,0.016225352965771194,-0.056022251686992104,0.03409492954957877,0.05465042197737861,-0.06346051575312087,-0.0028610218631352435,0.04203438459602537,0.014659405471879798,0.061994182974496034,0.02348975122953754,,0.07274750865829803,0.05583067941754296,0.05832608790475709
CCL18,,0.02061362827402357,-0.019985343402843105,,,,,,,,,-0.03702900383137028,0.07282591468980584,,,-0.022314143261675877,,-0.042800482328678016,0.023730205905847672,-0.043022774724587674,,0.06129097598713084,,,,
CCL17,,,,,,-0.024844602526847913,,,,0.059167824848347844,-0.004068624253266604,,,-0.003598240672613364,,,,,0.04608077434572485,0.050296879969850314,0.001553282183567725,,,0.033728361800433954,,
