,UKF243,UKF248,UKF259,UKF260,UKF313,ZH1019T1,ZH916T1
IGFL3,,,,,,,0.0361830225452239
BMP1,-0.03349868113119576,0.016342347144184012,-0.0899878679965266,0.025271389010263948,-0.05930187098809191,0.05939243594416472,-0.0019748565876151407
NDP,-0.057230249654607525,-0.06497237550864433,-0.034613059571975635,0.00770951652430829,-0.04502912579374061,0.027708483510299538,0.027753151462373078
TNFSF18,0.07455028229204434,-0.023730667740455402,,,,-0.046633873594507054,0.06976442697986067
RTN4,-0.035720499937751574,0.02399078102482273,-0.018255431118369903,-0.024897107558756463,0.0392153575014661,0.00925074539466459,0.006547486861046096
HEBP1,-0.07496966917273712,0.002543694991591003,0.023616691894251602,0.011048738096396078,-0.03941453368399817,-0.0168339635438449,0.05630650332224885
WNT7B,-0.018008779611378395,-0.02372099772763874,-0.018682473731997228,-0.005497211601506583,0.05352986098114619,,-0.034053131971094504
PTMA,0.060566103483814665,0.016423321726070073,0.03374326046860921,-0.03609580659066839,-0.03194308463726472,-0.003627090428324869,-0.019409460349724184
FASLG,,,,,,,-0.013837168486226913
CEACAM1,,-0.015103919661308949,0.01079668183873968,-0.016010999497961694,,-0.032791527575517544,0.024061030883087142
PDAP1,0.0024236035245006433,0.035009226144518166,-0.005739195999195955,-0.024296082858054305,-0.060126040579212274,0.009878781157715942,0.015771725920995114
QDPR,0.06476926869035411,0.015083662809173821,0.02041227498670042,-0.028721297219776655,-0.01053691691770174,0.022980543018244228,0.021430639163126996
POMC,-0.016612955234341965,-0.03579797673180746,0.031413805434136945,-0.032217917145128824,-0.022929645661566612,-0.07072456900083042,-0.0014766366658345124
CCL18,-0.03132421711499404,0.05382367790693929,,,-0.07150957018724004,,
CCL17,,,-0.02715817222129433,,,,-0.012541839047273363
VEGFD,-0.003039893570278483,0.00016827376874778085,0.1430381419503083,-0.01531841780634179,-0.015492195504408167,0.08795977300134754,
TNFSF13,,-0.01422350986494013,0.0754716802102588,,,,-0.0005074510018809898
WNT5A,0.046523720731074296,-0.009364601662205664,0.0009526966763530872,-0.0635409405658386,0.0230659073870498,0.0499434385877788,-0.00513392686955127
CXCL8,0.020048628335382016,0.05132673653860891,0.027824654431459338,-0.014123085595766628,-0.00842452381853596,-0.03820591948055656,0.02884275524530721
GRN,0.016624326243501242,0.07875511016518914,-0.07531975349964819,0.01620100180550052,0.011995035894774457,0.04508001269626404,-0.01992780538379855
MIA,0.06616966971747229,0.023697163969511534,0.033374416776870475,0.022165717923555622,0.12568404925493953,-0.01186808254353221,0.09863379009365549
COL4A4,0.014947078129197005,0.007292596129090891,0.02065316108984673,-0.03458781035281683,,0.01895051236305816,-0.03683143858849204
TAC1,0.05133260753654755,0.04274752735381544,-0.02642657098128001,-0.04137282231941435,,,0.08508415885938499
RARRES2,-0.07308312175229098,0.01702201480699175,0.017515116991924453,-0.0028649908930608796,0.0574352907514553,-0.03237963743697962,-0.010367019059288324
FGF7,-0.004742649823434882,,0.00024182902744531064,-0.004681286716166937,-0.03375454320063146,-0.03907171115291687,0.017891139133057024
HBEGF,-0.06363302661122183,0.02440918284170888,0.00014225137851591442,0.028326219769717276,-0.0037366022196543927,0.08597613347925605,-0.0032664728048368403
CSF3,-0.002527693692887522,,0.06915505082860925,0.059077789549480446,0.05936699701347538,,-0.013204621709742874
PI3,-0.042089131386428065,-0.019829169096283808,0.052176232640816826,0.08899266061244349,,,-0.028689256169764997
PCSK1N,-0.07136179900027319,-0.012695665194571312,-0.04237949277891122,-0.019093441009358267,-0.007923248268684333,0.05282153666992657,0.02743100899561865
NTS,,,,0.0425288113375966,,,0.1738556141080787
SFRP1,-0.006996452532960768,0.0018848291729574287,-0.02369655502394677,-0.01747566192203145,0.0623849829123336,0.0017015251987747202,-0.019099853059242285
CXCL13,,,,-0.017318604139130667,0.030270654292915682,,
MICA,0.037296710904445286,0.00797668128918165,0.05004083839625702,0.021978314320389346,0.08693513544053882,0.06685078254472361,0.05937091356832091
TG,0.07662396473962117,-0.005324074342110274,-0.0019662497775704457,-0.03706520830585542,-0.03306706165308712,0.0272471587480938,0.07550371267678342
ADA,0.0484638083998808,-0.017267159369766152,0.013640959022267236,0.018978812534734577,-0.0317515115422337,-0.052233793731580706,0.010960577838461735
LAMC3,0.060361115337985924,0.0751071218045342,0.027176186262705602,0.016326359645201356,-0.016165926150330117,0.06752695416253213,0.020296122423991574
CCL7,,0.04480938605474559,-0.0030151285509259114,0.05942978861856502,,,-0.013837163565894962
NGF,0.08966806274456347,-0.020584669727878663,0.13020110209887847,0.034837629226096796,-0.029394528987761494,-0.061671551940426464,-0.04142805067079881
TNFSF15,-0.025322876965897245,,0.0224290125476603,-0.017000447578826187,0.09004983801741089,-0.05016283252148462,-0.03656018181287149
HMGB1,-0.050817666816293385,-0.008208249880563283,0.016550771363618686,0.0018356692067220076,0.02474796594339075,0.06108198963101948,0.04624205542194145
ITGB3BP,0.03663682460217931,0.04400161569601509,0.025026295917387167,0.005290989659787625,-0.02876441832311371,-0.04310043621449669,0.009110243024429506
AANAT,0.025587097487815437,0.021211109802894968,-0.018733101379754653,-0.01531841999313226,,,0.09654831593256866
RELN,-0.018980358891279546,-0.00940121534080594,-0.032516468810085526,-0.010304438143200813,,0.060387773594854345,
IL15,0.028337716328130914,0.10822625841393174,-0.03664156088451381,-0.04307230165327784,-0.011836018934920192,-0.032284340270907735,0.012169147963483961
BSG,0.10585827082689668,0.016390533551369543,0.006940780342956416,-0.014876629743499624,0.10600581300156489,0.02089491154488986,0.03445752839898564
ADAMTS3,-0.0007985716904558295,-0.02140397659039135,0.003082252574611856,-0.018470758615187786,-0.029079212340261562,,0.08657440958488845
CD34,-0.03331749060923529,0.03554845722567198,0.03237270132660574,0.054397917144384356,-0.0066417296451978,-0.012073782114446461,-0.008778438508728054
PLAT,0.03902054664258026,0.006761536510695174,0.017215929083389096,0.031871036130666934,0.02442579109224993,0.010719693591899594,0.02815352607649869
NTF3,,,,,-0.03157078474731438,,
LTA,,,0.02416447979753629,,,,0.023439143883818424
CKLF,0.02766223837566951,0.004771015104737723,-0.04155120785641555,-0.0045741036175567015,0.055718444712295805,0.04943229464946747,0.08275306105754215
APELA,,,,,0.056613145111855626,,
CD24,0.021156890953572746,0.05992604189037298,0.0006404636933094344,-0.05817468056612915,-0.006983647189055363,-0.036561766371743125,-0.03244635333448006
HSP90AA1,0.012188216074590748,0.0049466812153695595,0.04830911077768186,-0.023348306687498977,-0.019873802176117165,-0.032128303865383054,-0.05222084680560325
BMP4,0.077655664128559,0.03899215736202099,-0.04939527944580408,-0.02972786851039319,-0.027516736309460783,-0.09008796790918513,0.0016807719108005098
