,ZH916T1
IGFL3,-0.017104436577025515
BMP1,0.13116160088126405
NDP,0.0006225604184394864
TNFSF18,0.0001004874638331661
RTN4,-0.037075722170356935
HEBP1,0.03596408879972162
WNT7B,-0.03650797806927474
PTMA,0.11387882234397395
FASLG,0.0137880558351997
CEACAM1,0.09885161863399317
PDAP1,-0.04931017730228376
QDPR,-0.03512079429526211
POMC,0.09026646801183422
CCL17,-0.01344596395053741
TNFSF13,-0.003206167133009086
WNT5A,0.03829971421000981
CXCL8,0.025081002534121672
GRN,0.11051003163599345
MIA,-0.02450271567647844
COL4A4,0.02731550858343738
TAC1,-0.017676086856143296
RARRES2,-0.01610747223391566
FGF7,-0.03157815672136021
HBEGF,0.04511953688801141
CSF3,-0.014156525755151196
PI3,-0.03075742742132043
PCSK1N,-0.05941034761960975
NTS,-0.020963884242291574
SFRP1,0.021501628059163655
MICA,0.03292262888959293
TG,-0.027607925471952767
ADA,0.15685118417685107
LAMC3,0.1599225358529995
CCL7,-0.014834666732959077
NGF,0.03593777525057214
TNFSF15,0.12565416751595518
HMGB1,-0.09032653820642587
ITGB3BP,0.03706228265549099
AANAT,-0.015695696041386282
IL15,0.010686348154596244
BSG,0.005531253351691928
ADAMTS3,0.010028441035055886
CD34,0.10284363608607933
PLAT,0.04663233511283972
LTA,0.055257079613702006
CKLF,-0.02619574719579443
CD24,-0.015933941306731588
HSP90AA1,-0.09467674529084258
BMP4,0.046853211052912055
SCGB3A1,0.10647215704410229
IGFBP4,0.1605325348822914
RSPO4,0.03590495696486741
LEFTY2,-0.01895531521601309
PF4,-0.021124036585282866
ANGPTL2,0.09684633248085925
LRIG2,-0.008251275400728736
ICOSLG,0.07794640569741332
LYZ,0.11785651181836841
EREG,0.01925057734520279
SPTAN1,-0.013494206827947818
LIPC,0.03633417285576725
COL8A1,0.006772526489340555
GSTM2,-0.027481210800540314
SPX,-0.03860696595646143
MFGE8,0.10267526723650182
TGFA,0.025018039490132465
SLIT2,0.018787455011869878
PLTP,0.10402352826075863
APOD,0.015867140020330954
B2M,0.14079729638948255
OMG,-0.035948750634413995
CXCL3,0.007448781500927844
CXCL10,0.0290838115099764
RSPO3,-0.01505428595641649
NCAN,-0.07009250159645007
PRG4,0.004029323947155518
ZG16B,0.06897297473611004
TGM2,0.11476957239612622
VEGFC,0.00018394640452967472
WNT6,0.033569786370805335
NRG4,-0.015054287643642776
PMCH,0.006923909272812748
COL9A1,-0.041483508226289066
GDF11,0.05362977678579058
RAET1E,0.10767128907602729
SORBS1,0.004343362807569787
DLL1,0.0969607429173441
TLN1,0.13669240456875384
COL2A1,-0.0020961990847720466
SHH,-0.0524466445241512
PON2,-0.061944739706522534
ICAM5,0.018896116374652727
HPX,0.027255358382555706
SFRP2,0.050209286295523285
CD70,-0.022968035903121877
HP,-0.022519567762895293
CXCL2,0.01866182829930876
NPPB,-0.015270898215142575
CCK,0.10670234522671614
SEMA6A,-0.04238653210474348
IRAK4,0.030426304582494963
GSTP1,-0.0557898729429737
VCAM1,0.08010267701777259
NXPH3,-0.023908185543316307
MTMR4,-0.02459472408282655
LAMC2,-0.0290957441088649
IL10,0.10091153144777983
SEMA4D,-0.0012791178510736258
TRH,-0.01710443008990439
SEMA6D,-0.07642543453371453
CEL,0.006056496905406344
PDCD1LG2,0.022445261227198456
SPINT1,0.03988560279087494
CTHRC1,0.08615129271826542
PODXL,0.050789537068636266
JAM3,-0.02059295034026668
TGFB2,-0.07377321277167698
COL18A1,0.12077735950452992
NODAL,-0.023408968046138984
INHBB,-0.03436509648308207
LCN1,0.0782303766697949
ARF4,0.03562264056587486
CXCL14,-0.11375359024581284
LIF,0.03011294869565784
IL17B,0.10319846905791882
MMP1,0.08280079760803284
MATN1,-0.020802641989122128
ADAM28,0.10787094341080022
TCN2,0.05747246686400763
THPO,0.014053087134162007
CUBN,0.0505837334303822
TIMP3,0.1454727579871338
PIGF,0.006976458148108316
CRH,-0.02564913441305007
BDNF,-0.01033013866786231
CCL5,0.09584408689629738
GAD1,0.015061438093549045
COL14A1,0.14161183561048366
HLA-A,0.11338623008033398
FGF18,-0.017104431462179395
ADM,0.03878349642059842
CCL15,-0.014834672079275631
GNAI2,0.07286735479425353
HDC,0.03745106973488542
COL11A1,-0.002683475755492124
NUCB2,0.008775016255183215
CXCL1,0.011475088444433566
VCAN,0.03464678080552633
MMP7,0.06006649733886593
PTPN6,0.013180859900682192
PTGS2,0.015146054079718358
CD58,0.003324919122896165
TNFSF14,-0.02419994060668065
CNTN4,0.023904193153262632
INSL3,-0.020312030961515955
BTLA,0.0020161596694602403
MFNG,0.03939653053530042
ICAM1,-0.06817941671314927
PROS1,0.0004595293944938962
CLCF1,-0.05382697441937717
PSAP,0.06918393676556929
EFEMP1,-0.033648386488429674
C1QTNF1,-0.047670108599152404
ALB,-0.022968043071166275
EFNA3,-0.023819951326832192
DRAXIN,0.0591462951274089
NPTX2,-0.014498959024744072
FGF11,-0.025249058443889538
CD59,0.11778149021645896
COL9A2,0.03863324723303845
DLL3,-0.039461835029312525
FGF5,0.037941450927106664
LIN7C,0.045161735321989714
GDF7,0.05943474773410271
PSPN,-0.02602928502584864
ANGPT1,0.038777864323323266
PNOC,-0.02096390159745162
L1CAM,-0.025514069196355647
APOA1,0.011927138501704775
PSEN1,-0.0005604613659049184
CALM2,-0.08746360538490013
CLEC2B,0.08276470836420223
NTNG1,-0.04722873456501807
LRIG1,-0.10152945876041898
CPAMD8,0.05713614354182792
GHRL,0.18824300780200484
NPY,-0.025649127242555084
MMP2,0.12755232835899932
PPY,0.049144360846710616
ALKAL2,-0.002777876186277506
CSF1,-0.015840191186103792
SEMA4C,0.1364338448978836
BMP8A,-0.018231141168460342
ICAM2,0.15168739126854697
SYTL3,0.024676719196226035
IL1A,-0.025455483677349143
PGF,0.07933251752997866
LGALS8,-0.010977447729899887
DKK3,0.05358037048341742
COL16A1,0.09044482854205527
TPH1,0.04858542578250881
TNC,-0.027086334517107923
TNFSF9,0.01793156802921634
C4A,-0.024551017779202725
CNTN2,0.02932678951371999
LUM,0.12201766258225134
BTC,-0.03572049347790222
APOC1,0.002171395984046277
PKM,-0.05742067482244
TNF,0.049137562775967904
GNAS,-0.09831719185157656
BMP8B,0.09332283438289546
LIPH,-0.01274432362086334
CCL28,0.10279554618720355
PTPN11,-0.03819228485962986
ADAM12,0.08671300020029085
EPO,-0.015054283074072894
EDN3,0.08128257562373478
CCL22,0.08535593705883526
CCL2,-0.06698189788244314
DSCAM,-0.02235942906962684
ANG,0.018188003616066106
FBLN2,0.0616987161511889
VTN,0.11463989812066679
VEGFA,-0.12077722576680741
F10,-0.02657825748705668
SERPINA1,0.07827147301263622
VWF,0.1282331385689205
VASP,0.1143858877427991
ADAM15,0.025791551036364824
WNT2,0.008254714418606642
OLFM2,-0.08480247114695239
MFAP2,0.12373116051980684
HLA-C,0.09905605731245211
THBS1,0.07474620643875181
HSPA4,0.031804340715412244
LMAN1,-0.021376417971604653
LYPD3,0.07596661651541241
APOE,0.04216626877823327
SOSTDC1,-0.02510519266902324
ANXA1,-0.05468996919328554
WNT2B,0.016256686811911454
AMH,-0.03474799247274488
GDF10,-0.017090468431369833
EFNB3,-0.027436320052241715
LTB,0.06042822549971907
ANGPT2,0.06545008747197602
ADAM17,0.014868721942764425
LRPAP1,0.006728719126084042
NID1,0.13491132052958238
MST1,0.02924760337369292
DCN,0.1464020827809636
IGFL2,0.0016790979948272697
COL7A1,0.057944653695241065
CALR,0.06831403231601411
PIGA,-0.013744621873826307
CD200,0.027154461432037057
GRP,-0.01786287805621442
CDH1,-0.03029008685796549
LPL,-0.10532324540912653
SEMA5A,-0.006242745153063255
SEMA7A,0.05807484494766714
SEMA4G,-0.015030917001070758
SEMA3B,-0.026410951821671837
RPH3A,-0.036200758121232406
JAG2,0.09136388466500202
CGN,0.0011233270927817208
GDF15,0.01044613922866728
SEMA4F,0.08727441276134966
NXPH1,0.03716607317714721
ARF1,0.07556330913465943
DSC3,-0.015054287643642776
EBI3,0.028844742308740685
TIMP1,0.10079781499146542
SEMA3C,0.08396981166401163
GNRH2,-0.016313372384602304
GAS6,0.04437732028807074
MEPE,0.05897466633776343
SERPINE1,-0.004852260310102354
RSPO2,0.14863208012515294
SHBG,0.06730198093582457
LGALS3BP,0.03533004424499427
LAMB1,0.12780477284591776
SPTBN2,0.05970695861828777
COL1A2,0.1106579751027383
DEFB1,0.007357035703390954
WNT11,0.1255161755944761
LGALS1,0.09032318597256646
BCAN,-0.07484302430061571
ANOS1,-0.014728540771908192
EDA,0.014390551629236985
FGF22,-0.02885211909413412
SHANK1,-0.02683875953378302
RAET1G,-0.01877107118377078
TGFB1,0.10730453729934873
MSTN,-0.03630338177730159
WNT4,0.0328037138734907
TNFSF4,0.07376827188317586
