,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.04627674355320281,,,,,,,,,,-0.01971270483351463,,-0.017518174256483124,
BMP1,-0.021958950943382266,-0.01722677902530896,0.016831643179888837,0.014009574908143906,0.013677607607379282,-0.02534353983304872,0.0822112372507687,0.14589458180467862,0.10538354416271038,0.061249039551815175,-0.007066484672430449,-0.02638137318073661,0.03656041791094946,0.04036224401109429,0.07441746533601964,0.05567682794417884,0.06062357370374527,0.0483489089422335,-0.004827024143489694,0.12089361230264306,0.07997486493357092
NDP,-0.09900840301605192,-0.05714676247526969,0.010096200754641713,-0.0686728293509336,-0.04476266832542469,0.0006527162290016256,-0.035048834673516986,0.040737540781110484,-0.02830462128919473,0.06128190460241568,-0.04530047749014035,-0.03216355116472844,-0.006167718865754184,0.0028083564219285105,0.09505353622330488,0.05752063070267233,0.06945899855921242,0.03153187978148764,0.019399302645077415,0.009627774149910246,-0.054182144614948684
TNFSF18,0.025035904403193313,-0.04888022215086305,0.04111764872616379,,,,0.019613796210239468,0.02433648021603615,-0.022773755599024673,,,0.023216931193758204,,-0.06580948631248075,,,,0.004807784892425694,,0.03209839153732174,-0.0070094737899469624
IL36G,,,,,,,,,,,-0.023978506461895147,,,,,,,,,,
RTN4,-0.05526135109020332,0.007473055214377399,-0.051739779793887324,-0.08279531767270334,-0.0023255078811824925,-0.05542692543106646,-0.11970664122917599,-0.17449865013507865,-0.018257084181048613,-0.023435517746223627,-0.015506825695644938,-0.012511362332058806,-0.011466402513108914,0.07408313881678708,-0.039476965147932676,-0.018116647889808057,-0.052730590921836025,-0.041672606435607454,0.06482373415664663,0.004583132615445789,-0.0605428152670188
HEBP1,0.007923110290689712,-0.003755728160574662,-0.02614295610055725,0.04842148400528952,0.010401510504008015,0.03493023041730664,0.0077427602895123035,0.08788503171950121,-0.005668453606950178,0.0026867303631133424,0.011984041623731075,0.04540805839610682,-0.03525976273891847,0.09575296308422467,0.05061244768439262,0.07284699605718878,0.0759326865406611,-0.027418565754775834,-0.03593745088882946,0.0686732840971349,0.022744047193730927
WNT7B,0.07074149045116336,0.00026666313050860186,-0.002740260221532171,-0.0304942429138789,0.016898141147918887,-0.039814980309590305,0.05891176686547456,-0.049418774680485264,0.020137931416260104,0.017188502444321484,-0.026355141918264997,-0.0327164028153267,0.06104425475521377,,0.04466524336551162,0.06494214496092217,-0.017396637092071385,0.062154269800955245,-0.010992838852833106,-0.004868440566847502,0.04195196003793662
PTMA,0.13107216529010204,-0.029203082730131225,0.04410706730027779,-0.07088181527412553,0.052648943429635796,0.08964945944657025,0.1354401550185718,-0.1118666164389933,-0.05348127589070316,0.07390062148091218,0.03745475703011105,0.002015581324268217,-0.12163088041693822,0.08231665966310577,-0.18454848925887923,-0.08141379203034248,-0.007456166820194874,-0.07438058728390082,-0.019616504690902245,0.013899559806683308,0.02658881716820961
FASLG,,,,,,,,,,,,,,,,,,,,-0.027025881212502895,
