,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.10039176698015906,,,,,,,,,,,,-0.03978323574155075,,,0.03936277575286182,,
BMP1,0.009956175502762461,0.03235291466961102,0.04566209027434698,-0.020136002146561405,0.011544838582965617,0.05743311565993215,0.05655057014659091,0.10253326781030561,0.38507469825865326,0.02422839743102179,-0.02696656341735634,0.04246087753493898,0.1403443361075273,0.20698299459699296,0.15122571235241108,0.1317064975923862,-0.031485163884722084,0.09751586918831576,0.039565835215448604,-0.055436348182341576,0.034000861834494814,0.05356023248476309,0.07237449493755249,0.1395475668755922,0.0020657569344746454,-0.06491839451003135
NDP,0.02915258612248333,0.05531213255028385,0.02801919032499123,0.0057018210685025605,-0.06974617334795188,0.05757428055244258,0.027583150015187914,0.08579141742577737,0.05500660865620228,0.021948813894768812,0.019081084934823734,0.0016991664341380346,0.07272495871164525,0.08331531531034427,0.09557801672211406,0.03201381480682495,-0.03185292302397177,0.01738874797751351,0.0783902139510662,0.15903440471386415,-0.042824393210798894,0.038861082780561565,-0.03171933009815325,0.19442436571789348,0.09628506783170719,0.1691041761012151
TNFSF18,0.021900486494146193,0.08899037059886097,0.043068535044206206,0.01815447949168206,,,,0.034998288200318986,0.1020482494352441,-0.001063414615321887,,,,,0.08534399285407858,,-0.020850684804280283,,,,-0.029734922362722887,,0.04791086333053914,0.06448441415436094,0.0397004936914261,
IL36G,,,,,,,,,,,,,,0.008019896148099937,,,,,,,,,,,,
RTN4,-0.020609605071154908,-0.030161321234885654,-0.022767415695827544,0.015515636358303714,-0.022956548395117213,0.008054541676325433,-0.03994200277059035,-0.1615231383402155,-0.4287318956862461,-0.015026998375104733,0.034138136713183116,-0.09466635750716004,-0.10271778263213395,-0.124132950902752,0.010955768481206168,-0.11629141787289793,-0.0004567436863428825,0.006805613063491693,0.01393011984472843,0.017191176408182202,-0.03014659485596414,0.018160972770687712,-0.07126096119011965,0.016954986210282182,-0.10314953294916626,-0.027777219780541245
HEBP1,-0.052621915576113766,0.0685996358111341,-0.0013728014645073613,-0.03324664000668273,0.04385966398686378,-0.021827485087164936,-0.014993254700667901,0.10089742565848693,0.16609856830554184,0.05370770370526641,-0.01089150997587713,0.0196998691351913,-0.011163128854146626,0.04313851872936304,0.14119765024185085,0.04687434816518969,0.0211920107918817,-0.02855604391838013,0.07478572866075169,0.04504911135293335,-0.0076600781961745894,0.002996667003086691,0.06089611036469367,0.172722498443341,0.0176820205849716,9.23814562544233e-05
WNT7B,0.07698313865021894,0.07604396947547622,-0.07185977577567748,0.006070677464013207,-0.029778814796806143,0.010226343030318736,0.010230215966103021,0.00920440000898491,-0.16543769288233282,-0.06618859437737586,0.03928906304913647,,0.046544792071100884,-0.03419683427943975,0.002508991254731335,0.04991850262477202,,0.035107846723972665,0.05015291741336892,0.05763623158450586,0.03935282600588079,-0.04234572431587781,-0.007745172248092812,0.11529541442288394,-0.026202605760764493,0.02500816864417792
PTMA,-0.03983859221382658,-0.08646147398801934,0.07708549397764387,0.09613206800603208,0.008464339380852965,-0.039481966088791995,-0.030474247680909117,0.23818213856253373,-0.15089089833622413,-0.03955438067912792,0.0668622502593619,0.06634552426053467,0.12691442415322435,0.21615320655693365,0.04524181269223396,-0.18437433482035137,-0.03599763645198716,-0.137903289720042,-0.055316908454964724,0.03215499024348458,-0.014464055410267697,0.07766921500093787,-0.06324159011130201,-0.09788848355794301,0.012436972133383887,0.05582395496677847
FASLG,0.024276173148281503,,,,,,,,,,,,,,,,,,,,,,,0.051485589053238724,,
