,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.026425685024694945,,,,,,,,,,,,-0.02386175404086605,,,-0.05496919602509025,,
BMP1,-0.0398594788789523,0.05429957992744751,0.07921900790560285,-0.003938863507998407,0.18327704555635838,-0.022488466908495024,-0.047709835819069825,0.04058593493673325,-0.48180256661965665,-0.13604476255552023,-0.02459227743845728,0.07735737185501732,0.08829635576063728,-0.061849449692500204,0.0055121405509697555,0.023361280361485135,0.014028707084882382,-0.033827249171803096,-0.046016842539803114,0.01908793759819292,-0.17239564848325503,-0.14867136375567544,0.02554851176814116,0.08600338998040867,-0.02350635240164323,0.06309698558178062
NDP,-0.007792475887494162,0.048315640767264814,0.09441903133943326,0.021434942733374422,0.08192542465475236,-0.00996528840836045,0.09202703060185652,0.026515105173083753,-0.04780713193859194,0.027742403419658414,0.012309840877273878,0.06606713201616514,0.03713673756928016,-0.011447222056550495,-0.0043736883249542,-0.043478213131699264,0.10520461544280563,-0.09513487331956505,-0.06973244551579037,-0.007748822722330539,-0.15961343734009853,0.028577051211053407,0.058769550858681345,0.042756799740889785,0.07624505581172714,0.05708386974635398
TNFSF18,0.05150867141164032,-0.007627305158300019,-0.0989934746056341,-0.013921939786867212,,,,0.011717866611651999,-0.09414359474722533,-0.05320413558691938,,,,,0.02509662886391691,,0.1028162970545487,,,,-0.07876598828368468,,-0.02507698848698518,0.020028687937842772,-0.04044519322589572,
IL36G,,,,,,,,,,,,,,-0.0018754531213818226,,,,,,,,,,,,
RTN4,-0.020647110052794685,0.14980188811315986,0.07877750812870911,0.004901669425313194,0.07481244599784802,-0.009473156930137845,0.05441694636519727,0.08542299438827941,0.5516120869862778,0.13271754431154287,0.08942293194688927,-0.15881348033974116,0.02510510549219278,0.23831633870608876,0.11505926480185115,0.12327322375589325,0.1620330506068684,0.09347568570358138,0.18203668551405644,0.07249029960306826,0.3035906465378095,0.1808254423080388,0.0038933248856271893,-0.0466428623052991,0.24131762168285034,0.009684006799530848
HEBP1,0.032296317602359605,0.02125615497123958,0.01256792946105049,0.026488024498513948,0.011492166595391477,-0.06207514385419753,-0.00432145251403814,0.033038381624564316,-0.2312128613496925,-0.013437831948189583,0.051056185029337696,0.14656663878276066,-0.12337654252384013,-0.03461182902763545,-0.006424775267676696,0.06267180928255672,-0.004302649033382771,0.03507585282676348,0.07823583353980658,0.003141110784156381,0.004368036124620565,-0.04855244761167718,-0.005389504507917796,0.047130207353197895,0.04373105822721588,0.12093273568858258
WNT7B,0.0008623408282572609,0.1693221057165705,0.01650009021579095,0.01532998413792838,0.023159184255492044,-0.044246405686331654,0.12238756594137691,-0.045085529713694006,0.15077578120649548,1.3767458059118722e-05,0.028374523214435062,,-0.026593687865908103,0.05639605156345533,-0.01975108444462678,0.08321894406112822,,0.05118277913219859,-0.038646820049392606,0.06726733753036074,0.0033965674677787247,0.010751096549783101,0.11624451612551524,-0.0038214396413666085,0.006956587373165705,-0.11530270793112962
PTMA,0.019680532962755175,-0.09182219847878749,-0.020237708326532107,-0.008847180741811045,0.1682070681306924,-0.022744864870112458,-0.06984527611838821,-0.05651760378096258,0.40123979707866164,0.09222919237821722,0.02894452280454756,0.24562802119903662,0.07134445970772904,-0.14772586532177476,0.15109815177407374,0.03845135267680481,-0.052663400238685355,0.06935752375136015,0.04042094203017424,-0.0075764795334471126,0.277632653852102,-0.09031629617268559,0.037814182161895256,0.025078978113188072,-0.04707601910970041,0.13398106969218745
FASLG,0.0109606115126808,,,,,,,,,,,,,,,,,,,,,,,-0.007883212717420431,,
