,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.0006786586361561532,,,,,,,,,,,-0.014136673191959728,,,0.14183949415599922,
BMP1,0.04442830332212175,0.00894568824241438,-0.09246959011661512,0.028213623993357674,-0.06267429475716546,0.024862374963785648,0.0215516873995598,0.055865795798564766,0.07991513319396437,0.007379651292101464,0.03306703294402716,-0.03976659207260961,0.05401915825670781,-0.012908280718751719,0.03972200270757326,0.08037197651869876,0.1137398651228759,-0.0027785073456408917,-0.020295541228989016,0.054014403532263104,0.005954912728113051,0.17935585127551215,0.03871154127737295,0.1029500013404054
NDP,0.005040577789823436,-0.03613105723637931,0.0077311490821370355,0.014381581586343978,-0.016775211736285576,0.06124673222132528,-0.07005991384082401,0.026717905308847194,-0.05041170446640406,-0.009841750219526322,-0.015766140883611734,-0.015331771680137902,0.03845875218928995,0.12356416741280574,0.029157167775411837,0.09701479892442609,0.14768165407724193,0.08299792018584581,0.07637895854047251,0.058511441114088326,0.005861666148887774,0.0006379396689594987,0.18165886451757754,0.030714609073227137
TNFSF18,0.010727365776706197,-0.030822759627773217,-0.011926265126183267,-0.030133756914053907,,,,-0.021631909798914977,0.0895961237744562,0.05861634010859137,,,,-0.03158894841188907,,-0.075384539008748,,,,0.07985754934010376,,-0.04469149705528896,0.06527601974780592,0.013136632304817817
IL36G,,,,,,,,,,,,,0.061397768869354774,,,,,,,,,,,
RTN4,-0.05199378494965304,0.05279611729051786,0.011659495675557185,-0.012336300642997277,-0.0129106195780935,0.007475859040850367,-0.024037040519012294,0.043705881821928326,-0.08289509885689793,0.016804631402643627,0.057961131274498166,-0.007694691669253498,-0.07119943531065756,0.10885520480649667,-0.038981339554240255,0.06910674412708002,-0.02008994752909168,0.03234286589343485,-0.015757913636429467,-0.06345540298741681,0.0682064443685779,-0.07474439188027383,0.045355873614898706,-0.13877619158849058
HEBP1,0.04411212405607389,0.04336991095644847,-0.023308408202938932,0.004224914691301194,0.0017685324677467482,-0.059703708404614975,-0.03582405299269012,-0.028894125122127478,0.036121853676396545,0.03105248248522671,0.002786355626548203,0.07028094867924037,0.03080273114640051,0.04226195263216451,0.15018122365459521,0.00028382853646718526,-0.04319151019667909,0.0630597702135777,0.056744524154697835,-0.07792996668114258,0.08871323085658492,0.08337378736195901,0.1453862148430935,-0.02345215807817196
WNT7B,0.012392588093058548,0.0073803436400425625,-0.051184775685201224,-0.003296517593295925,-0.03959933426828474,0.015615393451927478,0.05174060971344209,0.01737072641165793,0.007229108289882316,-0.0027299546722426766,0.004731662336146723,,-0.027272681164659498,0.011012779771585013,0.06821885658409935,,0.10775371688491528,0.0077839234424810205,-0.03170692051345818,-0.01148406828370499,-0.016500654755496884,0.02387662489845574,0.03161884359616284,0.0732045919667722
PTMA,0.021979119905127135,0.005397685619795535,-0.021634347814426937,-0.008323550265703503,0.027768261651168448,-0.009309610047120767,0.05154014088458822,-0.021264938172023917,-0.05922297931987476,-0.027713068807383483,-0.016918846341037113,0.02240295737463481,0.03292607992803278,-0.07324038092674895,-0.11800379455250572,-0.07026910730282264,-0.08145594422495671,-0.05923683891776552,-0.049782801565045394,-0.04832024514957374,-0.0051995182979937896,-0.012410960573173988,-0.18142318788779138,-0.04924682752418498
FASLG,0.04535411019323091,,,,,,,,,,,,,,,,,,,,,,0.1011692885779794,
CEACAM1,-0.031580551563339124,,-0.024684092746670834,-0.006310220937349761,,0.01576304687961516,-0.031558113581120054,,0.0029018703729634635,-0.02379445975292096,,,,,0.1895915904009765,-0.053008124762859266,0.09176771212113254,-0.0418416091147822,0.0357673917476952,0.033208890421037696,0.02962744241425883,,0.05970452134311166,
PDAP1,0.00933505077800471,-0.05809518595874033,-0.029248592481839027,0.00132924015092275,0.04270577881416309,-0.04946646292603133,0.00781597335382812,0.010341036101617804,0.07896810284599576,0.04436930721758725,0.00243424783750694,0.042767838117595935,0.014925288363093392,0.05675711285574525,-0.09942365269670514,0.008451459456077958,-0.043906502633909786,-0.10348706437919403,0.02077128872968394,0.027992335682421977,0.04602691702215312,0.013163756438932398,0.09413960295999438,0.0953615461217785
QDPR,-0.09796023952512839,0.01101141873054646,0.027624342734816665,0.01166724894818068,-0.05148494768354292,0.006802811026454077,0.014497404491392623,0.019746795404761833,-0.09095710986815322,-0.007814521903866807,0.013876990403085812,-0.06435947608602141,-0.021912645641466777,0.09219694523718003,-0.08489758278195338,-0.04161380900974085,-0.16525972167752498,0.02345931798285961,0.0717927548131647,-0.04554527983906085,0.002951624427497457,0.0553676203607622,0.14976908028927893,-0.04319481056619608
POMC,0.03846567060826743,-0.004645741215888686,-0.020256526662742892,0.04379132670132659,,0.0065273495269061975,0.07527701301177168,-0.029762675776824486,-0.02814420948540622,-0.01755460367440799,-0.03974404645874551,-0.01136476808737349,-0.03270113935292032,-0.010000370453333516,0.028250873634447334,-0.04055093578464799,-0.04275781077833761,0.0940888973483981,0.05298784645363885,-0.026934573319980545,-0.003647469326735412,,0.0750287117637965,-0.020728816747790667
CCL18,,0.012999077365918566,-0.030803415495355497,,,,,,,,,0.010727122736065756,,,-0.07184668221458315,,-0.036138600747046286,-0.021717169128946962,0.0734598378908148,,0.01832073182918218,,,
CCL17,,,,,,0.048845902633502164,,,,-0.018868925092890437,-0.018289682203543794,,-0.007008670818756886,,,,,0.017683737309034938,-0.016836702609661993,0.00753650330219132,,,0.09610639301667628,
VEGFD,,0.028736808709276574,-0.03080342527688266,0.0027132262771301,,0.04573039442549074,0.043849873102309055,,-0.022677561987516408,-0.02010324373083272,-0.01341570308120931,-0.028716782761297247,0.012733185484927372,,-0.0533216301533,-0.017000279416349986,,,0.010484932121175839,0.004160678987053316,,,,
TNFSF13,,,0.081012394481223,,,0.02394956578969213,,0.033878717364526204,,,,,,,,,,0.04476629959646752,0.07345615901094178,0.12113805934682313,-0.007594295178379258,,0.04225533996927579,0.06138580101821369
WNT5A,0.015471337456710931,0.05504292706725931,-0.04161186779804017,0.06256228995578554,0.050530066353331786,-0.031297188395155,0.003358563876013774,0.025645110652002544,0.10595254151839634,-0.017195191432570995,-0.03657257891339025,-0.022829759889310994,0.04753000294857618,0.030131729085837628,0.08115833947070125,0.028775507555738617,0.03418452849283583,0.0643123626384477,0.07549557196622714,-0.0320707385409144,-0.01691958548005692,0.20034802820197017,-0.02502060408847331,0.03771305752557697
CXCL8,,0.04174965759558536,-0.021433713356598036,-0.02859421248624108,0.03291327390132515,-0.022728381630017527,0.0021597724278760054,-0.017699720865031056,0.057736735221932574,0.00027507725282586147,0.03373367709876959,-0.045894907366716024,0.04478215839350679,,0.00820855409816765,-0.04408617784600997,-0.05089350546014702,-0.02479825707401029,-0.14079530772743853,0.024653661171129545,0.0007637802916820176,-0.08480921689580789,-0.0526291320517533,0.08557354752002073
GRN,-0.023868370151020852,-0.007739514289213221,-0.034528677347527466,-0.10776320269119498,-0.007111556234202086,0.03205967264936381,-0.006893541140771866,-0.09631254196755916,0.09557972877265974,0.020018328401348293,-0.044868784838476,-0.05507654877869293,-0.012410095683519216,0.11329222599222064,0.10682146312585472,0.11660246273488453,0.07288898944208343,0.05865589168108944,0.07969933039595221,0.11988735552250951,-0.0033425390352981674,0.05179739456345268,-0.09893306257609175,-0.12065401487250983
MIA,0.032268400348952446,-0.028042294366263276,0.02803752976770272,0.021344658160392275,-0.004098428989171369,0.039609229406027485,0.008339226984114248,-0.03793306514722375,0.11284882530963694,0.066239124954788,0.0036163120751871473,,0.013041781372077304,0.04906750800433134,0.08294161254274204,0.0275281380857418,0.042401939013897494,0.06344398904040205,0.1241508488463638,0.05052339822683164,0.07880083353518523,,0.1373761449871666,0.08894676212696934
COL4A4,0.004428137194404284,0.014814126661207934,-0.03699465173937888,0.006054931375200536,-0.03905310052402254,0.07008018548806175,0.05793026442609284,-0.0199600586658586,-0.020008045980917342,-0.019699741576452576,0.02983335984966313,,-0.03568473201825432,,,-0.038092922106375104,0.017860345350595535,0.09035154010528304,-0.054811729512313605,0.01687296442234558,0.01305049033885737,,-0.09426690127268625,0.0015662731647677892
TAC1,-0.029521288594497354,-0.03853943296134976,0.05865268051869518,0.04011300751074148,-0.05375236460910894,-0.021237370136881203,-0.011828099241848888,0.028646751595270088,-0.05582827548881586,-0.05496825928272099,0.0015237388964308418,0.016867254025166107,-0.047731025091113585,,,,,,,,-0.02726395118304143,-0.01586175766043664,0.01648682438830949,-0.0686879081702802
RARRES2,0.1340450534671233,0.03692459363740508,0.046886703311515676,0.05989224157822629,0.05234755813611487,-0.027436139704637468,-0.0070195525405194106,-0.043225851650973666,0.10996920197128093,-0.0071621930590943,0.03426048641767243,0.03235842474394535,0.06823561712712574,0.05703923816163701,0.06102783722311294,0.006331986716553615,0.05321879058951546,0.037311523123550024,-0.01110480834126338,-0.06255854257135764,0.009229501913310853,-0.014615642611365845,0.14318106942185801,0.13401117400292528
FGF7,0.08023538762725592,0.0362268100974185,,-0.015310362163539534,-0.011180088369279301,-0.032007106356637526,-0.024871249831284845,-0.04199272545550534,0.09153789042997336,-0.030842594490025382,0.0002061745804378411,0.02422246114246367,-0.018899880134161474,0.04282125240598647,0.02528675734223377,-0.055831057390960975,0.024835455368972543,-0.022743700194421207,-0.007164732853944725,-0.008546964672853562,0.04326519516035368,0.06980354502829246,0.19537106260423714,0.00814533576413519
EFNA2,,,,,,,,,,,,,,,,,,,-0.045883345747792174,,,,,
HBEGF,-0.006892583965931724,-0.033592861526810514,-0.01214722165671708,0.005568384150816179,-0.03211678905011004,0.005457573088647725,0.038852636804092115,0.03158709248719832,0.04722915642005464,0.021897446379594152,0.029433037986610892,-0.08685565003813307,0.012322887902839601,0.028443194952291556,-0.09852939328188852,0.033848680836316036,0.07350457548476005,0.0735720400624256,0.026048508157965965,0.03822247718737191,0.02535756072428968,-0.012541931128735355,-0.035769935543362295,0.11209687596651291
CSF3,,-0.02132356253889339,,,-0.013742549505699536,-0.0023073631330673833,-0.04522555710776386,,0.051751091487663645,,,,,,,,,0.03952954917983728,-0.0842246782408686,,-0.018154575900968882,-0.04016745523453799,-0.006934110193309577,0.13523067988380327
PI3,,0.006810813708539667,-0.03240649182714669,,0.03614692151007828,-0.025921330226085715,0.03194654722419115,,0.07537008295064211,,,,,,0.05715269139303858,,,0.012655343257175447,-0.07843329374484424,-0.03485849539816487,0.046763517417687674,,-0.11510599538811564,0.13022649721800159
PCSK1N,0.04575127772183677,0.007973097322580893,0.02986982898361917,-0.044775576678108574,0.025441794946805363,0.055041865224276065,-0.02910006835554085,0.009357657237625544,-0.04281571121103926,0.026055081685196463,-0.01731395119798912,0.009984446566356428,-0.03407413040921731,0.03587631106827366,0.09690560213440363,0.08801411153680971,0.024140340951988654,-0.0022268403637525237,0.05656409362174565,0.0908705633152113,0.11923041487011249,-0.05042949534162071,0.22240151848539558,-0.16716142298881112
NTS,,,,,,,-0.011226731464522674,0.09668716177968771,0.0033686975824447386,0.038991198169298066,0.002927609937539912,-0.025854329093930532,,,,,,-0.010145068519566652,-0.00944026322291502,,0.0772537643663889,,0.11316953398960157,
SFRP1,-0.008822802972001166,-0.07238991014946047,-0.05553696469138415,-0.06936044541223818,,-0.028158979270353043,-0.023319208926425927,0.024974757812204377,0.03579907822989405,-0.015076649075259569,0.04525327706307021,-0.009870620820318173,0.07448080823905018,0.06387087739991096,0.08675601539303283,-0.008010577367751674,0.015229704648945496,0.06904963023020817,0.10661642159013568,0.007396101435134731,-0.032500415868346934,0.04413166127051352,-0.001772132735461445,0.05845710567535166
CXCL13,,,,0.06082670603712362,-0.029729618056581156,,-0.034135437738207396,,,,,,,,,,,-0.06618715133739474,-0.009339853482260602,,-0.016854131615239312,,,0.026540552852366377
MICA,0.011341168291327641,0.020901699230756465,0.010661457027299679,-0.03599747063737237,0.026104354929513258,0.007905138879527531,0.013635255122593982,0.03644061905150506,0.09972193623225656,-0.0030677715079208026,0.006956890407772533,-0.0026181985541316936,0.10478289167500147,0.0636477925334824,0.040952959233742724,0.028539845216222545,-0.006888129218362837,0.04639368872379726,0.08830952662978406,0.15012770909308468,0.008665967751215675,0.011635128564045305,0.17119436475995936,0.12580505838083209
TG,-0.010820539697019382,0.024912608095527165,0.006334796013088113,0.01575541296748998,,0.006067149074019383,0.05928771419079567,-0.0009631113491474986,-0.025548036072168104,0.01091292940690265,0.00844749339087634,,2.9694908603626627e-05,-0.04048271241010745,0.002846797603343676,-0.05021023654966928,0.09325219286353699,0.018133563557025827,0.08548470730505253,,0.05950627287280735,,0.022219513069664916,0.07136383757679002
ADA,0.04086172208157295,-0.05527037535522862,-0.01361501415236287,0.04064391448150075,0.025370955117054752,0.02167854031380421,0.015066102920069446,0.01585346103051311,0.05075099870360051,0.0038224162127666627,-0.00802496048959977,-0.006285795655683991,0.019311367977334296,-0.019149738681141407,-0.019675306707391253,-0.02546699303975861,0.10096210511068343,0.0392368472952235,0.0690577329472206,0.06624869475615189,-0.02526431697390135,0.1540860770666015,0.05739745326071652,0.0519118178641556
LAMC3,0.025959517802507985,-0.030275612329989304,-0.04566610460496598,-0.0011055897030906182,-0.0625063936664373,-0.0375464669178557,-0.023323346691991587,0.033970415001386846,0.1011487700036206,0.04562775214865105,-0.004939739863981255,-0.017935226234833245,0.025007736900969135,-0.020082774962227126,-0.0944568607139482,-0.0017313242713539224,0.13754336379194482,0.022791224854519274,0.06404684167059602,0.05578654022539401,-0.004486386152550664,0.16273188253615473,-0.050143350400995684,-0.05720684914650933
CCL7,,,0.01583769523931289,,,-0.028263432200858668,-0.04525728811374268,,,,,,,,,,,0.07228920393245265,,,,,0.003356111587994149,0.13037537346090128
NGF,,-0.027011346289683477,-0.03364119434666735,,,-0.022184978756922945,0.032453266454128514,0.08226792063987243,,,,-0.025854346117290834,,,,-0.021387663028537885,-0.03940123017138791,0.038518541873185895,0.0036756791373589023,,0.022618543597230048,,-0.08115908278611013,0.10981233664758187
TNFSF15,,-0.033416406468364655,,,,-0.0015235111502191446,-0.022303184538819607,-0.032588864397624165,,,,,,-0.03731481293796701,,-0.05563360724370211,0.039257668317038495,0.07061685113843891,,,-0.006300872462471544,,0.053780423192631474,0.015980252008026483
HMGB1,0.00310713077539599,-0.0854016761801907,-0.0270019240424968,0.03042621905848898,-0.014790173420607457,0.015633407639929087,0.009751652280249965,0.008548515711820097,0.04381565934178911,0.013601918514654891,0.03823488555288715,0.040166159970142265,-0.01546932202455303,-0.033622518714593645,-0.06238666212568559,-0.06994133783383447,-0.06364974409126374,-0.052036130387924595,-0.016308499012361102,0.008112844377950358,0.014274219461691856,0.07321102343692538,0.004031394210014446,-0.03501302624776226
ITGB3BP,-0.0011697459127768793,0.04639577739325108,0.0471528611435692,0.03005977100336365,-0.009690417159325792,-0.004402304244271955,0.06217326937421525,-0.031309598768451845,0.045505293806555186,0.029251762010041107,0.03176096097409891,-0.06649099832338438,0.09722413097686693,0.05019693839519286,-0.015738686818614574,-0.009024909700863401,0.04228643471929394,0.061038941563784144,0.03744819395330247,0.04451633822758551,-0.022116512093696087,0.04046070537498346,0.10738219284713921,-0.013561377082315805
AANAT,,0.027248786562628143,0.020739894619778505,,,0.002254280145360072,0.017515156943628655,,-0.019094223891939755,-0.017095559452161933,-0.015257537782777175,-0.024306887650601027,-0.01380945657565489,,-0.021667898672612644,,-0.03763986754098621,-0.03946109560954798,0.07364260955990874,-0.00768863797006487,,,0.08609204846433553,-0.04555798503690275
RELN,0.029259984411658013,-0.0465734026145412,-0.044278327955008134,0.04725470785252502,-0.022117867588808588,0.011513857488455853,-0.07245604714534641,0.02479447686504022,-0.01816940866875089,0.015498039897454083,0.06082405494426983,-0.04380045725989777,-0.045592907133718545,,,-0.07637802168916673,,,,-0.017243949650849414,0.02603645220964904,0.010695793785999125,,0.07675356580198946
IL15,-0.00919315114621907,0.013788909992111983,-0.009345171271531852,-0.001818790740865942,,-0.039914724095289726,0.01284148230644698,0.04315576851825962,-0.015981164517734864,0.005077049908777816,-0.014178501751599733,0.09041696192301374,0.05401706287875217,0.001745257300946626,0.0322618349052967,-0.022880883173425855,0.06477558397268356,-0.004099558940564761,0.025700040035367768,0.05628483937149582,0.007060503441657078,0.05762188786824113,0.08738687182706013,0.04529081884078774
UTS2,,,,,,,,,0.027438192399220414,,,,,0.0943187826900141,0.02605870473631589,,,0.10158729314952185,,,,,,
BSG,0.014449358715450177,-0.011394184691415381,0.09303818067249803,-0.05219131254216423,-0.00877214732798549,0.012420494265555956,-0.03431150065581495,0.03914767763372498,0.0629351447944528,0.052814460728350866,0.006646474705521122,-0.055555000387973605,0.06077679602049392,0.06314706612670694,0.03838919455486583,0.12821625237151885,0.1414704458398606,0.07492385701933996,0.020972070394570944,0.09522636878349296,0.03491588450628354,0.04182147373077622,0.17638900536953722,0.12022791765127168
ADAMTS3,-0.06658431758002935,-0.010567035147193824,0.002175946291178788,0.02356918967705322,,0.013874633565760623,-0.02256771020603334,0.005946748149498773,0.1349158434214198,-0.05014017451514629,0.031025636691537954,0.07829925168744195,-0.0012195835973193687,0.1105440178413243,-0.09382010480908445,,0.016349164894306507,0.0881181842584763,0.07234453362046979,0.06335398864250096,0.06515499048329926,-0.026235132528162817,0.1752720838077237,0.07790546391768724
CD34,0.013996384323243112,-0.007998298695698984,-0.07237408622911626,-0.028472359277818434,0.0052360277323608975,-0.045159656991708534,-0.027719638381347163,0.024891394865498403,0.08745252496127653,-0.0008183203644999708,-0.008756358120988806,0.020281362371757056,-0.04333239916506254,-0.04380831283559366,0.039098877369185964,0.03806576604120814,0.10113986230875013,0.1365242166455476,0.11008687062856688,0.017560828124002812,0.0004436845808160444,-0.037297814084293855,-0.0353169383415795,-0.010319514929225402
CCL23,,,,,,,,,-0.021726195780482987,,,,,0.17989937166627637,,,,,,,,,,
PLAT,0.06954458493112753,-0.0460068542911425,-0.01776804552195589,0.0013987697678254543,-0.06488724923490292,0.048901493868543026,0.02666871325882948,-0.04605847528200316,0.09995475691321067,0.06045938112842025,0.013929040072057912,-0.009930079340473078,0.028473003737067668,0.09680950979007164,0.022623959353948866,-0.034517405323170054,0.09467070853580309,0.07128502492281508,0.08453372029121292,0.10284887405858399,0.034629588572448446,0.060348085435434656,0.05526042283902959,-0.023039466261728307
NTF3,,,,,,,,,,,0.06959463966391463,,,,,,,0.016375345748587056,0.10291792689600528,,0.07069598784616045,,,
LTA,,,,0.04192480943049812,,-0.028228709014023037,,,,0.04967019042298548,,,0.047714601401454906,,,,,,,,,,-0.003829031498780822,
CKLF,0.043480864776033704,0.04711450602009124,0.016043847200215747,-0.008725984493034983,0.06487344546941333,-0.025286558189126795,0.023280366754130994,-0.023502600044812305,0.05166620182886318,0.011508008937231142,-0.06010279745406918,0.028856403950288427,0.06531387919534686,0.1402557098028152,0.0962889088728242,-0.09424062015568539,0.08355471672249973,0.09138588707277255,0.09841534131992104,-0.009691415915389788,0.028684257251490895,0.10000724562025119,0.1243749054455359,0.08813787279558895
CD24,-0.02561233621535491,0.0419974074416745,-0.003210931476643482,-0.03360900504555112,0.04887672438907391,-0.014950140239358117,0.003497295548458276,0.03521416153388141,0.048317993896021594,-0.023769002355022936,-0.04962000350504424,-0.04777778616381704,0.056763224833631144,0.06740265598486508,0.0725317792575108,0.09231444756563954,0.03271431419998693,0.058797748175151605,0.00238518374884133,0.02045396903322995,0.04149101728890785,0.04541795929868036,0.07861229039680992,0.027616141534123076
HSP90AA1,-0.04782893550335431,-0.06816805415278404,-0.00967405915079028,0.008758159461444377,-0.029137501714767523,-0.039378772285136567,-0.05762259233289161,0.025459396611366137,-0.12478715692948629,-0.0021972328048034525,-0.04179930907780159,0.01351974274393955,-0.08196830465573861,-0.013755444004174654,-0.15047489369342504,-0.03133701200849887,-0.08316345811165445,-0.12271480263598936,-0.16980933545443333,0.04520687536844124,-0.024500728448243525,-0.03089615466761089,-0.1593813051905479,-0.06062803530020411
BMP4,0.02136659049481122,-0.003997790945062823,-0.03253691900521723,-0.022601660712344027,-0.02938585918328386,0.03271450670417893,-0.023974760870713506,0.03006687620402469,0.024909829564886406,0.004137996717012118,-0.00492395888579823,0.015689957558432045,-0.02227539380478085,0.03790713111453454,0.024014366083337405,-0.03924152877716761,0.0708131468485487,0.015497534579291358,0.05419990245011149,0.008220940338105604,-0.009030463860435411,,0.04390065115333833,0.051895453331590645
SCGB3A1,,,-0.01959357249941715,,0.06890487279092496,,0.005623320915376785,-0.01728093245979838,,,-0.012869882349011619,-0.042786924498944064,-0.013060129409133306,0.027753507311632546,0.07389082435278026,0.056121360368216425,,0.11869779924130211,0.11999770638980536,,0.014243232825547797,,0.029922983758523654,0.021755033673229004
IGFBP4,0.07391544896446799,-0.031480544067089465,-0.062255241747542135,-0.004979857792738948,-0.04326108679692875,-0.0219402869781299,-0.00042620916973396493,0.014945527783619654,0.12489874752632596,0.04373051215743316,0.0010033062777924612,-0.00795462748063635,0.03899982010030327,-0.034762464222600514,-0.11230356674412431,0.06931749867438568,-0.023306189167293788,0.08211586602196837,-0.018782977241901876,0.038274408478130836,0.023063339653496738,-0.025502089262493956,-0.07469366438648317,-0.09741327337896931
RSPO4,,-0.03299712879803758,,-0.034468061669591044,,-0.023810556168425753,-0.03239466132914227,,,-0.019149571018502006,-0.012869880466500188,,0.10589816264930352,,,0.0466579417331615,,,,,0.018330024672086234,,0.010258250564917413,0.15050131906296405
LEFTY2,-0.008673164326466087,-0.009353192341017056,-0.019099836629644262,0.0386440380577572,0.033186792958515926,-0.03144509739661016,-0.02724072135800949,0.03720910551033854,0.11877056853143565,0.009853143477874747,-0.01411198133361395,-0.025854346117290834,0.014606442906383974,0.06470377176550533,-0.019355868101365206,,0.05445031451892659,-0.012438924479885087,-0.052757603879787354,0.10009148285137229,-0.015619736259795458,0.06253468661335533,0.046046063759134996,0.08031488058450137
PF4,,,0.012723044418388054,-0.019394476792941852,,-0.02465928777243275,,,,,,,,,,,,,0.03875787197843272,,,,0.06168121678832476,0.032985312668526
ANGPTL2,0.024562661294474743,-0.022229625484464745,-0.05521866340259919,0.06730921163819971,-0.06005660786251229,0.018307950032839915,0.012915372785398864,-0.0013467699332582084,0.07646584154506869,-0.0023446434483935493,-0.017269642067914034,-0.026799598352154144,0.07224385709664677,0.02432139506861425,0.09103855070308053,0.0644739014375109,0.039201605218434084,0.08836763036019198,0.13799351702525472,-0.04494008979729741,-0.05206461035852773,-0.032970052766369426,0.06780533045600225,-0.044967219954476015
LRIG2,-0.003242405561130478,0.09189692920864109,0.005860073226958824,-0.008329097716608565,-0.06857789438242233,0.03205570544482439,-0.008915514391831065,-0.0221768137155668,0.0706644456523723,0.010297698908275359,-0.021383786541766585,-0.0025415069981213206,-0.01939834334806076,0.0533916514463763,0.043350372438616475,0.0349044276070413,0.01167924109699538,0.0247020723255177,0.06182533203795243,0.07103032473658538,0.02289991110256755,0.08459853178279787,0.12214229715952812,0.05417471065140362
