,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334
IGFL3,,,-0.015859544152901608,,,,
BMP1,0.020876135692815722,0.021829234512910863,-0.12428366588297984,-0.0026583524216659085,-0.02219914801109578,-0.028314236358059765,-0.13961161300405286
NDP,0.07616184666512832,0.06245069153138891,-0.09702105398061037,-0.018041214884030838,0.038620681408261644,-0.06683117965779935,-0.010190780172199888
TNFSF18,0.015194335054743895,0.08788040563166606,-0.02355094695049638,-0.015018610370866194,,,
IL36G,,,,,,,-0.019846033280025915
RTN4,0.030307895708673833,0.09952133117459966,0.18627329330410125,0.0895814325523135,0.08763671078575963,0.15186265496040904,0.18306775632561448
HEBP1,-0.049478989721837355,-0.011966112307676397,-0.08485395160360437,-0.04247475172202818,-0.03292732237127232,-0.001407055066325686,0.01193798558884443
WNT7B,0.03970055336702499,0.05339458206630705,0.16115676678016522,0.008492343426809226,-0.022226277601155076,,0.009170816380509803
PTMA,-0.029109421713524777,-0.1364237404123549,0.016147579581322926,-0.006019771651307514,-0.08139885360860902,-0.19317418187146448,-0.19586281357469826
CEACAM1,0.04800323145839278,,-0.030991704825212168,-0.023620696169187435,,,
PDAP1,0.03909453763687496,-0.035222792999584036,-0.12806552319122397,-0.03395033619106286,0.013126856599508935,0.0026380865119106115,-0.0992958499564076
QDPR,0.05504192220335647,0.08356631245235555,0.025580925475348744,0.00138981308587305,0.0524052871382353,-0.16503638428655434,0.0921522115665753
POMC,-0.008679190714656872,0.03250040399899851,0.0450652056533978,-0.017426407830620765,-0.009440568972798895,-0.044042923429780646,0.027836008086250925
CCL18,0.0032499913367501883,,,,,-0.04933240453544565,
CCL17,,,,0.01095021990129421,0.056011076329522735,,-0.018129914829997457
VEGFD,0.08558587896291392,,-0.026568990679939515,-0.019956435956602455,-0.020178845089468607,0.07971376101847841,-0.019430391267265743
TNFSF13,-0.018718664412301883,-0.012529868045176416,,,,,
WNT5A,0.06482951837038772,-0.10324134252506584,-0.0566251727326805,0.015737028467279122,-0.05396847278932379,0.03817718136330756,-0.08734022014884585
CXCL8,0.02595231716108638,-0.014504555002721718,-0.052829392212665804,-0.06770300854660079,-0.018791417952667238,-0.0659325227915115,-0.034788244163251957
GRN,-0.009413843693084692,-0.10817805485017847,-0.10323095540941349,0.031274567858575505,-0.03978399406980025,-0.1238326960350877,0.07383915882351977
MIA,0.043454136989273744,-0.01920228357558404,-0.04530425160317718,0.043596247846940515,-0.022949186664064116,,-0.026610811287946946
COL4A4,0.029298285361392847,-0.03220479664944651,-0.015628403585369162,0.03730850326785466,0.020434508919854124,,-0.025813474186415213
TAC1,0.04434741391473805,0.11394471151865485,0.15165533224506283,0.021437995303328596,0.09993058551544588,0.16036387807415586,0.23425379865167414
RARRES2,-0.02054337459933239,-0.06305862002021546,-0.10517567707562095,0.03312704017334391,0.023589092649527785,-0.027063769933053667,-0.04951799043547837
FGF7,,-0.055004029978708874,-0.034536722496259185,-0.04458012980030281,-0.016569817830358664,0.00813770725751628,-0.04299499056587367
HBEGF,0.02391549538450149,-0.0221499836342745,-0.044037948093237064,-0.073862464593008,-0.022482589532703906,-0.06556025915368183,-0.026565842646168854
CSF3,,,-0.016534550183905223,,,,
PI3,0.06605389301073882,,-0.018618121739518104,,,,
PCSK1N,-0.008567764872860413,0.05141810829380809,0.14955344051125385,-0.0060623694708272,0.06827422534380696,0.18821647089179033,0.14280730872461733
NTS,,0.0657499151336624,-0.02032295113962743,0.11272788454834394,0.008135194053781221,-0.026050531087473086,
SFRP1,-0.0061863272764383645,-0.062296325069183,-0.0512508765589818,-0.041481287755693964,0.014909481876270898,-0.02449650841244125,0.01548652210478624
MICA,-0.0027340306363143486,0.004077295381344183,-0.056652776762262054,-0.016577176800387703,-0.005242458194229629,0.016983521510763114,-0.07400593399834185
TG,-0.0025101931328049003,-0.009837987763743651,-0.019955722759245,0.010862388432232712,-0.01990879590542394,,-0.02723369025891872
ADA,0.01901944529347887,0.013349562217107489,-0.03744300392289743,-0.0015055314547733224,0.021850963434757655,-0.11190336850612101,-0.005248766395056398
LAMC3,0.018892784249507327,0.016164116587281906,-0.08707482570871168,-0.031564580878852284,-0.009418453843097911,-0.047564290595735,0.05099025532818497
