,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.01201661279439182,,,,,,,,,,,,0.05875791997591642,,,0.02807887418704819,,
BMP1,0.053989006638513734,-0.09527311730277156,-0.052019875800922905,0.007397351624755807,-0.003658277273521033,-0.07793892092444281,-0.01855359263610531,-0.04117197362171459,0.039204897189470386,-0.025960673632132683,-0.02325943139579314,-0.04474005739136683,0.016318803630209818,0.012336426318339982,0.07915215358470844,-0.14749942201473712,-0.018015523745458988,0.03696030118652698,-0.06761445862414509,-0.07182710691875462,0.06881630927553022,0.00685780003757418,-0.0032952710452978868,0.006663646006373215,-0.11060103826802119,-0.013226496215467771
NDP,-0.023229114722585452,-0.05062123594395407,0.01656617030020659,0.0705032565933503,0.03188423388297823,-0.0262581306020312,0.05076780460634743,0.04834174731770823,-0.03935210653913032,0.03256752358282397,-0.003906037248676921,-0.08888912652935035,0.0011990453970532073,0.012435612981259623,0.0647667878254619,0.003419575045311859,0.00042208286862051276,0.002004579824682941,0.012382462949753219,-0.047299273964435104,0.004559585386381157,0.02630986903642882,0.07523749581366211,0.1485127394981238,0.08333418407052832,0.05807627659040939
TNFSF18,-0.03567060467652881,0.006129481272521418,-0.008971208925007237,-0.03931117898484476,,,,-0.006359068188576462,0.015763950171101042,0.022219538244354634,,,,,0.040419383122718276,,-0.022698908589564092,,,,-0.01955637882560307,,0.08141223652100513,0.05133861569966503,-0.0170539485135602,
IL36G,,,,,,,,,,,,,,-0.0066013797629498215,,,,,,,,,,,,
RTN4,-0.0457009840293129,-0.06541666936376994,0.06545972852959744,0.019170002485955646,0.0011111787474412638,0.03992606614772202,0.028702783453562808,0.09140855509283172,-0.037302532896281944,0.03159886118829863,0.047392502740870604,0.244350387642084,-0.03383652265306,0.022825851971381355,0.028337427246553786,0.08159815486873391,0.04095262490171544,-0.0152533706156638,0.12973161553545182,0.08908347967656721,0.048827466233386914,0.024494084138036738,-0.06864327601100237,0.018323602453844127,0.2657268347234574,0.01786689060834491
HEBP1,0.014054809596546413,-0.03499255114477245,0.06011051584038706,0.005272605202135399,0.09496576443092668,-0.057835861704442375,0.0034414295788207827,0.005715330663919914,0.09434392591292871,0.02604974049650412,-0.0673871405987694,-0.11213156999713393,-0.031362365377898715,0.074637741841955,0.11107355304074244,-0.014334332906976582,-0.01965361778604651,-0.06922974104949388,-0.003322063379018621,0.002729365600421735,0.05269851197398832,-0.02184828158624025,-0.009105364550353004,0.15148744980351445,0.06720348282381121,-0.0153353487304361
WNT7B,-0.021235826335184095,0.011338262933477516,0.015723739899017857,0.04518485183247115,0.060442396364245504,-0.003300580758691719,0.04194371262979595,0.06797991201026678,-0.02524256215513057,0.0421910085210809,-0.013366654690295809,,-0.015078898920766247,-0.06870544476399199,0.09881467056668941,0.054850308273441464,,0.0027173701315792776,-0.03925264399443621,0.020535737884171807,0.023046579824071888,-0.01544789257473579,0.18098283520556738,0.052485823015431254,0.06492609883319331,0.025521449128777154
PTMA,-0.0173492683772645,0.0639190706409799,-0.08841015916816221,0.05612437906823413,-0.03385923136975921,0.014683509339917437,-0.11359230404781274,-0.0723786655449234,-0.09666856637118175,0.06279578751319227,-0.0027812615681324514,-0.3278530988375582,0.06374044930482263,0.007800848543340685,0.11228977141229197,0.14720683124291317,-0.025855548189163975,0.08955868853079081,0.10562758964572695,0.06634168354792135,-0.0017409762641226413,0.07027032427121008,-0.05643343315866393,-0.05540852626375876,-0.104105839295844,-0.012091773667764934
FASLG,0.06723756299251515,,,,,,,,,,,,,,,,,,,,,,,0.005000782861030205,,
CEACAM1,0.005684596061483068,,-0.008871536992535456,0.0013650203498131947,,0.01970881650665172,-0.032261886353243195,,0.010348447946034275,-0.034377427945487024,,,,,,-0.059322049111092914,-0.009703557158373153,-0.03858871174897239,0.0420060678206647,0.04598459772154864,0.01047272187239805,-0.01795702289420976,,0.0004957629532918821,,
PDAP1,0.07044619713902033,0.10270814954413729,0.0032833041742069856,-0.037703787571405634,0.062488032112597784,0.058179768970571866,-0.009404010761987392,-0.0391054527123046,0.052497758425461075,0.03108741249212712,-0.02264017454638696,0.08331937217025998,-0.019833264895622302,-0.06274155822411755,-0.02437043673757489,0.026613373445171173,-0.09696913352766273,0.011485115710186702,0.026250458075697904,0.08816842541281059,0.028480642071902963,0.06467820476646911,-0.04693898114268481,0.08821652198748436,-0.014490329137817599,0.08374837115833791
QDPR,0.019222435150639868,-0.0632914506481828,-0.06595942436509189,-0.015035317039276649,-0.08434811233583518,-0.008093824761184537,0.07619188396980557,0.0052032945634592764,-0.11517284916263877,0.05016386457975434,0.041730626971724055,-0.249910286567884,0.01929065866806096,0.02055502987655097,-0.0054922575358366185,-0.03061556454116832,0.03552224260003596,-0.029244867150236043,0.06883710506512453,-0.031100491078551132,0.04561196050736944,-0.0676550925875285,-0.03607474094413937,0.1562216465880694,0.12503471230762214,-0.06083668637068728
POMC,-0.023729094382098637,0.13328913257034158,0.0009929285320423406,0.02007389472217421,,-0.032368069133586724,0.12023237792429904,-0.0029742429921601923,-0.049974059692088,-0.06353083712465767,-0.023631570859999614,-0.015644028656149906,-0.02574153333700075,0.04320564046747062,-0.013155800479516495,-0.012505217305771732,-0.0016325197479694624,-0.0672393691808932,0.017277202644266854,-0.01741919993667309,-0.041097441577212034,-0.02782573628705417,,0.05360143684174794,0.008397029005876489,0.018003884962920994
CCL18,,-0.007379531196235853,0.05070159845824867,,,,,,,,,-0.13497273743295257,0.0724317730623974,,,-0.01422412462907612,,0.04484272044915994,-0.05000428318255122,-0.030727687442839557,,0.027605564954322214,,,,
CCL17,,,,,,0.025559236303098903,,,,0.050799829960658564,0.05001497701588761,,,-0.007728143292919689,,,,,-0.05200743539805702,-0.048272578624113945,-0.022654971338895595,,,-0.005421035364687177,,
