,UKF259,UKF260,UKF266,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,-0.016842712358654238,
BMP1,-0.032581010065871184,-0.014763905422012188,0.06469233353709028,-0.04562022780011043,-0.06092535355291957,-0.0317428863514645,0.058476086818983794,-0.07559198356208822
NDP,0.007976452014588326,0.11656102591677635,-0.021046581943206244,-0.06732738715705228,0.047142795251588696,0.0655893710500611,0.033569413279599655,0.04663683897804699
TNFSF18,,,0.01560585248340541,-0.01806278651486088,,,-0.01736959196414854,
RTN4,0.008986998665579556,0.10204361492697153,0.09496245525558134,0.04245625263285378,-0.01452404623137118,-0.04081377374251551,-0.08441804773281467,0.02394393652385494
HEBP1,-0.0026911490670889085,-0.044866580038989134,0.03445556633166231,-0.006960035449924617,0.037633771492474356,0.03707511140628268,0.03943985614396955,0.02769246104078716
WNT7B,-0.01499447676444286,0.007666587790232121,0.10069278991471849,0.0575031378054538,0.0016732062267563054,0.009890589648025833,0.018459339219624723,-0.030236282352362618
PTMA,0.02432528083057762,-0.09786556213233497,-0.040710365394843566,-0.015968424152630892,-0.06478568046391153,-0.07752540898577093,-0.02401045468933787,0.0011986785575988134
CEACAM1,-0.012108892595986439,-0.014777318353850414,,-0.01844248346402735,-0.03379762633651997,0.014887562542724192,0.055452937272857106,-0.020068260344696238
PDAP1,-0.029321389669484176,-0.0842450875441762,0.10364724582327837,0.09041304158854999,-0.08174926049842025,0.002304479097515664,-0.004390022476628195,-0.013825928665263845
QDPR,-0.014112684921361323,0.06930062402587435,-0.025309731539598403,0.08877059754925665,0.0443135627170513,0.06624943224475742,-0.017966621903215144,0.07343099852735556
POMC,0.026327371176302242,0.1220484937492692,0.049572657034374974,-0.02095862910033324,0.031349516108684944,0.14293675159499916,-0.01641935527634617,0.02642307128764885
CCL18,,,,,-0.0042338330704815574,-0.03903013026031486,,-0.06910998546516382
CCL17,-0.017867073622861683,,,0.0025417733891295847,-0.02397778003466361,-0.04922064097255415,0.06754896514903527,
VEGFD,-0.01990589307181373,-0.014138101536410722,,-0.02400147772531992,,0.013427832790935231,0.019897813307369172,
TNFSF13,-0.012324307508134574,,-0.02570493822052094,,-0.01555564778046793,-0.0034969063726919335,0.06276296983721324,-0.02253531134140748
WNT5A,0.022244395085816465,-0.051617071943779055,0.012746767621724196,0.05651124393828422,-0.009248173922363323,0.02479568084725405,0.039172681468657156,0.006403212577844412
