,UKF255,ZH916bulk
BMP1,-0.10897521536918463,-0.023745717401268487
NDP,-0.06815779991963275,-0.05108466268274659
TNFSF18,,-0.029458657536522683
RTN4,-0.07891294268799957,-0.11957707343756707
HEBP1,0.11993944073679039,0.04688689475807982
WNT7B,0.013717926551412012,0.06879497696240383
PTMA,-0.16297122056669777,0.07669945805135264
PDAP1,0.0831798139710651,0.05694769386304944
QDPR,-0.123640447733232,-0.10403906928111038
POMC,,-0.00650368866723715
TNFSF13,,-0.03204681742607
WNT5A,-0.06682439858108048,0.05904437081039462
CXCL8,0.2296758270223173,0.10009814446776445
GRN,-0.1221873557740438,-0.12141738110709861
MIA,0.05418377039154251,0.012475499285139387
COL4A4,-0.02142121980209444,0.007593245394656114
TAC1,-0.10425071610979886,-0.11489496386908044
RARRES2,-0.01500917832148263,0.20726000336512368
FGF7,0.023337627809406937,0.05027599964631311
HBEGF,0.03260590318034798,0.07959044136916592
CSF3,0.20231405354509308,0.15021379301384083
PI3,0.17710259933639383,0.15582116713850294
PCSK1N,-0.0828632163478831,-0.16362457104499595
SFRP1,,-0.025813143850419867
CXCL13,-0.029283480708677402,0.0033768893277254753
MICA,-0.0016637816495720288,0.08368196453995451
TG,,0.08926564953763524
ADA,-0.03644474603220117,-0.017236951620799832
LAMC3,-0.07527958696409305,-0.08969088028738265
CCL7,,0.17394652955408402
NGF,,-0.0303405317178472
TNFSF15,,0.08564149535552287
HMGB1,-0.12015888594172543,-0.022032113414542174
ITGB3BP,0.024475529664074663,0.06463476765882475
AANAT,,-0.023004654055469236
RELN,-0.010572231588561357,-0.057575838045195116
IL15,,-0.03180018630792356
BSG,-0.09033700781494373,-0.012359005063011583
ADAMTS3,,-0.060137457037202934
CD34,-0.03235427992637682,-0.014663397918766708
PLAT,-0.1522028774439197,-0.11469442605181217
CKLF,-0.07623174681223983,-0.02267428046429653
CD24,-0.0690636545571865,0.0770354136697967
HSP90AA1,0.18060628817868082,-0.03982691754511314
BMP4,-0.02824783598948755,-0.03883092427870546
SCGB3A1,-0.04310749920501898,0.05745375268451838
IGFBP4,-0.027957426860842953,-0.13707118197031148
RSPO4,,0.0899420683535089
LEFTY2,-0.10897743224119709,-0.05890818973994842
PF4,,-0.022723574538586283
ANGPTL2,-0.14472229596809164,-0.08729512305367396
LRIG2,-0.028757658637437154,0.013960913153416703
ICOSLG,-0.04620273794474134,0.062108190131119526
WIF1,0.08770652473367788,0.07136753123292361
NPPC,-0.02404905563174998,0.011303889881147961
LYZ,-0.04756008355186851,0.014646167595431603
EREG,0.005705998179516088,-0.026161565761797196
SPTAN1,-0.18214573465866502,-0.09689565535809724
LIPC,,-0.03543605428325735
COL8A1,-0.03936156329913615,0.02243309740207582
GSTM2,0.06417575389330245,-0.054470325556482534
SPX,,-0.045722690611401856
MFGE8,0.06123629264128769,0.022528624081151607
TGFA,-0.03215191114787501,0.0031894441583043454
SLIT2,-0.03204051886308208,-0.010280887224857453
PLTP,-0.1168803599483632,-0.05634175341416639
APOD,-0.1920060498038323,-0.22642590139314075
B2M,-0.26973284784116225,-0.1501851582219968
OMG,-0.11620377227435275,-0.11199937256659813
CXCL3,0.0010430434476328583,0.1407429908081029
CXCL10,,-0.05263358060772848
RSPO3,-0.04032880138522609,-0.06930214801116123
CORT,-0.0535218139054327,
NCAN,-0.0781330630786887,-0.15801776079432664
PRG4,-0.04509280977979132,-0.03162811996009314
ZG16B,,-0.01938553960693965
TGM2,0.04535601110781012,-0.08293805666912539
VEGFC,0.13227877509784555,0.1697686565400561
WNT6,-0.024465760028732603,-0.02003107849553174
NRG4,-0.030228604530456157,0.08797926344943725
PMCH,,-0.025232370017364576
COL9A1,-0.08656358246678325,-0.047085479380524736
GDF11,-0.13843488451032235,0.06302458300348826
IL24,,0.18660960083444217
SORBS1,-0.14457449396767164,-0.09220440095648033
DLL1,-0.02005205515714645,-0.04959615338688823
TLN1,0.051991742574894605,0.04059498109717866
COL2A1,,0.05167137593764842
SHH,,0.005324351476783721
PON2,-0.17247909758732738,-0.011540914708088717
ICAM5,-0.04310750225573226,-0.07206763534789387
HPX,-0.026198597516841105,0.0593500622750482
SFRP2,,-0.014908249837069934
CFC1,,-0.02665470796056462
CD70,,0.17111503792971378
HP,-0.10093878380191641,-0.01919299186106602
CXCL2,-0.0031255545067619813,0.13531502125645753
NPPB,0.17581787059304696,
CCK,-0.06045516754596202,-0.16160234029336423
SEMA6A,-0.10630039435981951,-0.012833742910889285
IRAK4,-0.06852948916354037,0.026788859557162415
GSTP1,-0.09961884750700237,0.040357870612310616
VCAM1,-0.03192793768815761,0.07976657495058684
NXPH3,-0.033217582281109805,-0.05570742315094252
MTMR4,-0.027923821382140696,-0.022196976006857265
LAMC2,,0.04279918405358691
IL10,-0.029346528646429098,0.049839089373154434
SEMA4D,-0.16674972409633168,-0.07832315229019579
TRH,-0.031146847566199794,0.001197067899134411
SEMA6D,-0.14820825302268292,-0.0024526349387907
CEL,-0.003678720342039151,0.0850253865396081
PDCD1LG2,0.01196368334070546,0.03253414903217279
SPINT1,-0.04103900570247033,-0.03393945928431091
CTHRC1,-0.03659524019344272,-0.11450929833099896
PODXL,-0.1488697247326798,-0.12119376109480737
JAM3,-0.017670902251259953,-0.059714341132558586
TGFB2,-0.07040285090498037,-0.016607516920450118
COL18A1,-0.2638683164905353,-0.16875954176366706
NODAL,,-0.06042829593830546
INHBB,-0.03370116192964179,0.0007726829473943318
LCN1,,-0.02034661850745399
ARF4,0.2532865497915743,0.10290456201521456
CXCL14,0.059416008154017055,-0.005680444964763166
LIF,0.14974364056558392,0.11231388007314252
IL17B,0.0018921385900132468,-0.023004649435505193
MMP1,0.25924718715616507,0.16434079135643623
MATN1,0.11940358670179195,-0.020964368032877066
ADAM28,3.841135515054347e-05,-0.06112843978983062
TCN2,-0.08816069943224972,-0.0906385965735446
THPO,,0.015999582220671403
CUBN,0.007456137256812986,0.006567285708749033
TIMP3,-0.022626693131266203,-0.08864386009220096
PIGF,-0.07137107854487292,-0.008721709873822488
CRH,,-0.022747272999955808
BDNF,-0.025494469046166066,0.013270505692347327
CCL5,,-0.09284723564675754
GAD1,-0.03985206343133876,-0.10206445901465479
COL14A1,-0.06362437424930005,0.018820220181399734
HLA-A,-0.15878944444314227,0.014049932989379324
FGF18,0.003636875347643179,0.16678169289792802
ADM,0.19789370176228388,0.19531681852918234
GNAI2,0.05909390403612661,-0.028908900605460686
HDC,,-0.0209643585383132
COL11A1,-0.16162047055317866,0.0805224989689494
NUCB2,0.13724168362734387,0.0614471922364849
FGF16,,0.0032090521175188727
CXCL1,-0.030690919732154556,0.03848521335132028
VCAN,-0.2593767297376644,0.013166803610340982
MMP7,,0.06560871089645005
PTPN6,-0.06006743113396475,-0.03414928170071404
PTGS2,0.23826560370274077,0.14237584814999077
XCL1,,-0.0373098747138466
CD58,-0.08449665999970643,0.03161204332747826
TNFSF14,-0.052590598737623416,-0.0024944327918319433
CNTN4,-0.035806636729188365,-0.06966988903190215
MFNG,-0.06923995835403442,-0.05289358165050831
ICAM1,-0.023675864816497857,0.048975363747953075
PROS1,-0.10057451176376025,0.07468257785827342
CLCF1,-0.020355703654494656,0.0778276719398244
PSAP,-0.21216479513428088,-0.10686361702172928
EFEMP1,-0.13657833113720982,0.0798544580258727
C1QTNF1,0.19603862773546854,0.12646072548277146
ALB,,0.0045964615681278066
EFNA3,0.03049508187402326,-0.0795895280811726
DRAXIN,0.14919116805352767,-0.03823636694086675
NPTX2,-0.10520264480887494,-0.0300548224542544
FGF11,0.13762384794187216,0.10775923606297712
CD59,-0.06856116717694369,-0.17464980944757305
COL9A2,-0.14511533105886149,-0.03302247036773137
DLL3,-0.14812729473904257,-0.0954173471362169
FGF5,,0.06488248564411658
LIN7C,-0.026422199543136942,-0.04349750726073977
GDF7,,-0.03204681673758431
PSPN,-0.020313878868370612,-0.04112821439769151
ANGPT1,-0.036595238036978756,-0.03818156005952913
PNOC,-0.09906453442988856,-0.07205256371130177
L1CAM,-0.0225851924221784,-0.07475726522612301
APOA1,-0.0735171497657413,-0.03402664477692358
PSEN1,0.05404265639605858,0.027678515953904064
CALM2,-0.12433042187908086,-0.13637993858673755
CLEC2B,0.2562020377145168,0.05204130700828279
NTNG1,,0.004340691314071177
LRIG1,-0.176500618275193,-0.011535113892150915
CPAMD8,,-0.022723594964260158
GHRL,,-0.02003108540100171
NPY,-0.02880006155484024,-0.06276222870543086
MMP2,-0.18476854536773202,-0.0951779110929593
PPY,,0.012743980736921746
ALKAL2,,0.0013267099706443688
CSF1,-0.07989763782352097,0.029622769881458184
SEMA4C,-0.1459641164848728,-0.04129065335646837
ICAM2,-0.043635984483372435,-0.11634465243192706
SYTL3,0.006764030094110992,0.011040230921721171
IL1A,0.12736123102135938,0.0662545807292766
PGF,0.1062865863116284,-0.10855419106819024
LGALS8,-0.008765181612398578,-0.01169004908436274
DKK3,-0.1601721575810919,-0.15582991885795247
COL16A1,-0.2355268526576624,-0.09381299706616014
TPH1,-0.042768849645509775,-0.000217887256698496
TNC,0.026717239810761625,0.12399923043251738
TNFSF9,0.09204346048352184,-0.03599449207999286
CNTN2,-0.09881490321322789,-0.10006684208093201
F7,,-0.0280876475035085
LUM,-0.08840935711642348,-0.11443079310771755
BTC,,0.016722079427747307
APOC1,-0.16540053720341094,-0.02140326298853181
PKM,0.113175576943892,0.14619221535460758
TNF,,-0.021860383148513022
GNAS,0.1245730727709595,-0.17291317076042428
BMP8B,-0.05205940357484246,-0.052347403702760094
LIPH,-0.01253052280724079,0.12452835520846806
CCL28,,-0.01729603081825457
PTPN11,-0.09497321428442697,-0.0848282044374697
ADAM12,-0.04045733874742746,0.02117334660833369
EDN3,-0.022130735594832283,-0.03485793798469982
CCL2,-0.02138969220298453,0.08562280638540296
DSCAM,-0.09012605522168247,-0.07590718667173632
ANG,0.1766285847797315,0.175811328423601
FBLN2,-0.04208437902865619,-0.004296558226429139
VTN,0.02144165245715972,-0.03543605591138062
VEGFA,0.19496905989123806,0.20052196822904744
F10,,-0.02878030317879704
SERPINA1,-0.06771699752582208,0.03734372599966565
VWF,-0.0853967724464287,-0.19091231081653143
GDNF,-0.014820407469683477,
VASP,-0.013230038127004077,0.056009090931666276
ADAM15,0.03786983220709939,-0.03141594165822454
WNT2,-0.06663214351565153,0.008670329944260521
CALCB,-0.0546374303005285,0.1336777448652995
OLFM2,-0.10108064686842937,-0.03882814417261873
MFAP2,,-0.0240135499356016
HLA-C,-0.1787930941819142,-0.09124484134745384
THBS1,0.08118114050003315,-0.06866741390748185
HSPA4,-0.03570009202230073,-0.06664795703819985
LMAN1,0.2138097856433606,0.09419384989985402
LYPD3,0.021526541798401907,-0.031838063412929295
APOE,-0.26384556053572716,-0.1817536359083133
SOSTDC1,,-0.043681395565192446
ANXA1,0.10757357658970416,0.1712663562185581
WNT2B,-0.04208442524034867,-0.010399093385250585
AMH,-0.10544543184642562,0.07399364597951684
GDF10,,-0.03524422784170484
EFNB3,-0.05649056691146761,-0.054050660074144975
LTB,,-0.029367266807436364
ANGPT2,-0.08942776116640426,-0.13710832887928648
ADAM17,0.07829608393301395,0.09157235981329251
LRPAP1,-0.08978541649511808,-0.018403604170813527
NID1,0.04738067453917138,-0.15966895229668476
MST1,-0.07719477976600936,0.05421488592701634
DCN,-0.10768308975927768,-0.1865652008179445
COL7A1,-0.033664727839570745,0.012037784905590264
CALR,0.041256569862252485,0.06586157051604973
PIGA,-0.015340951244849826,0.09626709898929803
CD200,-0.08934036088689865,-0.07684606438440929
GRP,,-0.032666277929596296
CDH1,,-0.035534718656675665
LPL,-0.08178271491735517,0.021636702525881256
SEMA5A,-0.19537136944769676,-0.09477272040821451
SEMA7A,-0.0661599251297833,-0.07429978820277998
SEMA4G,0.015480245556552558,-0.0471572797578974
SEMA3B,-0.08521191016892533,0.0053576304871531056
RPH3A,0.05507631507199964,-0.11202246208929709
JAG2,0.02737556818726959,-0.04953488463054412
CGN,-0.061041221747003944,0.019511761105708788
GDF15,0.22489709850324469,0.13255371074735406
SEMA4F,-0.0939564975981791,0.04656977774866909
NXPH1,-0.15180027929430406,-0.10710548694278688
ARF1,0.12148418725505167,-0.10209346475543597
EBI3,-0.05708335421245899,-0.001648780289520053
TIMP1,0.10093521150783058,0.04288133431471369
SEMA3C,-0.039513390306766254,-0.04961905853233618
GAS6,-0.07349665602948907,-0.06649210695578191
MEPE,-0.056547087420165294,-0.07031903254099797
SERPINE1,0.19237794765569508,0.168691880535805
RSPO2,-0.031146842792186484,0.0048568158234730385
SHBG,,-0.025624300490381103
LGALS3BP,-0.17807523591664173,-0.011026151881895055
LAMB1,-0.08559108910577569,-0.05620826325491843
SPTBN2,-0.09959521293851865,-0.0843179578981771
COL1A2,-0.08957155559782509,-0.1928298036621309
DEFB1,,-0.02713978680713568
WNT11,,-0.004151636117405026
LGALS1,0.25399152165133376,0.18543222211836757
BCAN,-0.26202955315678306,-0.1500858880353255
ANOS1,-0.07256628236031304,-0.09077694863094134
EDA,-0.05005486763796509,-0.043191769993026256
FGF22,,-0.033876430628626004
SHANK1,,-0.008584880320043837
RAET1G,,-0.0002101155174239197
TGFB1,-0.039878775488159414,-0.07845923792005023
MSTN,,-0.030342528278740358
WNT4,-0.021541767144757664,0.009362577156660787
TNFSF4,0.026356719179798906,0.02500952539201137
NTN1,-0.10336864949231889,0.03418268507178852
CXCL12,-0.0833906206368782,-0.07954540065027743
GNRH1,0.06159636222322638,0.10334367662477426
RIMS1,0.07555362397381649,-0.08664830549559856
FGF14,-0.08055201510960525,-0.056871855650357746
IGF1,-0.0521002568258673,-0.10439986916129555
TNFSF10,-0.05064621646178942,0.011320705699639487
GDF5,,0.05613028038417201
CHAD,-0.0503974847236184,
RGMA,-0.08913614353448902,-0.01942456092360144
WNT16,-0.031146847566199794,0.06746872030013513
CX3CL1,-0.06974203238412638,-0.020469557441387076
FGF1,-0.05808485986040948,-0.09490389146744505
ALOX5AP,-0.09262728508226077,0.07251262999104595
IL1RN,0.012030674538098557,0.02879697605719554
NPW,0.045822803067015895,0.043516361227596834
CXCL9,,-0.06238362382396048
ANGPTL4,0.22075741650143002,0.12416874244098122
UCN2,0.19270410851994707,
COL4A3,0.0821820627278214,0.030555289125826505
NRG3,-0.03291167242583945,-0.06988487602149637
IL23A,-0.03698381079114023,-0.03012366888221893
COLQ,-0.10669616099595587,0.008242518537612972
TNFSF12,-0.044580841446876095,-0.05938059938360781
DKK2,,0.01907819444883419
FYN,-0.17645827723233734,-0.06966145078495552
ACE,-0.07059086528144899,-0.16630347960564668
IL18,-0.03200173227754562,0.0030401380050285643
PPBP,,-0.025149313761208617
CCL27,0.1233924953997698,0.0022058092732990127
SERPING1,-0.047999566526623516,0.016722080878698958
AZGP1,0.07231590867378658,0.10132515913899078
INHA,0.037989512028603956,0.06511349537172799
SEMA3G,,-0.045915243517388585
COL6A1,-0.05928972715169557,-0.16452481884222084
FGF17,0.029582830843934798,0.06875903130630778
TNFSF8,,-0.009513415452988448
FGF20,,-0.02096437306787829
ICAM3,-0.016881638894324247,0.04783050744489108
LAMA4,-0.0847876251262963,-0.07689224674726962
DLL4,-0.009588522300845701,-0.08840480400344097
SEMA3A,-0.053068773695373,-0.008239993625392501
RLN2,-0.033762043235901165,-0.024629129209122906
C5,0.07584433999545745,0.04246614805333633
C1QA,-0.18588702282199956,-0.17276773520737948
COL9A3,-0.18717394871486848,-0.059808869286802964
DLK1,,-0.027132717646512972
HGF,-0.04911054664265893,0.018897994859372963
P4HB,0.2166372161476657,0.10146805013220267
ADCYAP1,-0.001288143559041568,-0.05075474328229697
GREM1,,0.00862162376705878
EGF,,-0.007412571674346062
VEGFB,0.12320591572457587,0.10183482563471728
FARP2,-0.012093721716175183,-0.0179173745949581
LAMA2,0.0005911976757140661,-0.09059190607235879
NRG1,-0.013224451282346608,0.023848693512975812
SPINK1,0.23552366517190393,0.2073537182351525
EFEMP2,0.003871797138223152,0.07560769672870422
SELPLG,-0.08575875747142847,-0.08429103704842408
GDF6,-0.04366787669352353,
HLA-E,-0.0790791468537214,-0.12344129519351263
PTN,-0.19705009700980997,-0.05608354220678863
CD274,0.010392897769243518,0.03412955331565781
CD14,-0.15941909268803772,-0.08287464610352298
SFTPD,,0.03481799414085376
SLIT1,-0.12666936006103144,-0.15763508106340618
BST1,-0.05706782812397797,-0.021800583940102636
AGTRAP,-0.028099260743919687,0.0047927615352366115
LAMC1,-0.027776452807758346,-0.061602106346158
COL6A3,0.01193968083159848,-0.08174187200428128
FN1,0.11424330759335631,0.05694713881203248
MIF,0.25119822228418204,0.22516744034822395
JAG1,0.029781774593771917,0.033628916084624795
NID2,-0.1143733480196969,-0.11484697744174031
EFNB1,-0.00288048116777293,-0.04148561078232186
COL4A2,-0.06671552718730582,-0.19728538888960617
SPP1,-0.1743022325396521,0.12100230918292094
PODXL2,-0.0584309820096964,-0.018089759504982247
FGF9,0.04243647313223049,-0.06004182296169965
ITIH2,,-0.05531478468825748
ADAM10,-0.09333488628700988,-0.021682322809469204
CFH,-0.07217656127613095,-0.022525898116661478
COL4A5,-0.07802122855942496,0.028290388288381263
LTBP3,-0.05927915603471354,0.038834407997484104
GNB3,0.020072017770060676,0.03874057768226829
COL6A2,0.15099925507655831,-0.17176905109753804
GDF9,0.02990306406285169,0.07100229041924289
NCAM1,-0.1486490729118231,-0.08103797701707834
APOC2,-0.08971738564381229,0.06563394283198243
BST2,-0.03767021276859645,-0.04740544685729319
COL5A1,0.010496069043883643,0.06886361528534234
CALM3,-0.008837964040129225,-0.15652607397559473
THBS2,-0.08258499156055875,-0.04227272129719853
SERPINE2,0.012289069032570606,0.019476245119264355
EFNB2,0.025808620928359862,0.026041422713219887
PROK1,-0.05518841099056582,-0.028087611230805568
MMP9,0.01445714665439035,-0.014705726610877726
DMP1,,-0.023829549891587854
NPPA,-0.08260886298420785,-0.058838540293872116
APOB,,-0.028087610789800925
NTNG2,0.00015192365528230188,-0.07273330569069948
LAMA1,0.0743789616100261,0.052430041739144756
UCN,0.056973216138804725,-0.04403004957604153
ARTN,0.062207016795622315,0.06320057199924037
PDGFD,-0.013831992860093501,0.0028561616431482997
EDN1,0.1282496023471654,-0.14580430238598144
ARPC5,0.00883571304898076,0.026869222615157038
GSTO1,0.1450843794901418,0.006061298464205728
SYK,-0.03993318752656474,-0.10198182051860417
ST6GAL1,-0.10142158833748845,-0.08449942650486895
WNT3,0.02698769572017354,-0.03832124453786253
HSP90B1,0.15919025229077002,0.04649268255978421
ZP3,-0.10136193325369852,0.039188410735778854
NRG2,-0.04443958634767002,-0.06507317238274941
MELTF,-0.06582844297521105,-0.0700910489725504
NLGN1,-0.11183157907487302,0.0037605651341866024
SLIT3,-0.05581628441111228,-0.11035755977434979
CCL8,-0.03376203627299594,0.10109300745439531
S100A4,-0.11225872186819212,0.03893438646431873
