,UKF296,UKF304,ZH1019T1,ZH8812bulk
IGFL3,,,,-0.003282585360074887
BMP1,0.07409692112619241,0.04473758644614846,0.09209622585696715,0.02361829551851709
NDP,0.013430669253237701,-0.006456226714015535,0.07584701458158138,-0.0040373151492776324
TNFSF18,,,0.005366865481900969,-0.0035969242182506246
RTN4,-0.012378953982785308,-0.12463585527181321,-0.07345217861296487,0.08459949678193221
HEBP1,-0.0046411196012501625,0.09185541179782897,0.017650238474716584,-0.0078035346915917006
WNT7B,0.030240177633191267,,,-0.00993067427994225
PTMA,0.09260816613472043,0.10613518320243212,-0.11610462084155825,0.052533220973735036
CEACAM1,,,-0.048489400973608154,-0.020868399008412208
PDAP1,0.03345125627694774,-0.008118541918051472,0.08592525488781183,-0.014224974904814431
QDPR,-0.02724602714983592,0.08436344626241964,0.022465871316591918,0.025285860575777353
POMC,0.014696389329671844,0.04939088137999154,0.038009034079971936,-0.06143746663715841
CCL18,,0.006479124703079929,,
CCL17,-0.01615820440260405,,,-0.0316837664061522
VEGFD,-0.011852238337351923,-0.01982360354505367,-0.04914702092962866,0.09218612458775519
TNFSF13,,,,-0.03397674202737892
WNT5A,-0.027948785121991285,-0.04001856419431291,-0.03944291488161056,-0.01085353958509932
CXCL8,0.06472764356300646,0.09729495687139053,-0.013394708517170926,-0.04498404172303703
GRN,-0.052957023950585436,0.0792089436168239,0.023797393022860946,-0.020145336601288203
MIA,0.07204208063419597,,-0.023585779679501134,0.008193639624685648
COL4A4,-0.022644362101870066,,-0.01151280218019715,0.11112083681020508
TAC1,-0.05486347929011384,-0.043103562664862066,,
RARRES2,0.04678441871814878,0.05299196755316736,-0.06342562358606026,-0.045850004060024555
FGF7,-0.026487318173998933,0.08224440460903183,-0.020467738348889136,-0.05334984704888324
HBEGF,0.015354555515336332,0.08079563008003092,0.06415435905004899,0.08134227168903273
PI3,,,,-0.026920527067583057
PCSK1N,0.0034195252567680756,-0.11950055944860474,0.08256765174398752,0.008325029538743069
NTS,-0.0011623528591953346,0.10268081741448909,,
SFRP1,-0.01615820456533044,0.059584601640781595,0.02491776107684863,-0.005971990151422707
MICA,0.0655188980287941,-0.013579180310327814,0.02465852185887046,-0.00788488829042049
TG,0.10780486069507383,,0.004768895404253783,
ADA,0.011119879676220893,0.07440044192192745,0.02037555899060832,-0.07576301980184974
LAMC3,0.001080607100869407,0.008459390165714571,0.06155178900162767,0.030704343332497858
NGF,,-0.017847622820635862,-0.046911653469592016,
TNFSF15,,,0.005619339854640438,
HMGB1,0.03835651665381908,0.06855316250044846,0.11914554871827485,0.014523144077811212
ITGB3BP,0.020700376713299957,0.047016405941436315,0.057894414306856205,-0.028119150496621056
AANAT,0.007807882769283922,0.04555443296064252,,-0.02619693591851096
RELN,0.019215490555462653,-0.0589590594673732,-0.02004888133054616,0.027724540966691448
IL15,0.02295840952322461,0.13887668024499722,-0.010215729202497432,-0.038104180377228056
BSG,-0.031595909747224205,-0.09937756409459471,-0.11065937910298622,-0.016316128729735525
ADAMTS3,-0.025979104562851938,0.11114753067816363,,0.0016841845216533427
CD34,-0.0252196396778302,0.03126097159503091,0.07961887264644982,-0.02815279428536406
PLAT,0.02402351148098366,0.03708133495037561,-0.007238021887324198,0.04860378941019217
NTF3,0.0053523568898967274,,,
CKLF,0.02484768839332389,0.15395716771222465,0.04272243355766677,0.012232925277455986
CD24,0.037611607160249055,-0.02171444932221192,-0.08678670103477061,-0.005451784786165535
