,UKF243,UKF248,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.07662764355418251,
BMP1,0.06189420821273117,0.015225108368098303,0.013390379143475913,0.014692532922393248,0.04254952359101675,-0.037453315706826626,-0.057570007159528584,0.0037637399219599115,0.03942398469139954
NDP,0.026153748809197092,0.02889761253672853,-0.046716866908377945,0.03381559925245891,0.10291719859668104,0.005847409094731176,-0.02507310852211523,0.10900288421959509,0.02055310821119396
TNFSF18,0.03659596207025085,0.035773852661338285,-0.01501861110598217,,,,,-0.014263849849397303,0.05238412006994546
IL36G,,,,0.0005839341354257561,,,,,
RTN4,0.015248484192434908,-0.005103363595582832,0.03398377383205116,-0.03686867641281512,-0.022534602788326388,-0.06650438330007431,0.04312338461846432,-0.01951333651181684,-0.0856573412761913
HEBP1,0.06302192579856163,0.013568310816549892,-0.010576059417453708,-0.01584193272558658,0.016420501458334385,0.0073464939742262925,-0.022300103377642183,0.03819155325396558,0.025807085706611353
WNT7B,-0.01844271409952507,-0.0010415496002621164,0.062180587488921156,-0.020208319728596397,-0.0362885127875841,-0.04146940821784456,0.0793986324580652,0.030650029541204337,-0.021338430075719
PTMA,-0.08755421620821621,0.019888245703434015,0.03081570730287835,-0.0026017817154449,-0.047010558396951056,-0.01397038020661729,0.03919942533159044,-0.11477977253184524,0.088376552229931
FASLG,,,,,,,,-0.015026694159193082,
CEACAM1,,-0.01733250514458667,-0.02362069732534974,,-0.020334243532079858,-0.02008999762153259,-0.021894381056245835,0.05870910314422173,
PDAP1,-0.02778997617475355,0.017463077766146945,-0.026768289549142427,-0.009894923927875474,0.019758155498119264,-0.026099554926309984,0.056086910559472354,0.04457457785828679,-0.009697071937729545
QDPR,0.02458094296279025,-0.011423392011521993,-0.08923568603018811,0.007759305906850857,0.020137740932293296,0.07053356076005306,-0.06804661204349352,0.011637820010252478,-0.10014130125389491
POMC,-0.00548596195903342,0.09361093149827929,0.014139332921253035,-0.02980065348560104,0.04034671494356376,0.019069673723166616,-0.024391829214793076,0.02767568690715805,0.025751154648578876
CCL18,-0.005133653536011161,0.04229254654800143,,,0.10204955252280176,0.034625404675406264,0.03786701581294394,,
CCL17,,,-0.018731132082927367,-0.016796122090500232,0.1065508330377304,0.06011656830332023,,0.13809665027202225,
VEGFD,-0.030027645193159595,0.12018950613986511,-0.0199564369334102,-0.018000924276334877,,0.060499782179808656,,,
TNFSF13,,-0.01632219075818291,,,0.0029593113170919305,-0.005886630530346199,-0.024585922509237922,0.11112940290791101,0.038354834978899056
WNT5A,0.05090220808538079,0.0014163076854840904,-0.01024956261201683,0.04080571362868452,0.051136297978846355,0.04740341176802438,0.03949258623403534,-0.01148279308302759,0.12069826394759348
CXCL8,-0.001464967261154333,0.01612521860734538,0.0470118906028439,0.034156584601415456,-0.012694377943430089,-0.04041977222314909,0.004328451039617184,0.007382954434545956,0.09683946900209704
GRN,0.0039518491965708745,-0.020756087439250632,-0.025850200106845477,0.05621465489327041,0.026571947145102137,-0.03508786092585822,-0.09354367382276117,-0.011436550321833603,-0.061136829491567665
MIA,-0.022951015835885297,0.02127363421992642,0.04963335514552963,-0.024653090734882463,0.11397014532269041,0.08552526787578014,-0.021042735538607867,0.052649000581967205,0.10706122622169617
COL4A4,0.1423332010210694,-0.025976648126209024,-0.019555881410918463,-0.023914412620275216,0.08013727526121488,-0.032167227442257404,0.014787438339397675,0.025202433065137676,0.06536998723775453
TAC1,-0.037858295229819566,0.0594491140260438,-0.031236042174812417,-0.04238134402531636,,,0.031639159199174004,-0.017904888694236953,-0.02958206329358006
RARRES2,-0.00012896892634511176,0.017034099580782246,-0.04094925132794142,0.019394751827187605,0.01586981205888445,-0.017499313855236745,-0.005672543279429379,-0.0050046531860760005,0.02554619658609323
FGF7,-0.020000267938357543,,0.00023368041956639213,-0.004421408831226361,-0.017759769179920268,0.019314235484431293,-0.02722330942466083,0.09204844368648143,0.000409557137094409
EFNA2,,,,,,-0.019094198254805406,,,
HBEGF,0.08609085632437412,0.011801385197443845,0.08523480403776992,0.023706615477135193,0.04399492673131096,0.02022076800113125,-0.048655582837731,-0.04824190624177905,0.009908494348892584
CSF3,-0.030228041408844,,,,-0.009513249730956736,-0.02880124256134271,-0.0078334098965074,0.0435739518396963,0.027332260232198462
PI3,-0.018243207347929,-0.022754965802329552,,,0.0005142355483338851,-0.053252403741311356,0.03084894559508231,-0.03115555603351293,0.0037585253468169965
PCSK1N,-0.0071681640962527595,0.01984051222711825,0.036415889423503614,0.017997958807550604,0.0008425914033658609,-0.0073235444040885295,0.028815506259502195,0.11554152017898921,-0.11293586761537294
NTS,,,-0.02234032128639162,,-0.006157174409184029,-0.02326265719304431,0.07340804780462852,0.058986549434624384,
SFRP1,0.029399005256191792,-0.02869234909651766,0.013729052111184713,0.10972202908974223,0.013756041326055521,0.029796421870115178,0.045353615413679445,-0.020741790539910005,0.09562349984746575
CXCL13,,,,,0.03818193023067918,-0.00561949967500413,0.00512941760985987,,-0.027671744625435486
MICA,0.0037178930849669813,0.052091651339733376,-0.024331355925136224,0.032918971273988365,-0.0017906214321598839,0.01389521469282089,0.01940702309318848,0.10729319720736828,-0.017024815129969232
TG,-0.024096573754399494,0.021348190206114417,-0.01887090672207711,-0.025230145362118605,-0.019168761993989224,0.09753012927153194,-0.025833288602849787,-0.027965286473024122,0.004861990716967665
ADA,-0.01897699621349771,-0.010476612160309845,0.006792495673145482,0.02666050357006013,-0.059636254544156234,0.01050372494172214,-0.05028061463147429,0.005594576123170073,-0.006671818519814611
LAMC3,-0.018262229133791264,-0.0030675098020074318,0.004857490361949338,0.02922273757861646,0.023248173617725833,-0.03160819106457817,-0.02552573067724153,-0.012660838285433141,0.021770794255655226
CCL7,,-0.013758080298612627,,,0.019342434355902872,,,0.09242994463352966,0.10727177937989624
NGF,-0.01741523393300793,-0.023621940659021918,,,0.00935034140644454,0.06670326670793775,-0.020915405100762816,-0.04498945341753202,-0.009667724841108508
TNFSF15,0.03053899309163662,,,,0.039468226188197696,,0.020520125907226395,0.022658348497940708,-0.037756424867611584
HMGB1,-0.01280199249512086,0.03618525881179265,-0.04197389160853661,0.020006821697335583,-0.019831181629872154,-0.046999127544862525,0.006841104271086877,-0.016319349280893534,-0.0637246858619716
ITGB3BP,-0.03921377954992631,-0.002146866954627786,0.007906118044517822,-0.00811531417433732,0.017208781690828637,-0.01732815940478295,-0.0517048776165057,0.06514161495718979,0.041252134499656264
AANAT,-0.031214053134481064,-0.019960881367508374,0.01575839059230583,-0.022530391217975187,-0.018968148407678707,0.05433748242340435,,0.00973902381582481,-0.02083046066472037
RELN,-0.030027629607568978,0.020364917195647068,-0.03736404000146694,-0.011568723490265128,,,-0.02354394944251297,,-0.007556157715756305
