,UKF313
BMP1,0.0332531658393881
NDP,-0.006405553215248126
RTN4,-0.03422648024636827
HEBP1,0.0589719075850939
WNT7B,0.016458967552944105
PTMA,0.10490389126100577
PDAP1,-0.007088502356812315
QDPR,0.07599109122986168
POMC,0.021464237544362687
CCL18,0.0868962435813803
VEGFD,-0.028892894511433544
WNT5A,-0.04648884826316052
CXCL8,0.020899728508375983
GRN,-0.04730427303813943
MIA,0.02100893604014493
RARRES2,-0.04546225319268074
FGF7,0.033892435080273724
HBEGF,0.020007001209980873
CSF3,-0.025476758263526234
PCSK1N,0.08907075395303854
SFRP1,0.11597555915722824
CXCL13,0.06067593104446206
MICA,-0.02367242357568539
TG,0.07034753266737055
ADA,0.04336179176155658
LAMC3,0.0295042804749716
NGF,-0.022841209475102847
TNFSF15,0.056471274842487595
HMGB1,0.02126525412794608
ITGB3BP,0.07182477785774692
IL15,-0.04626337557814288
BSG,-0.08992632128132114
ADAMTS3,-0.03178638838258092
CD34,0.048348749992143565
PLAT,0.013435322847845039
NTF3,0.03598436803901883
CKLF,0.09350770677964393
APELA,-0.026860986641526214
CD24,0.0966064212390021
HSP90AA1,0.05039096481699705
BMP4,-0.02978996163677164
SCGB3A1,-0.03704628584846233
IGFBP4,0.004019395096745617
LEFTY2,-0.03125469475284798
ANGPTL2,0.014842604248682018
LRIG2,0.02479157850201096
ICOSLG,-0.006008633827323047
LYZ,0.059752344528006006
EREG,0.04016664618974844
SPTAN1,-0.02687287423939677
LIPC,0.13638224898565793
COL8A1,-0.07600795972738322
GSTM2,0.060449047565160285
MFGE8,-0.09993287167179087
TGFA,0.021830888804312127
SLIT2,0.03790880482334509
PLTP,-0.04087045523322988
APOD,0.006002615908295872
B2M,0.008092751330092275
OMG,0.046409374151997675
CXCL3,0.0351390916998386
CXCL10,-0.019440887208609797
ZG16B,-0.031668482562253956
TGM2,0.04827766693517026
VEGFC,0.016315029176564598
WNT6,0.024853370158771274
GDF11,0.0462100865105032
IL24,0.00424772806865725
SORBS1,0.046355045468793724
DLL1,0.015900971673979927
TLN1,-0.0031020333819365632
PON2,0.08721507345304678
ICAM5,0.00748262857154346
HPX,-0.012818802473215936
SFRP2,-0.02565959190935286
CD70,0.040993277849246675
CXCL2,0.06371753466923306
SEMA6A,0.04229812649241183
IRAK4,0.06405976882333804
GSTP1,-0.10032298503905224
VCAM1,-0.005090626243295941
NXPH3,0.014806848814717378
MTMR4,0.022962882016609527
LAMC2,-0.02773009610613423
IL10,0.1448144513990674
SEMA4D,-0.05084671566841183
SEMA6D,0.03130511261254189
PDCD1LG2,0.003940084025015837
SPINT1,0.00411186985155945
CTHRC1,0.02833322933943367
PODXL,0.09967893172571576
JAM3,0.032559414800003475
TGFB2,0.07864905885756089
COL18A1,-0.004161414426490087
INHBB,0.02086848951021955
ARF4,0.07132000020433124
CXCL14,0.016204534917961748
LIF,0.002462946334925122
IL17B,0.07800474257984395
MMP1,-0.05232613481503866
MATN1,0.004057161376863082
ADAM28,-0.02115776975815937
TCN2,-0.05694712188417993
CUBN,0.10965149721217518
TIMP3,-0.05608039368208
PIGF,0.053977877367436686
BDNF,0.06669407913992548
CCL5,0.02810937427825734
GAD1,-0.03895077911515473
COL14A1,-0.0212723143948082
HLA-A,-0.10757066834607341
FGF18,0.034309751254742844
ADM,-0.05571878085881533
GNAI2,-0.032096345702848826
COL11A1,-0.058988990297865765
NUCB2,0.01865215630894955
CXCL1,0.12207907371061796
VCAN,0.01273551537615052
MMP7,-0.01788026043339898
PTPN6,0.03994493032556098
PTGS2,-0.04262858333753345
XCL1,0.06744090631075363
CD58,0.05409467331980991
MFNG,0.00505917547787897
ICAM1,-0.015150185229227592
PROS1,0.05694984040291953
CLCF1,0.035751750871643
PSAP,0.02353796143926185
EFEMP1,0.027775997638538896
C1QTNF1,-0.03915662001134924
ALB,0.05475328393275772
CCL13,-0.03010845419008462
EFNA3,0.028601033394094307
DRAXIN,0.03871055434847797
NPTX2,0.05787621529816038
FGF11,-0.023961238860215922
CD59,-0.016837079596941473
COL9A2,0.01480995247816591
DLL3,0.0553035209840401
FGF5,-0.010967968282889873
LIN7C,0.022735458609496325
PSPN,-0.03165162005947963
ANGPT1,0.06904831612522276
PNOC,-0.024612095733466764
L1CAM,0.07199218531192088
APOA1,0.026235633918304357
PSEN1,0.02266055974548379
CALM2,-0.0014573940615338467
CLEC2B,0.012456525222210394
NTNG1,0.018347553977348396
LRIG1,-0.003145137537952879
MMP2,-0.02260767035369416
PPY,-0.022765091043013996
ALKAL2,0.043465342566592215
CSF1,0.03808155695513331
SEMA4C,-0.010382914927905334
ICAM2,-0.03079479108796253
SYTL3,0.06783512815165266
PGF,0.007360723037924359
LGALS8,0.016508095446318597
DKK3,-0.05797192202855422
COL16A1,0.021351154222785784
TNC,-0.0019517325438193202
TNFSF9,-0.04644767858712295
C4A,-0.026996509726682796
CNTN2,0.025484765880881687
F7,0.040646585803080344
LUM,0.01715246793145799
APOC1,0.03218296624731993
PKM,-0.10399644394711297
TNF,0.022338115704928444
GNAS,-0.03692383935460668
BMP8B,-0.0499464592823044
PTPN11,-0.028104324442966608
ADAM12,0.0680077083082575
EPO,-0.022378270300212617
CCL2,0.03223216718135087
DSCAM,-0.03292346489284561
ANG,-0.0060857745578982905
FBLN2,0.07969394983323667
VEGFA,-0.06812214277096869
F10,-0.06682537867106078
SERPINA1,0.08343488350767601
VWF,0.05732272525885973
GDNF,-0.020381177649231506
VASP,0.0017458675923467469
ADAM15,-0.021657522324169072
OLFM2,0.039598748758799596
MFAP2,0.07886268430176868
HLA-C,-0.0231123707572297
THBS1,0.02288809923206888
HSPA4,0.04719060631514141
LMAN1,0.03495905513346031
LYPD3,0.06706924660312792
APOE,-0.029692684685444677
ANXA1,0.005611504045097593
WNT2B,0.016024244634358874
AMH,-0.003295197354708857
EFNB3,-0.0530117800008998
LTB,0.019940001362396022
ANGPT2,0.033626889005442244
ADAM17,0.045746105720555735
LRPAP1,-0.09210846918850125
NID1,0.046468405344035325
MST1,-0.07077584086510642
CCL14,0.009569910030064627
