,MGH258,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,,,,,-0.004975773396883491,,,0.06305360840910539,,
BMP1,-0.03784703034490699,0.022815430964680763,-0.027393732371499228,0.030670986268985352,-0.041949681668498225,0.005250466105304686,-0.015389004428767825,0.019073963198511703,0.049883796226604875,0.08046003331779167,0.052532736419322906,0.021010047940979024,0.09938809263027105,0.10826646403939647,0.049221095559652164,0.1428609100516356,-0.04959470555065973,0.012696237180829498,0.12805756115615416,-0.07202281506848027,0.11126230344610429,0.1755033697816496,0.050934601348577205,0.019671782555102317
NDP,0.08455239350211997,0.10140806626852648,-0.007351803572424203,0.031818121497862686,0.016566658427254206,0.0446327383040075,-0.013625086023502552,-0.0024048670076398473,0.05252444242874247,-0.045441402195042106,-0.04825205421893091,0.028571791926902707,0.03853146445137458,0.05112625725830424,0.03757342642955649,-0.039425302096883726,0.0700758998371299,0.044473980114344044,0.1135442813273464,-0.010568577856761125,0.04325802054464079,0.19037535576438425,0.1287274958034519,0.001757593902504087
TNFSF18,0.02721857336792393,-0.03403080951420775,-0.00227658532119012,,,,-0.016689357638028562,0.010730787532627172,,,,,0.0756832236375013,,0.12620790103972546,,,,0.020961019770275514,,-0.06338147490090106,0.033991578961708416,0.050486975736189404,
IL36G,,,,,,,,,,,,0.07258362434490791,,,,,,,,,,,,
RTN4,0.024171056631062286,0.02731587080018583,0.05489212268210703,0.04534864392281099,0.008636174839294698,0.00041934185715358584,-0.05776290976568174,-0.015651199684418107,-0.04280906013935496,-0.030116585942935512,-0.0495453593518906,-0.004068630414803131,0.06526968824422065,-0.0440936563286753,-0.03655631261458093,-0.008085517511616602,-0.015511841725817559,-0.029570427900552695,-0.14563694962350368,-0.02265073861073357,-0.022807316352788983,-0.08317507296323481,-0.04647084071430557,-0.06480064578167716
HEBP1,0.03764561989382723,0.012822774361858386,-0.0027133262890613975,0.07497636863742142,0.013818762601794703,-0.04480749869689972,0.02978186566109655,-0.004840094028693359,0.0048722224001924936,0.06807071566818473,0.010568157413794844,0.007895910511883377,0.009405487127679621,0.12017814151614876,0.05078586230534335,0.0001902752625643744,0.046079791105224734,0.009851589047417845,-0.009143539901403375,0.04347726492744742,0.0024267379479766867,0.1475112058886928,0.07680125207305058,0.05640280316417052
WNT7B,-0.02139276887263271,0.03713444253667113,0.0023631852442073664,-0.023115226720456232,0.030083057972906568,-0.002882391946424484,0.00944057761493244,-0.028812426040695376,-0.02398733085443173,,0.07217302290624779,0.005756658343087767,0.062160728075175004,0.0004181346998756731,,0.033230439591910424,-0.019542622901988212,-0.0075380568666266025,-0.007735673672235639,-0.023158306083151555,-0.04677310485789124,-0.00815843876829596,0.05385162756788702,-0.02747420011858833
PTMA,0.0663935786803945,-0.0658544714440186,0.0035104029178864714,-0.028050333135650286,0.00994918722592988,-0.016255781475227476,0.08473154823279966,-0.011867810833572601,0.013229460399012629,-0.004929413034727785,0.02369252896608697,0.060479246305969264,0.07663601490934614,-0.026374639899988873,-0.00427422081788675,-0.02820700240089689,0.001460679997914642,-0.012425148338305879,-0.11028517581622209,-0.0428427301322615,0.04883399373810798,-0.05726995216024187,-0.05930324069821789,0.1632952737747112
FASLG,-0.0137426652823608,,,,,,,,,,,,,,,,,,,,,0.04397474046109309,,
CEACAM1,-0.03727108489178744,,-0.012898469183284434,,0.03897737766535287,0.02739234443682634,,-0.00024406983073965344,,,,,,0.015520471697486998,0.009140781049691085,0.017297218834845578,-0.009188777691050136,-0.046941048866788765,0.0475720139746193,-0.02418069113708302,,0.03894196989909731,,
