,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.0375349950251226,,,,,,,,,,,,-0.027071185549148932,,,0.057417842289098804,,
BMP1,-0.023266265957410867,0.01103322973662757,0.08040419987131402,0.003864205932776847,0.050462736761364334,-0.009042887711523903,0.0051218693820157864,-0.13031618746091533,-0.25277124945660917,0.0038696683640738316,0.004434559566457413,-0.18304675438230705,0.08726090193669106,-0.16788683334589818,0.0547227432590473,0.055684100311750535,-0.004697004929723094,0.11946879707075163,0.02128359997180394,-0.028835421338310577,0.005526176494882065,-0.07992227008857572,-0.07869365928530042,0.12002376529421581,-0.0022806628096744114,0.05935355874447944
NDP,0.0538190757173098,-0.03980660504734056,0.09815348866996863,0.02873246505422649,0.0380558056125964,-0.007566379190924128,0.06816361637336747,-0.024523106121362284,-0.06315457786712685,-0.005178682723026586,0.028755363882946385,-0.06603733023926539,0.037838290095062885,-0.011237983861284741,0.04654278320124775,0.07753536163039797,-0.0790211095203758,0.022301990524089654,0.048529262000329976,0.021483883655311366,0.04851287621296449,0.04676279613344371,-0.09438993499974577,0.05616249180451637,-0.0064198568350808775,0.040861667213424276
TNFSF18,-0.006607519589717868,0.010769299008932065,0.009048288418013552,0.014272632521104252,,,,0.03222356414113543,-0.039715780015031364,0.02726302938101301,,,,,0.015116593478031471,,-0.06482283354798313,,,,0.014068346012698702,,0.0742008119821511,0.1147212440353332,-0.09720189493302701,
IL36G,,,,,,,,,,,,,,-0.05562835266464314,,,,,,,,,,,,
RTN4,0.010589257254332105,0.17058163977750088,0.1458357574037596,-0.00017024673617977012,-0.03805868611662266,0.02375924900281592,0.16618664212335688,0.28203600309206694,0.3308653890966143,0.11924106069765486,0.11607755287473528,0.41824605946721105,-0.0767760446599558,0.3856028707828615,0.0013030354908612973,0.01434251057282991,0.011485071900626647,-0.0434908136843031,0.01727715195866358,0.13788787271339994,-0.01255694677036284,0.10862696563740823,0.07014534299966427,0.017586907091820245,0.24469435854203228,0.06121376472573282
HEBP1,0.018563250243051898,0.03950552486631484,0.0758439496746353,0.05632167993178582,0.006992242766386857,-0.05119741200166448,0.026501975147128935,-0.06645289690509669,-0.13505211692767036,0.030147647865005643,-0.06108669159338222,-0.17250287159506222,0.07018526116312424,-0.00636018135513895,0.0006263820773731345,-0.06144074068574749,0.02817647287654267,0.0675363370196249,0.10138512318298351,0.0007009058915212185,0.050681179164338355,-0.02145177186087061,-0.1018578600120776,0.08377279818869937,0.03949037474388161,0.005165716791734076
WNT7B,0.01843381374268622,0.09938994411994011,-0.04337490795628268,0.03258143437428176,-0.017365925187167775,0.010071628852657907,0.085630202458748,0.038970689189239786,0.19077086309740696,-0.0036442945456770658,0.11233000807251012,,0.022537989344099188,0.11470585070619682,0.05067363353091144,-0.02575006423623774,,-0.0609610464604139,0.04379841998967593,0.01756889972163323,-0.023721634494306323,0.039581423857273874,-0.0348949306319525,0.08742902782412917,0.00445461508930602,0.10120474969798375
PTMA,-0.10470868192695716,0.05365242795423247,0.020877482494322027,0.014861764827980786,0.05805948738703768,0.03318934784833013,-0.08068121222494909,-0.2970613773248815,0.05022146369774136,-0.019912046269045133,-0.09584308869573671,-0.5039360074317732,0.21868629894292804,-0.31971215529018326,0.04790977901188681,-0.046063552785390906,0.005002681497430858,-0.1696340540303243,0.0018407493026978386,-0.023499667835674722,0.035570288720554157,0.022078826371899694,0.06150803145556022,0.05953781589009279,-0.11144127035873162,-0.1118977162921069
FASLG,0.05313280665339838,,,,,,,,,,,,,,,,,,,,,,,0.05961566775963345,,
CEACAM1,0.04717843558060656,,-0.025412297964310337,0.033934655705460864,,0.03163859334989793,0.04978469923825362,,-0.03967886728692299,-0.04348133839507886,,,,,,-0.0011429351721407406,0.05688701383623177,0.09030210234170102,0.058065024347422674,0.009889372680230851,0.011835992001417711,-0.003278218425552801,,0.06274193768602161,,
PDAP1,0.04605314089985541,-0.11700043059964622,0.07884388774534587,0.01193397995573873,0.08306433618523881,0.004717301028128688,-0.024795596115965265,-0.10896458810935306,-0.10118006711192856,0.034889981910115796,-0.041449485239086196,-0.010069798611391317,0.08898855162763858,-0.20766000309069912,0.12268791794878882,0.05558383281407451,0.01735023962191853,0.037884591104106864,-0.010120089957271487,0.059142895329682255,0.052989022299398426,0.0514013109380091,-0.09187368133112106,-0.018819047897785008,-0.01558589834648818,0.053637010727716976
QDPR,-0.022256794536114614,0.15120986429276903,0.007488183892103434,-0.0555767278266044,0.1074662356091341,0.07672854156305176,0.06129350491588856,0.1591008907133083,0.06303821945719208,0.09870777194504157,0.05765847343025822,-0.3734042796888252,0.10040416975771314,0.1387388205296601,0.035877734053528225,-0.0035211632748204974,-0.08915176236657452,-0.12073820477584706,0.06121304012826924,0.05000249584012755,0.06117935851404961,0.020350203638325137,-0.08245169156715185,0.06251586625334554,0.13194921425048264,-0.07320710756902925
POMC,-0.025563038465016008,0.10014738254367654,0.0903046097486815,0.013736403504626581,,-0.004678293790561591,0.06808268619012763,0.01720656597832702,-0.008946878935864275,-0.02621635509680817,0.001499007553444961,-0.04602427446043694,0.06821634679158578,0.13795716325018487,0.06820031775955702,-0.025813794220240507,0.11846328241360024,0.10290676359248038,0.03576394562292842,0.041425049731678605,-0.020909149816386825,0.025158318625371177,,0.11194603586108824,0.028347604368047636,0.027893740470449555
CCL18,,0.046868556536519494,-0.059441356017671504,,,,,,,,,-0.16895599250241378,0.0896162982092806,,,0.09994627360110522,,0.008301286926741527,0.0024508433467459673,-0.03625723491358197,,-0.044054348750714574,,,,
CCL17,,,,,,-0.04558794645371457,,,,0.045043762960420224,-0.023535923786943212,,,0.034243280311466534,,,,,-0.012307421917301947,0.010787558595122348,0.022772327299904447,,,0.06960449811913695,,
VEGFD,,0.021070001782967314,0.054297364179956606,-0.050011742201977114,,0.02997121314725819,0.03690030267055553,,-0.06122566470776136,0.014960417035469069,0.004233586871700439,0.06604213760145618,0.03492754564343665,-0.0557541096699411,,-0.08534319605868929,-0.004343735957200864,,,0.03527731467051038,0.03668032901740353,,,,,
