,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.02009092110828666,,,,,,,,,,,,-0.05393943933649104,,,-0.07489526754996782,,
BMP1,-0.03510901256580044,-0.004572175224308224,0.09289150639766051,0.0002486811525196584,-0.10789515168246944,0.11204818152521905,-0.006742229349477819,-0.17688472688804252,0.011063177077434684,-0.04368491334848371,0.03686259861800248,-0.10549476881510855,0.20587295559646404,0.006277765693390968,-0.10003350526383997,0.06502240410307905,0.04916159265265376,0.005343389274614153,0.10458148451142935,0.060080343162780686,0.1438003800812045,-0.1281865325173739,0.032570587929030594,-0.11145487746955961,-0.11982280920720009,-0.026062643185289842
NDP,0.007590416982165945,0.09767678939913381,0.11704716441050318,0.008654206818828423,0.004114676632414622,0.10550386233122067,0.058153592650188275,0.004723147018990347,-0.03372767380543912,0.06045269182690751,-0.007416415559625301,-0.11860851092108415,0.04180946423229493,0.005285988744177289,-0.07092559649616068,-0.0549455764405741,0.17494060159257233,0.0033986603563294555,-0.04410726671036752,-0.04802356341934329,0.08938272976676546,0.08968367114400264,0.09077728020215706,0.049286696743035756,0.11177297197584417,-0.006420869761370306
TNFSF18,-0.05110449481268351,0.015927622836127666,0.025963047053334926,0.023630924650912707,,,,-0.02763211139712431,-0.024850430506019674,0.072687730224297,,,,,-0.11118170906554634,,0.12515280117120856,,,,0.01973841135293375,,0.07994368929650528,-0.025794906688064518,-0.046762099021337475,
IL36G,,,,,,,,,,,,,,-0.06950419451360407,,,,,,,,,,,,
RTN4,0.0869067855690735,-0.003384786316930652,0.046636755333147525,0.14259503408619914,-0.060389557070204394,0.0777489449085928,0.06493839421937166,0.33157208080366635,0.017396329280660254,0.1418239331181732,0.011762190036369085,0.23958657741112058,-0.00453923053233293,0.01163677049996885,0.04751511852347868,-0.04987251596253624,-0.09123169420474372,0.002208619783648793,-0.04981627647186907,-0.011649335858777529,-0.16759335532310488,0.0952430280805041,-0.1526706536890713,-0.06966136951563852,0.2416038088601456,0.05442126002504292
HEBP1,0.03403049711923644,0.013450346806838617,0.07537185586542454,0.05786362014919845,0.07542425074089514,0.010660024264216259,-0.008415752193377002,-0.13343561625389733,-0.03194374179414906,-0.017057284146551617,0.01912017056892821,-0.09924312975857758,0.061447989833908555,0.0029321246069898134,-0.09311356237019362,0.10754675515982413,-0.10631072771964555,0.03677310376729766,-0.09023947542782433,0.04341530608718072,0.021000740983613674,-0.017082977726870657,-0.027390433106441556,0.06958207581247287,0.015814480215352398,0.10819323853566969
WNT7B,-0.01632614124499488,0.06208466784030116,-0.01879516877087745,-0.051067603327292536,0.02634190233916677,-0.06719790893749063,0.09956212855565481,0.055969982116947876,-0.013988724366171629,-0.0031624034863649408,-0.014932953327038924,,0.061640180196990864,0.04011087308128357,-0.006510066763157347,0.020385768006099945,,-0.040040147333851674,0.033917905907197836,0.07695300271064479,-0.0402336113788113,-0.014675147870346874,0.043863148642816326,-0.040286486537969776,0.13421334921048084,0.016353451279804403
PTMA,-0.04108388579226884,0.06328663865428276,-0.01573691118229897,-0.01629542522010392,-0.06366303035666297,-0.07690595361052821,-0.09466281791206194,-0.4225432710333965,0.03161879432664246,0.06060978332571277,-0.03030979318992241,-0.263917095504086,0.05033786107742669,0.023674137414850936,0.09025841996170815,-0.15618163854343312,-0.15537523245576487,-0.0024568679148315527,-0.015928105582247304,0.07637458807350232,-0.1687296767615541,-0.17024551004387636,0.09181199258642726,-0.05614183935228504,-0.09213542814490513,0.11176449239927257
FASLG,0.01249805248866575,,,,,,,,,,,,,,,,,,,,,,,0.030066174710178088,,
CEACAM1,-0.006919910284123624,,0.03780833821752913,0.0016580347372002655,,-0.05526655566984753,0.006831028533010884,,0.020640094336721333,-0.026557452753661226,,,,,,0.06741148795208284,-0.008606858587340402,0.04693278740601598,-0.009574743997179629,0.007875582199598446,0.05741107786816447,0.029370647287510886,,0.016140594918724403,,
PDAP1,0.0011961316346248705,-0.015819413628268955,0.0379408671223581,-0.03432094005077194,-0.0005832189833155129,-0.024708063428826678,-0.056295545953746876,-0.18886991829099495,-0.007213791592017927,0.07665175773875689,0.025334351755003648,0.012764191070582968,0.026260782866325435,-0.04073456148148472,-0.11143154509873276,-0.10633215457553631,0.09098327315954546,-0.007774854530563496,-0.11062913940491044,0.0448931121644105,0.03177387575403636,-0.01883688543504176,0.004468242274312726,0.08371936536558289,-0.0820920782560462,0.09715774271106674
QDPR,0.07093765832602955,-0.014687905383704075,-0.0012200513995436447,0.017399755387898258,-0.14663105743271937,-0.015517746397502162,0.16679991161597948,0.20332488974794924,0.04209228811875066,0.10806407315876204,-0.000181380736015097,-0.1720798468935562,0.0679407437712309,0.05105741468293855,0.10599812731757614,-0.0962680776211608,0.022828896122263007,0.048731972572998765,-0.051395213161333005,-0.04123647003375217,-0.17599756611168654,0.059524489290955024,0.08121449208211748,-0.00447154744042587,0.22497757325423673,0.08474796072703583
POMC,0.007281868602903708,0.07664940365964465,0.02016720153886395,0.0013849266662318328,,-0.013732370665772228,-0.008595100331183226,0.05715586357897259,-0.0045824006378624585,0.028353297348348627,0.03538816441320158,-0.037418641677954376,-0.03654899414789939,0.06886829901515668,-0.014286177634738134,-0.011762328949733924,-0.0157308105394569,-0.04964519334354513,-0.06866254141443369,-0.10160277337290124,0.0736951251485235,-0.022446679635179802,,-0.031909362123573204,0.07926182263934241,-0.04300381257760534
CCL18,,-0.018300536032577315,0.027979761124137924,,,,,,,,,-0.038650527275426186,0.056768566593078225,,,0.0014540502693313909,,-0.12314027736728023,0.02829454237390201,0.044418743549133485,,-0.018854264648384144,,,,
CCL17,,,,,,-0.03969693351177734,,,,0.013217847186675697,0.02977284483213766,,,-0.049019653199080915,,,,,0.03920077043871464,0.021327190358324116,-0.014731145293202092,,,0.054612066874304414,,
VEGFD,,-0.03939777774183081,0.06030426852762275,-0.021389272570342083,,-0.0659859494846091,0.0014123214647956519,,-0.031197157920397296,0.020082388943510682,0.020714463435113056,0.004388029287972692,0.026106167996154825,0.011795412251401606,,0.06678533308374422,0.015064518089014073,,,-0.05662621137954514,-0.020399439087499374,,,,,
TNFSF13,,,0.029255404108889393,,,0.03234896976272897,,-0.022790196734463492,,,,,,,,,,,-0.01862181451495727,-0.02611650955312157,0.011257394418461988,-0.043166595778076564,,0.030474563884646356,-0.02881776765108621,
WNT5A,0.13877502675490092,0.057122690384747155,0.056382197977283804,-0.07345105565718808,0.029857735584577043,0.018218424569205752,-0.05510756583569894,-0.3178132686545346,-0.029213495416171846,0.05644713585697362,0.009960010133505224,0.04706243226669,0.030606501462161224,-0.029654112525785876,0.001465059874731989,0.026243080865843146,0.029549729874198537,0.051255447454774554,-0.04071928939573613,-0.09393653841097548,0.02773847624183215,-0.09158123752644615,0.08610908237808992,-0.006596309087948817,-0.128057745782485,0.06370095970429429
CXCL8,,-0.1839920232410159,-0.04924494384684707,0.05992231775120353,0.056602738945723007,-0.24796794949103615,-0.0429886558922968,-0.04625815000043526,-0.04644841130605151,-0.043468956828374074,-0.019067174605490615,-0.03901942742578882,-0.08849342517144201,-0.03212953061074795,,-0.006650675757898934,-0.09141263112422349,-0.03107803344455766,0.22258425848819635,0.21177423047709734,0.04016308889847152,-0.07127654367686245,-0.006159442312194343,-0.013893748234368685,-0.10304808891319026,0.017457078088095004
GRN,0.058820240650892724,0.010921245256035328,0.0673056701887065,-0.027644136704032356,-0.032101129572644625,0.06314326825297517,0.026798445733010733,-0.18357419717767318,-0.04467469756282362,0.044544127269760564,0.05588897596413217,-0.06434658681103465,0.005546074353889201,-0.013968714762492555,-0.05825791650255359,-0.050223698247950546,-0.039695317458316136,-0.03816469538311215,-0.09456152350526537,-0.009172421473705707,0.19100746886084563,-0.12956001518342206,0.10035475302280775,-0.05942783146858923,0.022390527053334185,0.07718739066834995
MIA,-0.006928431928022352,0.029919430168443926,0.006684855362158481,-0.017416883633428044,-0.0055715645071038695,-0.07056545953167627,-0.07848145571180619,-0.03993817931433925,0.014643111648668206,-0.04160544428361341,-0.02605186567494391,,-0.05859668748631286,-0.0009092945282623607,-0.03036592993390197,0.01720037106678036,-0.09981166036962617,-0.06774501083371282,-0.0274929169358959,0.010392017553112032,0.09482011193761512,-0.21075016998409865,,-0.02527938107366788,-0.11054010346316338,
COL4A4,-0.03645587104851003,0.003480424248764389,0.07070153068752806,0.006716825423098424,-0.012850386110707891,0.01903725461197471,-0.020522705101330575,-0.04981563321021177,-0.027488996908573468,0.009524518218027765,-0.012155955787322837,,,-0.002933230833745987,,,-0.030400157249737287,-0.03428384905974112,-0.09395613178141851,-0.11750710199327521,-0.030602585362549176,0.0016640153088844348,,0.005180970428619811,-0.03796074828035044,
TAC1,-0.03536581520485294,0.012529992485108629,0.10676894620178652,0.020583302307225708,-0.06349908893577827,0.03668361867481103,0.10586775742923671,0.37786833613307835,0.0212371181853875,0.14502725703418284,0.0012116204205331728,0.10149292265937068,,0.04646810310189872,,,,,,,,0.11579123523087877,-0.04868551093599857,0.03250671323456029,0.20757906166916784,0.055955563584593054
RARRES2,-0.033160247137490405,-0.016732027410826137,-0.012895580047157256,-0.02955315870912146,0.041588433394492516,0.028410253128345945,-0.10203917422521284,-0.19218084947317238,0.0059350430297608475,0.06927351763346087,-0.0011285643051152608,-0.08013611346878564,-0.0901882188410481,0.00866004804809139,-0.14283451941272624,0.06799013736859001,-0.006499854342486126,0.10118332959328082,0.0861103817483578,0.019320367330989883,-0.07978765261853975,-0.0595561402316566,0.1024369575816018,0.11400580770340432,0.055779514399081756,0.022433683479130606
FGF7,-0.025587504561457624,0.03468328601251536,,3.85151493481095e-05,-0.008263090281372608,-0.04269872029284531,0.013142096024853214,-0.09257847440322116,-0.03390875150044989,0.047654053472148225,-0.03405164692041509,0.04042777613706702,0.011329484862836022,0.03136615077712162,-0.015423193337243258,-0.008787646671413957,-0.053223163077734385,-0.03281226833829647,0.013383287294720176,-0.053096428511505894,-0.008691449993204488,0.013450358470770384,0.01591340388738649,0.04264901090382335,-0.017813593857613223,-0.018908301898615778
EFNA2,,,,,,,,,,,,,,,,,,,,-0.012675622436995718,,,,,,
HBEGF,0.0013788970552296343,0.016798813669453266,0.07353296439732893,0.026295730600995774,0.003776180345901944,-0.11888130493101746,-0.05062736485373168,-0.2132115405725572,0.027473430723681417,-0.13571208199130094,-0.004579671188788384,-0.07767425482260684,0.08767638777586241,0.01037452957369839,-0.09561979297834419,-0.08490111873093617,-0.03437014646420068,-0.13927373832871887,-0.007460780188757827,0.014895230987413523,0.0141614714619864,-0.1010067017613486,-0.03637126352353045,-0.06131562221303914,-0.13877598219127596,-0.06761144343598445
CSF3,,-0.0418991507914034,,,0.029457522564694354,-0.1625910032434794,-0.08709729443643587,,-0.07376860067747856,,,,-0.013025965994745755,,,,,,0.05890840546241219,0.15335224742763176,,0.0031553201052265945,0.05825122829832634,0.02191125287628753,-0.059427573107524057,
PI3,,-0.15051665439666873,-0.054193118781704804,,0.000721014851663582,-0.2581253474274247,-0.02107863028988408,,0.004285923659616292,,,,,,,0.0668144111998014,,,0.11452386976150024,0.13230907620559493,0.11740477075810554,-0.17561044845403506,,0.07004972355666331,0.05306330715403792,
PCSK1N,0.009603705950181791,0.1663628368753048,0.029226772856992458,0.10619322973065531,-0.09967138181136968,0.21151216148660307,0.051388900108011414,0.21690875619106004,-0.011019844574717374,-0.027044468603757414,0.0574010265344532,0.20569540935319783,0.021374374325781976,0.10359104279244344,-0.03197337882137438,0.02233404752282531,0.1538725091015346,0.03217706794373634,-0.05656178886990172,-0.09597703592966669,0.0887902104335498,0.05728040851549881,-0.08297784908321615,0.08518032030972564,0.14432076415582792,-0.1274353125961335
NTS,,,,,,,-0.06548014949311519,-0.05590715988416141,0.003275106323334562,-0.028410917333930974,-0.036779570614424696,0.004979854848023174,,,,,,,0.041705445340636305,-0.033270838834055745,,0.06206010339683192,,0.035542666150852935,,
SFRP1,0.03328863880002236,0.02895343604758323,0.030547349859350606,-0.0040109481883593675,,0.014109075346255025,0.0618936412894893,-0.07198082232748053,0.0007677159330042752,-0.012843870270840123,-0.021856989454758807,-0.08568528630767483,0.08113147274889913,-0.0245364400383074,0.031523941285868794,-0.024609743710143107,0.026515261336571956,-0.08021410925853677,-0.02516263391295823,-0.010923747394931491,0.026239968827666462,0.042056236628230104,0.07441229268831481,-0.0010763199186302138,0.03878257439088683,0.015583410723497181
CXCL13,,,,-0.0027413153324310404,0.010851443515603354,,0.019660478320431527,,,,,,-0.009158423844316126,,,,,,0.046141963446336684,0.03310205915215919,,-0.06072876509634604,,,-0.040510573857398424,
MICA,-0.03805952947076659,-0.017663700524985865,0.04744137079341749,-0.04573236258504504,-0.0959383592172416,-0.0911809387283694,-0.037542717597289686,0.02046608993478143,0.017868198140070034,-0.023657960399713948,-0.04596496726118028,-0.042318554857786836,0.009178763868027894,0.001656088701670219,-0.034017771587873065,-0.06244784191997118,-0.17218067929377123,-0.03668897486141185,-0.019477267591443765,-0.07296910627450047,0.1203912586053129,-0.010155307802951135,0.033000370676267536,-0.0711495338490844,-0.07413592695763481,-0.021396965145199516
TG,-0.07730222418243318,-0.03734750144551609,0.01603991337436177,-0.03467244014952868,,0.0042708561343033115,-0.06924477531761092,0.018597715818032594,-0.010203009434093899,0.0020709953928486485,0.021040901977249254,,0.035492649881380234,-0.01027070018103248,0.017257099058972315,0.02352717925593761,-0.08137338898472936,-0.003533858216399901,-0.020499484153541803,-0.03166549738219715,,-0.03591823175999059,,-0.05107276116936024,0.04243078814747217,
ADA,0.027644845319093635,-0.0024561096854800435,0.030111636655544106,-0.00224404106888955,-0.0048017033884480516,-0.017702580169041467,0.025346961485564378,-0.06913155024178863,0.042643411112375004,0.06641586176008564,0.014414360314592575,-0.11656697383593008,0.05422531242628019,-0.030907614958056932,-0.01787238918097354,0.009604083192552505,-0.09048717957709125,-0.010252222307547588,-0.04319042021530193,-0.04197543342887961,0.05661510281192577,-0.003857146640322285,0.09589013990815519,-0.11940168682876884,-0.004602989033874422,0.06306213021803855
LAMC3,-0.07332524359055738,0.04143971166329056,0.10229411691824371,0.04443617153965841,-0.047478985227067116,0.037666287260254686,0.07747076238127926,-0.1545536327377589,-0.010445184751244702,-0.002284951094628195,0.09124169387803852,-0.008699993441287867,0.0006288188366458308,-0.10072714142572899,-0.0773205789087624,-0.00879059930527758,-0.07703835819689536,-0.1124621388396907,-0.017728978893515258,-0.05025748944203411,0.10950666822025397,-0.03495249102846198,0.07077116050551752,-0.058560974489986185,-0.10173427595387767,-0.021977023087381392
CCL7,,,0.024757400542688598,,,-0.13979087366968415,-0.016856303376822326,,,,,,,,,,,,-0.02343981144464307,,,,,-0.10991824070507351,-0.0042462700999595215,
NGF,,-0.044295023634499546,0.034226072042012494,,,-0.11801237576941825,-0.02848631369062696,4.883283635497237e-05,,,,0.0684587681845582,0.014882446033786792,,,,-0.00297513855170709,-0.00813048690122264,0.025555369803630733,0.015262595399839683,,-0.03166431566383113,,0.00915301483471991,-0.03479125713998446,
TNFSF15,,0.03410176088916164,,,,-0.02542523194735302,0.019111051610514435,-0.0637150324464045,,,,,0.016586136682162307,,0.0011769720127392798,,0.014028338219083177,0.005863391167418019,-0.018842389160884716,,,-0.03236656180268988,,0.004976424681959845,-0.04438892331237763,
