,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.0631524288783345,,,,,,,,,,,,0.013414631230520703,,,0.02478413349360278,,
BMP1,0.09202914515592846,0.17826856850563405,0.2850261606232186,0.005772281270081205,0.047563024604458166,0.07558042592637997,0.03904647058204572,0.22804413973426563,0.5057995075017114,0.014224867506367377,-0.047209997379284205,0.09177998017484125,0.17284397185866965,0.08978208323407955,0.05769191206334609,0.11793257438863616,0.024801814511674743,0.16174441982704135,0.23587530155278838,0.07236936270661103,0.1869725592619446,0.24959335266337485,-0.018764189379006486,0.33010866148131573,0.2192658160176159,0.16023146287708953
NDP,0.03443527384071528,0.1609621884726099,0.07692675355172997,0.008693643322496792,0.05607944625128681,0.014822694924912021,-0.07439519615485203,0.007387609149244748,0.08767130640744038,-0.020059010947483337,-0.04444344615859658,-0.034986706797478034,0.10940726731627273,0.05838287450059537,-0.01677500444250615,0.10443157238524381,0.037218258263333276,0.14725088763108124,0.12292468267529273,0.03975061289708693,0.10950830268526324,-0.10766799358708683,0.10456821277285687,0.0794720732415749,0.11604325618649616,0.10798648121961299
TNFSF18,-0.019338956425698054,0.05571411787291412,0.08602769463831351,0.012444215017261144,,,,0.02487521260194037,0.14816340917825185,0.005200344144750421,,,,,-0.00010022069549345353,,0.06647216809324365,,,,0.08653413211372578,,0.08669424869328181,0.14991362386316284,0.04669368729799297,
IL36G,,,,,,,,,,,,,,0.053060637294188126,,,,,,,,,,,,
RTN4,-0.11981590949411827,-0.09656209510294807,-0.008784617785595169,0.03305729178901678,0.07266882650514069,0.020822108500585645,-0.026532646211070914,-0.2719931731377059,-0.5813041390547882,-0.05621442180555813,-0.07373286013489257,-0.12300838966986598,0.052491251988546095,-0.06183835192155726,0.025416623425184397,-0.13318674999126975,0.06104473117397975,-0.1470649227167662,-0.07538646358960266,-0.08568407215305658,-0.1655407591377524,-0.06192457430213498,-0.060610656819365456,-0.11155137500101928,-0.08264563788846518,0.031461379492917455
HEBP1,-0.04393405739701437,0.06358255889463706,0.058706685158798746,0.02422189136152273,-0.017933671745020217,-0.009713196960913835,-0.012504153072912833,0.17747600983785422,0.2577926542201625,-0.005349680911932514,0.014090495917348693,-0.0004843229583512971,0.0020952568085251364,-0.007890604119463,0.03225331208388015,0.03304697251397396,0.01837776556291908,0.04296429231498109,0.11141236558869841,0.007448322186962205,0.021366477160894643,-0.05225037883475117,0.047241216278943454,0.10257407607232542,0.02101194099099667,-0.0177402011452127
WNT7B,0.08136709355599316,-0.01158293833473546,0.012462164606482171,0.025336774447831157,0.045133509611313,-0.05339899517016881,0.07675757447550006,0.0026149618811740927,-0.18941301178825173,-0.013219795005605224,-0.0329257511972885,,0.08959322713085441,-0.045586520235073265,0.03985352972725341,-0.0031158472857502704,,0.079826989874825,0.02276608689841691,0.00576745465827226,0.032478482918938796,-0.015148960390340674,-0.058776962046615165,0.007082279127647377,-0.03354105018184391,0.027062538895434342
PTMA,-0.039608366610633945,-0.15905277675877785,0.09493297389477645,0.01138166125154535,0.10557453424636987,0.001140371192904268,0.07093812701517355,0.3592008897861705,-0.300695655407979,-0.08118259124561136,0.01765997029372195,0.13720908199977264,0.14055473000817356,-0.0041820801980785,0.033670572088334766,-0.04651761998444816,-0.07713578042608397,-0.3132373730900317,-0.17379674185558402,-0.08603946226331168,-0.1931930222844802,0.03127023257135921,-0.021656524517332847,0.2565269528911914,0.04553509510815955,0.009414669414847837
FASLG,-0.006071872198259611,,,,,,,,,,,,,,,,,,,,,,,0.07801476557554675,,
