,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.051719028334508005,,,,,,,,,,,,0.05940027077490057,,,0.01059696561581901,,
BMP1,0.1733016258293729,0.036298021404323255,0.06595664958117836,-0.02822291776050694,0.06905881392396489,0.02540534743202926,0.05801916868765922,0.1497935799191192,0.3520614489489008,0.03710212540310449,-0.026627630524313297,0.07327469557333938,0.06080143417371084,0.20363906221175618,0.09022064928817577,0.006000734927832017,0.031236570796941816,0.11490772899685059,0.12872474272379833,0.0108844089719574,0.14163579848448338,0.022942669540638685,0.0867745726124329,0.10953930407056055,0.10283192416454764,-0.07820020726266459
NDP,-0.034182579834157456,0.16596765831446555,0.05705664827886012,0.007607606891663695,0.14727699631334484,0.020568127131078525,0.014132739632185896,0.00646549512147448,0.08546704032123265,0.03433326475136197,0.028679273094439156,0.033819859086813966,0.10728702416915387,0.04491337958879732,0.05598854228566099,-0.03387633683589051,0.15278009184151797,0.13174776037930433,0.15886686217656615,0.11163579769101217,0.04309226366450435,-0.01671744868454113,0.11626195697976137,0.11099954894667557,0.042259320868693946,0.03198350953260283
TNFSF18,0.0493872557466768,0.004925977468883246,0.0030815458250397086,-0.005335491463056401,,,,0.030240933788645463,0.028037745293076653,0.06401909010871128,,,,,0.06876273821439648,,0.0222325191369032,,,,0.03187717613399417,,0.07833888185547992,0.031438286176290235,0.03020006495967889,
IL36G,,,,,,,,,,,,,,-0.018727690612977337,,,,,,,,,,,,
RTN4,-0.0715477236501868,-0.13112018329245373,0.10164754219659271,-0.02303927525587561,0.07205056792252268,0.01743587582161667,-0.0841162239944447,-0.2045660093777085,-0.4405565393788964,0.003900111249432459,-0.10954997504592623,-0.05942280443907124,0.01787764906924506,-0.2620238503292561,0.02478665628720973,0.14109056537089495,-0.02028285835439046,-0.058798302954273955,-0.04088060533938884,-0.03863760057573978,-0.13509527898619597,0.05534221420800016,-0.013237032972318492,0.01628966463463189,-0.08409128480977357,0.08647743958520815
HEBP1,0.019101313779949457,0.07525632786444918,0.10687139163276368,0.03475492225354016,-0.017142626110087683,-0.03448870211425611,0.023910066063407655,0.11565862643373248,0.18890731737706754,-0.0008509718121728397,-0.004988572305559789,0.13515711521455223,-0.004804077899874232,0.029151670377893103,0.1441234320016129,0.02523280888900474,-0.061809423859287796,0.0667184440390145,-0.06454426411114096,0.1020685130633294,0.07594418158197405,-0.012496668492089379,0.08513633975317587,0.08233078793954152,-0.006578131423350642,0.05962313914220703
WNT7B,0.07683194750733056,-0.11137814069811826,-0.07346230272548757,-0.02043722506817631,0.08503883831148516,-0.019775121813156972,-0.008133750066633827,-0.021465206674897645,-0.21161355620529182,0.00490222522663971,-0.030822579856660818,,-0.014729876953778857,-0.04043147749952706,-0.03204290785546833,0.06636656275924359,,0.048814420603173474,0.06936976708961642,0.02743504686375237,0.07196292790945785,-0.025456988633627973,-0.05267688905014634,0.034040066655264836,-0.04963291818335529,0.03380788743036421
PTMA,-0.02171207809623552,-0.12354247632076887,-0.01857158607513665,-0.024942890486477784,0.13805224017527065,0.022920457085034623,0.04899488864445691,0.25161994199099824,-0.14450803908546744,-0.08097407648316131,0.12152392217926422,0.14677034278843612,0.058971871691836375,0.24949922889568604,0.037118233924192626,-0.23051785091046273,0.018600888035903797,-0.16227215172505846,-0.10871543429112286,-0.031077629432381026,-0.14968628681388463,-0.04540868970561615,0.015131448208459205,-0.1098266808510741,-0.0497824494306052,0.004170505702964839
FASLG,0.004084362608812148,,,,,,,,,,,,,,,,,,,,,,,0.013551992620408664,,
CEACAM1,0.019753624531440805,,-0.013886037886075469,-0.027661262518357193,,0.008288405946175562,-0.022765111576909133,,0.10235356335238555,0.021591959843895406,,,,,,-0.003077276606098302,-0.03507592705533631,0.03176746375617838,0.00182916729854919,0.013663335788654146,-0.011228630041219219,-0.011507198121148185,,0.017051259373085933,,
