,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.040563137673762205,,,,,,,,,,,,-0.01310902304910972,,,0.03014567350625587,,
BMP1,-0.01626903378102656,0.07850727039137882,0.23784478442012072,0.07989662078972762,0.10659038403908613,0.08124035382029873,0.07184655939661262,0.15851721988744122,0.3866262483758391,-0.045326765278749515,0.004693422641789218,0.11245111897843699,0.05998528003580445,0.05779887712018557,0.05363612816101462,0.012057834157266351,0.16171611318409804,0.1215415069456805,0.012977953617823314,-0.009469080229198156,0.06986805823864649,0.03968003157386049,0.031113461378322098,0.13844912848076799,0.1078306584543782,-0.1133050023117405
NDP,-0.02022135058543826,-0.012895920883763947,0.05224394701201557,-0.012446794395496194,0.12604548933947798,0.055787117918217534,0.003321967376562517,0.0035088883024274146,0.03090490872523065,0.05936877167246884,-0.002521204539189146,0.11458680182316675,0.042425319763246594,0.09553110601351854,-0.01156840390599682,0.06127275688389978,0.024759314624009175,0.027020624175533116,0.06625866236399043,0.09952953543130914,0.015448614269951843,-0.035905170866242626,0.04793238548617357,0.17072002525832844,0.036452623809664284,0.06506865192051647
TNFSF18,0.02811392914974919,-0.0102352209027923,0.08892408558725674,0.05943845740208046,,,,0.031219641745405122,0.04737646892208219,0.025110927523075994,,,,,0.02189960354825762,,0.03227208693476618,,,,0.05956125182618903,,0.13781327384994949,0.053330343008641125,-0.009865822514028292,
IL36G,,,,,,,,,,,,,,0.009908419735604537,,,,,,,,,,,,
RTN4,0.0847738955921217,0.06874813361936122,-0.019956804649393575,-0.05160433254341341,0.04332747118672008,0.022535803447000353,-0.05321841933999009,-0.3017747610147805,-0.4294880726962577,0.011150330593282637,-0.05219245114300022,-0.11432367530990914,-0.12944786121875573,0.027133493937890597,-0.025081677322746493,0.06730162929567592,0.08777449106271382,-0.0814436721374217,0.03922861175761819,0.07698004053678387,-0.06561023647831804,0.010968298491843912,-0.02102060158230569,-0.08722506303926454,-0.01969227685167412,-0.06926634874783319
HEBP1,0.001938044055080264,-0.04155858839119901,0.08496875348790675,0.04017559778308177,-0.04123018378675729,0.014174687932383372,0.049885578870185854,0.13507362892737135,0.12820878406094274,0.03269927485776612,-0.028757884913595072,0.09086187335892804,-0.02024958822642798,-0.06694986771690128,0.04179798432680523,0.06462009197840902,0.04493456197946999,0.04721337486931882,0.0878322121616566,0.1904401934633233,0.05009993846955538,0.09910011094917434,-0.01136318186370386,0.11590450039312787,-0.01151864066434496,0.12477262177416218
WNT7B,0.004829031148536071,0.08262501196834329,-0.02547643881572072,0.029953646527924475,0.09310147489064222,-0.004017857750464385,0.013111558231713914,-0.007287462125091946,-0.17124397509977465,-0.02836375805072552,0.0032248480894663564,,0.007272126663538063,-0.04159525333414038,0.036796820707039,-0.027122348296752374,,-0.06661708875107532,-0.010280317351194227,-0.017727550068862234,-0.016124007471101574,-0.03557133816237801,-0.016778858943941467,0.007652404398471073,0.05356873632780483,-0.027269436497715755
PTMA,0.04646683602754021,-0.01914302870945367,0.14644858959571488,0.1201228953043275,0.11108279013192492,0.010797035383627734,-0.023713698766928852,0.40997102472078345,-0.18178796869425723,0.04081548478392401,0.07723548315661799,0.2254534734601893,0.13869222573347587,-0.04714378053856257,0.12693310607049718,0.09745348009794433,-0.09745908932725024,-0.043630349668752136,0.02445898160095445,-0.0006537143496402339,0.01183624710795632,0.01073321093706253,0.025116656770209488,0.07545693773573493,0.1334672304562934,0.08602228909266911
FASLG,-0.01134075088746376,,,,,,,,,,,,,,,,,,,,,,,0.0764823203232302,,
