,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.044499915762807304,,,,,,,,,,,,0.043846493986240624,,,0.0438466554762906,,
BMP1,0.017605355511812294,0.04861009054746746,0.1655166053132347,0.038768226014390096,0.18770455356575597,-0.0770784013304737,0.10690863527679649,0.14292939972914845,0.3937763228039821,-0.009768821092321488,-0.017418434253112482,0.10135961753754179,0.09679402118116365,0.24217184173595244,-0.08155187932688733,0.1440605235960702,0.06289344616111238,0.16261604641624375,0.17747612691191594,0.04003122401738088,0.04433408530208362,0.078386708446048,0.031699726306741165,0.13984317691251663,0.11196321281859575,-0.014021337151265386
NDP,-0.02935223432644178,0.04755106140370968,0.1024402011818459,0.05188341594910409,0.08870831722764341,0.035635668622270605,-0.03865230256890564,0.04066150522243525,0.10721474069573726,0.012249656426420095,0.04815908613899195,0.018551877698659566,0.02213467606621674,0.18162358185864674,-0.0028260058737773837,0.1319557375666584,-0.0569409083427996,0.14204326721778374,0.14821770959005265,0.059578395507799614,0.013385573261553063,-0.037458006699333905,-0.052620932935512205,0.1892217972230211,-0.030254630654976522,0.01631232203602838
TNFSF18,-0.02034300600264769,-0.0056752855865615515,0.06357297265720543,-0.04854375665302593,,,,0.03032163394040288,0.08953731125102539,0.02622346310502916,,,,,0.0031838329804803616,,0.06205688548640516,,,,-0.049475576770494016,,0.015244741802153367,0.033728908115043574,0.0318487383719086,
IL36G,,,,,,,,,,,,,,0.07957581949685735,,,,,,,,,,,,
RTN4,-0.04438483995308132,-0.0943484858029006,-0.012041940310606215,0.014354812390273244,0.07108741323439789,0.034980594307807526,-0.1308726668347911,-0.21110562802940228,-0.45290709931126105,-0.0025969373152935206,-0.004357688529887286,0.011163911935298415,-0.04098490908453706,-0.22527825260147338,-0.14891650422796254,-0.048181067037112696,-0.06089395423925067,-0.16088644451045722,-0.006598980683122234,-0.06727652215236023,-0.010790626514907841,0.040506428338195954,-0.008178897025411696,-0.003229209452107687,-0.07557737837286992,0.11189732107375719
HEBP1,-0.014497158077089645,0.02915952475822816,0.02364020973268578,-0.006867807519856491,-0.004994514082734721,-0.00267750859848884,0.02244889640730663,0.07415410561817123,0.1455546524808301,0.004072660983840679,0.01746610939850027,0.04620343747278284,-0.06241400444034603,0.03889709907517064,-0.0065222187095805104,0.020127954781328238,0.0087222671288611,0.039523323959391295,0.05298921382603431,0.06594014447980258,0.021492264875835866,-0.011423145790116331,0.10828900066203836,0.17267849588333248,0.028560535142595413,0.06246002449103942
WNT7B,0.06101502530175413,0.036561612090406245,0.0003283212390047036,-0.04047197629198846,0.05223448510225151,-0.020669804606149044,-0.04843058430793768,0.05105853576432143,-0.1682448473528793,0.011451183198578536,0.001493812755449431,,-0.007576600300289503,-0.07972341275134023,0.043605840763411896,0.06500187370301169,,0.05906937338620189,-0.018287452470327988,0.04692711443634023,-0.04243506746647577,-0.0007931468858389183,-0.09060947992311408,0.012595837177425632,0.031516177402256616,-0.035545648285431254
PTMA,-0.04610033525250227,-0.06408304548158932,0.10904857162215649,0.04182724822395287,0.14794090817769445,0.01581311322995591,0.06159108827431383,0.28917937953536627,-0.17333006458470476,-0.08379286611799286,-0.03587848954762789,0.06645156579824193,0.17500989542268486,0.24123246463998207,-0.05084018890497995,-0.23275077628119398,-0.08800281332223783,-0.28269611815377593,-0.1575093541294,-0.0812641052660557,0.0287735130238296,-0.0004359082054772914,-0.03713172049483374,-0.015262015708926524,0.008295668828110617,0.044513927894658606
FASLG,-0.04382459221858579,,,,,,,,,,,,,,,,,,,,,,,-0.0028010264062866236,,
CEACAM1,-0.024089648583195462,,0.012462388929719945,0.006736726238463326,,0.03785715532587302,-0.02969589874949861,,0.14067025859391266,0.022485369248647837,,,,,,0.04314454763955243,0.09982137261263484,0.06879525790998192,0.05766634602875447,0.033714046634770296,-0.03326184709025199,0.008660587253106991,,0.06146976058309939,,
PDAP1,-0.001010362678649168,0.000809720657376303,0.12267819723772709,0.006444950034651321,-0.026069433857565136,0.04625106673802731,0.07151173486222603,0.1229246744008454,0.3307264235287805,0.0935495898791015,-0.007201157843973087,0.020547459029459317,0.1834976391049125,0.16503332799241582,0.06563743866422897,0.0003809558888921634,0.010486093302361357,0.15241753745567765,-0.09489003309219372,0.00015374054063498389,0.10362100660851452,0.04286689593792035,0.023891442434667197,0.030803406663857957,-0.030532438186412908,-0.04370801954183243
QDPR,-0.10835176013941668,0.045120923696557715,0.01570518387938602,-0.0010982279879023502,0.06538205484898377,0.005173990279159081,-0.04100710486801088,-0.13642474763674825,-0.3014016525393041,0.07804341165964931,0.050434905696940154,0.027388129355901947,0.15271282061860278,-0.05457384994705043,0.05100917503234176,0.13223689936664407,0.14824760904931022,-0.2901109098536795,0.08936028183233746,0.09372022399700713,-0.018771718697608044,-0.033193805673324354,0.042552573800700676,0.05528456970426463,0.011700664536735903,0.07778086033198976
POMC,0.10767750815538353,0.01267505854801103,0.03768761521460323,0.007085853874652221,,0.008926922368134716,-0.009350026698124672,-0.04354098302934945,0.07039271592232331,-0.022332408486394874,-0.055595775177891674,0.0493926518701299,0.06663694315925305,-0.011693984382309815,0.08549150000765934,-0.09212835411407193,0.07608190206872582,-0.03642629020747281,0.047035464030581696,0.0668966196897265,0.10202330785026979,-0.002558003214356656,,0.09071605278272145,0.05151264317133389,0.06365755141189099
CCL18,,0.023982939125356696,-0.06622238521043243,,,,,,,,,0.09365870518926572,0.19848808069243054,,,0.054733948902260125,,-0.1520080148180417,0.060026103550503807,0.03623807443930337,,-0.02054865207684658,,,,
CCL17,,,,,,0.02609040996143394,,,,-0.02207459950212476,-0.004502253870567441,,,0.026360679775673822,,,,,0.07642276414884946,0.0030742411709360714,0.07349472186810677,,,0.03541636659144878,,
VEGFD,,0.00017608594048593602,0.02536261873518314,0.043413529776094674,,0.02568989228444246,0.04393744035816393,,0.1251114509178973,0.013968894152678617,-0.04340738640710603,0.06465746178135869,0.04163306283270142,-0.014221613477053559,,-0.0377323199828792,-0.0439890934117556,,,0.016348015708759357,-0.007695091611072711,,,,,
TNFSF13,,,0.04881285945006632,,,-0.027897826137789183,,0.016455745010670618,,,,,,,,,,,0.08238330005251031,0.086617082637603,0.044786702066838935,0.0012406855295949517,,0.09540226852603817,0.061626997394641954,
WNT5A,0.10685447654088528,0.07905280339603356,-0.0179392210238943,-0.012129501633614892,0.12381783658481357,0.012300263376412827,0.16377828272429043,0.21443251053746537,0.3247655263903002,0.08780287624187276,-0.004051577397938878,0.09164160525061081,0.04039871319557322,0.1205463684360282,-0.03082111002138427,0.058935944967029065,-0.09129429413295342,0.1804727369416728,0.09851198121461963,0.14553133086471415,0.06693544457967564,0.05786036712041646,0.04244833545346223,0.18191652138013922,0.07490168036297766,0.08848826539681406
CXCL8,,-0.08174406392199489,-0.15131981182594878,-0.02262187335539368,-0.1256536018101807,0.014444478165021394,-0.028623934088224497,0.03936053129698136,0.15620627973927667,-0.11796434743864241,0.02663575590659569,0.09249542304058518,-0.022067777459380884,0.09552315615659655,,-0.07717913480651908,0.09137475170680447,-0.029528508191022915,-0.0700832560013356,-0.2051631207136013,-0.05074963732691065,-0.03968106951728432,0.03502834117613268,0.017785838369441892,0.035880118631728505,-0.04626856691265738
GRN,-0.05024628193654407,0.07107186917119533,0.06440837717618882,-0.011254062465771722,0.14528665848407255,0.01061072873578956,0.013219176235697766,0.13179268360743962,0.2953772941541957,0.05333858873628134,-0.02087681324114467,0.09986262279119104,0.07948479518313636,0.0066859441738399954,0.08098940545946495,0.16873822419430162,0.10323639201973715,0.05074771614701622,0.12609401569699752,-0.002156723747511863,0.04567016517548203,0.03629566929388345,-0.032493864261475984,0.020763026040201422,0.07699000181665555,0.011565670084476443
MIA,0.039856207841625975,0.03428478912480749,-0.0603996743224044,-0.007859848781211135,-0.030456727729459426,-0.022622386449806138,0.13243950384984002,0.07400370253487538,0.18360442315067957,-0.00932649247278277,0.04253539777115671,,0.014165345070000704,0.06441742262427894,-0.03840880578482034,0.03725810539282777,0.0716281463842893,0.06793378490261265,0.24206047247672915,0.19385928733893618,0.044077283357906664,0.11095140681339873,,0.14909083985633031,0.08543519811578261,
COL4A4,0.016127481377446462,0.041064276968370526,-0.012584781143366435,0.04922089091269887,0.004350400329899852,-0.02181276597231933,0.24010047151857222,0.05847991241460477,0.045475968299721135,-0.02895498877288637,-0.023039781206689213,,,0.0440399130252085,,,-0.10974841230580887,0.006189132189745629,0.12880233171118738,0.01562937418723305,-0.07555793793405202,0.01023734424056537,,0.06629918403574096,0.0136767620784654,
TAC1,0.042565809518027124,-0.06121744796190258,0.01563733494081609,-0.06473157304126177,0.10859920967180782,-0.06314595190534437,-0.1681004533719635,-0.18401555437153994,-0.27863910100288714,0.005895133515313397,0.010170236681396019,-0.0017241887011530657,,-0.15920534821591106,,,,,,,,-0.022517288407741077,0.056856860726306885,0.08870717534032191,-0.029459839058584045,0.040553563361705194
RARRES2,0.08540888833713091,0.03988137238225471,0.02015450411343001,0.05467811379166616,-0.0940532471690451,0.0007023533184863214,0.1099139322464524,0.09999181141000969,0.4120554181695856,0.07381336783867971,0.031044867913887393,-0.00013762253683968203,0.037649791794905275,0.16751488212770238,0.09549710154368808,0.08956675352113388,-0.11678681043603782,0.13725286161881506,0.04470320515333566,0.001459191453166912,0.02319542242714936,-0.03672341468090205,0.019281402613026237,0.1190596059569599,-0.058036412166687194,-0.008371098766737304
FGF7,0.0519996242513812,0.06423184688230534,,0.02459396966349056,0.059512116005991614,0.005260123910745303,-0.05460329541556782,0.03452072612198723,0.10438245574252639,-0.020515759371354133,-0.002910341762661288,-0.023207786192588516,0.05972295374213697,0.04573430718613819,0.040829459780311494,0.08043699051864289,-0.03314921701296875,0.17736935654910269,-0.0012271562801369775,0.09536168008846663,0.013925326818651,0.0339826638846646,-0.0007578926463514213,0.14819651661911679,0.12796630632009068,0.02210623115364734
EFNA2,,,,,,,,,,,,,,,,,,,,-0.051278525877295554,,,,,,
HBEGF,0.1269606993884332,0.031100071338757255,0.061217222436383396,0.0703630298514904,0.004700193473904787,-0.05757709592329725,0.06703005215019156,0.13773092611899157,0.2095734629663799,0.05645278435989538,0.01092772290221664,0.0035200218088843253,0.11239704198032303,0.07718491739653605,0.05916732486959927,-0.004086833637734884,0.0017711563333324405,0.04309999549143111,0.07301052457404054,0.0051307446856943975,0.09354153373069389,0.0655977094062601,0.07120668822560734,-0.03960150042619631,0.1786273480188931,-0.02550400340426899
CSF3,,-0.01446013633750472,,,-0.013344081776760906,0.009995852083680897,-0.09551722083528204,,0.007181771780348957,,,,0.050291180480399975,,,,,,0.016165908036130425,-0.030070305443786693,,0.022407397936589586,-0.05339303479863727,0.0728027367573838,0.08045852594852444,
PI3,,-0.09179866406218419,-0.07556472897759982,,-0.10706623647085545,-0.004221505105722591,-0.04015889499657647,,0.05032619379842517,,,,,,,0.018480513601263113,,,-0.07111147930922594,-0.19071788057172198,-0.025496076224001848,-0.035358645399914686,,-0.03466739816257698,0.012681569312290461,
PCSK1N,0.11724840393613216,-0.010356624513987884,0.01417481454295221,0.01347794524551046,0.1522948229341352,-0.017764124255841923,0.06058083741343298,-0.0979268511138868,-0.11289594503613783,-0.008428922703889513,0.006327794186342051,-0.07539473199835589,0.11291121806481287,-0.15008251477778245,-0.023493172054927066,0.046582181374368474,-0.010681168004719917,0.10283418196512793,0.07469932676722796,0.00810630568713375,0.07031036503405542,0.09472151812034872,-0.012026742828951388,0.14956812015970183,0.029512535940734465,0.04241696410798447
NTS,,,,,,,0.11800330687318634,0.02530257965293561,0.04030090893547248,-0.011844589714507166,0.03881515963906446,0.04340984561256169,,,,,,,0.0030541234387851464,0.00289226007292606,,0.0439043615779629,,0.0864848707890043,,
SFRP1,-0.05212037171175568,0.02763748218664064,0.02556260674291648,-0.003872893837456516,,0.01160152105100341,-0.02938427530409353,0.05273243393608561,0.07113245054201353,0.05492934555995076,0.0732622189070136,0.016094076459992317,0.06063669946486634,0.03273112990496891,-0.011298254794146043,0.008600757719629249,-0.12140803261609487,0.014001290586082734,0.11102351245945147,0.04736327376660396,0.10495381167855607,0.08436404696289064,0.05108511615815556,0.004562928927702718,0.034818802048232435,-0.03905048011113995
CXCL13,,,,-0.06767781045918599,0.027220618073070493,,0.03678726259352686,,,,,,0.09603213684396203,,,,,,0.12286268392677727,0.053328388314667435,,0.05132736429620895,,,0.05394330018299378,
MICA,0.04194190181216727,-0.023817954206700024,0.03129689866100074,0.016500394473375056,-0.009386659893441885,-0.04027322617211902,0.05110528318818282,-0.02355427271423715,0.21671090776614496,-0.023503279936401215,0.012826243876938393,-0.034139945363435266,0.10283432752517699,0.1480116698053974,0.02911282939905498,-0.04050462680433562,0.08843693143488582,0.10099402614226514,0.17496309845631206,0.1047462256417895,0.05478089824825204,0.05550825722084697,-0.05708328077205981,0.17573008363724893,0.15223026511849372,0.20945307496192772
