,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.04666939152886444,,,,,,,,,,,-0.009793391213935933,,,0.0740421739298386,,
BMP1,-0.055317354220355386,0.010818939595566601,-0.033427231207382044,0.01874533571755141,0.0672707202317759,-0.024998610766458366,-0.0412547706285871,0.14331634042481162,-0.16682383878141818,-0.03388707282803194,0.031697939953716205,-0.009003617524534073,-0.03892936676927964,0.08779880120740736,-0.013024614380745713,-0.0692341850112059,0.08621800110145741,-0.029453836122219017,-0.034363387144899775,0.005162672884190354,-0.004066098254587226,0.03432434532205296,-0.1085097012979032,0.05475023652758034,-0.023761322741201553
NDP,0.04412516386202888,0.04512982398439661,-0.013192841578834508,0.03033095315935431,0.04436790836986174,-0.030137664622340417,-0.03180989172728329,0.021893011964898606,-0.03211022778948443,0.025001940666533485,0.00698345855015939,-0.02881344445924465,0.05283522447735994,0.01398306343350716,-0.04933950529358235,-0.030101731787781145,0.1180455469033044,0.07081069615219016,0.06531171043570437,0.05922035023864784,-0.034055844149849974,-0.07839071006085388,0.13803780380978142,-0.03497862964317006,0.0067715373401359665
TNFSF18,0.01627273670755872,-0.023651045783201555,0.009309133242067566,-0.002203766563837125,,,,0.037697087571653125,-0.02343104005910415,-0.02262019220726927,,,,-0.08693044028958288,,0.11027484724575748,,,,0.025924490655613076,,0.05988790332935628,-0.03620210756146135,0.10969327638336632,
IL36G,,,,,,,,,,,,,-0.013305779459275717,,,,,,,,,,,,
RTN4,0.0795470023018175,-0.24417101339264435,0.03516822046237055,0.029092035921920084,0.05264891914427412,-0.028392570607972116,-0.07915784474719242,-0.32448465341618193,0.2276432268369195,0.032377183622147886,0.024606269355684583,-0.14549469789047798,0.06987353952585225,0.07510613088397051,-0.11166199954167436,-0.09031232403603232,-0.12919153545560896,-0.012779702979189735,-0.04582256492705173,-0.07917069383000566,0.00836395147341066,-0.02641154720683098,0.06663129277128624,-0.27323469802629946,-0.0506894794331069
HEBP1,0.00614454149873061,0.0871731773984244,-0.03481127337677667,-0.04027244803291502,-0.05521978194948298,-0.01562543366894069,0.037374703363295854,0.08835177956236023,-0.018236408799305086,-0.004177561174542466,-0.04429680344952872,0.06267876446883561,0.012383572406829097,0.11000872149349432,0.15106806210008383,0.07907634214689066,0.007773798823299247,0.06622351787254797,0.04021104085725657,0.027739716715951154,0.004986017024392716,0.02726599665342162,0.1297394887019455,0.10868141461128426,0.07020648651574364
WNT7B,0.004295558978917389,-0.1947243319049886,-0.05349178393787195,0.02682128653546843,-0.0354353778299312,0.03247598828119708,-0.005842576168618397,-0.02129188956110058,0.15470556229653307,0.014432773752362406,-0.05217283777432172,,0.06306189240500203,0.005581739959090455,0.0026896232485064805,,-0.011798653003810769,0.0038636895537451548,0.03358682297163821,0.019702187296452862,0.008778073215130718,0.04773499879100177,0.041725164537361824,0.03834577219384757,-0.018703799608685817
PTMA,0.051123128781703636,0.14450871317260752,0.044010496936983924,0.00042600459518101863,0.07943648173558979,-0.0006253791064664622,0.0365625800958401,0.4076607510096358,0.10402504299930743,0.07372398093215915,-0.005497605679112163,0.17199293316535755,-0.02140396155896363,0.13948221957527665,0.10180751596838067,0.07405154109958288,-0.14863980944245525,0.03751314021091526,0.05327969814128534,-0.011643492981743513,0.14509326441100234,0.056556835479031904,-0.21689456584255917,0.1193032328785855,-0.03525400934397507
FASLG,0.06361574766084933,,,,,,,,,,,,,,,,,,,,,,-0.019258795197576284,,
CEACAM1,-0.01746889303711812,,0.026257186133541107,-0.029354256949540837,,0.05747461623434186,-0.04474071670353279,,-0.044652946042079374,0.05186722645745799,,,,,-0.06861708714001312,0.009789677798226834,0.01740256614297005,0.024872258506814494,-0.023852507404231216,0.02714463514199722,0.04664143167198728,,0.05790397517074947,,
