,UKF243,UKF251,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.016190502707939695
BMP1,0.05646117126342823,-0.004070091450068148,0.009869877941463767,-0.019009635209128056,-0.035750021232669675,0.06313707730057774
NDP,0.024046467121741893,0.0023056598012721925,-0.01359024347291589,0.00045157311026964084,0.01656282558501436,-0.006332211629094884
TNFSF18,-0.019872599663920746,-0.03153352110379364,,,,0.03493364440955676
RTN4,-0.03952224865959179,0.00047435108249101806,-0.0037649819445526927,-0.0725643732088,-0.062453530866540985,-0.04676132754625181
HEBP1,-0.027847633325231762,-0.028175873543592626,-0.02245559664269385,0.043451204511437726,-0.053694226241797205,0.053461991486191456
WNT7B,0.05066617006824448,-0.02896843045534516,0.07486014486979714,-0.01658828389170618,-0.01946367719141505,-0.034557263265013426
PTMA,-0.04141867914733382,0.05698430813240545,0.04414722837887329,-0.018687124187352345,-0.035076771896319796,-0.0057324827563758
FASLG,,,,,,-0.014042017475126284
CEACAM1,,-0.022231528040708572,-0.017930264743892952,-0.021278062062743505,-0.012918325625832842,0.043314873424415264
PDAP1,-0.056574435286041995,-0.017628009456103204,-0.040698444710437286,0.0014453660314171573,-0.03622937109482326,-0.032765922070568304
QDPR,0.1138646657122867,-0.005044862542179788,0.0059283834352772645,0.041565615199339344,0.05500638321727834,-0.006043255074212133
POMC,-0.03752278463779137,0.020241009741562458,-0.043051793100046004,0.040361023697817584,-0.021132683699858393,0.02614492139872824
CCL18,-0.02665079015845497,,-0.004793470519294211,0.035248476992596055,0.046624375555845476,
CCL17,,,-0.012720654986583818,-0.03071621841226088,,0.1190908141869811
VEGFD,0.06613367369588753,-0.011808781798986931,,-0.002273370336564978,,
TNFSF13,,,-0.02440902624756201,0.04119326724221635,-0.01450641385887563,0.08261696952716498
WNT5A,-0.024016790117418186,-0.02161334912489337,0.026687573284500766,-0.009132349995327124,-0.026523310502884062,0.0003665117334637351
CXCL8,0.002383224854168741,-0.02981515212304532,-0.006722420736294825,0.009418714759256841,0.037412004982379905,0.04098304136910688
GRN,0.08270852901003134,0.03967373433130809,-0.00010358463012048665,0.06137756993690978,-0.011936163305430512,0.10655102062487178
MIA,0.05669570444722019,-0.028318229085255903,0.09698628589939204,0.06646706215705235,-0.04149892037791608,-0.06939515212701164
COL4A4,-0.030228071074287145,0.004995147422063381,0.021518984292289798,-0.03406950437710029,0.0022792471562898564,0.03506838803007348
TAC1,-0.03785830241094893,-0.029608649183913757,,,0.04511667299704744,0.10650745260785739
RARRES2,-0.008259222659511867,-0.00165060970168114,-0.010198062170547166,0.041966956131145414,-0.07749619869673238,0.034167379761338795
FGF7,0.08815467021823424,0.029894132547985272,0.02156132332034738,0.014982449049396017,-0.00974679638887058,0.0023558482118654378
EFNA2,,,,-0.02022337399724809,,
HBEGF,-0.01048506449236672,0.0568928851081025,0.009243034828356367,0.0007188957332617384,-0.025554379822471423,-0.016504780070841826
CSF3,-0.030228047142632976,,-0.037039908218211445,-0.014032774789937287,-0.01852018441067736,0.04922050102428398
PI3,-0.035809629476562535,,-0.045403730623842925,-0.0018270912683495744,-0.07298017409797941,-0.029113979271496487
PCSK1N,0.05877598547663787,0.03411695011527577,-0.0810014058612088,-0.07511094562858242,0.026438990395405006,-0.03779882993152246
NTS,,,-0.029675963912317183,0.07560416817064883,-0.025220734487170614,-0.019843730196272915
SFRP1,0.010087231090306015,0.00381397398300121,-0.03496497731625846,-0.029649494120430844,0.019335428203188988,-0.019382612179448623
CXCL13,,-0.029748789452122195,-0.02857319919956785,-0.0054710789046006,0.02168988949384882,
MICA,0.025667484764897615,0.000375550942530129,-0.020705380121566825,0.08377456143540468,-0.06401219598047228,0.07732664980084192
TG,-0.024096578325144488,0.04623586633740469,-0.01690257013115182,0.07822922120666999,-0.015242396361897993,-0.026132763280530123
ADA,-0.0026294393475797106,0.004780649185904285,0.03831359558513373,-0.032256800798606475,0.0020406868990893614,0.06535551439304833
LAMC3,-0.010093900023827788,-0.00109970971244563,0.03997345049972571,-0.026661648272224336,0.011248512901879469,0.08701039178206849
CCL7,,,-0.01906532970600425,,,-0.01404201248195248
NGF,-0.017415237236406752,,-0.0025227182853042674,0.08403379047212156,0.01654555887173369,0.12938392532814313
TNFSF15,-0.021544821942364088,,-0.01858655561147061,,-0.01150071656669502,0.04329176310658634
HMGB1,-0.03379270162642404,0.015562639301162088,0.01542185186280863,-0.06326771879433478,-0.03417822717008269,-0.10569069278658826
ITGB3BP,0.01829982225446801,-0.0005377065252029639,0.044837448141956684,0.04488670799382692,-0.01537119557578996,-0.031352278233059444
AANAT,-0.011967954888980907,,-0.016725673719534907,0.0024812030784275973,,-0.01485703478841248
RELN,-0.010896454814383633,-0.042615131534727915,,,-0.013891619253139989,
IL15,0.04378325445863406,-0.005285798537192689,-0.030642119533205673,0.0012933908994170215,0.0014056915104866262,0.06597149801354206
UTS2,,,-0.014243135283906205,,,
BSG,0.002444882595523983,-0.026352373809398165,0.027036719930153802,-0.0009775589725882173,-0.04239506101652474,0.04352600837133574
ADAMTS3,0.02672675582044935,-0.04039489657444576,0.002409254323134822,0.06899341341866967,-0.044365660030422256,-0.002852975566338944
CD34,-0.03226441461227156,0.023402963586090623,0.06212430013430964,0.15227588391792687,0.0030648157864147725,0.005664383553852614
PLAT,0.0540560972815744,0.017589020156245777,0.07714655164336119,-0.0416024321558249,-0.015475158320622769,0.045965130387142804
NTF3,,,-0.026809790072549012,0.006423623521728049,-0.008576848501596485,
LTA,,-0.022231530322061557,,,,0.06417673277580867
CKLF,0.07136363743345171,0.01274181252966552,-0.02994586186247586,0.027511135167286434,-0.05902869979080027,-0.004613800612717617
CD24,-0.04215911328944689,0.09257861632126305,0.06965630651632876,0.025963911453156005,-0.009396227612902208,0.05799411344738356
HSP90AA1,-0.02060433778487526,0.055329425857552635,-0.025804961953807954,-0.057675882233867194,0.0031570411574202116,-0.13586410861326495
BMP4,-0.004684432147567937,0.04696126764965463,0.01479807536160428,-0.0523548726353799,0.0315626009957376,0.03704877630581294
SCGB3A1,,,0.04558521377647615,0.014566951189489781,-0.023883359326618094,-0.029442345936579913
IGFBP4,0.04986511277628318,-0.00266598049426318,-0.0018715941647101508,-0.0009259455964894166,-0.0323702462972326,0.07560811778590379
RSPO4,0.14040442562450978,0.04680062914446687,,,0.006703734388943065,0.03533555317893167
LEFTY2,0.01320632848123185,-0.022504567339097427,-0.016184305942302534,-0.02325324662077298,-0.0037781050412118793,0.10870786003093504
PF4,,-0.020222598408914896,,0.02513870918215777,,-0.019995325189256556
ANGPTL2,0.03499277322046294,0.0037761932494357266,0.043080201620661326,-0.00239159337835957,0.026011012924130154,0.0583117636766361
LRIG2,0.06603788901434254,-0.018549655018179123,0.033325182358091864,-0.019017771495196255,-0.061058151590570216,0.03312797099956632
ICOSLG,-0.0071314765537881806,-0.02360123102176706,0.02008923991443187,0.04679626893505728,-0.022332699785482,0.07023524892491538
WIF1,-0.049509156455321106,,,,0.03578416030696823,
NPPC,-0.043418156941660686,,0.06810526700503046,0.10902355589341835,0.03344837079041561,
LYZ,0.06306986655827905,0.053977812858070996,0.006636190652531721,0.11621631328748973,-0.019508276761486913,0.09815886306894098
EREG,,,0.054082220496518243,-0.02372138218854949,-0.020033423875386883,-0.030197572681599276
SPTAN1,0.011456543446716734,-0.06306524069139983,-0.039346856537985544,-0.021209244636020308,0.04448328324030262,-0.008532320071940758
PTH2,,,,,-0.02557959587459036,
LIPC,-0.018938665123498472,-0.009408026650436371,,,,0.19268265601984713
COL8A1,0.04202935495776383,0.0135107364747959,0.06678347693409041,0.034312085449129864,-0.04017333199635605,0.08425158207361463
GSTM2,0.0258623270806546,-0.015253665056876808,-0.005677642415706434,0.02325451972841551,0.07043666233743674,-0.0069879325603431925
SPX,-0.030114569953218793,0.09899263353261016,0.0685603288346787,0.02921332844355684,0.018866740854807627,-0.03519326152762528
MFGE8,-0.03810662489522406,0.015932619380139474,0.013862484969065253,0.008377999130001989,-0.02195422969533116,0.04102893316265829
TGFA,-0.018250218945169643,-0.006551049071957819,0.002171008868657839,0.0076722958138723645,0.01167463528794743,0.048148494309878304
SLIT2,-0.04311420681540815,-0.02801141537916948,0.05667030783094789,0.03848087450978483,-0.0023870334175092457,0.11762618968821452
PLTP,0.04044147666166397,0.008055103642691774,-0.027302911109067997,0.050087371121064844,-0.0002851275940047672,0.03938379157599103
APOD,0.02728097270208728,-0.012735935114791236,0.050989030920667484,-0.02004958467932849,0.0578774543846383,0.03891885497451546
B2M,0.01876641088444548,0.05072159079435198,0.019609229801255856,0.07702581368730947,-0.036788086529929036,0.08749825332769819
OMG,0.00767145096373375,-0.026163779225325628,0.01641650976130389,0.01995856983615206,0.07016584405445578,0.04302812118969169
CXCL3,0.07110694438950728,-0.025846497142484697,-0.05694048507717348,0.037235273433586874,-0.026374300352401365,0.08313920711998606
CXCL10,0.012827611228989637,0.09627455479883208,-0.019687398766706672,-0.024862313692358487,0.02867890572109002,-0.0004941680884959437
RSPO3,,,0.017720532007635872,0.10804730803991128,0.0024752362449717816,0.015217230682190816
CORT,0.07625629284286455,0.04025119471175816,-0.021739521261370392,-0.01939710997050329,-0.011428030142896532,
NCAN,0.029114786806022173,0.04858423897597222,0.04042074637406393,0.006722647963174604,0.02908530387331605,-0.08767539709517057
PRG4,-0.032553007998324196,,0.0001299621678632472,0.059018661664639156,0.022902639159073725,0.15218495968907422
ZG16B,,0.0018480987365426492,,,,-0.017768087846652836
TGM2,0.006953675348002651,0.04119465952307157,-0.014659609143811377,0.02093541386539576,-0.030376449553664333,0.043707197964624765
VEGFC,0.025832208839771338,-0.009278879307423457,0.08521128764380796,-0.027048964386083056,-0.0005057244499931852,0.06261828259719121
WNT6,-0.010016088205993796,0.03463603281191984,-0.028461102970578977,-0.013251647211614799,-0.021346658379347717,-0.021458617830465862
NRG4,-0.022076444222152616,,,,-0.021239901968835018,-0.014249898484694056
PMCH,,,-0.01937859527465713,0.07958303717840093,-0.012229058608272954,0.05550801198784929
COL9A1,4.803875337170476e-05,-0.000921427002317915,0.02732934897238058,0.038189818173431575,-0.045643747531156166,-0.020007171204514937
GDF11,0.09024327947015619,-0.03920356415408139,0.011485813517017263,-0.025704926017757056,-0.07219346639805724,0.08346663968746659
RAET1E,,,,,,-0.015632037389449523
IL24,,,-0.014448213672124597,-0.018240573350362253,,
SORBS1,0.00015551185752330407,-0.030201179492675638,0.015051497724971984,-0.0024132652443874837,-0.0062207340838471535,-0.012559514084378763
DLL1,0.024239557094075326,-0.00010686360574169495,-0.03040842227861435,0.024346348043910046,0.011125910027698277,0.040059428167113324
TLN1,-0.03450567854160394,0.022114926915670092,0.0059119658490062454,-0.06405879475230383,-0.03744546719409158,0.09191919306694836
COL2A1,-0.022596694435945586,,-0.004945212494238909,0.05457495346200378,-0.025762482100372845,-0.020738416303647193
SHH,,,0.07474721906445422,0.03099131872001795,0.05216617758974039,-0.049644285935215936
PON2,0.0180003792941386,-0.0962164700065201,0.031940969357910465,0.07095980761352125,0.0030861616373707022,-0.020722765990507874
ICAM5,-0.05265473954094661,0.04766532504878824,-0.019468580238629355,0.02954315629311653,-0.018024783442249306,0.03799629970302877
HPX,0.03043164826921546,,-0.036590901300641916,0.04039264862636815,-0.033850591471251475,0.22911853152595293
SFRP2,0.012740039134769683,,-0.004487039189975429,0.033288030172232065,-0.012020144355614371,0.062003190138514276
CD70,,,-0.04778481896295763,-0.0025472935096248553,-0.03093066444170349,-0.021740794899086854
HP,0.029221834215349744,,0.01328840370175397,-0.023661066494662986,0.015372105641375311,-0.02131628956059965
CXCL2,0.05329691658749685,-0.027054264281919017,0.017887860663985587,0.014357328524762252,-0.04285237105285341,0.0663971284954597
NPPB,,,0.029776670322895087,0.004349041659184544,0.0016727662243056869,-0.014454934998387028
CCK,-0.04774989139341428,-0.005516886729918345,0.024837186061367086,-0.022405795583986546,0.07774028275262847,0.00373243120165697
SEMA6A,0.03580451456704794,0.010830117854822978,0.0060388126052205076,-0.026294633544303603,0.06516600729058988,-0.035535202684125085
IRAK4,0.05288498204514036,-0.019895354372359772,0.0004973756569992898,0.03018807506129892,0.005371684801069819,0.05387134857246594
GSTP1,0.02344940945872974,0.06531697455490788,0.011058244695468619,0.10198530382240242,0.001299273440874393,-0.012897453365099315
VCAM1,0.00020186325116538836,0.038773786588148625,-0.006249380287378748,0.012791298579603374,-0.016372445765696516,0.060413192979308264
