,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.016745965906394256,,,,,,,,,,,,-0.0009368752148497904,,,0.08883644697794205,,
BMP1,0.014467437768614992,0.0118505693997431,-0.08003062502951895,0.06727637515336748,0.013151229175122486,-0.04204486039590851,0.0808856497994598,-0.004224702744417774,-0.05577158480597784,-0.08321845619774476,-0.014313667035899168,-0.04874414226742327,0.04962264031762757,0.1047599218815284,0.061612309236484405,0.13542848103149646,-0.011822559652290244,0.02365264357902172,0.0064724799051229485,-0.004478234470189929,0.09147037924666289,0.006937497057899372,0.014288509274552847,0.047449179036424975,-0.00791861709886702,0.01925945334481872
NDP,0.05304367783653573,-0.010403119549716299,-0.01964436416313881,0.09231077373841734,0.05465085042902639,-0.001361457041069275,-0.06501761230289085,-0.04569979513945545,-0.025183658747088448,0.10409316162476041,0.05655176820577346,-0.0216134380402641,-0.06126057808994532,0.11817546966269273,0.0795633758911344,0.04984432178073707,0.0445748637795593,0.15855865273538178,0.07848874006631781,0.034710082801559745,0.034967559292419466,0.0025722373978964864,0.10326099865211397,0.17167643614391678,0.14082710307494928,-0.03404660002090444
TNFSF18,0.033096351707811354,0.024088368347777077,-0.015042867383791642,0.022895396353614535,,,,-0.04636002026421075,-0.03919632041404162,-0.023191220778472733,,,,,0.10326069996456777,,0.08162269959315324,,,,-0.004741484073415287,,-0.02573459273987221,0.049823429788588655,-0.005151564666125658,
IL36G,,,,,,,,,,,,,,0.00763637135417181,,,,,,,,,,,,
RTN4,-0.12541884129709394,0.04955096515751959,0.059661816991953914,-0.09992679856648,0.009678554573437243,-0.026144882312612232,-0.026363108440601163,0.15718852595442198,0.04527012903139659,0.06709595711708008,-0.09296679790011123,0.13600656996025806,0.07355681290867316,-0.1152093561301253,-0.007205030905214382,-0.018476017932758125,-0.12550954629192088,-0.08454399427389257,-0.108029222540569,-0.17650483322308616,-0.04231109029287246,0.1326750969750942,-0.12019713861614008,-0.017995694511944875,-0.11029618902852423,-0.007200474880034021
HEBP1,0.02012286663043265,0.07873882220446361,0.03576650391104149,0.0018962066507153057,0.026728510570157987,-0.030734340846015562,-0.017701250581204243,-0.040168681298717916,-0.04886372255570971,0.08514763833971667,-0.013153692893799373,0.011854579737934084,0.17777005495736556,0.05619458191261537,0.019807140859834628,0.03644487879606915,-0.027839985746564547,-0.06885123979136906,0.013779844870027324,0.09173373266183937,-0.02516962607607785,0.030916207733706857,-0.03870652065684374,0.2117107636838171,0.0790329066419814,-0.041908420929518304
WNT7B,-0.05881479517426698,0.05383817122771482,-0.004532405461369728,0.025285493401028328,0.010994411956059914,0.01192624606797457,-0.008740317753394691,0.14152269232620682,0.20184751081189384,-0.03237865748920784,-0.01909917964839985,,0.01926625537337623,0.0020833978644186155,0.01778523129617598,0.015320557001831957,,0.048220405511616486,0.02558722035443421,0.10411465633625985,-0.01044644157493724,-0.0436922124543108,-0.004261346599258909,0.07581804794034445,0.0026332884994981673,0.09411905958980037
PTMA,-0.023221095367287236,-0.005564136507549219,-0.020268415706960002,0.030908146187783665,-0.18970187000412897,-0.027306067531289637,0.0033376849920266874,-0.10121345410702744,-0.06357426754502477,0.030633506826729537,0.10311969383170355,-0.0881785942202734,0.028430857195774765,0.045505703158603986,0.00935326221045582,0.014489295424790199,0.07136299822428738,-0.2518630473520546,-0.06847266713556803,-0.02131506758907491,-0.14545486211835693,0.03797032697156707,-0.07817198413920437,-0.03985374060692811,0.038810282336538035,-0.14731798922146885
FASLG,0.049592371571244694,,,,,,,,,,,,,,,,,,,,,,,-0.01445938800842263,,
