,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF334
IGFL3,,,,,-0.013231782459339776,,
BMP1,-0.014235199563492573,0.09690597281189689,0.010630799876533072,0.0298789815814317,0.11308246000771084,0.03785463508475903,0.022436010971135904
NDP,0.029254733595966406,0.0630801128685351,0.007722431894529492,0.030072467626617045,0.047131127360499125,-0.04746475320117126,0.09297414675274383
TNFSF18,-0.021274489257832017,0.009799218860152243,-0.031209300785590206,,0.01969335184953107,-0.010336036015386987,
IL36G,,,,,,,0.028719671248301396
RTN4,0.0008950101988811965,0.03571637789184168,-0.0030956860842576055,0.011093219247547692,-0.07011934498237703,0.020541824322121427,-0.07900345580766313
HEBP1,0.0024407612017686166,0.03006939451824313,0.032606378461505506,0.005731354559405655,-0.0009677696473652606,-0.016499377920854964,0.04884582394601701
WNT7B,0.032071902866770204,0.05229854251172129,-0.01938625019849323,-0.024648099545544516,-0.05476593893877041,0.009480568140963826,-0.01657785784455391
PTMA,-0.0034078382348818473,0.010998178383305366,0.0020360097156769588,-0.016948835442544698,-0.07615113306891286,-0.028153746459142218,0.04175905362761744
CEACAM1,,0.01831301649538628,-0.014877781022909034,-0.017745366990140652,0.020584175415641618,-0.01625612225661287,
PDAP1,-0.01654283980425098,0.012135337101552427,0.052883738978078854,0.012251307317863353,0.06231796604836056,-0.010569363486044156,0.07210851128339182
QDPR,-0.042566642746353085,-0.02341863697074348,-0.02966426932220947,0.009336949817615278,-0.053062318562356804,0.0014055223357295288,-0.05517054682823706
POMC,-0.025577245436197195,0.060948725098272434,-0.02643544323787881,0.10939362387743722,-0.009033318434636969,-0.011993118837780311,0.020941280179977432
CCL18,-0.028530839373177568,-0.030424332127333246,,,,,
CCL17,,,,-0.01649663074292891,,-0.012891049275587908,0.010378764185262995
VEGFD,-0.013259433449037796,0.059415333406400886,-0.02130943639554135,-0.018379068365944475,0.10294062631470118,-0.013734322663189929,-0.014767025053615676
TNFSF13,,0.0943053925497664,,-0.011379006680974281,,,
WNT5A,-0.04712307455888209,0.0004003993523712462,-0.02790699938176069,-0.006842062588362863,0.04046135887173861,0.03262717978298087,0.008061668115204593
CXCL8,-0.0040762480844961325,-0.020338520324845705,-0.01995289319020878,-0.025492354826890343,0.03525001432098106,0.016704458798522635,0.05661368797904902
GRN,-0.026988705540175448,0.08197684314580544,0.035618971346634894,-0.01012479871811426,0.04100158462823441,0.0312929718966544,-0.016815878467185272
MIA,-0.03713742098631669,0.03094472078772454,-0.018951122501140623,0.019237525561821775,-0.015267511460567759,0.050851073907893805,0.01355805659025752
COL4A4,0.09190844635502882,-0.03653937569434783,-0.03187014352075644,-0.006062350584930622,0.015878371751528796,-0.01345865427565257,0.031092644367698645
TAC1,-0.040528972634805496,-0.011109416027001683,-0.015904595031093562,0.09210166688898926,-0.07117644534260734,-0.039388541606905796,-0.03476745746053318
RARRES2,0.005006076687634535,-0.005753723268557278,0.015515085854875803,0.013630732669302566,0.08413397584063217,-0.0326791949627684,0.06661230429019942
FGF7,0.01675904086884519,,0.003022433202237504,-0.01807084951852388,-0.014393159424412145,-0.011012821299527721,0.015664180196080055
HBEGF,-0.005160149216733997,0.02858914473033854,0.02756530732432455,0.039305108582655464,0.040756449404520834,0.015679020431145777,0.005568981013787834
CSF3,0.0037496739535393575,,,-0.019662545454230688,-0.013794947003974442,,
PI3,0.008116969151318286,-0.0320076801411675,,-0.015019355379604207,0.08104785109966783,,
PCSK1N,0.05242095919578849,0.044913500031790024,-0.002054219433826096,0.04096146510011842,-0.010049296762959375,0.06435895769875355,-0.06229868608355855
NTS,,,,,-0.016955649280886987,-0.015374948041599184,
SFRP1,-0.023455403222347005,0.011050465435878306,0.03743162039319133,0.0256395100070956,-0.032743239729924364,0.01576119062828013,-0.03934419897069608
CXCL13,,,-0.03597575092606262,,,,
MICA,0.029016596191030024,-0.0036580363950213203,0.014542709456365262,0.005215257936176972,0.061860092426933105,0.01639067190565938,0.030823781496524576
TG,0.08772396136669196,0.04610731353490694,-0.020230784551784127,-0.015533350361674149,-0.01664926682781837,-0.01298724430281742,0.012398689502672677
ADA,0.04459279886541703,-0.0027346518689841223,0.012727210924294555,0.05862627580953367,0.08097833668196279,0.02054523629630036,0.009767116193213167
LAMC3,-0.03892010549938625,0.11904977600260931,0.021770435128836425,0.007696765035879621,0.08047933010434373,-0.020683084189754015,-0.03644201144856717
CCL7,,-0.0193524454125705,,-0.011230587493401318,,,
NGF,-0.018643775035693238,0.0778553263893774,,-0.02573214437410502,,,
TNFSF15,0.0012604665929875625,,,-0.012505808454900472,,,
HMGB1,0.012221203533980617,0.001263207787540377,0.10469011118084243,0.04920231180727512,0.014426395240210712,-0.013904882967341443,-0.050309506601248125
ITGB3BP,4.880511121430691e-05,-0.014049130947044486,0.0336699756220934,-0.005610439451746937,0.042595410151946116,0.020643097767593772,0.03505974891311362
AANAT,0.0006941846546192181,0.019748315124402387,,-0.011379007895434005,-0.01244341551534497,-0.011679504699215656,-0.01848276491118843
RELN,0.0035948780708424926,-0.0032522996973361968,-0.019553310040615505,0.04152781243304566,-0.03651288536864908,0.1026241769030906,-0.020462016069553463
IL15,-0.03278603955246317,-0.005392052233505548,0.011884174493442035,0.009309460818403482,0.0291376423934183,-0.033128149315218194,0.04276606585267407
UTS2,,,,,0.07371522999068539,,
BSG,0.06042206699852848,0.012173296242041335,-0.038170730464883035,-0.06728475173278964,0.03564723584884577,0.017219942363795593,0.011149773060012528
