,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.023473980353791335,,,,,,,,,,,,-0.08034044550080657,,,0.03830713115196939,,
BMP1,-0.00023741691353996997,0.08443189306966867,-0.02479169605478993,-0.006882391036767947,-0.04006235970807302,-0.061693601069976345,0.01080641092244284,-0.09111226010824647,0.21641686648608444,-0.07126596826429385,0.0025256624621971696,-0.1419448106287142,-0.00850441490810813,0.015795743028875608,0.06574750867027121,-0.12527990930568192,0.005937309379322348,0.01964729719041296,0.032729270127202066,-0.05022618675510823,0.04360833605216851,-0.0767197190782717,0.09349230623873124,-0.06645765791713272,-0.009902786347912532,-0.07485118436967976
NDP,0.03630602917876628,0.20222268319728234,0.08262323486320985,-0.042017140870842795,0.01644664390867128,0.05896961586744528,0.02958582987376689,0.0017985504874279171,0.06350619823560415,0.04035990879900798,0.05194897043756857,-0.05238336813511605,0.008906307501527478,0.10591586798381532,0.12931079974658963,-0.0026602022197041654,0.149277694439485,0.13581925823049304,-0.009687018086710554,-0.03850225067163518,0.1008275583120131,0.02109609708852657,0.003577502332115022,0.06691248494460209,-0.02095415918447518,-0.03770458802680822
TNFSF18,-0.049750344038899025,0.055843911730636,-0.020977236746640978,0.03037767827149907,,,,-0.026189189366822588,0.007359631630349932,-0.003632706872846674,,,,,0.001260126931019826,,-0.06502964419655946,,,,0.051126841560190574,,0.10926401792752827,-0.03197773127781207,-0.019999103157657346,
IL36G,,,,,,,,,,,,,,0.049696016128561685,,,,,,,,,,,,
RTN4,-0.18725337883613313,-0.01771063945200779,0.05775166765136941,-0.05903744023595225,-0.0546057861149242,0.031713152018195544,0.03865531028682671,0.2445899022661937,-0.2794609644526682,0.13155715056188805,-0.005332177277519968,0.351251612193733,-0.047590312191248874,-0.02081870487713697,0.0883653225940855,0.054189985833421814,0.029565593106754523,-0.16586513453910692,0.04957021395188926,0.20970563324203662,-0.21441445089878902,0.10093404901676038,-0.10118915110773659,0.04641370854683285,0.11120402933049171,-0.03266601814406908
HEBP1,-0.007048951333097029,0.09683515336968593,0.008613571848839721,0.024462564584993084,-0.04107095284612917,-0.027434630720492504,0.02427216243663237,-0.03432090066610791,0.06603317565517774,-0.0027807607229503152,-0.02988482038101898,-0.209770578754923,-0.017776704945168482,0.020117040459429438,0.046269592571583015,-0.09753050383036899,-0.08886546288555215,0.028665697748071966,-0.08146800642372248,-0.00028176371188276723,-0.006740660921797956,0.03519354553968488,-0.004518499128434063,0.02119317436885479,-0.038822543603069644,0.004026300609483192
WNT7B,-0.011846580821148166,-0.009013481899604655,0.04393654872930773,-0.05565644519471206,0.04543554475717937,-0.019194563593589946,0.06463596342709854,0.023572235628666525,-0.12653899848451108,-0.03127683454557386,0.03895434395759575,,-0.011442877177993315,0.02634299147464926,0.05447163225950836,0.07246663852871335,,0.022430299366358392,0.06582492971122426,-0.106541250062884,0.025996258845747928,0.0473907850370044,-0.03583581164003147,-0.04014387197768876,0.07960414823050975,0.00658899914577689
PTMA,-0.18197676105203953,-0.33207113256918713,0.0034355370303454963,0.009445542729912925,-0.01175461798279526,0.0022374028026442704,-0.009621090434093666,-0.18996663353309537,-0.19198244974817563,0.06293991573578347,-0.035743933564024145,-0.48000425655685974,0.04224510908705821,0.08834757117142088,0.01745667252889062,0.17683497097214648,-0.12820040680473696,-0.24710335969062455,0.03683796080116535,0.04848600211565272,-0.16351442719874343,0.053307951689793714,-0.0732134886976521,-0.11632587611384605,-0.045153102089871736,-0.050821580036643194
FASLG,-0.02127961130180099,,,,,,,,,,,,,,,,,,,,,,,-0.012690805257516381,,
