,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.03313575245374686,,,,,,,,,,,,0.02347483324868914,,,0.07267957606517977,,
BMP1,0.011681985283085106,-0.016226875994866854,0.06839162136629613,0.030621876074132255,0.03169448025850172,-0.016834205632785676,-0.021195786594548016,-0.07861571792910341,-0.29244541788448836,-0.042191355771074746,0.002841648044858493,-0.07209803865830858,0.13378346133370414,-0.02240703322399416,0.0726296194676681,0.0588791365148147,0.1346378138236635,0.01866076154468722,-0.11978497520096014,-0.0939741108537403,-0.010293046364010188,-0.052709541010650014,-0.054455794897364775,0.16898063424515325,-0.08507278042738808,0.04234910731571399
NDP,-0.03709159984119955,-0.0308297093992878,0.04192647386287578,0.0216811071997525,0.030587943854406753,0.05260647058631505,0.1332733209510651,0.043170719137665986,-0.0035871994619276807,0.017462614979967758,0.02081106331000983,-0.04860424469691849,0.04645137367376673,0.032800274132413265,0.01266465591316059,0.10836666106593809,-0.025919130936182547,-0.08328668168214147,0.003649577858439859,0.1528444025692999,-0.08050967962828706,-0.03418421029654695,0.05251786011203961,0.07909276460056276,0.09082134725610232,-0.056387388299738016
TNFSF18,0.015725177354411098,-0.04078537648086354,0.01076150864568193,-0.017203924672095847,,,,-0.04110940602848141,-0.02972580170850621,0.011693148277064724,,,,,-0.06509529638291993,,0.09122451975937097,,,,0.010576054081146832,,0.011205403527396409,-5.403505829562515e-05,-0.05528288363332789,
IL36G,,,,,,,,,,,,,,0.013981956615285136,,,,,,,,,,,,
RTN4,0.03409985459200316,0.28357843712576236,0.017772358528236037,0.015086291909260101,-0.030219530682699895,0.03707011087092894,0.1017253884430489,0.15517271702293822,0.35003114166840615,0.05764438832992237,0.07816338707952943,0.22718533240436486,0.020846680448568022,0.12234858119956968,0.1305356244236384,-0.018813444606216326,-0.050960112166592735,0.02774073971043146,0.1318118655513537,0.05938212656890994,0.000446195144692732,0.11072152464192626,0.06769772658419371,-0.05189805122164097,0.1509874815228944,0.03401900312301068
HEBP1,-0.07179331748676042,-0.07009515238851506,0.06020159160525086,0.05703895075233929,-0.08855277123248999,0.01394615603369503,-0.05032932455568817,-0.0786734728876023,-0.18074071932063446,0.003606738555726184,-0.03427889977860283,-0.08250805658766634,-0.012484948623157412,0.021708151587779726,0.02049369023285525,0.0678156183808965,0.05207981324135569,0.0056899607971002426,0.06198746552608271,0.04132567818166152,0.03722641167256197,0.011658678112301236,-0.04388943362135065,0.13926559130423496,-0.031061896256237176,-0.023477970715006607
WNT7B,0.034535471338451654,0.2672729740779274,-0.034883733698280434,-0.04809504053727171,-0.018605114536010478,0.012364047397068683,0.09733848886544143,0.007668813587691927,0.2434621103635198,-0.025794665295221907,0.07937277503565766,,0.10103967861974046,0.025750528038744988,0.023778672914847497,0.02179987461425542,,-0.08654209305948869,0.035572530643417935,-0.015528703010930907,-0.007753498485958425,0.0023391111860343893,0.08250183520389741,0.050132748855829426,0.09664385868552246,0.04168379227346653
PTMA,-0.040700712495828774,-0.03433133750968828,0.04306429889027478,-0.004106120718258385,0.15695917645899315,-0.020878041108348865,-0.10223391439093257,-0.19322102364616794,0.06742576436947838,0.07956414066877987,-0.009478857475290921,-0.23571057677141338,0.14147804195129302,-0.0704250505669892,0.046754410393571456,-0.05409128411983467,-0.04227812651965895,0.04116515880873758,-0.024405830214978583,0.028608102496731472,0.057007920134357896,0.023815321205815757,-0.07836067230207268,0.0074350822445508205,-0.03878363526937282,-0.029372856358140038
FASLG,0.04945334676586872,,,,,,,,,,,,,,,,,,,,,,,0.04941728070782899,,
CEACAM1,0.0654131797390986,,-0.0052413315236370436,-0.020046627020763732,,0.022386340515235373,0.030351249331518927,,-0.07433419314818888,-0.011186248457808974,,,,,,-0.10939006534173504,0.020550141622638587,-0.06517860539432119,0.0438775594330678,-0.023344189017271866,-0.0025187135546507764,-0.022972359915508767,,0.07791043453258496,,
PDAP1,-0.012226913202821843,-0.10181660342600396,0.04226249907171886,0.027976813707005176,-0.03099371625978454,-0.012608706543755847,-0.06293278964068547,-0.086882601257292,-0.20585332896074027,0.0219563057908577,-0.013922842090274463,0.11901272571523983,0.029805000732673236,-0.08147502280448977,-0.06653423059876896,-0.04255689196655658,0.04416340339078411,-0.01994617700195394,-0.00684370692053375,-0.12960896867734836,0.026583679969630982,0.02284184027406089,-0.08333129921694807,-0.04319587480679914,0.021789548018362595,0.0009265702249829534
QDPR,0.026129171047822874,0.17113014255531087,-0.006499689151699967,-0.01976595690795318,0.07605148654219246,0.003536608122187614,0.19015064293413378,0.12225345841069082,0.11040810790982908,0.09907158153338244,0.028897735966714667,-0.11512735979887467,0.11917474012412142,0.04140347189360389,0.10443151400736828,0.10500625569886174,0.09726829025913324,0.02545685262079144,0.0962731345952478,0.12252378390523838,0.04205033402100629,-0.006220902158968716,-0.015517044014727479,0.043530765776393726,0.18671531581254855,0.02619554883012421
POMC,0.07109722758172682,0.15046555014946142,0.08085136743582265,0.0009745624752412707,,0.033899566389736624,0.0878337353211257,0.05034232067466187,-0.020431779171188068,0.027719134652664686,-0.03317673581102326,0.0028929611300057665,-0.009061120479984185,0.0316006938450422,0.03424093166932215,0.059137962445650956,0.002226362452166144,0.0022162639108554098,0.029288124694640195,0.08059240204114916,0.10986587916342766,0.034227290526397544,,0.029912593539197306,0.0950869232257231,-0.06271745691733711
CCL18,,0.0061633021826346225,-0.02754179394445643,,,,,,,,,-0.04612086464899803,0.0951485000505831,,,-0.011629569487831391,,0.010668946444870172,-0.033356236427946315,-0.07984428362193456,,-0.11600604825315025,,,,
CCL17,,,,,,-0.008265706670265523,,,,0.02907020888685307,-0.03309803792154312,,,0.0005072306661072274,,,,,0.031954637401427906,-0.018338684242355543,-0.028495209695192977,,,0.02134078299756135,,
VEGFD,,-0.061627017453819585,-0.0487408319425185,-0.010480735007393355,,0.01822540934319021,-0.03290576899921054,,-0.10888803959120893,0.06491509768212876,0.008032642712312807,0.019018903304803873,-0.01546019931885004,0.039605841199934794,,-0.02237303380521435,0.013647951236219051,,,0.018081902592901617,0.005281966090247398,,,,,
TNFSF13,,,-0.02760186884647718,,,0.04021911640901703,,-0.032236155761044896,,,,,,,,,,,0.08044906405602524,0.09754627122180905,0.039179418235326155,-0.027062381152322942,,0.07132650186629805,0.06827504433437397,
