,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.0288815152728545,,,,,,,,,,,,0.06356629487352848,,,0.02783054218860165,,
BMP1,0.014661043936993978,0.04148113657584891,0.02876333414917011,0.00036182226769142125,0.10429407928876447,-0.02022467887267578,0.06576802594387154,0.061810385823059234,0.34934896700212653,0.035086252815112906,0.04410492547681149,0.016647574075058822,0.07014295179722536,0.12073487195685008,0.026730108984719118,-0.04622194303390807,-0.020109421119309186,0.0901999814593018,-0.0792631091092312,0.0025251922841957575,0.08107517175432798,-0.020055432520498667,0.10398169075086719,0.08946452744780387,0.041654138607280386,0.16420055704264017
NDP,-0.002863990520208727,0.010179798190971022,0.002551134538730405,0.04419176278563098,0.042699478975159785,-0.049052225386818145,0.055354068394763596,0.019219291468900137,0.10996403684231168,-0.04681283544273858,-0.009401431064815419,0.0290737446376916,0.051438702732045635,0.13950973341496345,0.14782980652719868,-0.07155141264102231,0.12767624162229546,-0.022473646717858686,0.06714564570448374,0.0803302471858837,0.08252125370728566,-0.022426269976400463,0.07605787451935071,0.09045878543575249,-0.03671349776341496,-0.041815623946319797
TNFSF18,0.041906914949404746,0.0017640466658902687,-0.00181202053707911,0.05124890268372651,,,,0.007231416663375212,0.08243734758955712,-0.02569889335347027,,,,,-0.030170799263597045,,-0.009305463044355458,,,,-0.0037441881108857774,,-0.053747323988012026,-0.01606416319074662,0.00041862758211506706,
IL36G,,,,,,,,,,,,,,0.037249841332168854,,,,,,,,,,,,
RTN4,-0.03236091320095707,-0.04016597624626419,0.028830979622997917,-0.004257378268098664,0.018901800324250255,-0.011119355672415402,-0.05191604013276008,-0.06361714796359796,-0.38916106221707675,-0.0449996325820331,-0.034558799365806706,-0.0050858648554065865,-0.04942604662822946,-0.11934309893374187,0.006915786180578815,0.015099765425005835,0.05078899500160359,-0.07010881151312559,0.038398232432118755,-0.0009765126838583021,-0.044406793451241856,0.05336154861231596,-0.00120685856240565,0.010344612748542764,-0.12528433298741576,0.12201882214248337
HEBP1,-0.025625753018080264,0.10218083577344193,-0.03663805923576944,-0.043000447254565935,0.03332392246179428,-0.012650716228236462,-0.026143014510160757,0.03358405926762539,0.12999691054671955,0.01167270399836035,-0.03370559820974917,-0.04362550613322306,0.0008172627960977689,0.05671623464156153,0.030303571582213067,0.041044615316317874,0.024182498318365414,0.00533667079166004,0.08181061369244101,0.08548841507237256,0.024635938776313947,0.0045328548450634335,0.08993613863654941,0.1313379484814127,-0.01112900089269355,-0.031016339126918608
WNT7B,0.010204260468126183,-0.04240044726951756,0.0028126147587546296,0.025509140920133674,0.05174515600266852,-0.03746178276886791,0.02852880513844531,-0.012409832934280534,-0.16251817339725375,-0.015984974511263877,0.0053333565251993936,,0.01523130611510265,-0.04260678116858533,0.043429319157579915,0.11968235204812952,,-0.09403121698279919,-0.05621738962169392,0.03207731614957871,0.0038632189094760525,-0.05034556363558547,-0.010585944595072833,0.10931834368897032,0.004927519109885894,-0.02898107792286846
PTMA,0.03274547429311222,-0.03453836833136509,0.044219398160032224,0.017736000735741306,0.034122187681316446,0.001711950820638802,0.02994881025695947,0.12574374700830848,-0.20518206325760346,0.025798818313703946,0.03349171948993501,0.02180871772913981,0.09124082067167642,0.11648920760716813,0.012842580080456014,0.05195936967597875,-0.045288014554812926,-0.13229209088433252,-0.014346460604462057,0.03243250877083075,0.015163126573347521,0.017449998241924183,-0.0030189897733911637,0.0655966315576692,-0.00405481520009469,-0.04724132072680077
FASLG,0.010250370020332623,,,,,,,,,,,,,,,,,,,,,,,0.05814273468859563,,
CEACAM1,0.016904741158183436,,-0.00031022003563362555,0.018674860401080816,,-0.030868015564461893,0.006799311881127621,,0.1159681325254454,-0.024561801653356863,,,,,,-0.014961541468182201,-0.040994487806091655,0.0959674285036295,-0.03220089556742032,-0.0026966575675887207,0.03254064868597739,-0.02076134856661865,,0.06421528457874479,,
PDAP1,0.013606195258792916,0.04994254138119769,-0.01672413147537573,0.12791884839967757,0.009797340637440205,0.006097051018448583,-0.0008518412095642627,0.05850946398264582,0.2704361448673236,-0.019806853063676817,0.010383299278043842,0.09113266278821622,0.08543739660197561,0.08794123603557573,0.027611888234182893,-0.06339943736917635,-0.01942017911719743,0.06961953625192581,0.015858066074506186,-0.039551468487364,-0.02637621050528251,-0.0024759974611077,0.08865085420189621,0.05759232437482448,-0.037485113481546185,0.06359006906795864
QDPR,0.006305755598346825,0.0026212838375237056,-0.08426549186105792,-0.01609628757859995,-0.003201094348939952,-0.020139046701557386,-0.00576484362545658,0.04249820689153036,-0.33234171692025966,-0.02716033437302137,-0.012579889992768559,0.0339037059181102,0.06442900934847044,-0.0221406748903989,0.01814820054049602,-0.019142412663556832,0.01069320332925155,-0.19718159616265032,0.026167567465682565,0.06935320553130626,-0.04662205471916183,-0.03419141721709249,0.02662076124092008,0.010966203314140457,-0.10012906853220487,-0.019592257918012917
