,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.05468353654351441,,,,,,,,,,,,-0.028229603466248348,,,0.09611510656126221,,
BMP1,0.11982440887662657,0.013834001372905866,0.028260306636577998,-0.021296380328729696,0.12936139785857645,-0.03372933735044742,0.0006960585081677694,-0.0014689919798322407,-0.4547809505429168,-0.14218200491814223,0.02139937983430167,-0.15444821620971422,0.17905944695641363,-0.12396645135191675,-0.03317785703898687,0.06962288830264472,0.03663138322234838,0.04763400612947681,0.005171763291978757,-0.05113081751620835,-0.0996855645890283,-0.0761655082768028,-0.05067223961237002,0.0508758224112417,-0.04805035686033447,-0.06252177401195329
NDP,0.027134590939544657,0.06304865257326506,0.029769257687390305,0.08788220783157784,0.02948260003004003,-0.055871406954284615,0.10638279048185323,0.03590742863356367,-0.08870819258880772,0.09270302150551377,-0.024157659378966957,-0.04675227633588266,0.19420881111670737,-0.038710503530160444,0.00953920508769553,0.10457731007751817,-0.2560631235925775,0.07095524503367148,0.09067908894175754,0.23768547039266033,-0.1698099671708303,0.056512716912012234,-0.05284357461021263,0.18665649369921838,0.1810954760742791,-0.062034492103303786
TNFSF18,0.06883982074655261,-0.004608792159833586,0.06029854530000181,0.0058689773690573,,,,0.03739457272359711,-0.121277144624855,-0.03961835200071588,,,,,0.04591257787662587,,0.01624502723555711,,,,-0.07620940415523227,,0.04148211188492725,0.03147126496768265,-0.07805998281519856,
IL36G,,,,,,,,,,,,,,-0.04709193831752626,,,,,,,,,,,,
RTN4,-0.13537087087201682,0.006149687005226308,-0.06523039600300319,0.010164286546480512,0.012695051566172623,-0.06585489111265669,0.12393023021555052,0.01538937414331202,0.5043865066984775,0.1707287213528493,0.031122781584855264,0.3051442968880928,-0.09686946626950838,0.184096313640404,-0.26389586485744815,0.18350911847577273,0.0639228566316458,0.07437986596220893,0.05627235101909632,0.02730843406986699,0.16399246867203657,0.07421014259985213,0.01177529929660984,0.01054872066224431,0.09156595907274724,0.020365960318313295
HEBP1,-0.013477041753778691,-0.06825872182029649,-0.03180751810723527,-0.028274300551002298,0.011908280738610564,0.016530226104914274,-0.04272858847822346,-0.024770070416894857,-0.1991831471084614,0.04085854142008964,0.05075595794495253,-0.12730102259186635,0.0036837506853523248,-0.022965082485674117,-0.05054360762717362,0.0881152222690799,0.03255638033689363,0.05376117232097945,0.11793061748117456,0.07021332669843057,0.0431460304656273,0.034514288569839784,-0.005214446877719665,0.24109755676692227,0.08671419770800631,0.04285087214066545
WNT7B,0.022783258911949,0.10670981366549033,-0.008807160611845333,0.021335958015742,0.008459665972383347,-0.00744013213564307,0.08996696044915373,0.06561264248655342,0.18377958152420765,-0.04392142433067649,-0.019430055600789347,,-0.01289109292716147,-0.005444236848569386,0.01791573283780785,-0.11939385575138975,,-0.03757237633277287,0.022546766701869354,0.019937759126372974,-0.0003868827610137326,-0.0378781055584697,-0.04598706184050269,0.04067545741748039,0.047678784934659935,0.02744474570767768
PTMA,0.06079597162560131,-0.07184140177846386,0.2153047835587248,0.03076377365114013,0.20774712306227408,0.01837305365996381,-0.12484044582860909,-0.02603462390125241,0.208092827362279,0.09137247018699281,0.09874936361242044,-0.42269269060208997,0.3193149135152392,-0.2339953776915843,-0.1437119227225321,-0.10729330287206042,0.11047559173882233,-0.0318058353304651,-0.08852618442285143,0.002450745823148489,0.2241255205044037,0.02706212877350963,-0.022654740127477816,-0.17884721440360474,-0.20188287802652055,-0.07334513603302267
FASLG,-0.04322714479071578,,,,,,,,,,,,,,,,,,,,,,,0.018221792685071594,,
CEACAM1,0.07230181300677532,,-0.036269649992076214,-0.016588608141106898,,0.009827359937980706,0.03585334466954803,,-0.16648215031612018,-0.006884388208897672,,,,,,-0.040586133415143055,0.01284424365716046,0.07447614864501038,0.03289215526438143,-0.012136570902130236,-0.04358967813166718,0.030475251968862187,,0.026197379503327418,,
PDAP1,0.08599165547203456,0.0230395346510544,0.157402882103073,0.03715380250935977,-0.005675800018902321,0.051595180716383054,-0.08583767254477204,-0.03835833679091756,-0.3647530806916844,0.07382947371779655,-0.01349866389646382,0.002321162611953231,0.30165711184087496,-0.09877531083877981,0.1262250003304375,-0.043030443482035746,-0.09826084462080195,-0.039696323256909735,-0.06302411601074774,-0.03454564198731656,-0.06338454135893211,0.0673939075790179,-0.03508605271060931,0.09447978535794976,-0.031963186040579315,0.17189409901588146
QDPR,-0.055254343010101695,0.14182555876337904,0.19917508949098475,-0.022626080591587595,0.10945849064762186,-0.019625815253741564,0.16985096896842972,0.05829401976416889,0.34787485042891364,0.2185514708116909,0.14461201501994456,-0.2652093238671375,0.21627134703699988,0.09388733505588075,-0.05038088240010452,0.12278766977546897,0.06085596143301207,0.06786972181710423,0.05787327887660514,0.16461753025074988,0.22815683647676632,-0.0065842054616073505,0.0257547107651152,0.13800069007531984,0.14891736163337763,0.11321677021183564
POMC,0.02677533726199212,0.16931826175728362,-0.06873614588478397,0.0022141947335853136,,-0.00829211236185664,0.09644916406750743,-0.024990193082209376,-6.52895010571009e-05,0.019727634695459993,0.017224218045301314,-0.020266760663507813,0.08848673197088039,0.05144682110530716,-0.032336309197577136,0.005602166274212111,0.05946606813538054,-0.028273156474859635,0.11706038772886908,0.1377889333690747,0.012503921961705595,-0.012818718151783723,,0.11801611723242773,0.044726465133498344,0.017894929765451956
CCL18,,-0.0442725444922967,-0.07054813574331609,,,,,,,,,-0.15870765860025549,0.2798528472950066,,,0.034316332027488614,,-0.0630464787540216,-0.0401103981686577,-0.03043625504105768,,-0.10692784964850854,,,,
CCL17,,,,,,-0.0027439600965093705,,,,0.029075398627687942,0.02837173676979429,,,0.05021576528902296,,,,,-0.10113388270864504,-0.04134947752859195,0.04253693381291391,,,-0.00813128811793566,,
VEGFD,,-0.03162186317193063,-0.019064029671621772,-0.05334835994165224,,0.05052750037461807,-0.024749790805732575,,-0.08008324701548312,-0.006649834869005549,-0.02528611227621669,0.0010213819545122078,0.06515533208429553,0.0022612693591165397,,0.09618178464826113,0.07743228747505933,,,0.021317392938156664,0.014382531718444039,,,,,
TNFSF13,,,-0.00791942545248017,,,0.002314449406311262,,0.05257005342909885,,,,,,,,,,,0.11423633266578721,0.12439158785620598,-0.03696818805172508,0.024446013601652643,,0.001933076275576609,0.07486791674219524,
WNT5A,0.041810567691823716,-0.030613969843496742,-0.0895856403101039,-0.016124085598127533,0.089011988059048,0.010662863497067061,-0.012866621224911681,-0.02415405162252757,-0.3185756534087645,-0.029014556867375415,-0.04940090257132439,-0.026460341957349805,0.1113014614441568,-0.04570635731245689,-0.04392513417845943,0.06993178635322603,-0.004301997294319102,0.04605969296648401,0.05020260543334212,0.03911723754411424,-0.051265734871891205,-0.02050447678805694,0.030074975785725794,-0.07896296721688016,-0.14268519882424383,-0.06657529902388451
