,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.05476668028381006,,,,,,,,,,,,0.08310586745051363,,,0.07501791213336378,,
BMP1,0.06683003737841875,0.022907060708793406,0.15485254580184213,-0.011077501614490877,0.09605202953851619,0.021502863397773294,0.07388928107252107,0.1657518181227712,0.19243188840521555,0.055549088869122965,0.03263625106750719,0.01918291373476297,0.04778569474578769,0.033900794756866796,0.03598930473667916,0.1304167949168151,0.04757411099232764,0.1278690903091262,0.0577625946674286,-0.023220368718556622,0.08783843190024856,-0.01549155447505661,0.14423916934286266,0.07845093834614997,0.06689321643832175,-0.033194493856285194
NDP,0.04184630923979462,0.08732619459624591,-0.017864828373478803,0.10326236133481821,0.07449538884780722,0.07141293518853423,0.04132940660328764,0.02045063750127284,0.021701784081660607,-0.013336933563411741,0.0007273956295252543,0.07924791057321168,-0.0749944913050966,0.011894138613451292,0.1058082542656202,0.07787565483874599,-0.06951708755886842,0.017271064634867127,0.06371723929123933,0.10176046434667393,0.15264426285234514,0.035395064617348745,0.013593758998162784,0.2544017467682681,0.1081070851683573,0.11727799429311571
TNFSF18,0.04987635962553486,-0.03515253834133104,0.02072929019085516,-0.012579866309431071,,,,0.11130797063244878,0.05344642083035249,0.03286574587444826,,,,,0.013210458893872793,,0.01509430004548073,,,,0.021257956380560175,,0.04621192800086765,0.09101170575958095,0.030870066099194633,
IL36G,,,,,,,,,,,,,,0.0011982137821703331,,,,,,,,,,,,
RTN4,-0.062839012400971,-0.09990970524331211,0.02324670947065737,-0.029801802913670614,-0.017429408202286115,-0.009408188659669511,0.016008886198280836,-0.16230173471120649,-0.1927368832773145,-0.026972342658443126,-0.07008912095688681,-0.009810118584604352,0.021400727389366894,-0.012208150978132352,0.09695895119107946,0.11752734993998075,0.045473372568141615,-0.002260979454445583,-0.034105454616876446,-0.004989273002403894,-0.14159360395120762,0.10584002330624624,-0.0019173838740946128,-0.07577140889884945,-0.09637451300989804,-0.022890179895341988
HEBP1,0.049949375981799424,0.08940589579202858,0.08040376236433203,-0.0346472104436469,0.033843004658261955,-0.002824389083875581,0.014284676855006555,0.05791342055151017,0.1234584379188076,0.014595406285050813,-0.0005696401621778249,0.12210929381837078,0.015389904788081504,0.05673630485078261,0.050097414525741776,0.08571435073594888,-0.0028075404818636725,0.024030676861693964,0.13007489715493445,0.07056432613124936,-0.007107093172519772,0.043406666079206804,0.03861055280502581,0.15997508652859255,0.04671953680747765,0.12301744618072478
WNT7B,0.07622579162225078,-0.017873746044245076,-0.0037870553364951908,0.027177077297648573,0.05832555092580522,-0.02342528121408342,0.05621819648025547,0.006243990013958888,-0.12304481584017277,-0.026403197460207653,-0.0086834628877679,,0.042057262712093126,-0.04496947120812379,-0.01834162625621671,0.07605206413182358,,-0.03859412486820931,-0.018143718345252996,0.044460512251708266,-0.016672681474296094,0.02502824301985069,-0.026514393036208124,0.0668852923792736,0.04700533955366106,0.05541120783090445
PTMA,-0.01850828237880667,-0.10061144337598646,0.09571138115514848,0.0518554762812123,0.09003972615467631,-0.008240790215635235,-0.04867486503025725,0.19155853284018579,-0.07254056502426773,-0.062046114232656935,0.008922756633297248,0.12211464780947111,0.06505714881609431,0.05711585736663453,0.10235289718440586,-0.006969070123629344,0.027870813891336627,-0.06673614328587471,-0.18344510749314535,-0.056716324872349615,-0.14215963875083698,0.02752341807337096,-0.01701242943689575,-0.12115167317842811,0.01428958234807799,0.03681448209871531
FASLG,-0.010803643813583497,,,,,,,,,,,,,,,,,,,,,,,0.016322835386149034,,
CEACAM1,0.03461190999493627,,0.019013137218382332,0.03884497855417494,,0.022007228926244737,-0.06235171507965537,,0.03124894704712012,0.041017896185329965,,,,,,0.04017896461781664,0.0019722525663206283,0.0393729494954948,-0.018734880801655703,0.008072599808165253,0.04927189603223934,0.01268750173826098,,0.036972690886152855,,
PDAP1,0.10146586777689691,0.08649478611007569,0.018339040056171776,0.03034156497364527,0.012932805533631915,0.014984945879720785,0.059363109768842355,0.13758623188251512,0.18234668195856021,0.024118079544962912,-0.0014399130867587305,-0.013178870461744279,-0.003710727651138012,0.008605437251846428,0.021060174554257873,0.04331123974414546,-0.03997585062766984,0.05653044480789959,-0.06573392609677936,-0.04621234626907309,-0.006674106796104606,0.05014422580032739,-0.01871207404855011,-0.004332120947127678,0.007427266909769579,0.09283296392938663
QDPR,-0.02235258036847686,0.1021839137816255,-0.05768508420670213,-0.07400645004476762,0.038962371520386056,-0.01160232046754939,-0.004987536125599601,-0.0343474544711016,-0.15079082953735173,0.026501395455664507,-0.010474431913623046,0.22563962794668335,0.11619628727276561,0.027025168471979732,0.009756688024632703,0.01101170941525112,-0.022980145918178024,-0.05333909717733982,0.06633415346470277,0.08888820928371122,-0.17269574725397843,0.05759662769983173,-0.049444191295127705,0.12212435844771359,0.00784418608683736,-0.006161792875762915
POMC,0.04780413748868546,-0.04422090525802667,0.019406314297391203,0.010715063545967188,,-0.006427758034364887,0.016114166700195897,0.06299416358016541,-0.0037045619604950163,-0.02658683107094624,-0.007998387796570874,0.004390200956916594,0.010061422769545188,-0.04690672932651747,0.08666745821018709,-0.04314171109204954,-0.011836970050088087,0.0854215831672979,0.041685750370943145,0.13198943371543517,0.03487548056600811,-0.016157538450199765,,0.1349523122348457,0.023381409397894792,-0.09638619626949561
CCL18,,0.0633153978083198,-0.07001621113489107,,,,,,,,,0.03736624327322387,0.02168071251635744,,,0.061348033952121565,,-0.013709685430088294,0.002998716993205008,0.0136992641858386,,-0.06868929147992012,,,,
CCL17,,,,,,-0.014655354736191025,,,,-0.015778125425934143,0.00433390762606152,,,0.002754692495253587,,,,,-0.021594421613132162,-0.07914766845062782,0.017573980748263718,,,7.309455904018519e-05,,
VEGFD,,-0.08139592484742932,0.028692502368907892,0.033906652659411486,,-0.01185255384414061,0.026488517900907626,,0.03636418543647604,-0.029513809604487747,0.06557528895100923,0.04550530955015678,-0.03207499118791082,0.03979381692532327,,-0.017573343123285116,0.022941379900129656,,,0.08878816232138172,0.020194724783260135,,,,,
TNFSF13,,,0.017348382747294694,,,0.04725838051875528,,-0.007284208301672267,,,,,,,,,,,0.05400497299082056,0.08909868020674844,0.0686240324689557,0.04074767587090078,,0.01711370150451499,0.08417918013759589,
WNT5A,-0.029404292771857937,0.08408753674671571,0.05839714869233307,0.03929432846837197,0.1266989495881698,0.01959059580147146,0.10915982569202332,0.14842389566748987,0.14011502970889309,0.10457472834272183,-0.00511936937216312,0.08322329776337585,0.016145658826205972,0.00017644333812895293,0.033098494489470554,0.015206714173026022,-0.01175088422902034,0.10128903311735259,0.0702504129384604,0.10748959495971434,0.013446893436030494,-0.028781274895551778,0.059471416750192733,0.10781818927735076,0.030287580143779202,0.12470195387804457
CXCL8,,-0.09160251190943645,-0.01552629333389106,-0.01704440114285421,-0.0517730473598944,-0.044326604525434916,-0.08248900215034312,-0.023476550549469243,0.10077337686958517,-0.018323425364863966,0.03348583503395071,0.014432726267298057,-0.026413944182645636,-0.07213725960373522,,-0.029335049144724276,-0.04159303165785726,-0.03947805892045647,-0.15769649609083602,-0.27069388862199456,-0.02226832982040227,-0.1311205594751427,-0.08573786141510961,-0.056591605271562255,-0.04565259290230564,-0.03913689065898273
GRN,-0.0726379592299552,0.038358475742345875,0.11673459717027858,-0.04536487535864148,0.10462865398930114,-0.010329227518738684,0.07131107454222739,0.05801208455643653,0.18615352843445113,0.009600088400200981,-0.010124090637678811,0.037029050885042145,-0.039864345574389,-0.009760146309789145,0.04686230778446375,0.0623903170963844,0.06333248225537148,0.09277679242941204,0.047985065971886565,0.03966023199708026,0.10578051691409547,-0.07093350199435874,0.11217673771441845,-0.025961647574841512,-0.07384312652410444,0.01483185672847851
MIA,0.08684557363444509,-0.026745266701643094,-0.00550982714163923,0.03713208414678212,0.06431688000518458,0.031219718388167395,0.03991958448703569,0.08141554788903033,0.08241636436325292,0.06421453364400083,0.018197702581623284,,0.02988548619725485,0.027571012237147096,0.1234217959770708,0.05271285898899831,0.06641648389167815,0.02637741478797258,0.2469666216808081,0.17243836122064324,0.08012938005723606,0.021667494200837748,,0.15049968763462707,0.08600000661642106,
COL4A4,0.04729221222261013,0.11313823494717103,0.010960397142110737,-0.02421952185904744,-0.06408647797179547,0.025187467821685516,0.1008698017399588,0.16094382699465426,-0.01850484339125373,-0.012092619977554116,0.03132233482850135,,,-0.020906063414132207,,,0.0776388692024448,0.04079126730968068,0.13735268549971122,0.05342925630255543,-0.026933785439650654,0.005565122460763165,,-0.038702608075469366,0.06514034684194134,
TAC1,0.02699672863701423,-0.06501715284263425,0.011645439101802168,0.020704864701038272,0.10486038116474794,0.05314767700637929,0.014515399762946458,-0.03312774028916431,-0.1672117735247863,-0.05598221821833445,-0.004821799225388708,-0.08399436599086064,,0.0297321903599506,,,,,,,,0.036644489571419,0.06713682169205065,0.0929152011718053,-0.10271627648583125,0.06496377566112581
RARRES2,0.03198936423592388,0.0020825168598261894,-0.06318667891938606,0.10058032217500947,-0.044770991057488815,0.016565006126094215,-0.0830169875496123,0.03694502511452045,0.2184334450950626,-0.045626155409167,0.0003772821459926159,0.006260630821545203,-0.011314803043975039,0.0465796485154817,-0.020875213348999912,-0.0570168168613867,0.059071245299264025,0.08321066240022523,-0.005089522481037074,-0.02771855855844782,-0.08860226054168915,-0.05382843531460546,0.08227975957775668,0.11009421611941395,-0.008186520798433829,0.013175547704299968
FGF7,0.02859726562843023,0.05355490062700712,,0.01654363388010596,-0.035957898970316135,0.009638450679934298,0.01865125316768419,0.038540600783481815,0.06192786038620363,-0.0027354070229825525,0.03133878931783814,-0.05124468934259126,0.08679101387465785,0.00989247563643271,-0.011722747456887663,0.009470354887348905,-0.04031678058373508,0.11494998148932534,0.07320713882148258,0.06338423324369008,-0.0972991596980447,0.042101573907052374,0.017516884386566907,0.1625511695585508,0.027156826322770517,-0.011023216593575838
EFNA2,,,,,,,,,,,,,,,,,,,,0.05587391315345652,,,,,,
HBEGF,0.05110761369276973,0.036893868450227546,0.1347562231509909,0.05013025211660523,0.08369642302304925,0.01161885628107491,-0.028108149446351056,0.11506682624449094,0.1398207264711028,0.0339235062040806,0.02057968806588384,0.07702521208607681,0.06073073458549983,0.032248615568739716,0.0834419059001157,0.11419723575143666,0.010444920778208338,0.12230624841809475,0.02461074028556692,0.01525979130404334,0.02631045105340765,0.00724966345607667,0.10421921046787776,-0.09230053996841267,0.11707115795145201,0.07220101197514896
CSF3,,-0.02751050619912311,,,-0.007403557579011511,0.0005117527124898476,-0.11099507538515702,,0.011402395111138055,,,,-0.04818710088519474,,,,,,-0.10660856315173653,-0.09516033764317262,,0.040310712460818916,-0.019867415066428227,0.025854950206396533,0.037291518291814665,
PI3,,-0.0038783171268665676,0.04394678528944802,,-0.09037630068999489,-0.03750508197862344,-0.04341374322125246,,0.029438481919388818,,,,,,,-0.023873632282668294,,,-0.1757335525998743,-0.21026280447690676,-0.002453838137630556,-0.10077718895630278,,-0.14935300271264512,-0.021938919919260027,
