,ZH8811Bbulk,ZH881T1
BMP1,-0.010768503816450722,-0.08302443300645448
NDP,0.005524693040594569,0.04499546287268357
RTN4,0.0018702169195430932,0.11445514726402754
HEBP1,0.04065459327435771,0.09620559583224216
WNT7B,0.037505686230388434,-0.01936874515293035
PTMA,-0.04441897223445379,0.08289172188695758
CEACAM1,-0.014947342127376901,0.06525649248382383
PDAP1,-0.042503198702817796,0.10092733472947919
QDPR,0.01639123439097158,-0.023034769364449294
POMC,0.02716792085916471,-0.04176509160144549
CCL18,-0.03650041966762948,-0.011487279443922955
CCL17,0.01690905208274668,
VEGFD,-0.014947342127376901,
TNFSF13,-0.023453925164744798,-0.028669416162627696
WNT5A,-0.01751395291599213,0.02625198479117714
CXCL8,-0.10269860556526822,-0.02706643470754928
GRN,-0.06430007066964456,-0.08533393413924442
MIA,0.03950345188805096,-0.128774677328677
COL4A4,0.043060178791186565,-0.0028271816710829694
TAC1,,0.007934235784666534
RARRES2,-0.04585062637100758,0.004523287449641694
FGF7,0.021608651522771596,0.08299822181955584
EFNA2,-0.014206448369940958,
HBEGF,0.002467288574227814,-0.019084924376657226
CSF3,-0.06101415366068783,0.06295749749180826
PI3,-0.08702058333782732,-0.04968073510242887
PCSK1N,0.011734551642891495,0.026798167758941324
NTS,0.029312721495936396,0.008406832551867797
SFRP1,-0.00464907970118796,0.04655414047063216
CXCL13,-0.036500415695361756,-0.038757060279883314
MICA,0.010312167864500987,0.03252148973526267
TG,0.07680317098527042,-0.017914444402767023
ADA,0.10740517590994765,-0.00411565060724293
LAMC3,0.025442591055030328,0.030361096007384812
NGF,0.16161119929644338,-0.03756632842924651
TNFSF15,,-0.02272917570301295
HMGB1,-0.08223944490596519,0.008991118275402228
ITGB3BP,0.017961837515057484,-0.03097854896650902
AANAT,0.022451724788052393,
RELN,,-0.02745438103555599
IL15,-0.034660813746641844,0.04745403555407626
BSG,-0.04130230007435575,-0.10511383339357364
ADAMTS3,0.0646486167945893,0.0784906080520668
CD34,-0.0063030798092128925,-0.020599814151077284
PLAT,0.05273450683941456,-0.016427325102783503
NTF3,0.04170600406952028,0.07301492841980523
CKLF,-0.009732874290550477,0.06345579995110795
CD24,0.035716205132697174,0.1078639104085962
HSP90AA1,-0.09069774361380148,0.0008760127376637251
BMP4,0.057163444159752386,-0.06356124590305917
SCGB3A1,0.034428342549586446,0.07791415183980746
IGFBP4,-0.06161869879659614,-0.043939432557890123
RSPO4,,0.07554116649874376
LEFTY2,-0.016334863193276625,-0.043229694407777915
PF4,0.017915740077325146,
ANGPTL2,0.05380775524527403,-0.04254669853033056
LRIG2,0.04955814822055355,0.03846712112800725
ICOSLG,0.07964878250868349,0.012151553577938333
WIF1,,0.048179070447391475
NPPC,-0.024636971022622776,-0.054313745547341266
LYZ,-0.003898241161205009,0.029658923368623254
EREG,-0.03152491851426116,-0.039592594822763796
SPTAN1,0.024994452989674915,0.0993648122183186
PTH2,,0.04087393549425808
COL8A1,0.05353794339617018,-0.04688402061578054
GSTM2,0.11143989501523278,0.01739679548452428
SPX,-0.0161674760675089,-0.033492793542936876
MFGE8,-0.02444851725703593,-0.02370792135087704
TGFA,0.04654468294539131,0.008744291072907584
SLIT2,0.03339565488587052,0.0056581967794903385
PLTP,-0.0709604846620303,-0.12079579768353248
APOD,0.07362370862163785,-0.05248103883160436
B2M,-0.0336985941563232,-0.10337086461847614
OMG,0.10399616424683594,-0.011047780134272076
CXCL3,-0.01268207170541061,-0.02210769808137275
CXCL10,-0.01746519526740838,-0.03491128525531812
RSPO3,0.03937557214383405,0.0367176423792528
CORT,0.01626863868176867,0.09156593706746795
NCAN,0.08041477542560158,0.03384207320088033
PRG4,-0.020106022165466423,-0.0056606526175328456
TGM2,-0.06955766675421987,0.05578742345440529
VEGFC,-0.0273015722935444,0.050111986601221334
WNT6,-0.025324561942117026,-0.042187975519843476
NRG4,,0.06465526544886319
PMCH,-0.019118031073457237,-0.024168617683772355
COL9A1,0.09104429644902122,-0.04018054468897674
GDF11,-0.04041151345347113,0.04880551534351954
IL24,-0.012813577179322506,
SORBS1,0.02213205576288846,-0.042819541938726245
DLL1,0.08952389573772672,0.019245925312439776
TLN1,-0.04819018602409628,-0.029852055260664694
COL2A1,-0.033396101898560154,0.08695275100024791
SHH,0.05872185541695999,0.012854644077000684
PON2,-0.022507766106404314,-0.041809621472243895
ICAM5,0.05184327257663254,-0.018186937663189105
HPX,0.032152194814526275,0.01170945264275114
SFRP2,-0.024284788320415654,0.02694214040333566
CD70,-0.053033169974289564,-0.034797467757761234
HP,-0.050335346629783985,0.013803066936403666
CXCL2,-0.046876460884520015,0.018759424317647787
NPPB,-0.037354875294899045,0.031042405125607908
CCK,0.02997845892231496,0.011678441946516259
SEMA6A,0.027396017431523777,-0.04188344989074429
IRAK4,0.02492841256783019,-0.008722347722090325
GSTP1,0.08162936082924122,0.03884513799371033
VCAM1,0.004708473700535068,-0.005566301576507204
NXPH3,-0.008878896687765704,0.021829692337226432
MTMR4,0.021902693491437995,0.0697275841792023
LAMC2,-0.016827822257213826,-0.02345941323026753
IL10,-0.03927389143995366,-0.007730176045399006
SEMA4D,0.0741797373471556,-0.05157880530341589
TRH,0.0164419619659825,0.11011652516143827
SEMA6D,0.03383331553905348,0.020760746178787568
CEL,0.019466315383746505,-0.025362540640411695
PDCD1LG2,0.014319456584202521,0.07793624971109017
SPINT1,0.06875190705284384,0.03663929562773094
CTHRC1,-0.05691932411318974,-0.031325927569417385
PODXL,-0.058625774266010275,0.002675909407680715
JAM3,-0.01773427134501831,0.017422937798059264
TGFB2,0.0012064698485589583,-0.012429875897463706
COL18A1,-0.07384816430701283,-0.08632473923708793
NODAL,-0.015827786216380053,-0.026827598517322016
INHBB,-0.062257364734308276,-0.019925408903792106
LCN1,-0.014947342127376901,
ARF4,0.059092830660880925,-0.050291998313668484
CXCL14,-0.10247818708507987,-0.05019488929132855
LIF,-0.05175336967178536,-0.051852873860304065
IL17B,-0.023933033309286998,0.10660969300024552
MMP1,-0.024636969425375126,-0.008945660531922271
MATN1,0.037957568951149975,-0.034397577290911883
ADAM28,0.006466058371900572,-0.018767453365369374
TCN2,-0.039106649382611075,-0.04897769378645465
THPO,,-0.029838305078988773
CUBN,0.008283509551056755,0.02558247703481565
TIMP3,-0.06794344445589616,-0.11202579707228175
PIGF,0.04314942175989817,-0.010173343084731362
CRH,0.00017644906686996894,0.05538021815059171
BDNF,-0.070350227411201,-0.0014778381385990645
CCL5,-0.010305139435323765,0.04298388127975039
GAD1,0.02056722200323221,0.027437590318867017
COL14A1,-0.07739062042067914,-0.028418110788795185
HLA-A,-0.11825323988208156,-0.08701898637448197
FGF18,-0.023332855361844592,0.01171100620550354
ADM,-0.06738957165039065,-0.004212339507791612
GNAI2,-0.04779640199093713,-0.039120240085692884
COL11A1,-0.01840083795121402,-0.00777029623030863
NUCB2,-0.026730267314715703,-0.10480753230736292
CXCL1,-0.06457081664515674,0.04786284084886554
VCAN,0.04628129415081371,0.03425996028392874
MMP7,-0.08387395811789036,0.02750246111162519
PTPN6,-0.0033162281507908274,-0.008205050882769228
PTGS2,-0.049493318253119985,-0.03277763006931568
CD58,0.039502589141245076,0.0307123602739239
TNFSF14,-0.025437654881640397,-0.013124287295896372
CNTN4,0.002674873272350073,-0.016175777193913624
INSL3,-0.014765385785851142,-0.03489820940323899
MFNG,0.007422577165130022,-0.04940773114298211
ICAM1,-0.038584800998783905,0.024721631880449534
PROS1,-0.0029689895326540415,-0.11352189956326202
CLCF1,-0.0224810169376276,-0.0007511946345438891
PSAP,-0.08989581725721094,-0.11200726492244456
EFEMP1,-0.008473223242973057,-0.028924067240641876
C1QTNF1,-0.05318183620049032,-0.061432069921788526
ALB,0.07912316735299554,-0.015375412718835848
CCL13,,0.012801846971951967
EFNA3,0.026763552805817124,0.03216912770340164
DRAXIN,-0.03647979451126455,0.010499115546555145
RAET1L,-0.014947332331514775,0.01136961518573841
NPTX2,-0.05268422957610622,-0.03055675404556393
FGF11,0.030002599394575384,0.041260342479205486
CD59,-0.09114618999873801,-0.12197415042378054
COL9A2,0.09483768984253148,0.007754305912128771
DLL3,0.1250973931326111,-0.005810439850313312
LIN7C,0.06000871030034157,0.08618562104446331
GDF7,0.145461068948193,-0.0005576996838845348
PSPN,0.025957360237437232,0.03577396691494997
