,UKF251,ZH881T1
BMP1,0.0032482503531228433,-0.03629861263860438
NDP,0.024045767326558155,0.031507337951227295
TNFSF18,-0.02614073165168283,
RTN4,0.030752614157069577,0.08483642450995871
HEBP1,-0.0037476546740295527,0.06057855149971136
WNT7B,0.06386131627232594,0.14205606423000677
PTMA,-0.0007326389310001001,0.047639326439321936
CEACAM1,-0.019942765851421167,-0.023240434715858127
PDAP1,-0.0030385725671403193,0.06860996942812053
QDPR,0.0633276393924395,-0.021579917183700892
POMC,0.021456983189604466,0.10781500502255056
CCL18,,-0.04117477560751919
VEGFD,0.03127901478931519,
TNFSF13,,-0.02609745055305367
WNT5A,0.035946100170190336,-0.022487377574557738
CXCL8,0.02105555433900299,-0.020452906445196536
GRN,-0.07198325605244765,-0.05122605681394508
MIA,0.000548736809867471,-0.11349819317468632
COL4A4,0.05003217589076583,0.009101738069184427
TAC1,0.016924648822129826,0.05442287269766249
RARRES2,-0.02809812889213198,-0.019778836034013175
FGF7,-0.011127856934658054,-0.0659429443495204
HBEGF,-0.030006019770820434,0.049426463823936735
CSF3,,-0.01014118689329436
PI3,,-0.0776247972022833
PCSK1N,0.11584881034370526,0.04826519703907601
NTS,,0.17186041685447032
SFRP1,-0.03624317193199135,0.06530090216279415
CXCL13,-0.004630144350778516,-0.002105255508561202
MICA,-0.041878306942092235,0.03878530198632391
TG,0.033352323822689246,-0.014141088083274779
ADA,0.06511861266088381,-0.037602080626307065
LAMC3,-0.003562971963051598,0.02179822745681563
NGF,,-0.019959825422424707
TNFSF15,,0.10803051773976824
HMGB1,0.017758996011539113,-0.023799829349195736
ITGB3BP,0.009934793820507984,-0.03932615926949196
RELN,0.0340590108455199,0.036445610382588194
IL15,-0.03454809981279242,-0.012093395088886377
BSG,0.058996621170015244,-0.0851781145428106
ADAMTS3,-0.019540754957844835,0.03643246654757471
CD34,-0.02583630504826497,-0.021466776926392102
PLAT,-0.07528370185873115,-0.06897842951355646
NTF3,,0.1112278580658679
LTA,-0.019942767897906152,
CKLF,-0.02911400006984005,0.0009364624567016601
CD24,-0.024897932865629732,0.12254911469524582
HSP90AA1,-0.05314377202727732,-0.03168869281160086
BMP4,0.024650101537774246,0.002451475449031707
SCGB3A1,,0.037314000039042006
IGFBP4,0.017218107990892958,-0.07150016905498528
RSPO4,0.008767962917769804,0.037449961965772
LEFTY2,0.04668365172529885,-0.01937816287955915
PF4,-0.0005661717739446848,
ANGPTL2,-0.011167457339770492,0.02736196489465304
LRIG2,-0.0025326536774258196,0.07553063667071643
ICOSLG,-0.05215627881116105,-0.020829865165561054
WIF1,,-0.026899130273820786
NPPC,,0.016907093165661698
LYZ,-0.1465586490509696,0.02190077793820578
EREG,,0.12431044755717362
SPTAN1,0.018973822644122933,0.10658673794501797
PTH2,,0.08168161902847389
LIPC,-0.027302659672462447,
COL8A1,-0.018805950556958825,0.011914840837872415
GSTM2,-0.030707726838620716,0.009740947216099067
SPX,-0.02076448937551536,0.04857353285511068
MFGE8,-0.004136137191278526,-0.03308935300696856
TGFA,-0.020894579721153397,0.07115149559542289
SLIT2,0.03262094205952389,-0.02705980071315101
PLTP,-0.000827777653544669,-0.08354037099770766
APOD,-0.011448859837384223,-0.04385929693857796
B2M,-0.02101898036732607,-0.08176033268932023
OMG,0.017815319154131367,0.02225584703887738
CXCL3,-0.0016357057820410826,0.012617206039154545
CXCL10,-0.02047635009430318,-0.0205351717815781
RSPO3,,0.07267135744200066
CORT,0.01120438442293381,0.09884649492947631
NCAN,-0.01155483682071741,0.09455074902053867
PRG4,,-0.010743145559434954
ZG16B,-0.021829333416968216,
TGM2,-0.03966313379461673,0.020662570491949167
VEGFC,0.05514867968200711,0.01809933051446101
WNT6,-0.0035572029697188354,0.012380062833023385
NRG4,,-0.018431684312887605
PMCH,,-0.02200042377424184
COL9A1,0.020502344808773724,-0.009850624567076121
GDF11,-0.002901837692578657,-0.03772866145938356
SORBS1,0.005670086720173288,-0.07562518198042889
DLL1,-0.040674571014134984,-0.00029667110234167526
TLN1,0.03209246716162979,-0.03842636415240598
COL2A1,,-0.029373264821487676
SHH,,-0.06307774245593867
PON2,0.07153461945413937,-0.10319476102254257
ICAM5,0.06362551363746095,0.01544967701504584
HPX,,0.03773761429447892
SFRP2,,-0.05869680838949368
CD70,,-0.049070019761052734
HP,,-0.004027335311530605
CXCL2,0.001945023513480015,0.03476463674815228
NPPB,,-0.03288190717685044
CCK,0.1308631447921277,0.08859290298673364
SEMA6A,0.06718772966478566,0.05481361032800858
IRAK4,0.01664800465534262,-0.04922615998991578
GSTP1,0.016059819449007674,0.03189850711947812
VCAM1,0.04129180573328336,0.07514899772085099
NXPH3,-0.004134118771119195,0.03516487114282583
MTMR4,0.05776262343920348,0.038761654639774115
LAMC2,,-0.02135484285092068
IL10,-0.028915274735203323,-0.03055183031189134
SEMA4D,-0.009631229367116263,0.028551862027147625
TRH,,0.02900964672539705
SEMA6D,-0.0575288320634048,0.03754899092338017
CEL,,-0.000663480386506835
PDCD1LG2,0.00037440240614687316,0.013996103500382684
SPINT1,0.029046495087080206,0.06414065590763775
CTHRC1,0.04344540777602465,-0.029535330409122637
PODXL,-0.011213874036683436,0.03153240395886403
