,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.016492974300567564,,,,,,,,,,,,-0.030116256067761197,,,-0.0036767024512743955,,
BMP1,0.06272664049158413,-0.10745035667563314,0.0056397917635205765,0.03154189093365669,0.07116949175088748,-0.03739319570617823,-0.0010019428108048831,-0.021070004254817084,-0.1155217781286134,-0.06896130370350782,-0.03658510734349114,-0.012713967411972782,-0.07726068540781726,-0.09435162100389917,0.0884478042136671,0.008801132545881779,0.08457158422586518,-0.02885562123917013,0.047269357063862434,0.04273527457418891,-0.10043043390830508,-0.055964904964794976,0.019620011908298096,0.1520753992003783,0.023182750498812608,0.05342430992968672
NDP,-0.007400718521837015,0.09114311535337123,0.0748608583013992,-0.01319170924606725,-0.023641080054183573,-1.0446935138197246e-05,0.0007224507624767987,-0.029828718929415736,0.023938897981174104,0.10829760045634092,0.028296402814818652,0.007700541887819891,0.025577842420242396,0.00760420810636649,0.03781668551477357,-0.02527258302496247,-0.0035311362451965838,-0.16135885368531552,0.011168996607899283,-0.007263113707705119,-0.03382389833197358,-0.007000912802031513,-0.05935145147154631,0.041914791368523135,-0.03123994123072278,0.04432415876582376
TNFSF18,0.04364312377763584,-0.0478595714024972,0.036090730625148774,0.024119411501451346,,,,-0.01642944828703561,-0.017382526755757476,0.01546053756138304,,,,,0.029724196220926192,,-0.016471170170535645,,,,-0.03221097558658894,,0.0682059444835427,0.048431911652396076,-0.05633012926136656,
IL36G,,,,,,,,,,,,,,-0.006026002626560647,,,,,,,,,,,,
RTN4,0.05342989433357327,0.08197239662598726,0.09727990408549267,0.05231482411853285,0.07217955573755051,-0.006052750665590804,-0.057613548943795535,0.15581163298879938,0.14050043635088064,0.1109334735034955,0.05606059750591039,0.1345471287599663,0.02347451792155468,0.1739107612892201,0.1885484914771162,0.10635829311747123,0.0653653425334452,0.01961660217792825,0.042715023321868516,0.08687418839920928,0.10757287105624444,0.05847623642519269,0.022835772827768223,-0.01719526059077327,0.15276869056052073,-0.03034043927306398
HEBP1,0.04178541011796017,0.004859366783673746,0.03824458880127709,0.0057026389903280465,-0.009600051272657565,0.036322547701005604,0.00880878186630547,-0.009515648935533003,-0.09089533863327748,0.032406764641828574,0.01755175042619578,-0.11760908342689746,-0.06816118103877268,0.043808704158994086,0.07067739797661678,-0.037169275800086145,-0.03196989721888763,0.0656005454942627,-0.02438535279521387,0.07862809576828866,0.022962204844072902,0.024209760023614232,0.02280677875383408,0.07125838445711201,-0.010725938530782575,0.0423573451985649
WNT7B,0.03471624677487747,0.07580329433956762,-0.014401844868971394,-0.05604982585014403,-0.03051995071326889,-0.0021733123256379326,0.04750663572355537,0.03194006540184331,-0.017098457839784347,-0.026613860109836813,0.006769033508464943,,-0.049625965482085616,0.04427893511498384,-0.044116794212810506,0.010647807397977153,,0.0034167760935079053,-0.05823402691813429,-0.012280222338658633,-0.04381871649660656,-0.02053618067265364,0.06890770696441265,0.005265018799905945,0.05076287231171606,-0.00032176817295048943
PTMA,0.01895553705011414,0.07319831879697589,0.06713422055514086,-0.04954118187811947,0.030130888465817258,0.0032876419901138117,-0.05464086139490089,-0.13100427058826827,0.14007112662179272,-0.06654198249349283,-0.06562912589558627,-0.17093827054410402,-0.010944525184940407,-0.07181106807938084,0.17091580289585287,-0.04306374882842795,-0.038784703454376596,0.10732146990315154,0.06745454899953401,-0.021714756155947056,0.1332452098417697,0.059834969305723205,0.044848799648573495,0.06336962194357093,0.06670299885392422,0.14800167617854262
FASLG,0.008593639135133465,,,,,,,,,,,,,,,,,,,,,,,-0.020510422817727338,,
