,UKF248,UKF259
BMP1,-0.01789672710469518,-0.013255012822628564
NDP,0.008431204635142384,0.000940809244519946
TNFSF18,0.0326719576491794,
RTN4,-0.013329824664649258,-0.01377041011987179
HEBP1,-0.03791029202813894,0.024142929306551795
WNT7B,-0.03674642317934705,0.05035259547531063
PTMA,-0.0245926431174623,0.01649583151335527
CEACAM1,0.006345867210349269,0.04397765260960987
PDAP1,0.019819892418391147,-0.017939710565649504
QDPR,-0.045420247027903815,0.0012112729187673346
POMC,-0.01801786486653041,0.0020516634222706703
CCL18,-0.019721818518551773,
CCL17,,-0.020752468510813596
VEGFD,0.10602647971981718,-0.008653560799299725
TNFSF13,-0.01488272184950288,-0.031293774559247325
WNT5A,-0.009603254548788912,-0.056078733187719096
CXCL8,-0.013575236558100074,0.0496330607031921
GRN,-0.024947095091874993,-0.02101651389614742
MIA,0.09485719777976474,-0.008787602228257094
COL4A4,0.10963160521238549,-0.0065698768554069645
TAC1,0.010324031984018458,0.03327071870433902
RARRES2,-0.006975975111259071,0.0009688068736638235
FGF7,,0.011292716979110818
HBEGF,-0.02876958367380837,-0.017573840084039942
CSF3,,0.03717921653503482
PI3,-0.020748184587981264,0.06383640090927535
PCSK1N,0.02859186880491552,-0.041328111467695536
SFRP1,-0.0036344249134767394,0.07715806458456478
MICA,-0.011828905698936043,0.04893083831131218
TG,0.004733001338643823,-0.02577507032900597
ADA,0.0008852508686795095,0.023534376347579346
LAMC3,-0.014257729466469218,-0.02307331366929453
CCL7,-0.012544742632953531,0.01217910523451115
NGF,-0.021538700140325016,0.025573689904474745
TNFSF15,,0.0007623356683431675
HMGB1,0.0024244180553304392,-0.0325957756321019
ITGB3BP,0.03922603190667165,0.05305730632232404
AANAT,0.11494220097554976,0.004717540848229762
RELN,-0.01997549596716312,0.025452924007456752
IL15,-0.0300005948593913,-0.02648556002519109
BSG,0.01784542232852152,0.03222683786687102
ADAMTS3,0.014992532569916669,0.0015696447482872022
CD34,-0.053071033892406846,0.010301545530132806
PLAT,-0.017358369054178233,-0.011552848566534778
LTA,,-0.011292986494452506
CKLF,0.034670660443173226,-0.057762805750199535
CD24,-0.020325884501121428,0.03297517584501263
HSP90AA1,-0.021453711591759062,0.000979334964911505
BMP4,0.0100540829167549,-0.027273219049584654
SCGB3A1,-0.012544741378496026,
IGFBP4,-0.011714710172995484,0.03732785127989736
RSPO4,,-0.024914098927407684
LEFTY2,0.009871903784248081,0.019739228938933064
PF4,-0.013013155454645703,0.007026349101186813
ANGPTL2,0.04895091695621793,0.020719373614063816
LRIG2,0.010134210687197732,0.01635564510080364
ICOSLG,0.035916333174408614,-0.04463128870062518
WIF1,-0.02341506103228574,
NPPC,0.01924837111402946,0.03571866623388094
LYZ,0.03524854035196947,-0.05003209920291935
SPTAN1,-0.0012134663954973506,-0.0566346135782215
LIPC,-0.01593152271662311,0.01293799480663015
COL8A1,0.012292894060408175,0.05558083207999117
GSTM2,-0.0033329625878430864,-0.01739913310102414
