,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.020854756695346626,,,,,,,,,,,,-0.02866728831944933,,0.088517778561504,
BMP1,0.09632221534536352,0.04944379045555739,0.14762608593599016,0.020950446543873697,0.09536207487781688,-0.024369843407002885,0.014231859075776442,0.17171375121871973,0.2364263191434495,0.06049646731036221,0.02093549111670525,0.048372076474590554,0.14871212439555592,0.0554878753099522,0.03666112726887135,-0.021857859396731946,-0.027449177807147854,0.09969046714062993,0.07302494828218385,-0.0141532937694216,0.07794369209273114,0.05520694493797766,0.10221127154829546,0.18022225700228744
NDP,0.014504632959484016,0.08634066555855194,0.05736948583443921,0.006549709780807841,0.03545603487663948,-0.056604918612485976,-0.024344541658819926,0.007549124137621562,0.022893679873072698,-0.023946078124030688,-0.001179467126215014,0.03439903171098176,0.09591146792781671,0.04519748112023752,0.05717922394545204,0.03553963057739112,0.02656131427849166,-0.003822702606531652,0.0706398133969704,0.20383465635602635,-0.012315604020338185,-0.06499509030110873,0.09816996676218771,0.04099941491152051
TNFSF18,0.048361259514741926,-0.0029731347527894537,-0.0017665374564652266,-0.02776276395496254,,,,0.12800713686283952,0.07990081135800532,0.010545762301893224,,,,,0.018796741227259123,,-0.03738066830706422,,,,0.03802715637634086,,0.0664495751249681,0.07368915659873916
IL36G,,,,,,,,,,,,,,0.0569135375116547,,,,,,,,,,
RTN4,-0.04018657489719767,0.022743137768026087,0.007287717824974371,-0.016649851648474937,0.03494806859546044,-0.07055635280092676,0.0221456897500996,-0.1720750798461192,-0.3868452369975409,-0.05056032141071946,-0.004055135810690242,0.028777180599721213,-0.05009244550007082,-0.09318683188975621,0.06768222053930784,-0.09226098176460813,-0.0035494392730815957,0.0036419275680158246,0.0457118039264093,-0.03344780263763829,-0.055378485054839305,0.018581948506227068,0.015015691082608492,-0.10979758565843324
HEBP1,-0.05416487685017631,0.07129416352657868,0.05696083867673446,-0.016791250434652058,-0.01608764814291351,-0.01742262382263643,-0.047786225076549914,0.04960348015380668,0.10900905749041273,-0.03613383207156341,-0.013970334768473876,0.050731048433558815,0.02763245165498308,0.019482082732623505,-0.03175534586607644,0.03890803837970579,-0.03768398182770386,-0.015072676907840404,0.0769057229690272,0.09724791474016253,-0.08187151491325956,0.05616260288173777,0.053252238686594865,-0.0015210959170931597
WNT7B,-0.02493738568919951,0.0196372027071636,-0.035911764988940775,0.006670768498573812,0.09039376372036717,-0.0005925514194296776,0.07007405758142692,0.008885635786382086,-0.11156937299240667,0.00373831934104903,0.058429229504788315,,0.040727236776488075,0.004607040964395749,0.029485500093764352,0.09152391497302186,,-0.04074249523036063,-0.019437856517344813,-0.035853452014254036,0.05493599966150193,0.027877711783907962,0.049531846478163194,-0.005911469664231059
PTMA,0.011756595827704521,-0.07187122360203796,0.13610140587161268,0.021315489299081714,0.10917598368551953,0.014746392816699663,0.00626788579283967,0.2537451802140128,-0.13857356006641283,-0.07247175013760299,-0.036466522276864484,-0.0565968821553699,0.16171669995350307,0.13713857239493277,0.0018696748400447117,0.03338918868557388,-0.031365033991691015,-0.15344470107348043,-0.03287653594987672,-0.00043185049103071745,-0.10057368872320066,0.04688736745450986,0.008432371054890165,0.1590119736165323
FASLG,-0.029504066426513046,,,,,,,,,,,,,,,,,,,,,,0.015215580516361387,
CEACAM1,0.03940981622093221,,-0.02970478040815595,-0.011350025916333724,,0.0033599681203534816,0.05390578804660276,,0.11301653116585537,-0.03424049050097835,,,,,,0.14166071649349996,-0.06517515499217574,0.0822076869753532,-0.06350717029869984,0.04452480930815487,0.10655448010124058,-0.0023666666328427395,0.07908237913582465,
PDAP1,0.07611214298086397,-0.009113127360677082,0.06404850978481597,0.10811952547261121,0.04255843506510657,-0.008319398653196202,-0.013854086808174154,0.09452802356363336,0.28269620459054695,-0.012239312749029655,-0.0071023080543404175,0.015211398018218726,0.18441605678599565,0.08973661307711168,-0.003210279220023688,-0.029587811826259063,0.08320817446657233,0.011721093998470043,0.022717471602533575,-0.020517748557348652,0.005986760915087052,0.03467313094286707,0.06706381337967045,-0.014712501185836857
QDPR,-0.07277320063394108,0.05759707100159481,-0.03716499827406161,0.005464341547804093,0.050353897878157555,0.007696870074088139,0.016508434004945265,-0.0668846318563897,-0.3123036935663735,-0.006692866021979957,-0.03543887822790831,-0.030853128423464268,0.15516310195001026,0.03474312740515872,0.044883019430943936,-0.027566959351876617,0.027250905403596766,-0.21479237310384736,0.031224542817665048,0.07848858898223193,-0.08578593284889993,-0.0592057149403899,0.11482347559052068,-0.17148304462235853
POMC,0.06785116792188882,0.07720841943335088,0.0528413855105075,0.04879781638007016,,0.09499428894279731,-0.015474317230213622,-0.02260414068763176,0.031841271202315745,0.009903166463690636,-0.02036052950074814,-0.04689248604973938,0.03186537359908926,-0.016658622393460856,0.11296458969599363,-0.022469186588116582,0.0743521274831377,-0.007970723836562355,0.1325659870155046,0.09785952692934283,-0.03910291125359287,0.031067656833807952,0.03252169370661377,-0.004279970706333106
CCL18,,0.029448381784494358,-0.031079874851417888,,,,,,,,,-0.01481316580041958,0.12701045892412643,,,-0.00638777305852478,,-0.05182216716603025,0.06904010648405505,0.07769893872847718,,0.03089105738803213,,
