,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.10164052652212678,,,,,,,,,,,-0.016016628084400783,,,0.06355118964394278,,
BMP1,-0.008433383678440848,-0.023123864837683493,-0.005927384522728664,0.05288027554364922,0.02336564611502203,-0.0024113209071350574,0.03768044137986595,-0.0023283484321947137,0.17245205029196342,0.009858979265848278,0.06504215569561056,0.017531746664792694,0.03749658655498513,0.05085257268617681,-0.030505377809693947,-0.020340048926114067,0.12278345007654767,-0.004893624275808689,-0.029286259338449777,-0.04839646455918288,-0.005507042222777855,0.0812664209567066,0.05283314861210328,0.049355989097023885,0.0450626966606997
NDP,0.025441652244007632,-0.006434627687633618,0.040875536130797675,0.045050878458296986,0.033128858876025256,-0.02296433332899853,0.0018934088597321152,0.022717491671824453,0.07846811300664909,-0.021052566513700445,0.018832493072446676,0.07354209766490355,0.05171787045758071,0.13659990589270785,0.05328239800811755,0.1692191610324593,0.07909959054468788,0.04739048993203507,-0.0198794145992784,-0.06025920566526673,-0.04415908659104316,-0.029229596476686756,0.06525278513787,0.040871238996375084,0.046336365604772785
TNFSF18,0.09472821143453419,-0.014037846606533325,0.06527745017181803,-0.010234878950049242,,,,-0.03543546019112332,-0.028827050777253074,-0.02057962596429595,,,,0.014782676024762784,,0.09600359539295708,,,,-0.017303341884413445,,-0.015887693638129672,0.0008545038109948228,-0.0006922895553015029,
IL36G,,,,,,,,,,,,,0.01718163397381374,,,,,,,,,,,,
RTN4,-0.05696013732935374,-0.03701987206779406,-0.031172058362337517,-0.0730657644794926,0.03435957886122486,0.031135022195861194,0.014878614005053118,-0.0304470069691995,-0.1355762575036935,-0.03031126248306041,-0.013890016482286893,0.05689057560213269,-0.01885768194980154,-0.051082561918316935,0.08181292884869776,0.07179282865840626,-0.02737616302866887,-0.004927734732637298,-0.09574406712013053,0.06374117755908187,0.05946632560257051,0.08254725106035896,-0.03572179630462049,-0.03498663635197718,0.07099326084416127
HEBP1,0.025972328478456055,-0.03967969736515511,0.0156670730428089,-0.021749980889321188,-0.0024593502215024318,0.0004058684982855731,-0.049738824258405256,-0.04545550109792855,-0.008730490933667725,0.02440504075347162,-0.01086799127544175,0.0828596414276745,-0.007460942031303489,0.002474862915941018,-0.05268514268368856,0.03927657805561059,0.06124163439365729,0.019542599636258845,-0.007239326934839765,-0.018999859620805398,0.04682937557044574,-0.039826155721406645,0.053048027577382646,0.013236569263599224,-0.005871252894747815
WNT7B,-0.009569346720944729,0.01938189724938399,-0.05214240936164662,0.005087750297386107,0.020047120973761375,-0.0026226015774019817,-0.012032035225674852,0.04952374237563483,-0.02389798035453813,-0.031156733486647815,0.021404189800657142,,0.009249629928527056,0.1007125091841612,-0.0790942918947819,,0.015011068798002486,-0.046148585740267145,0.031214318941759044,-0.047625982674840764,-0.01823699909692365,-0.04072952714469886,0.04612204529100214,0.0685702678114532,0.011136700975214279
PTMA,0.06255495305900409,-0.0027871578477692066,0.021501985023039523,0.023644594542381377,0.08484950751259006,-0.051023053605199604,0.013197191296011459,0.030996513404661637,-0.02736622585659441,-0.046919464530260274,0.03799067293196481,0.007418978312425658,0.04643420466530458,-0.07216576685099185,-0.022582377406008925,-0.0744345778981402,-0.12054528479665294,-0.025552015608553916,-0.06929907109221639,0.07097908656328325,-0.021206604043897716,0.013991800584475252,-0.0006723006198988431,-0.06630564459365783,-0.113429932377135
FASLG,0.015164556129534476,,,,,,,,,,,,,,,,,,,,,,-0.025677246920855712,,
CEACAM1,0.039948668829650924,,0.0450977803125856,0.012317869111961243,,0.03749354089299069,0.018382353948718684,,-0.0005010735763816474,0.029531470709591875,,,,,-0.05955998523190878,-0.03632299634392548,0.053494801435152214,-0.009749286509368104,0.03979136015918571,0.060762263824806664,-0.033660544758368674,,0.019520992500171117,,
