,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.03842973163555398,,,,,,,,,,,,0.0038372418639752554,,,0.06460814979277342,,
BMP1,-0.013298521621105983,-0.012048424942900314,0.04278945037687103,0.026684778926867134,-0.05428208852380412,-0.013187861104747503,0.006965575996170093,-0.0025261505352155455,0.00494679662094234,-0.007484566104853239,0.0308413815778306,-0.06458840067544304,-0.011465215002392488,-0.055326609118736894,0.11961163230414612,-0.026027217430231543,0.010479291212784606,0.11124727448029653,0.11354563623319126,0.08031377261289176,0.029033994882292222,0.0356211525040114,-0.08437826172907567,0.2052040727745571,0.09342519290103068,0.16499225045277544
NDP,-0.0348275336579413,-0.007871037294678319,0.0036908832314362025,-0.05456389802951388,0.03289808421717724,-0.044573725277535836,0.1013552801604375,0.04980541212320222,0.03307154152143512,0.00535911025158109,-0.008160078376200057,-0.03912461257899034,0.060053395278874454,-0.046816254473287605,0.1393483221951138,-0.009066283607254075,-0.0532945462267374,0.11271955766768707,0.035738932989580835,0.02651322187447808,-0.0033598112883106886,-0.06128230040376038,0.05910301102971458,0.015716447253313975,-0.0159250791395605,0.057886398941268284
TNFSF18,-0.03075983024976408,-0.011995429542229409,0.025003908990329667,-0.01375771156686732,,,,-0.01845536910332421,0.15690700941039026,-0.04016120190235743,,,,,0.019510244608639888,,-0.003630834192169937,,,,-0.05344947494842326,,0.015284860793293805,0.04265272122242216,0.003080537050992008,
IL36G,,,,,,,,,,,,,,0.003862583573413145,,,,,,,,,,,,
RTN4,0.008342111178201368,-0.035283694583739804,-0.026581112971393532,0.0053275247252338,-0.06732449438703472,0.04247871983377043,0.029334244145475898,0.11798578758289703,0.001464669323052667,0.06927395517805725,-0.006559704531490008,0.13558605033243068,-0.005234013241466104,0.24328076647462765,-0.024630277767944585,0.10002705332791775,0.010773096904052658,-0.04380406748933152,-0.08625257864836486,-0.04124312843468518,-0.007717599698326556,-0.01699250357887217,-0.012689194674621927,-0.030912839087135945,0.08245898903467513,-0.0023557576685408602
HEBP1,0.011077371475877878,0.09510767696626317,0.0232600108887698,0.007311605825763719,0.0461154459562562,-0.006411638908827267,-0.00415448186900756,-0.06402395236565753,-0.0066652119890686905,-0.023716263203355896,0.015129964206114769,-0.08497078439987903,0.0460020268817116,0.0006969416597763265,0.09978183669366221,0.04470776636700388,-0.007887573499023711,-0.025160522676512732,0.033307938638292525,0.015428064368795066,0.002787377733839816,0.030750558150266956,-0.03799029082842573,0.07674296678205442,0.03960055506977044,-0.015242920928401175
WNT7B,-0.027098447025367883,-0.06540880446421074,0.041594240738222946,-0.030039762590697308,0.0015769868428659349,0.002902971574847957,0.028168291460384874,0.03643213069377782,-0.02906227350527605,-0.0003628922116034291,-0.049318971783511585,,-0.01725873326699259,0.04947752347488277,0.043585007029290496,0.1272181489744764,,0.09367399274243278,0.00563096462561863,0.10075541042283043,-0.01578385299252433,-0.009275980056945507,-0.0034137409412290432,0.03104253607791706,-0.0021779979662957176,-0.08282268971248932
PTMA,0.036255424258696774,0.06666965191718134,-0.019242129669941512,0.06504088833983056,-0.10307210544616388,0.05015105178992846,-0.05667311116754221,-0.1494277614068292,-0.03229741530730641,0.07483209528470453,0.0166900200042776,-0.14077266480355125,-0.0019707020907972607,-0.18513967585224275,0.02914573670812444,0.07764045274735479,0.06616985677918148,-0.16317375438075235,-0.06906780064566191,-0.04794908615816067,0.07668988288321997,-0.06346971949132914,-0.04526322731251946,0.17554508937943303,0.04503225569550595,-0.06946428285119598
FASLG,-0.00885711354164652,,,,,,,,,,,,,,,,,,,,,,,0.0597557898080761,,
CEACAM1,-0.011276558530245529,,0.06661698579599801,-0.02989958537919517,,-0.025765103373079634,-0.036875532469837276,,0.011498402929614992,-0.027566932195452514,,,,,,0.04271578323068451,-0.06369964376397003,-0.008551533039616288,-0.035396009007470454,0.03424728584908935,-0.043733063703803685,-0.024615799190942637,,-0.01786822826027303,,
