,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.013435481060226384,,,,,,,,,,-0.04478989018852455,,0.02996300383261575,,
BMP1,0.06609253922736529,0.09290663677638783,0.1517648003599993,0.0024744139882677033,0.06292261866399097,0.023241604470864003,0.08025474327603102,0.06619006126745933,0.1804463885253921,0.1252195773440014,0.010242692397664496,0.01956490751756992,0.15724485820245593,0.042524374068858395,0.06103456304739494,0.19247052974502352,0.03432312158314113,0.00874878835019271,0.21169418930964823,0.1774177222763142,0.34939117893813815,0.20380192266266625,-0.027035501870376736
NDP,-0.08169195122210093,0.015067736420619754,0.014594114868357173,-0.029556566413490713,0.0651675138386282,0.02393861904851777,0.004945709369458596,0.03591753573595956,0.04201202634536251,-0.01689384635779635,0.06235599841723108,0.014681562038970272,0.10324023475534022,-0.009238400952865692,-0.019682165860586454,0.033701435827321644,0.0008173791517688098,0.12539210076926383,0.08995983627360954,-0.11707104563158943,-0.1529195811532104,0.03524956402023289,-0.020922328457903427
TNFSF18,-0.029828684145843307,0.049015790761844286,0.018801684908636117,-0.024170222119927354,,,,-0.009150949176464206,0.13215357310838888,0.08748279724527105,,,0.13966721297404158,,0.090262687049389,,,,0.002789731430312423,,0.12962025875403788,0.0983867506187271,
IL36G,,,,,,,,,,,,-0.02397850349247362,,,,,,,,,,,
RTN4,-0.04508637311685427,0.03709372994476601,-0.03967247123228321,0.0010291150895876838,-0.028803289630141757,-0.019344451312404906,0.07090594901949088,-0.09742252194182333,-0.15128067348163993,-0.1358260278303663,-0.038771641315266156,0.07506800610150802,0.02874656545467991,0.042887518295840796,0.012093335038695597,-0.0883088832373739,-0.0061223309600034964,-0.03994424175171418,-0.2375681192278703,0.09230442204032678,-0.02978098213354067,-0.0828343761381049,-0.00555703301679191
HEBP1,-0.06996143098931455,0.04230270488725268,0.05362936036452348,-0.045282276782913494,0.042190326157663605,0.014899801330038539,0.043957761519579246,0.02758431069756195,0.07249813686139807,-0.07202905344943525,-0.09058622755640004,-0.0022015903688225496,0.10355502766840095,0.050025582968167226,0.07177806537052502,-0.030025751966900993,0.0729502216418354,0.10028664858508393,0.05750925117486119,0.02502943548380994,0.01645027267417549,-0.006433273207677141,0.0452078797221536
WNT7B,0.01018641203450603,-0.04843721419301889,0.021670089778094922,0.06988124393935238,-0.041259586221871244,0.08057309993256741,-0.0002110062783085523,0.0007834939740263357,-0.06940355403010792,0.04698841279547148,0.00018867628660366968,-0.013438880868442488,0.1237103552527857,-0.024670538742090204,,0.05815984038196275,0.06552186134910128,0.038839436079999984,-0.009337837069035466,-0.08272661760998304,0.14098887656781042,-0.09175778182734134,-0.03929241373198355
PTMA,-0.0009068696023113626,-0.04359749150193065,0.09027790347991548,-0.0009898668125915588,0.036895299958628995,0.0013209831834970144,0.023594398883971104,0.10895935663525709,-0.12021205882447085,-0.21444089726035603,0.10858758673406303,-0.02701701282047404,0.11036583296792772,-0.054680943157534315,0.042287819622412195,-0.14250512407824356,-0.028351316969467345,0.025053082304194736,-0.22980048279302184,0.16612170610615679,0.2979491608710833,0.1518174289081198,-0.08553131012122248
FASLG,-0.02627814390088252,,,,,,,,,,,,,,,,,,,,0.004255939441674802,,
