,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.07240159331342307,,,,,,,,,,,,-0.018973051304579557,,,0.06074591018004687,,
BMP1,0.03712293848112103,-0.017892705419408895,0.07420277841717621,0.048925868003272456,0.0531112845775366,0.04083744209464471,0.11926295366887302,0.1264128700321119,0.3352185537471014,-0.03685011964087147,0.03986577347005032,0.08193869015230758,0.1459339036424976,0.05431064439931263,0.0004765933218862414,0.03679232668560596,0.09365943098050339,0.10276606422356857,0.023746649859295067,-0.02517326869192366,0.02001309940060784,0.05136868332443467,0.0022590406689335565,0.15492775622950597,0.1250826172192612,0.03725440680689315
NDP,0.026265758607456606,-0.040564469912919524,0.039315170085760215,0.019865495624850977,0.060671400071892714,-0.0016626906451275903,0.012043528342175364,0.0044986714289797745,0.03830394234752086,-0.025685704524581684,-0.030662001000250988,0.07517162965140153,-0.049655552386639115,0.03492463316628071,0.024754896817513247,-0.03673367939817849,-0.06747584749956155,-0.013798138055306183,0.055648298177055994,0.13275290981701723,-0.00020204232582564204,-0.05686388066114414,0.03782801155447671,0.22551304591391302,0.15268772030454486,0.13106130962358123
TNFSF18,0.09783581076825082,0.004447683213052054,-0.013888309174364207,-0.0239751367918148,,,,0.04443036812974948,0.10137208248757335,-0.0171339209169975,,,,,-0.07726745147466439,,0.02981799928910716,,,,-0.037315421584638964,,-0.05382199360489079,0.04691360966328275,-0.020156527989875838,
IL36G,,,,,,,,,,,,,,-0.013007330423395332,,,,,,,,,,,,
RTN4,0.08589531858973602,0.18746461024598726,-0.001976513778516799,0.009977162549194745,-0.0012935751737985844,-0.01448137533288663,-0.04567296387884312,-0.14332905515173266,-0.33860619963892424,-0.014505577367483593,0.02532679982418564,-0.16891928113640506,0.0348118731041329,0.08222932586680648,0.010906159718145386,0.03133533842323733,-0.012139623661974202,-0.0010180730460524817,0.13345938675245625,0.06871595571825252,0.009100192746282869,0.11876533409781126,-0.08958696724268293,0.08618591420231392,-0.012808295163235216,0.08556571635392998
HEBP1,0.033804770625939486,-0.05961161107778541,-0.011903691102908143,0.01947136431038274,0.05460103778398379,-0.038358002233384376,-0.013201474370806833,0.12264408913516502,0.2234275087539201,0.005324131497047982,-0.03473615305126991,0.11151226411250768,0.040997546204235624,-0.008387586785780145,0.0322358160039113,0.08269141025149934,0.020070719802634973,0.007246138076236476,0.13166880226901892,0.09065460955910824,0.10211046231085721,0.010742333602733549,0.03385309091444607,0.15783116237003983,0.03973099040048318,0.06278243325960225
WNT7B,0.06892881830149687,0.20277518627899932,-0.006639979336664089,-0.057042957097858865,0.08305456864534597,0.044607310972003475,-0.018222948994693882,-0.007446662091798781,-0.07887851446050584,0.022404043230973836,-0.05314073921030329,,0.12178608379890411,0.045336908785549315,-0.06448625124932822,0.04442256308964336,,0.018327168562439187,0.012310434189549642,0.036845898363497255,-0.10580793179091914,-0.010637865063359326,0.030348495664385567,0.03237564870602743,0.041480553926276656,0.063325282377557
PTMA,0.07975714691126319,0.054714305819361174,0.08697383573412511,-0.0040648937959263665,0.03861826138848956,0.006826696509601434,0.011352723830753062,0.15321038471275514,-0.18591442318711726,-0.018550626770834584,0.06187060352660456,0.2617699864379803,0.14277751214363965,-0.019646287602997213,0.0734795952576008,0.0006203246058803214,0.029573508802526408,-0.09075954092196761,-0.0359913724088049,-0.03497618309402052,0.02944650431255418,0.11802948214995829,-0.02440025133422203,-0.12160139649647078,-0.12324447770538585,0.052749378440682344
FASLG,-0.04059915249594721,,,,,,,,,,,,,,,,,,,,,,,0.04620792564045583,,
CEACAM1,-0.03915659483636154,,0.04947657864745757,0.001004310958633387,,0.0605795926993217,-0.04653821018472316,,0.11495134208826618,0.012669670574988088,,,,,,0.06594330228237053,0.012363961307349309,0.1552606117226058,0.03516394519609375,0.03456217831306251,0.0009370473975726074,-0.042886487654703105,,0.0882205979350219,,
PDAP1,-0.0871602603759214,-0.11722627455461156,0.06625345923901482,0.0025848763205238864,0.08096299602029114,0.03133812925723182,0.020177710002541094,0.12508716501640688,0.24986395078042783,0.0515618317426342,-0.03581819617005113,0.05692914437021159,0.07394784596058532,0.008725950373226696,-0.03306982591151562,0.08206999084172123,-0.05046288384481373,-0.01123596692515152,0.03469631685324594,-0.09431537598006212,0.04544766470645274,0.06177151944628301,0.04010554340859569,0.06829808398012036,0.004650539168471141,-0.006348191728589711
QDPR,0.1522346568362238,0.11250198208446498,0.013812367567644314,0.034281160267390136,0.03063225638460441,0.007913655883567332,0.015440265267009206,-0.039390984106396784,-0.30905061633081643,-0.01711056501215222,0.08342177749514651,0.18960583633199882,0.09321275168470412,0.013525021752009985,-0.0036347526772984463,0.10975957154404425,-0.04470016510235621,0.03669837520084616,0.06506336993035275,0.1377553105912259,0.0013790396411367083,-0.10939013683482986,-0.0859239550080776,0.1953009511742595,0.11464304945342729,0.11547500943800343
POMC,0.033400491219603916,0.10712688907297141,0.07362743282344841,0.008074631935393985,,-0.0051791492370539685,0.006951626443205275,0.001478761212451404,0.061463165261887935,-0.018777827154357513,0.05352703341437826,0.0916503096806255,-0.04665059548402406,-0.0013652518113213986,-0.043632412872684274,-0.050316539516641376,0.03838350958379152,0.06592290888874174,0.1082301930473821,0.14343616146070087,0.028045154869633007,-0.016751516186640922,,0.07369968362253947,0.04185226993328739,-0.026128472511170037
CCL18,,0.08798000272120252,0.0072904325571684905,,,,,,,,,0.09097751702275957,0.11886095160148186,,,0.007640010710832281,,0.02206244951065684,-0.006156430816224497,-0.07786347959180588,,-0.0013450014704087057,,,,
CCL17,,,,,,0.010609776584968074,,,,0.032581108148127,-0.008957270263710865,,,0.04814096580981272,,,,,-0.04403381600349913,-0.05142678358931836,-0.001072267866998384,,,0.06479302059418801,,
VEGFD,,0.0013330179340441967,0.05134502488950952,0.056446448157181896,,-0.00400689534982202,0.061726428974703706,,0.07294110810599981,0.010052415220653053,-0.010873591819541378,0.004535830105409081,0.012042238357989695,0.045518416249881975,,0.06132557859657343,0.019469624083698657,,,0.01141771228628789,0.07206176344134446,,,,,
TNFSF13,,,0.04828684378853419,,,-0.023815767338289755,,-0.02274448134346738,,,,,,,,,,,0.11829361006391582,0.06229587859893549,0.012356186323831495,0.03413268770032971,,0.11008673296416387,0.015071289206248633,
WNT5A,-0.010094167194163036,0.021253541357975293,0.025215992653784415,0.009346024629968934,-0.0026200943102039228,-0.013133699285627878,0.06364287015405111,0.09817954452236533,0.21860743778299668,0.004338613049917141,0.062236673034949654,-0.031473732041161245,-0.0019624556455387055,-0.03177154291808946,0.010034189885438466,0.09290857235055108,-0.05845700695581711,0.1067337139643767,0.06571732341797396,0.11824151186410277,-0.02613875900206495,0.08044870561700618,0.030299743395668266,0.09562276590298348,-0.09009440089085113,0.04599735484917368
CXCL8,,-0.09265919898330446,-0.041904796757738456,0.009760294562778217,-0.03887801527866252,-0.0765230973654545,-0.039619896651029926,-0.022334276555008015,0.11407490616878814,-0.024631978702476316,-0.01946508886072872,0.10464638809653475,-0.09912051428022775,-0.024916534251796414,,-0.0028650551180385534,-0.0017795295738393605,-0.08351329726157498,-0.22640481513379798,-0.38767531705295655,-0.037470216962098124,-0.02133149477506538,-0.052963101866979646,-0.07321887758452932,-0.14958054648247213,-0.03424090558837275
GRN,0.024841193796097574,-0.08073461689270628,0.040826554789651186,0.04723492789879468,0.020445010545272587,0.017460704699993328,0.05098197615615499,0.11710573130091224,0.24397604008873897,0.01470782266332181,-0.003512287212387658,0.1496774647388156,0.025947186038192557,0.09360760694472871,0.01833244148427525,-0.043932271582884694,0.11257920938252715,0.06993720121749168,0.12677344504101457,0.03048886387954228,-0.0595026807364354,-0.08665828709254404,0.09107378333315796,0.04605619256532938,0.013399988001191075,0.027573947431956965
MIA,-0.013357644162225525,-0.028856025634236112,0.0268770408913493,0.005888064949214784,0.01526714685786533,-0.027067683367376565,0.027030857567366184,0.08372517796427252,0.14220303977535276,-0.039498018664343756,-0.01772751543210881,,-0.06030194798698698,0.015194680648022823,0.11206760448043876,0.0694812312472149,0.05398322311461071,0.026018572936033147,0.1442079089324919,0.13467777591731603,-0.005699662088491592,0.00027795266735167445,,0.15519443392663937,0.01927827124794442,
