,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916inf
BMP1,-0.016457200409187484,-0.01933328542117197,-0.08204719110370727,0.006375358455350222,-0.00885696730598665
NDP,-0.0031518497253053496,0.04784815516843001,-0.022981052254756208,0.024903139000602894,-0.07683159323132643
TNFSF18,,,,0.022784513566891776,
RTN4,0.06661417957811884,-0.0168898198178022,0.3202083432593831,0.09539784398514037,-0.00653853876117504
HEBP1,0.03980917283037823,0.08342737656814572,0.07676003045763737,0.008127826055732531,0.028309397304039682
WNT7B,0.05695818382419498,0.11278245768821467,-0.015000195239232541,0.02103085206957676,-0.015640524470175405
PTMA,-0.13457885578095213,0.025518775749808556,-0.06743046113128034,0.007006416028159243,-0.11057432367116284
CEACAM1,0.046282404713494533,-0.006910826022702475,-0.01634202160173566,,
PDAP1,-0.11272490123668645,-0.07292322834566341,0.02015071350411859,0.11554790211776371,0.019708411720017645
QDPR,0.0975375723881939,0.05911077540806513,0.021848739492184355,-0.023935911782505384,-0.03888195678597991
POMC,-0.024020129847993822,0.017475736923985612,-0.02093842017803097,,-0.06372673588801392
CCL18,0.049416930480675046,-0.04633887083832484,-0.12095900372425315,,
CCL17,-0.05166975367201877,-0.03149955953114577,,,
VEGFD,,0.007458129596061307,,,
TNFSF13,0.0492073246993737,-0.04818336743148443,-0.031634063350005334,,
WNT5A,0.038296709240783766,0.07685254758575123,-0.024335976607639247,-0.08341336315270369,0.03566326530071783
CXCL8,-0.12132834330576514,-0.16409478593672747,-0.13819158899329378,-0.060525185040807374,0.046014922086253435
GRN,-0.017885908743301045,-0.036449899764472264,-0.09377114426851728,0.10946603071776316,-0.026823418353301463
MIA,0.08402738965859073,0.13416381796002003,-0.04090398730490203,,
COL4A4,0.04125707407809367,0.15553569079117802,0.01184196667410075,,
TAC1,,,-0.05424411812426844,0.015927493703092054,0.08702250080444658
RARRES2,-0.11182714946166245,-0.018589853767112276,-0.06307004365712722,0.07561589628295548,-0.007036592744946178
FGF7,0.06296245168512285,0.06184054436400529,0.07463398679435569,-0.02314264355645448,0.003022027986688123
EFNA2,,-0.042685284266542695,,,
HBEGF,0.01725361932789166,-0.018007960159970988,-0.058573042629128456,-0.03423615472256024,0.03693217001294448
CSF3,-0.08970078445710805,-0.11460990732117368,-0.062307910969718654,0.01802065036537289,
PI3,-0.17960897459702257,-0.2053144169114293,-0.05638083660520035,,
PCSK1N,0.10348950542667726,0.011378043644925756,0.3084998265664808,0.04748368028602453,0.05082846432825397
NTS,0.12027252026409631,-0.0015317211167274998,0.14343358098619371,,
SFRP1,0.07535151125459455,0.09452482031290885,0.04199509528163685,0.08934138980951699,0.05205901819033185
CXCL13,0.001167458217861162,-0.03266194604428657,-0.013906901437793431,,
MICA,0.045205091390303424,-0.015673929455222488,0.04778333247704973,0.025379026453811786,-0.043784917692790554
TG,0.04908409425832815,0.04446699782907229,-0.047657633209385784,,
ADA,0.10414941662079684,0.07063832917943408,-0.07819317092701826,-0.01973902160853358,-0.059672755694769854
LAMC3,0.08234398322249327,0.06896779951835393,-0.06099275155444487,0.04884470678758459,-0.05827828530696008
CCL7,0.017851822154835658,,,,
NGF,0.10232991303395281,0.0838354781885786,-0.0435505332797847,,
TNFSF15,-0.01840830044288338,,0.0021058051030361184,,
HMGB1,-0.09136124449474085,-0.012149622985532042,-0.06030366773889127,0.07216181031515,0.05348448129864801
ITGB3BP,-0.021397086186934842,-0.06139112528573286,-0.039780671783836846,-0.04112442277898083,0.07860280152774425
AANAT,-0.039547489320675706,0.040293501339842656,,,
RELN,,,0.043841554613750125,-0.02292702593547622,-0.027398744595752925
IL15,0.060994959711544935,0.07312016684038547,-0.01930928922093938,-0.032595296432417424,
UTS2,-0.014666885325286143,,,,
BSG,-0.038955276248525635,-0.026623111192776567,-0.056206024973760225,0.03526153433760006,0.03805200457430289
ADAMTS3,0.12348740824488957,0.12817519666763214,0.10537617214364468,-0.02023475988915546,
CD34,0.04090963636824846,0.05551326982119676,-0.042086096933177664,-0.0028036629970562285,0.00944487743450567
PLAT,0.18029615730230472,0.13721271099224275,0.0657082676317234,0.06374064555999505,-0.02932704603311054
NTF3,0.13068283653023516,0.09897031800534412,0.18190323135770575,,
CKLF,0.05845614923617657,0.06099788778259762,-0.02713567245947625,0.009512048194241146,-0.013079751552791858
CD24,0.2015432948116345,0.11722783367074101,0.28335872805752355,0.08360417586678896,0.039056647784874055
HSP90AA1,-0.1434195132246784,-0.1691656888767401,-0.06701926738011406,0.045908805492509086,0.08441493034079031
BMP4,0.07370690253159652,0.07375588821159366,-0.08606426774370941,,
SCGB3A1,0.06319173386037467,-0.041145308469016435,0.0010731756866463934,,
IGFBP4,-0.003929041478008687,-0.08225641963940779,-0.1317445446859738,0.0007901425239549776,-0.030907847985328637
RSPO4,,,0.07668151799796291,,
LEFTY2,0.01777330284589279,0.03198940498941531,-0.06119685915797427,0.24491820898107255,
PF4,,-0.04748546904071586,,,
ANGPTL2,0.0799844232618645,0.08101026310465717,0.005171981977057253,0.0767705307174301,0.0027962524919486354
LRIG2,0.0936500822594921,0.095795460948687,-0.021622638293468683,0.16375066764681193,0.06057185520050802
ICOSLG,0.05562096665265632,0.11643773584427017,-0.004358024177387369,0.04525086633366318,-0.027066932252425027
WIF1,,,-0.022981137451557263,0.050719697113728035,0.26608621199114807
NPPC,0.09603451259808185,-0.020232300689347314,0.06525724358598817,0.015498599579902936,0.10702874381380961
LYZ,-0.03900772731856001,0.04077416022134078,-0.02884956971210992,0.009970409717766273,-0.049318583840699086
EREG,-0.03432721799013642,-0.027555704618793322,-0.05562270448238257,,
SPTAN1,0.11128448203514008,0.04711769561981861,0.23612196328688526,0.04044555277398203,0.03450090399911319
PTH2,,,0.13042904186845655,,
COL8A1,0.008084683713112132,0.008967929005883257,-0.015134985240137917,0.049518673411783246,
GSTM2,0.026802059321083253,0.02849329055358775,0.07216952429731348,0.07828611759771978,
SPX,0.00913202602205272,-0.0510519662592875,-0.04172163168358995,-0.07046457135674504,-0.04321750001808711
MFGE8,0.019142004977442326,-0.043950013380820295,-0.0813761927702611,-0.016433080158591424,0.053950460873192475
TGFA,0.07377900719779469,0.0610955079857683,0.15080778300602107,-0.013269653678148485,-0.03493668097615199
