,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.08371646870700893,,,,,,,,,,,,-0.007483170281491748,,,0.08298198344954605,,
BMP1,0.05580645850616596,-0.004763883699143832,0.13683779069072183,0.02677134382077419,0.04852412833503665,0.008873763562939677,0.0707361655961231,0.13019221834797826,0.3496898026601099,0.04484140026198242,-0.06152092437663102,0.14063723536105796,0.1639430370885121,0.1274170132590422,-0.0005227270204600918,0.013413363225841246,-0.03621648967756286,0.0557043676941488,0.10773122032610874,-0.06480982278189372,0.02884403001693123,0.04656659704500815,0.049599411691204826,0.08043986336987274,0.1009843738349106,0.016212116917084966
NDP,-0.02908459949933141,0.025663754097764436,0.057676644888177656,0.007436522495690088,0.05647921272581082,-0.008738166206949718,0.053571540211967236,-0.0007514012783882216,0.0718353067515785,-0.0049212145116088795,-0.029431188187921016,-0.009771188688717921,0.06174286042983347,0.05547934890648787,0.10254187597397024,-0.018879501293589455,-0.03199939812284947,0.012345471566557936,0.11495038197455111,0.12075390500174966,-0.036806393443782906,-0.08162842363310245,0.0776224025787384,0.15867720618351627,-0.07593326872084846,0.009494096636431965
TNFSF18,-0.0007764255020061079,0.04955471294084525,0.041384727162252354,-0.003339303373139355,,,,0.030322249147544996,0.06659165802798264,0.018572032972012764,,,,,-0.011727915616050279,,-0.019381468026901185,,,,-0.04540089553847934,,0.06274690100437066,0.038778890096078746,0.04698505945641155,
IL36G,,,,,,,,,,,,,,-0.022062421415090593,,,,,,,,,,,,
RTN4,-0.03225622871377413,-0.031107045324283464,0.05504152339998018,-0.012294611565802803,0.05950158089074571,-0.032469283756354946,0.06205163073388425,-0.18658960737824126,-0.43116363945032604,0.01603955405913706,-0.09780331183417056,-0.036606337991048156,-0.10355604369170922,-0.0676743977559893,-0.014357558366589212,-0.05608243736737492,0.029234353310252568,-0.11526685665677056,-0.0384655874256219,-0.021304769293117524,-0.006999106929074837,0.011729639699467671,-0.0636379566713567,-0.011974800497589418,-0.09086616745084068,0.07070155749139356
HEBP1,0.04950093634099805,-0.0015834033330237108,0.06344540802905557,0.017366402321027208,0.06383622136093031,-0.02265485030925878,0.01269773845510186,0.08263702375534071,0.1253961923821692,0.005891541727939405,0.022515858436131287,0.024377714417357272,0.0036632003264492853,0.06228368267506368,0.0034299835607807462,0.05381020543570641,0.1499413392842713,-0.033405353456141304,0.018469044259479504,0.02948138575816057,-0.0012791655763996432,-0.015389576510629343,0.04818255875342381,0.11946916265925715,0.03567224188079549,0.07224364065813864
WNT7B,0.023879607991608792,-0.009475912753484297,-0.009004423159208016,-0.004097378916803401,0.13191143998716467,0.04424270752365813,0.05045395882708404,0.06883175871684216,-0.11124583469081914,-0.024003008645664715,0.01595200495270656,,0.025057094084108743,-0.050181305540065724,0.03594370179156181,0.04129463900853788,,-0.0067631037883176945,-0.009431625154149725,-0.025417286501033504,0.00350762123938946,0.03376483289039423,0.14139754361762866,0.0840054843788276,0.10741424790472678,-0.053861478314520254
PTMA,0.04755844138667918,-0.02267872979674276,0.1763001373323436,0.11979824492576396,0.05369513314184255,0.030325494607240062,-0.03266754606635828,0.2653802410908739,-0.20692630633875433,-0.03967026813610967,0.0962306631551574,0.06941618751644613,0.20984836877358226,0.19536913852177087,0.003854213274216424,0.019388918165532024,0.05291857245913976,-0.16454256970790018,-0.057789265763846125,0.085531647797806,0.02118433572838801,0.052461204321731986,-0.07682627846518171,-0.030482292341682295,0.0923414744973652,0.04714833308606291
FASLG,-0.0380397817908545,,,,,,,,,,,,,,,,,,,,,,,-0.03552773492935172,,
CEACAM1,0.055618063487976016,,0.028995220945184676,-0.002676961054363827,,-0.0030296621559444794,0.010195853315771438,,0.1037408204810693,-0.02906887014902726,,,,,,-0.06004903272840022,0.009818237681096005,0.019798562106120784,-0.017199391633046495,-0.03247010478827874,-0.019666614841580686,-0.05082505515627906,,0.08560138575772051,,
PDAP1,0.02714716340046354,0.003577890669063686,0.049645575650572316,0.043154378123247725,0.04939982879794303,-0.0007314000693222888,0.020774886848963402,0.1677960237522253,0.3295035904918275,0.008693818370309176,0.007712314439095928,0.016821363192338977,0.1879133416163472,0.09595871654137199,0.045886113443089765,-0.037300102032756736,-0.04356919546856034,0.06965353232373164,-0.0014711845527725328,0.07192396747991668,-0.025197306686441535,0.1068787040304313,-0.03359410053624655,0.09301349913489872,0.08988519410263113,0.043208960339204905
QDPR,-0.05624215426392431,-0.006061041959793392,-0.034866852794867086,-0.030973415154412237,0.04669495028354393,-0.06160201784976186,8.638463435271523e-05,-0.10316032240072678,-0.38036401028339817,-0.046504006000816785,0.029504990058882408,0.012687725011390111,0.1166323940780226,0.04513472577366371,0.017668149150856995,-0.03334099691738304,0.006368183844502718,-0.1809500966238642,0.027433175552798967,0.05040461264409518,0.003960591953749734,-0.03551108962741474,-0.03761835993520218,0.11117717345916583,-0.1429102685139505,0.12195572258386968
POMC,0.12571304583331464,0.09344515020121281,0.039863338736240275,-0.0149814094175756,,-0.014436704983296461,0.03668865685265558,-0.054005430800478434,0.08096431878631215,0.022479825059826104,-0.015032544084143836,0.015481304739909963,0.043610084580377344,-0.0016019509291674073,0.02190909214189636,-0.003511989571615219,0.11694930174568964,0.03725143949956116,0.02949548132815723,0.03419130927726394,-0.005774822525041092,-0.053382592968746284,,0.14621613762264313,0.06704056891040229,-0.05237387546723151
CCL18,,-0.002557156051616919,-0.10414605805526547,,,,,,,,,0.098616260729062,0.13618779891469796,,,0.0877991183990141,,0.08108281031302907,0.016809815671689727,0.014015712015678649,,-0.03379648054829628,,,,
CCL17,,,,,,0.00725507148976977,,,,0.02017723754510211,0.03964620881693366,,,0.051484614150864846,,,,,-0.02387901403461821,-0.040577157706694233,-0.008539732147681415,,,0.03195432269559252,,
VEGFD,,-0.022360373477068096,-0.02318986430728919,0.02099397454192695,,0.030863934788228894,0.05431609015201755,,0.13870470772451954,-0.03145765680674238,0.0630254381539949,0.009330591104956093,0.07508620554723533,-0.006244343466759615,,-0.06374564557114754,0.022015513611415294,,,0.05129507466463305,0.05928208137891359,,,,,
TNFSF13,,,0.00660468426199239,,,0.005357981073012568,,-0.019770112311638388,,,,,,,,,,,0.03726789876073016,0.02287336950132529,-0.04457278602886588,0.024516187468504855,,0.01731560111023185,-0.030077313869257168,
WNT5A,0.06829305483719676,0.0010731639779599394,0.08358029173897866,0.05627555390771737,0.10309026856637442,0.02196401328605732,0.01712343951480916,0.20583499702712535,0.31288714398732304,0.05609225885171279,0.06498972570754365,0.028603307735864652,0.128622667237488,0.05192701910549644,0.07608980312051453,0.03736093659259658,-0.060880079179003885,0.08907804645408599,0.022274429846363457,0.0921772026099909,0.04811869309150693,0.044625372851980184,0.15241385925223255,0.08605286634387276,0.20421380708522902,0.007497464702375477
CXCL8,,0.00704372592571613,-0.08726986937674182,0.0038639889673780015,-0.04837084584492209,0.04946510313649826,-0.06475641729310165,0.02985903121269529,0.09842115563359426,0.055195941485951514,0.0372693946394359,0.06278729977879449,-0.048303545143798525,0.05283755168534551,,0.04809055761226618,0.05009944206492196,-0.059158253901337186,-0.08136864877250234,-0.1265396482622319,0.05579147755047766,-0.002033067547056008,0.041712696358139706,-0.09137091992624302,0.13492983166325756,-0.0006209235486027675
GRN,-0.1095701963890365,-0.02155334691417311,0.15359707006195356,0.005522588442016654,0.013174168918539725,-0.006717160310109574,0.05137096919325391,0.14428486722713268,0.3177798561519342,0.007784065041253024,0.011686220940909998,0.03695376055730769,0.09391111919559351,-0.012497890614950302,0.09300154955781025,-0.04329661505147416,0.01952319095350434,0.08162146780145194,0.1645748656759011,0.01771661781381577,-0.016511206929019397,0.03504080272661624,-0.02495745705424501,-0.07458966702479318,-0.0514529502301864,-0.007172812970971097
MIA,0.07228604443732686,0.022860811030127878,0.05542743571888489,-0.039076510035524564,-0.028503602985737515,0.04752221080230479,0.038479006613841,0.053072479081845564,0.1418038094713976,0.061012735099657565,0.03442390742673831,,-0.009395784549786252,-0.008374845006688609,0.11234918056956154,-0.055581896215935164,0.050154791775148415,0.06903317861840047,0.08068325518561299,0.0157064313886906,-0.01454766768141191,0.062142453869361826,,0.2295075711785629,0.1266598740422297,
COL4A4,0.10543914313401384,-0.0387273435930531,0.05743991530025183,-0.018328967586292808,-0.03851775794541738,0.038109876648222865,-0.011030042958577369,0.04196705734458149,-0.03295301977898973,0.034975020245557216,-0.0359012954034689,,,0.02655074712026745,,,0.07080958199968865,-0.037474378538962835,0.08022043597982996,0.010318191227034184,-0.013622027586671609,-0.013369981513415527,,0.029362372388869584,0.03010755369195875,
TAC1,0.013230225154514481,-0.04722658946936611,0.05461134464438844,-0.019789204847771632,-0.07039272156779101,0.04152455441818535,-0.027952878877989393,-0.10751386737068862,-0.25637340829888855,-0.050883756467474575,-0.053270050262826336,-0.02835906290725991,,-0.14049987615099765,,,,,,,,-0.031457539402634974,-0.03928597640215682,-0.01883470921002407,-0.0884788693403354,-0.023422669075747093
