,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.05795751984433545,,,,,,,,,,,,-0.004332924809922815,,,0.07396569404411492,,
BMP1,0.07423457341118027,0.08193638046159447,0.05170877563047071,0.011815503563361869,0.15392211214846235,-0.047838541075340774,0.015691839107102912,0.13707733864080063,0.2823649230841367,0.07052930394166831,0.009716703697848213,-0.070530047229921,0.08053196044346989,0.15788907067757052,-0.04639226702072006,0.05221894792733958,0.02894982460614108,0.12154442385425253,0.08562324472026771,0.05418950573713284,0.10620201951173955,0.004657806400231281,0.03074523167284225,0.014754935582907098,0.0498729823808888,-0.00033932722985724457
NDP,0.051775362477237886,0.16010428561682868,0.06861167507651901,-0.03732453256022986,0.1326054661001091,0.04293453289377537,-0.008464716823783032,0.017840825189687368,0.09546109400492347,0.003448870729986981,0.01881314269458355,-0.041181032562683274,0.07603692647916141,0.0835465927468626,0.017438030796056818,0.08295334696362401,0.05667448964966684,0.1540937083409554,0.03826309730811413,0.08928423422678172,0.0676076298347257,-0.04382336265187441,0.041102628773344606,0.13231269599897064,0.12144088095897777,-0.0625827278118784
TNFSF18,0.055170968822177556,0.02661410495733041,0.031184745529478582,-0.024026452012746974,,,,0.02651552439033694,0.02466466427149464,0.026603406566349037,,,,,0.020388996989223362,,0.0391779602536398,,,,-0.024277685113374678,,-0.006983798998435813,0.0031841587324891226,0.03325605520431601,
IL36G,,,,,,,,,,,,,,0.06339683593941871,,,,,,,,,,,,
RTN4,-0.12658932995923058,-0.0457690564870292,0.058363459341634366,0.0074794481992089285,0.10535681864115672,0.028454958648011248,-0.0019281379257646556,-0.13598412542812877,-0.31758977065130056,0.03222130279687713,-0.038293637264565285,0.14753338864920804,0.032155882803207796,-0.1498322505707019,-0.09212393827545787,0.0017663939422053383,-0.003957345259623114,-0.16187994233657427,-0.00042697428756685173,0.024302589014445843,-0.04691950466485349,0.14711319698514538,5.276613805751511e-05,0.02150280725481893,0.0011632085862491519,-0.027517908600638043
HEBP1,0.06370328536599888,-0.01099458333522294,0.019094894960987475,0.012919768014022637,0.015681331863392173,-0.04502167945178641,0.027772936709654406,0.057587680007859195,0.12267071842460672,0.017732170793938292,-0.004370000848763087,-0.05396893335794196,-0.04396813224154535,0.013442320342760767,0.040528849069765324,0.09929967402482517,0.007061914840113903,0.06066958016949807,0.11591530287500922,0.040953130404550016,0.09793933630448698,0.04408750610351734,-0.028936328914703685,0.16532057816770895,0.029037565685585395,0.10008978240731055
WNT7B,0.005578501306592808,0.020096511332780755,0.035144623597594515,0.06304618618024649,0.01785327798562368,0.007642142139551281,0.14370781733741017,0.0026312903763374106,-0.16227136458675875,0.012577627272084987,0.02754802619375416,,0.02139542899451895,-0.031076869937711787,0.002715267633411155,-0.030091058401852805,,0.035689917021289395,-0.04119964579983146,0.05004594458087647,0.044944530536219884,-0.029925247994008707,-0.030968436728661324,-0.05726604812373778,0.12392653122725471,0.12040479170386116
PTMA,-0.04833194995673092,-0.21157883201785546,0.0417775335047466,0.08471439927842994,0.1291813583113055,-0.028622219571322126,-0.06733161269448498,0.20680432455028297,-0.1722448793787939,-0.08825847502362,-0.03192052458783044,-0.16208035571275686,-0.008906936103172326,0.17660766130774513,-0.005091884858003233,-0.14476656006080166,-0.040648732946247726,-0.25280878891653097,-0.117489142015664,-0.14550331912071032,-0.07956141597605107,0.10038183720493352,0.009082896216874383,-0.07913534373466644,-0.1030852287537053,-0.0785215172249838
FASLG,0.03441109427877594,,,,,,,,,,,,,,,,,,,,,,,0.05083019453220859,,
