,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,,,-0.016603056003334636,,
BMP1,0.06994218601552625,-0.018691319637009804,0.09090950217182198,-0.00863525750415682,-0.042771000570544136,0.016489177619475357,-0.0806798521175009,0.05907469373308035,-0.004230631801801182,0.0018325977335436872,-0.03082739776003253,-0.05549616951971549
NDP,0.01406500838566848,-0.012797698909620375,0.04171524818940865,-0.015759192889943284,0.04784430770130586,0.07332301076134035,0.015503089971199958,0.018193387596315832,0.06857321906630065,-0.004293739121020717,-0.013929291928813568,0.1175066205180409
TNFSF18,-0.0029825596277518332,0.04884434458710934,,,,-0.017643353727187748,-0.01720122578101328,,,-0.017122438595090522,,-0.0325683135337564
RTN4,0.009336004231657586,-0.01669316133814833,0.07661262779751363,-0.061606452848801146,0.06600036449139528,-0.015526606822743172,0.0822159808300791,-0.028125696539156874,-0.004518947493991217,0.05871682329603688,0.0781182331862621,0.08092153963050891
HEBP1,0.050568829509664195,-0.0099573556397543,0.00898686964454413,0.01991352400056796,0.008288970994975489,-0.006656448858693128,0.04909109209537075,-0.021693637924561197,0.016858182375774185,0.011957698172043068,-0.04428670622877859,-0.07047621411009022
WNT7B,-0.004191530190984129,-0.0035278459735508163,0.028784054913584736,-0.022734687354617592,-0.015771005301089595,0.035531336069418114,-0.02270662944913688,-0.03250134685602405,-0.028090338176438297,0.11394117763464244,-0.002980549045382027,0.031374571140351505
PTMA,-0.039041579934280916,0.00806433554813019,0.0520527548706851,0.03153996585933237,-0.054323308547355856,0.015412578280472893,0.07258659868859535,-0.007380917509585727,-0.00543816197150148,-0.02458112048845032,0.026789149834811565,-0.12696365943373336
CEACAM1,0.05624780477927483,-0.015300313663736805,,0.037063157432908854,-0.01620797514531824,,-0.01662077743559342,0.14432338183273177,0.0036642861042292104,-0.024603156654360584,0.17429768623448263,
PDAP1,-0.03714974799579307,-0.006721126087971421,0.01929193234939116,0.0022220717368474354,-0.0025929708467839815,-0.028783005455409724,0.01834386778218638,0.0035190182088742136,-0.0361355264630035,0.03987939301312025,0.03477642171033778,0.02862016955146659
