,UKF266,UKF296,UKF304,UKF313,ZH881T1,ZH916bulk
BMP1,-0.031035675805952026,0.015429910353814148,-0.0871494090881149,-0.04385981909458325,0.011214021462363022,-0.05690821360509725
NDP,-0.069843778140965,0.004251356828781988,-0.0675798741914937,0.02410554124372507,-0.004095610449679897,0.036352408667478214
TNFSF18,-0.013800792043382483,,,,,0.009070563121794103
RTN4,0.039352950417289326,0.0005960491037701473,0.1613225586610351,-0.013303648862509657,0.07632445984376385,0.09708948032068196
HEBP1,-0.03358198861751857,-0.011950153244102079,-0.08541451543211248,-0.014638466624837853,0.08158810595031434,-0.015524036854375454
WNT7B,0.005115412262607709,-0.016890628374876863,,-0.01695731268608993,0.11533078321603885,0.018027394166395524
PTMA,-0.0401109245781708,0.024540492477235474,-0.2133543723770542,0.050069201633758616,0.022978789360716186,-0.05674764292270824
CEACAM1,,,,,-0.014826660010939217,
PDAP1,0.006009458095847393,-0.016160919714239563,0.03171237277453927,0.029142912399801026,-0.08050704945097326,-0.009451051476669171
QDPR,0.025769327874751155,-0.016175733657590077,-0.19875966744924778,0.02548820013487764,0.045531200041392716,0.03303584314870031
POMC,0.06988226087116821,-0.0076386051788150415,-0.024289555900557452,-0.01340398249820161,-0.02425446806434076,0.046707469832688864
CCL18,,,-0.08178512556759551,0.06779835621227379,-0.02867696878929426,
CCL17,,0.07486821138025657,,,,
VEGFD,,0.003538936861836203,0.11284518279643257,-0.01837868104613955,,
TNFSF13,-0.013383889274455905,,,,-0.016649345471941492,0.09216754960884868
WNT5A,-0.05942204957092635,0.08596752451804424,0.06560210461683846,-0.01832243650672745,0.0035446517733945643,-0.036362527318941545
CXCL8,-0.019037714425156622,0.0054596147613823354,-0.06080904894813654,0.026271724238216776,-0.030969936508908693,-0.02327937565265013
GRN,-0.005418761895137719,-0.058055900800263,-0.11849517728166029,-0.016640131677411307,-0.02967315695957315,0.036558787966909055
MIA,-0.008733261958771246,-0.01743999559459486,,0.006586876104516371,-0.06010534363597503,0.06785698721256957
COL4A4,-0.01273417933885088,-0.01965375877050865,,,0.046944365851961795,0.026657982100390245
TAC1,0.0638494139273347,0.03620451913624352,0.18400177394950484,,0.046795878674481615,0.0369852468361527
RARRES2,-0.09058571372114521,-0.030724856913971272,-0.10002694839475386,0.09617178535001508,-0.0588121481029915,0.04465757191286535
FGF7,-0.014452252236507375,-0.041139668899780206,0.04778546440431294,-0.008455057285714667,-0.005882414029984024,0.08695569155763891
HBEGF,-0.015117860640844236,-0.009415700679980762,-0.09959985610387942,0.0387820538597968,-0.03888247183312225,-0.012696304172705218
CSF3,,,,0.08756923072821855,-0.02125604242765842,-0.03613254350291916
PI3,,,,,-0.06489612814661351,0.025246221140909034
PCSK1N,0.06108285857267422,0.0034322878398103493,0.20738667299965213,0.0072953281154934865,0.04348759400519178,0.02343720915409673
NTS,-0.015545539663054086,0.004546161872857814,-0.024026200620781486,,0.011226177159734526,
SFRP1,-0.02830212663705323,-0.02090586322327496,-0.0683973453977045,-0.036827598478950126,0.09957735692366616,0.09674921164969882
CXCL13,,,,0.050443204864181565,0.039491352838655736,-0.02930840098665035
MICA,-0.032995917837509624,0.022282890998502794,0.020695247552738345,0.022543300639832068,0.0735674773954751,-0.004240900937189626
TG,-0.017943650781784705,-0.015129482276074432,,0.05492895062555655,0.025298048161211336,0.015181106601748652
ADA,-0.011701413642333918,-0.012936874730218694,-0.08308705221593861,0.02250171343487321,0.038857071203832624,-0.003918780671201047
LAMC3,-0.03292414326915939,-0.025614122292466127,-0.00974670277036769,0.05159107193342685,0.01045953803414967,-0.03977635359170413
CCL7,,,,,,-0.0038539588769568294
NGF,-0.01712305563843053,,-0.024026216440440482,-0.007097739643491051,-0.036491979789414104,0.00813430840743264
TNFSF15,0.015353286678409834,,,0.004045980321163362,-0.013199637426353389,-0.039989543659822005
HMGB1,0.0009796063089474122,0.003213612226740024,-0.0532903697921269,0.0413223779965008,0.008385602893757739,0.017423161223351313
ITGB3BP,-0.041692577424507556,0.04799857939330189,0.002565606734128564,0.027732566943896485,0.023881626261206636,-0.06746216189030915
AANAT,,-0.017439996564651943,-0.02258817689828333,,,0.06785344816208984
RELN,-0.04746381509866572,0.09093417457718779,0.049473910896805494,,-0.01594373153559871,0.010897401884521455
IL15,-0.01479413460870248,-0.02250905495256742,-0.0462882198892053,-0.0033581026299986504,-0.03219797814723113,-0.028065885455426313
BSG,0.04010411643411041,-0.00964517325678674,0.12226715071533258,0.03104669235058408,-0.01453297924223544,0.051712177137417374
ADAMTS3,-0.023829071097757677,0.017822962317765857,-0.03627130446002396,-0.01143279505418143,-0.034467390002750675,0.007584274985761371
CD34,0.028668871979711085,0.03898721728043636,-0.02439613565258396,0.02232171897727359,-0.014221826725231318,-0.02508425199428127
