,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.01368160856591696,,,,,,,,,,,,-0.02530256853043996,,,0.06764872099889288,,
BMP1,0.03971933009325318,0.08358157762477128,0.17043526528844338,0.05833907485830415,0.09301083922242757,-0.007979411546001217,0.06316319365206192,0.08355991672085424,0.2052357602111301,0.04435864281239168,0.03347554087540493,0.16234547993662682,0.09762977346551249,0.15063064497604042,0.10354823141779972,0.12916932944126133,0.022996517223264932,0.13882650728997775,-0.05549466006328991,0.06612337425153812,0.033513811738575074,-0.01474181193388899,0.14996787935330533,0.12312677109907273,0.05702682592271901,0.044770877979732
NDP,0.026210027841882155,0.05810564512624388,0.03922204149705944,0.012061391040619958,0.04825226051896859,0.011470577577648479,-0.0109251721571206,-0.0030846522252247393,0.06805692777226116,0.07456826901938098,-0.003123161668993594,0.10405783269089654,0.15682495069933944,0.09133120972396497,0.07364851565483334,0.06926193482304062,-0.04276789201956861,0.03543394871724918,0.09800348434664083,0.13653931018053028,-0.01497092046520776,-0.040590351823822424,0.07807222716537447,0.15695094069817261,0.05793450118745579,0.0427238140549403
TNFSF18,0.08532014108077628,-0.051016216820732346,0.06240718636665446,-0.013023339309907848,,,,-0.011562537574799492,0.05805928956964805,-0.03943382405776099,,,,,0.10016910847540447,,-0.009224757196746957,,,,-0.06947394743948598,,0.09662132575829153,0.04944971617486561,0.07576770804556643,
IL36G,,,,,,,,,,,,,,0.03285229691006599,,,,,,,,,,,,
RTN4,-0.1001104346983053,-0.08254721743438498,0.010822809819986954,-0.020104251969069648,0.0168891877612337,0.017699791469277526,-0.040695139491524104,-0.11923737248895151,-0.24405436975482409,0.01739015109175961,-0.03293020096787338,-0.14288558636795876,-0.13394509287699932,-0.1555687877377714,-0.07048166404706316,-0.037118574527044604,0.033814487132044234,-0.018700154629622608,0.027303113308096424,-0.06854012723346269,0.07484961142377411,0.09029328463580506,-0.08266752041676768,-0.05420921027508569,-0.10832271215567633,0.04862108860336784
HEBP1,0.0657201930776303,0.0864822343235241,0.09793559270552858,0.02079363013934101,0.07577626186793415,0.07189666804281329,0.03169820752955288,0.05060613955150466,0.12565055051631557,0.028265675801344637,-0.04153824362549175,0.12544013647715196,-0.05357923744183006,0.04352438165330495,0.024647175605760737,0.143814364429331,0.020817003573357355,0.03422282492707549,0.09758893966172558,0.08675885317141158,-0.026497491694186356,0.08616317517786046,-0.004716620825278111,0.18741567479243917,0.06676555062543597,0.011623950812357871
WNT7B,0.05367695750806885,-0.08478101731829561,0.009949096776142474,0.0026905047143958075,0.02382139875607024,0.005435286385293054,0.012967338355860716,-0.008934203963906715,-0.048631514346461235,-0.000661947379877829,-0.036989446663252976,,0.04947944609109847,-0.0072679561948782315,0.04409527260163826,-0.09679189421590276,,-0.04648667635843729,0.0240639597961767,0.007686116916116247,-0.017233173766460483,0.02797581307229202,-0.0029954576951577573,-0.008855920801839376,0.11719628457287373,-0.03712706074719112
PTMA,-0.009599087023165531,-0.10310951898053072,0.10071795162922391,0.021827701717440372,0.002657597228305239,0.033029846395436914,0.018512117380831913,0.22405456929708595,-0.16163509408356905,-0.03346261412874955,0.030636084154829137,0.20872102514557614,0.25441325049795427,0.168565841786004,-0.02672664613843505,-0.24897933158170527,0.03868493555495751,-0.1712320500971055,-0.14537098847478816,-0.011277548921311172,0.10491239581030382,0.05062772773285502,-0.05186863451138661,-0.02835718290872196,-0.03938109560973479,0.13387929519737124
FASLG,-0.06120986167759013,,,,,,,,,,,,,,,,,,,,,,,0.06026301854682874,,
